energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,27.78738198,0.02275315,0.12670867,0.09869128,0.10983482,0.75227195,0.53230683,26.71049627
-5.99399700,27.63255281,0.02239823,0.12307729,0.09483592,0.11481275,0.73748989,0.52034391,26.54229577
-5.98799400,27.53651720,0.02202951,0.11973598,0.09121211,0.12005786,0.72397614,0.50888698,26.43061426
-5.98199100,27.50124641,0.02165197,0.11666973,0.08783335,0.12551538,0.71176160,0.49797327,26.37741646
-5.97598799,27.52752861,0.02127172,0.11386022,0.08471089,0.13112383,0.70083914,0.48762124,26.38354056
-5.96998499,27.61492852,0.02089595,0.11128602,0.08185385,0.13681651,0.69116583,0.47783178,26.44865515
-5.96398199,27.76177562,0.02053296,0.10892282,0.07926932,0.14252320,0.68266625,0.46858988,26.57124308
-5.95797899,27.96518145,0.02019211,0.10674371,0.07696239,0.14817215,0.67523670,0.45986672,26.74861307
-5.95197599,28.22108540,0.01988381,0.10471967,0.07493629,0.15369211,0.66875020,0.45162209,26.97693890
-5.94597299,28.52432772,0.01961955,0.10282003,0.07319234,0.15901443,0.66306193,0.44380695,27.25132494
-5.93996998,28.86874700,0.01941183,0.10101309,0.07172995,0.16407517,0.65801506,0.43636625,27.56589589
-5.93396698,29.24729896,0.01927426,0.09926679,0.07054658,0.16881692,0.65344662,0.42924164,27.91390775
-5.92796398,29.65219261,0.01922149,0.09754941,0.06963766,0.17319054,0.64919319,0.42237420,28.28787639
-5.92196098,30.07503945,0.01926930,0.09583037,0.06899641,0.17715646,0.64509628,0.41570700,28.67971979
-5.91595798,30.50701133,0.01943459,0.09408091,0.06861374,0.18068561,0.64100710,0.40918742,29.08090965
-5.90995498,30.93900260,0.01973534,0.09227488,0.06847808,0.18375994,0.63679073,0.40276920,29.48262832
-5.90395198,31.36179265,0.02019063,0.09038940,0.06857526,0.18637245,0.63232934,0.39641412,29.87592707
-5.89794897,31.76620529,0.02082058,0.08840543,0.06888839,0.18852672,0.62752465,0.39009329,30.25188237
-5.89194597,32.14326214,0.02164620,0.08630829,0.06939781,0.19023611,0.62229936,0.38378808,30.60174713
-5.88594297,32.48432776,0.02268925,0.08408805,0.07008110,0.19152245,0.61659785,0.37749053,30.91709460
-5.87993997,32.78124495,0.02397203,0.08173967,0.07091321,0.19241449,0.61038581,0.37120344,31.18995323
-5.87393697,33.02645908,0.02551706,0.07926316,0.07186664,0.19294613,0.60364935,0.36493997,31.41293113
-5.86793397,33.21313072,0.02734669,0.07666347,0.07291175,0.19315450,0.59639330,0.35872293,31.57932923
-5.86193097,33.33523605,0.02948268,0.07395022,0.07401719,0.19307802,0.58863905,0.35258371,31.68324244
-5.85592796,33.38765455,0.03194563,0.07113739,0.07515040,0.19275461,0.58042209,0.34656084,31.71964811
-5.84992496,33.36624318,0.03475436,0.06824275,0.07627825,0.19221999,0.57178914,0.34069843,31.68448114
-5.84392196,33.26789638,0.03792522,0.06528731,0.07736763,0.19150625,0.56279536,0.33504426,31.57469460
-5.83791896,33.09059031,0.04147134,0.06229454,0.07838625,0.19064080,0.55350141,0.32964786,31.38830471
-5.83191596,32.83341013,0.04540178,0.05928972,0.07930331,0.18964552,0.54397069,0.32455837,31.12441881
-5.82591296,32.49655840,0.04972072,0.05629902,0.08009021,0.18853640,0.53426672,0.31982240,30.78324455
-5.81990995,32.08134290,0.05442661,0.05334880,0.08072120,0.18732344,0.52445076,0.31548192,30.36607874
-5.81390695,31.59014245,0.05951129,0.05046478,0.08117394,0.18601087,0.51457967,0.31157213,29.87527458
-5.80790395,31.02634948,0.06495923,0.04767127,0.08142996,0.18459763,0.50470408,0.30811954,29.31418606
-5.80190095,30.39428918,0.07074684,0.04499055,0.08147499,0.18307807,0.49486688,0.30514014,28.68708959
-5.79589795,29.69911574,0.07684189,0.04244222,0.08129915,0.18144277,0.48510196,0.30263781,27.99908318
-5.78989495,28.94668747,0.08320316,0.04004269,0.08089695,0.17967944,0.47543330,0.30060307,27.25596508
-5.78389195,28.14342378,0.08978022,0.03780484,0.08026724,0.17777386,0.46587440,0.29901212,26.46409463
-5.77788894,27.29614816,0.09651357,0.03573769,0.07941293,0.17571071,0.45642794,0.29782637,25.63023929
-5.77188594,26.41192248,0.10333500,0.03384626,0.07834068,0.17347445,0.44708593,0.29699232,24.76141289
-5.76588294,25.49787865,0.11016834,0.03213158,0.07706045,0.17104996,0.43783004,0.29644210,23.86471081
-5.75987994,24.56105437,0.11693052,0.03059070,0.07558501,0.16842318,0.42863239,0.29609444,22.94714854
-5.75387694,23.60823966,0.12353299,0.02921701,0.07392947,0.16558155,0.41945672,0.29585626,22.01550989
-5.74787394,22.64584064,0.12988347,0.02800048,0.07211079,0.16251442,0.41025981,0.29562480,21.07621108
-5.74187094,21.67976620,0.13588801,0.02692810,0.07014729,0.15921333,0.40099343,0.29529024,20.13518620
-5.73586793,20.71534215,0.14145333,0.02598440,0.06805832,0.15567221,0.39160640,0.29473887,19.19779838
-5.72986493,19.75725575,0.14648931,0.02515200,0.06586394,0.15188757,0.38204714,0.29385648,18.26877967
-5.72386193,18.80953202,0.15091164,0.02441223,0.06358474,0.14785867,0.37226623,0.29253217,17.35220106
-5.71785893,17.87554101,0.15464439,0.02374576,0.06124173,0.14358764,0.36221922,0.29066214,16.45147230
-5.71185593,16.95803395,0.15762258,0.02313323,0.05885634,0.13907965,0.35186935,0.28815353,15.56936948
-5.70585293,16.05920389,0.15979444,0.02255588,0.05645053,0.13434302,0.34119025,0.28492797,14.70808687
-5.69984992,15.18076567,0.16112340,0.02199613,0.05404690,0.12938937,0.33016830,0.28092485,13.86930800
-5.69384692,14.32404863,0.16158961,0.02143807,0.05166889,0.12423370,0.31880467,0.27610396,13.05429035
-5.68784392,13.49009515,0.16119100,0.02086791,0.04934096,0.11889448,0.30711688,0.27044751,12.26395713
-5.68184092,12.67975812,0.15994363,0.02027433,0.04708876,0.11339363,0.29513973,0.26396135,11.49898975
-5.67583792,11.89379064,0.15788154,0.01964870,0.04493924,0.10775643,0.28292557,0.25667527,10.75991497
-5.66983492,11.13292246,0.15505583,0.01898520,0.04292063,0.10201132,0.27054386,0.24864247,10.04718124
-5.66383192,10.39791846,0.15153322,0.01828089,0.04106242,0.09618959,0.25807990,0.23993800,9.36122004
-5.65782891,9.68961657,0.14739392,0.01753555,0.03939505,0.09032498,0.24563297,0.23065649,8.70248939
-5.65182591,9.00894338,0.14272909,0.01675155,0.03794960,0.08445307,0.23331362,0.22090895,8.07149777
-5.64582291,8.35690812,0.13763782,0.01593355,0.03675723,0.07861069,0.22124052,0.21081912,7.46880880
-5.63981991,7.73457669,0.13222391,0.01508818,0.03584852,0.07283512,0.20953674,0.20051918,6.89502780
-5.63381691,7.14302892,0.12659248,0.01422367,0.03525267,0.06716336,0.19832575,0.19014535,6.35077302
-5.62781391,6.58330332,0.12084660,0.01334937,0.03499656,0.06163125,0.18772727,0.17983328,5.83663492
-5.62181091,6.05633420,0.11508410,0.01247542,0.03510373,0.05627268,0.17785309,0.16971371,5.35312791
-5.61580790,5.56288639,0.10939464,0.01161223,0.03559336,0.05111882,0.16880313,0.15990837,4.90063884
-5.60980490,5.10349261,0.10385728,0.01077019,0.03647921,0.04619747,0.16066184,0.15052645,4.47937679
-5.60380190,4.67839831,0.09853848,0.00995929,0.03776862,0.04153241,0.15349517,0.14166176,4.08932831
-5.59779890,4.28751782,0.09349074,0.00918883,0.03946163,0.03714304,0.14734809,0.13339061,3.73022141
-5.59179590,3.93040503,0.08875184,0.00846726,0.04155025,0.03304403,0.14224304,0.12577062,3.40150130
-5.58579290,3.60624044,0.08434476,0.00780204,0.04401801,0.02924522,0.13817911,0.11884046,3.10231918
-5.57978989,3.31383543,0.08027813,0.00719960,0.04683968,0.02575162,0.13513219,0.11262039,2.83153532
-5.57378689,3.05165347,0.07654732,0.00666537,0.04998147,0.02256361,0.13305601,0.10711376,2.58773575
-5.56778389,2.81784700,0.07313594,0.00620393,0.05340143,0.01967721,0.13188410,0.10230926,2.36926171
-5.56178089,2.61030765,0.07001778,0.00581918,0.05705033,0.01708454,0.13153251,0.09818378,2.17425000
-5.55577789,2.42672704,0.06715897,0.00551462,0.06087291,0.01477432,0.13190341,0.09470586,2.00068160
-5.54977489,2.26466480,0.06452032,0.00529363,0.06480946,0.01273243,0.13288916,0.09183948,1.84643598
-5.54377189,2.12162022,0.06205969,0.00515984,0.06879779,0.01094255,0.13437693,0.08954801,1.70934796
-5.53776888,1.99510404,0.05973430,0.00511749,0.07277544,0.00938674,0.13625364,0.08779820,1.58726434
-5.53176588,1.88270697,0.05750282,0.00517177,0.07668212,0.00804608,0.13841095,0.08656407,1.47809740
-5.52576288,1.78216201,0.05532724,0.00532920,0.08046227,0.00690124,0.14075018,0.08583033,1.37987308
-5.51975988,1.69139810,0.05317440,0.00559790,0.08406758,0.00593296,0.14318701,0.08559547,1.29077179
-5.51375688,1.60858317,0.05101715,0.00598787,0.08745947,0.00512255,0.14565558,0.08587408,1.20916056
-5.50775388,1.53215541,0.04883514,0.00651113,0.09061127,0.00445223,0.14811200,0.08669848,1.13361572
-5.50175088,1.46084216,0.04661515,0.00718181,0.09351009,0.00390543,0.15053701,0.08811949,1.06293588
-5.49574787,1.39366646,0.04435116,0.00801608,0.09615816,0.00346704,0.15293759,0.09020624,0.99614542
