energy_ev,total_up,Bi_p_up,Bi_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.92723807,0.35408676,0.00373840,0.51758288,0.25336326,0.00107801,0.32441577
-5.99399700,0.93041450,0.35870235,0.00401195,0.51227343,0.25794539,0.00116075,0.31508470
-5.98799400,0.93505473,0.36484777,0.00430346,0.50816187,0.26374542,0.00124882,0.30451235
-5.98199100,0.94101653,0.37241582,0.00460923,0.50520586,0.27064564,0.00134131,0.29281534
-5.97598799,0.94811830,0.38125811,0.00492510,0.50333761,0.27850178,0.00143707,0.28013938
-5.96998499,0.95614285,0.39118904,0.00524654,0.50246596,0.28714632,0.00153480,0.26665554
-5.96398199,0.96484409,0.40199209,0.00556874,0.50248022,0.29639318,0.00163302,0.25255595
-5.95797899,0.97395693,0.41342808,0.00588671,0.50325570,0.30604382,0.00173013,0.23804908
-5.95197599,0.98320981,0.42524526,0.00619542,0.50466092,0.31589459,0.00182449,0.22335480
-5.94597299,0.99233978,0.43719078,0.00648996,0.50656608,0.32574498,0.00191442,0.20869945
-5.93996998,1.00110924,0.44902311,0.00676571,0.50885252,0.33540652,0.00199829,0.19431111
-5.93396698,1.00932364,0.46052476,0.00701847,0.51142262,0.34471187,0.00207458,0.18041521
-5.92796398,1.01684902,0.47151468,0.00724468,0.51420959,0.35352362,0.00214194,0.16723056
-5.92196098,1.02362842,0.48185962,0.00744153,0.51718649,0.36174233,0.00219923,0.15496596
-5.91595798,1.02969587,0.49148381,0.00760709,0.52037392,0.36931334,0.00224556,0.14381730
-5.90995498,1.03518698,0.50037641,0.00774046,0.52384566,0.37623187,0.00228037,0.13396524
-5.90395198,1.04034502,0.50859594,0.00784180,0.52773183,0.38254595,0.00230341,0.12557329
-5.89794897,1.04552166,0.51627151,0.00791234,0.53221902,0.38835701,0.00231480,0.11878628
-5.89194597,1.05117177,0.52360046,0.00795440,0.53754713,0.39381769,0.00231497,0.11372914
-5.88594297,1.05784198,0.53084222,0.00797129,0.54400263,0.39912707,0.00230469,0.11050573
-5.87993997,1.06615292,0.53830859,0.00796721,0.55190851,0.40452307,0.00228505,0.10919781
-5.87393697,1.07677564,0.54635063,0.00794707,0.56161085,0.41027249,0.00225737,0.10986387
-5.86793397,1.09040277,0.55534258,0.00791630,0.57346260,0.41665884,0.00222317,0.11253787
-5.86193097,1.10771561,0.56566355,0.00788061,0.58780516,0.42396847,0.00218414,0.11722787
-5.85592796,1.12934849,0.57767766,0.00784577,0.60494843,0.43247568,0.00214199,0.12391450
-5.84992496,1.15585189,0.59171350,0.00781728,0.62515037,0.44242736,0.00209848,0.13254943
-5.84392196,1.18765637,0.60804403,0.00780018,0.64859694,0.45402792,0.00205526,0.14305387
-5.83791896,1.22503880,0.62686777,0.00779877,0.67538353,0.46742530,0.00201384,0.15531730
-5.83191596,1.26809311,0.64829229,0.00781642,0.70549904,0.48269876,0.00197553,0.16919661
-5.82591296,1.31670700,0.67232101,0.00785533,0.73881328,0.49984910,0.00194140,0.18451578
-5.81990995,1.37054630,0.69884391,0.00791649,0.77506887,0.51879195,0.00191219,0.20106639
-5.81390695,1.42904800,0.72763289,0.00799952,0.81387815,0.53935451,0.00188836,0.21860897
-5.80790395,1.49142291,0.75834216,0.00810271,0.85472552,0.56127608,0.00186999,0.23687554
-5.80190095,1.55666822,0.79051376,0.00822305,0.89697554,0.58421252,0.00185688,0.25557315
-5.79589795,1.62358975,0.82358815,0.00835631,0.93988656,0.60774445,0.00184848,0.27438874
-5.78989495,1.69083335,0.85691960,0.00849723,0.98262966,0.63138912,0.00184399,0.29299497
-5.78389195,1.75692428,0.88979567,0.00863972,1.02431206,0.65461521,0.00184237,0.31105716
-5.77788894,1.82031296,0.92146005,0.00877707,1.06400423,0.67686033,0.00184238,0.32824094
-5.77188594,1.87942530,0.95113779,0.00890230,1.10076961,0.69755008,0.00184267,0.34422050
-5.76588294,1.93271521,0.97806177,0.00900836,1.13369544,0.71611811,0.00184186,0.35868701
-5.75987994,1.97871730,1.00149927,0.00908847,1.16192365,0.73202617,0.00183853,0.37135697
-5.75387694,2.01609702,1.02077742,0.00913641,1.18468014,0.74478323,0.00183136,0.38198009
-5.74787394,2.04369635,1.03530648,0.00914670,1.20130134,0.75396292,0.00181914,0.39034625
-5.74187094,2.06057285,1.04459980,0.00911490,1.21125676,0.75921838,0.00180085,0.39629147
-5.73586793,2.06603045,1.04828985,0.00903770,1.21416652,0.76029400,0.00177566,0.39970231
-5.72986493,2.05964073,1.04613940,0.00891311,1.20981328,0.75703362,0.00174302,0.40051871
-5.72386193,2.04125396,1.03804777,0.00874048,1.19814793,0.74938469,0.00170261,0.39873511
-5.71785893,2.01099970,1.02405185,0.00852050,1.17928909,0.73739862,0.00165438,0.39439968
-5.71185593,1.96927724,1.00432206,0.00825519,1.15351646,0.72122715,0.00159856,0.38761191
-5.70585293,1.91673660,0.97915368,0.00794778,1.12125870,0.70111527,0.00153560,0.37851853
-5.69984992,1.85425148,0.94895411,0.00760254,1.08307632,0.67739098,0.00146618,0.36730807
-5.69384692,1.78288558,0.91422678,0.00722467,1.03964076,0.65045263,0.00139116,0.35420426
-5.68784392,1.70385412,0.87555271,0.00682005,0.99171067,0.62075441,0.00131156,0.33945871
-5.68184092,1.61848255,0.83357049,0.00639502,0.94010657,0.58879082,0.00122849,0.32334303
-5.67583792,1.52816443,0.78895581,0.00595621,0.88568501,0.55508077,0.00114313,0.30614095
-5.66983492,1.43432015,0.74240130,0.00551031,0.82931352,0.52015217,0.00105667,0.28814057
-5.66383192,1.33835848,0.69459757,0.00506386,0.77184723,0.48452738,0.00097031,0.26962718
-5.65782891,1.24164201,0.64621615,0.00462309,0.71410806,0.44871039,0.00088517,0.25087687
-5.65182591,1.14545794,0.59789483,0.00419381,0.65686711,0.41317585,0.00080231,0.23215109
-5.64582291,1.05099455,0.55022577,0.00378126,0.60083083,0.37836039,0.00072268,0.21369227
-5.63981991,0.95932417,0.50374661,0.00339008,0.54663093,0.34465634,0.00064712,0.19572070
-5.63381691,0.87139230,0.45893460,0.00302423,0.49481832,0.31240786,0.00057633,0.17843247
-5.62781391,0.78801281,0.41620359,0.00268706,0.44586068,0.28190930,0.00051092,0.16199860
-5.62181091,0.70986863,0.37590367,0.00238125,0.40014345,0.25340570,0.00045135,0.14656513
-5.61580790,0.63751711,0.33832319,0.00210894,0.35797364,0.22709507,0.00039797,0.13225405
-5.60980490,0.57139912,0.30369252,0.00187174,0.31958594,0.20313199,0.00035103,0.11916493
-5.60380190,0.51185097,0.27218929,0.00167085,0.28515057,0.18163238,0.00031071,0.10737704
-5.59779890,0.45911794,0.24394459,0.00150713,0.25478199,0.16267879,0.00027710,0.09695171
-5.59179590,0.41336850,0.21904947,0.00138121,0.22854812,0.14632595,0.00025025,0.08793483
-5.58579290,0.37470817,0.19756158,0.00129353,0.20647922,0.13260620,0.00023017,0.08035922
-5.57978989,0.34319227,0.17951132,0.00124443,0.18857607,0.12153438,0.00021685,0.07424672
