energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,1.54062055,0.21493331,0.01049401,0.17346737,0.51136770,0.35619915,0.01051773,0.77414089
-5.99399700,1.51053333,0.21034483,0.01037992,0.17094683,0.49010841,0.34785180,0.01080387,0.76015769
-5.98799400,1.48975516,0.20746406,0.01024540,0.16922551,0.46989685,0.34273122,0.01116823,0.75053000
-5.98199100,1.47887244,0.20624115,0.01009357,0.16836731,0.45100775,0.34093545,0.01161119,0.74559570
-5.97598799,1.47832757,0.20659449,0.00992834,0.16842476,0.43369509,0.34251118,0.01213158,0.74562659
-5.96998499,1.48840535,0.20841203,0.00975417,0.16943775,0.41818718,0.34745281,0.01272662,0.75081954
-5.96398199,1.50922068,0.21155347,0.00957580,0.17143222,0.40468179,0.35570192,0.01339186,0.76128831
-5.95797899,1.54070816,0.21585341,0.00939798,0.17441913,0.39334161,0.36714722,0.01412118,0.77705626
-5.95197599,1.58261451,0.22112524,0.00922524,0.17839346,0.38429017,0.38162516,0.01490684,0.79805053
-5.94597299,1.63449435,0.22716583,0.00906165,0.18333360,0.37760842,0.39892127,0.01573961,0.82409813
-5.93996998,1.69571018,0.23376084,0.00891068,0.18920094,0.37333211,0.41877233,0.01660890,0.85492420
-5.93396698,1.76543701,0.24069054,0.00877503,0.19593994,0.37145025,0.44086957,0.01750297,0.89015304
-5.92796398,1.84267227,0.24773588,0.00865658,0.20347850,0.37190469,0.46486289,0.01840923,0.92931190
-5.92196098,1.92625105,0.25468458,0.00855631,0.21172888,0.37459103,0.49036629,0.01931447,0.97183797
-5.91595798,2.01486662,0.26133720,0.00847437,0.22058892,0.37936076,0.51696433,0.02020525,1.01708829
-5.90995498,2.10709607,0.26751259,0.00841006,0.22994379,0.38602482,0.54421965,0.02106821,1.06435262
-5.90395198,2.20143033,0.27305288,0.00836199,0.23966805,0.39435833,0.57168147,0.02189045,1.11286885
-5.89794897,2.29630772,0.27782748,0.00832815,0.24962799,0.40410649,0.59889466,0.02265985,1.16184065
-5.89194597,2.39015004,0.28173608,0.00830605,0.25968431,0.41499135,0.62540946,0.02336541,1.21045651
-5.88594297,2.48139990,0.28471051,0.00829292,0.26969486,0.42671934,0.65079114,0.02399756,1.25790984
-5.87993997,2.56855792,0.28671527,0.00828579,0.27951747,0.43898916,0.67462971,0.02454834,1.30341905
-5.87393697,2.65021849,0.28774685,0.00828169,0.28901279,0.45149986,0.69654897,0.02501166,1.34624712
-5.86793397,2.72510280,0.28783177,0.00827774,0.29804693,0.46395870,0.71621484,0.02538338,1.38571976
-5.86193097,2.79208795,0.28702362,0.00827132,0.30649403,0.47608864,0.73334256,0.02566138,1.42124163
-5.85592796,2.85023115,0.28539902,0.00826013,0.31423847,0.48763505,0.74770255,0.02584558,1.45230994
-5.84992496,2.89878844,0.28305304,0.00824224,0.32117686,0.49837167,0.75912478,0.02593787,1.47852512
-5.84392196,2.93722743,0.28009398,0.00821621,0.32721964,0.50810536,0.76750149,0.02594198,1.49959825
-5.83791896,2.96523399,0.27663820,0.00818103,0.33229238,0.51667989,0.77278834,0.02586333,1.51535524
-5.83191596,2.98271309,0.27280488,0.00813621,0.33633678,0.52397838,0.77500389,0.02570887,1.52573768
-5.82591296,2.98978431,0.26871126,0.00808171,0.33931127,0.52992475,0.77422776,0.02548684,1.53080082
-5.81990995,2.98677257,0.26446852,0.00801796,0.34119136,0.53448400,0.77059733,0.02520661,1.53070877
-5.81390695,2.97419497,0.26017842,0.00794580,0.34196979,0.53766154,0.76430354,0.02487842,1.52572755
-5.80790395,2.95274459,0.25593096,0.00786650,0.34165632,0.53950171,0.75558576,0.02451321,1.51621633
-5.80190095,2.92327211,0.25180300,0.00778166,0.34027746,0.54008555,0.74472609,0.02412247,1.50261745
-5.79589795,2.88676594,0.24785796,0.00769324,0.33787594,0.53952803,0.73204323,0.02371808,1.48544550
-5.78989495,2.84433164,0.24414641,0.00760351,0.33451002,0.53797489,0.71788621,0.02331220,1.46527601
-5.78389195,2.79717097,0.24070757,0.00751503,0.33025265,0.53559903,0.70262797,0.02291715,1.44273386
-5.77788894,2.74656078,0.23757135,0.00743062,0.32519047,0.53259671,0.68665892,0.02254534,1.41848169
-5.77188594,2.69383197,0.23476084,0.00735338,0.31942258,0.52918345,0.67038062,0.02220918,1.39320834
-5.76588294,2.64034814,0.23229500,0.00728660,0.31305912,0.52558968,0.65419931,0.02192102,1.36761721
-5.75987994,2.58748391,0.23019120,0.00723381,0.30621957,0.52205617,0.63851947,0.02169298,1.34241458
-5.75387694,2.53660246,0.22846750,0.00719868,0.29903086,0.51882913,0.62373723,0.02153689,1.31829766
-5.74787394,2.48903203,0.22714435,0.00718501,0.29162510,0.51615493,0.61023349,0.02146405,1.29594223
-5.74187094,2.44604120,0.22624568,0.00719663,0.28413713,0.51427465,0.59836687,0.02148508,1.27598976
-5.73586793,2.40881281,0.22579908,0.00723735,0.27670175,0.51341812,0.58846630,0.02160958,1.25903410
-5.72986493,2.37841683,0.22583523,0.00731083,0.26945071,0.51379779,0.58082337,0.02184588,1.24560760
-5.72386193,2.35578233,0.22638649,0.00742052,0.26250966,0.51560242,0.57568462,0.02220070,1.23616709
-5.71785893,2.34166953,0.22748474,0.00756943,0.25599484,0.51899072,0.57324379,0.02267876,1.23107991
-5.71185593,2.33664257,0.22915865,0.00776010,0.25000996,0.52408511,0.57363443,0.02328240,1.23061049
-5.70585293,2.34104441,0.23143051,0.00799438,0.24464312,0.53096595,0.57692320,0.02401126,1.23490808
-5.69984992,2.35497501,0.23431296,0.00827333,0.23996403,0.53966631,0.58310406,0.02486193,1.24399628
-5.69384692,2.37827416,0.23780567,0.00859705,0.23602163,0.55016773,0.59209404,0.02582772,1.25776502
-5.68784392,2.41051057,0.24189246,0.00896462,0.23284222,0.56239710,0.60373063,0.02689846,1.27596573
-5.68184092,2.45097819,0.24653883,0.00937395,0.23042825,0.57622506,0.61777155,0.02806042,1.29821026
-5.67583792,2.49870102,0.25169032,0.00982174,0.22875778,0.59146589,0.63389686,0.02929641,1.32397412
-5.66983492,2.55244705,0.25727176,0.01030350,0.22778479,0.60787937,0.65171383,0.03058594,1.35260430
-5.66383192,2.61075162,0.26318743,0.01081349,0.22744026,0.62517436,0.67076461,0.03190557,1.38333182
-5.65782891,2.67195026,0.26932242,0.01134485,0.22763412,0.64301437,0.69053668,0.03322936,1.41528901
-5.65182591,2.73422016,0.27554491,0.01188968,0.22825797,0.66102485,0.71047587,0.03452949,1.44753107
-5.64582291,2.79562941,0.28170945,0.01243918,0.22918842,0.67880217,0.73000168,0.03577701,1.47906133
-5.63981991,2.85419241,0.28766114,0.01298385,0.23029119,0.69592397,0.74852435,0.03694258,1.50885957
-5.63381691,2.90792949,0.29324036,0.01351373,0.23142545,0.71196048,0.76546315,0.03799739,1.53591217
-5.62781391,2.95492860,0.29828806,0.01401861,0.23244864,0.72648668,0.78026529,0.03891405,1.55924327
-5.62181091,2.99340668,0.30265122,0.01448836,0.23322126,0.73909454,0.79242441,0.03966743,1.57794540
-5.61580790,3.02176820,0.30618827,0.01491314,0.23361165,0.74940523,0.80149829,0.04023555,1.59120863
-5.60980490,3.03865844,0.30877431,0.01528373,0.23350048,0.75708056,0.80712466,0.04060025,1.59834688
-5.60380190,3.04300935,0.31030572,0.01559178,0.23278479,0.76183348,0.80903459,0.04074786,1.59882039
-5.59779890,3.03407609,0.31070417,0.01583005,0.23138146,0.76343704,0.80706284,0.04066968,1.59225332
-5.59179590,3.01146256,0.30991967,0.01599262,0.22922994,0.76173163,0.80115465,0.04036220,1.57844596
-5.58579290,2.97513509,0.30793271,0.01607510,0.22629414,0.75663016,0.79136867,0.03982731,1.55738082
-5.57978989,2.92542357,0.30475516,0.01607472,0.22256346,0.74812104,0.77787582,0.03907219,1.52922259
-5.57378689,2.86301015,0.30043022,0.01599043,0.21805290,0.73626883,0.76095426,0.03810904,1.49431194
