energy_ev,total_up,Ca_p_up,Ca_d_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.26990203,0.00092343,0.00000000,0.04045475,0.01577793,0.00736921,0.00507619,0.00354390,0.13073277
-5.99399700,0.28828940,0.00109710,0.00000000,0.04218643,0.01839879,0.00721180,0.00601728,0.00409510,0.13733089
-5.98799400,0.30945265,0.00129490,0.00000000,0.04420821,0.02137458,0.00704797,0.00708472,0.00472149,0.14498484
-5.98199100,0.33371428,0.00151847,0.00000000,0.04656735,0.02472680,0.00688537,0.00828557,0.00542790,0.15384645
-5.97598799,0.36136035,0.00176922,0.00000000,0.04930715,0.02847270,0.00673156,0.00962542,0.00621825,0.16405295
-5.96998499,0.39262749,0.00204829,0.00000000,0.05246523,0.03262430,0.00659376,0.01110798,0.00709538,0.17572106
-5.96398199,0.42769061,0.00235650,0.00000000,0.05607185,0.03718735,0.00647862,0.01273481,0.00806078,0.18894148
-5.95797899,0.46665189,0.00269429,0.00000000,0.06014845,0.04216046,0.00639205,0.01450497,0.00911442,0.20377389
-5.95197599,0.50953155,0.00306166,0.00000000,0.06470635,0.04753433,0.00633903,0.01641479,0.01025459,0.22024282
-5.94597299,0.55626086,0.00345814,0.00000000,0.06974584,0.05329125,0.00632349,0.01845766,0.01147778,0.23833446
-5.93996998,0.60667775,0.00388276,0.00000000,0.07525553,0.05940470,0.00634822,0.02062394,0.01277858,0.25799468
-5.93396698,0.66052527,0.00433403,0.00000000,0.08121207,0.06583933,0.00641486,0.02290094,0.01414969,0.27912829
-5.92796398,0.71745309,0.00480993,0.00000000,0.08758026,0.07255115,0.00652380,0.02527298,0.01558196,0.30159956
-5.92196098,0.77702190,0.00530793,0.00000000,0.09431353,0.07948800,0.00667433,0.02772157,0.01706446,0.32523411
-5.91595798,0.83871076,0.00582497,0.00000000,0.10135475,0.08659030,0.00686457,0.03022566,0.01858466,0.34982201
-5.90995498,0.90192700,0.00635755,0.00000000,0.10863735,0.09379210,0.00709169,0.03276204,0.02012863,0.37512194
-5.90395198,0.96601822,0.00690172,0.00000000,0.11608673,0.10102224,0.00735191,0.03530567,0.02168132,0.40086634
-5.89794897,1.03028608,0.00745317,0.00000000,0.12362188,0.10820577,0.00764069,0.03783028,0.02322681,0.42676721
-5.89194597,1.09400110,0.00800725,0.00000000,0.13115704,0.11526545,0.00795286,0.04030881,0.02474863,0.45252244
-5.88594297,1.15641806,0.00855906,0.00000000,0.13860353,0.12212331,0.00828276,0.04271398,0.02623013,0.47782233
-5.87993997,1.21679128,0.00910348,0.00000000,0.14587154,0.12870215,0.00862434,0.04501884,0.02765477,0.50235601
-5.87393697,1.27438934,0.00963528,0.00000000,0.15287184,0.13492712,0.00897136,0.04719730,0.02900643,0.52581772
-5.86793397,1.32850862,0.01014914,0.00000000,0.15951740,0.14072701,0.00931748,0.04922458,0.03026971,0.54791256
-5.86193097,1.37848559,0.01063974,0.00000000,0.16572482,0.14603550,0.00965638,0.05107763,0.03143019,0.56836162
-5.85592796,1.42370721,0.01110180,0.00000000,0.17141565,0.15079224,0.00998184,0.05273554,0.03247467,0.58690644
-5.84992496,1.46361971,0.01153017,0.00000000,0.17651746,0.15494365,0.01028788,0.05417982,0.03339132,0.60331273
-5.84392196,1.49773550,0.01191987,0.00000000,0.18096477,0.15844362,0.01056881,0.05539458,0.03416984,0.61737329
-5.83791896,1.52563845,0.01226617,0.00000000,0.18469978,0.16125394,0.01081929,0.05636676,0.03480159,0.62891033
-5.83191596,1.54698769,0.01256464,0.00000000,0.18767305,0.16334464,0.01103444,0.05708618,0.03527963,0.63777706
-5.82591296,1.56152021,0.01281124,0.00000000,0.18984394,0.16469414,0.01120986,0.05754563,0.03559879,0.64385890
-5.81990995,1.56905245,0.01300237,0.00000000,0.19118104,0.16528932,0.01134169,0.05774086,0.03575568,0.64707418
-5.81390695,1.56948120,0.01313496,0.00000000,0.19166256,0.16512548,0.01142669,0.05767056,0.03574872,0.64737460
-5.80790395,1.56278397,0.01320656,0.00000000,0.19127663,0.16420628,0.01146228,0.05733635,0.03557811,0.64474549
-5.80190095,1.54901891,0.01321538,0.00000000,0.19002155,0.16254356,0.01144655,0.05674272,0.03524585,0.63920579
-5.79589795,1.52832437,0.01316041,0.00000000,0.18790603,0.16015724,0.01137838,0.05589696,0.03475569,0.63080801
-5.78989495,1.50091804,0.01304141,0.00000000,0.18494936,0.15707507,0.01125741,0.05480907,0.03411312,0.61963789
-5.78389195,1.46709547,0.01285904,0.00000000,0.18118153,0.15333239,0.01108408,0.05349172,0.03332531,0.60581385
-5.77788894,1.42722790,0.01261485,0.00000000,0.17664312,0.14897184,0.01085966,0.05196011,0.03240106,0.58948619
-5.77188594,1.38175908,0.01231129,0.00000000,0.17138522,0.14404297,0.01058627,0.05023182,0.03135075,0.57083575
-5.76588294,1.33120098,0.01195173,0.00000000,0.16546909,0.13860173,0.01026681,0.04832669,0.03018616,0.55007221
-5.75987994,1.27612812,0.01154038,0.00000000,0.15896558,0.13270988,0.00990495,0.04626661,0.02892043,0.52743176
-5.75387694,1.21717042,0.01108227,0.00000000,0.15195452,0.12643425,0.00950509,0.04407523,0.02756781,0.50317415
-5.74787394,1.15500474,0.01058312,0.00000000,0.14452372,0.11984588,0.00907226,0.04177774,0.02614352,0.47757916
-5.74187094,1.09034486,0.01004926,0.00000000,0.13676799,0.11301904,0.00861202,0.03940053,0.02466347,0.45094253
-5.73586793,1.02393049,0.00948747,0.00000000,0.12878784,0.10603011,0.00813042,0.03697079,0.02314407,0.42357134
-5.72986493,0.95651531,0.00890485,0.00000000,0.12068826,0.09895645,0.00763377,0.03451622,0.02160187,0.39577906
-5.72386193,0.88885464,0.00830864,0.00000000,0.11257727,0.09187516,0.00712862,0.03206453,0.02005334,0.36788050
-5.71785893,0.82169305,0.00770607,0.00000000,0.10456469,0.08486191,0.00662158,0.02964316,0.01851456,0.34018662
-5.71185593,0.75575251,0.00710418,0.00000000,0.09676077,0.07798974,0.00611920,0.02727887,0.01700092,0.31299962
-5.70585293,0.69172146,0.00650968,0.00000000,0.08927516,0.07132808,0.00562789,0.02499737,0.01552692,0.28660846
-5.69984992,0.63024520,0.00592882,0.00000000,0.08221583,0.06494174,0.00515377,0.02282312,0.01410586,0.26128487
-5.69384692,0.57191806,0.00536726,0.00000000,0.07568835,0.05889022,0.00470263,0.02077902,0.01274973,0.23728009
-5.68784392,0.51727738,0.00482997,0.00000000,0.06979529,0.05322714,0.00427984,0.01888628,0.01146903,0.21482242
-5.68184092,0.46679961,0.00432120,0.00000000,0.06463575,0.04799984,0.00389029,0.01716429,0.01027270,0.19411554
-5.67583792,0.42089828,0.00384439,0.00000000,0.06030510,0.04324926,0.00353841,0.01563057,0.00916804,0.17533769
-5.66983492,0.37992377,0.00340221,0.00000000,0.05689477,0.03900990,0.00322810,0.01430079,0.00816076,0.15864155
-5.66383192,0.34416467,0.00299654,0.00000000,0.05449199,0.03531001,0.00296276,0.01318872,0.00725498,0.14415468
-5.65782891,0.31385013,0.00262851,0.00000000,0.05317950,0.03217180,0.00274530,0.01230636,0.00645337,0.13198046
-5.65182591,0.28915295,0.00229857,0.00000000,0.05303507,0.02961182,0.00257815,0.01166391,0.00575721,0.12219921
-5.64582291,0.27019284,0.00200656,0.00000000,0.05413073,0.02764128,0.00246328,0.01126983,0.00516652,0.11486938
-5.63981991,0.25703943,0.00175175,0.00000000,0.05653167,0.02626634,0.00240221,0.01113079,0.00468025,0.11002859
-5.63381691,0.24971461,0.00153298,0.00000000,0.06029478,0.02548834,0.00239603,0.01125162,0.00429634,0.10769435
-5.62781391,0.24819387,0.00134870,0.00000000,0.06546672,0.02530399,0.00244538,0.01163518,0.00401190,0.10786434
-5.62181091,0.25240649,0.00119708,0.00000000,0.07208170,0.02570531,0.00255045,0.01228214,0.00382330,0.11051612
-5.61580790,0.26223448,0.00107605,0.00000000,0.08015877,0.02667957,0.00271097,0.01319074,0.00372624,0.11560644
-5.60980490,0.27751043,0.00098341,0.00000000,0.08969901,0.02820900,0.00292617,0.01435649,0.00371589,0.12306991
-5.60380190,0.29801441,0.00091685,0.00000000,0.10068248,0.03027052,0.00319474,0.01577180,0.00378684,0.13281740
-5.59779890,0.32347038,0.00087405,0.00000000,0.11306532,0.03283531,0.00351483,0.01742564,0.00393321,0.14473430
-5.59179590,0.35354269,0.00085266,0.00000000,0.12677709,0.03586843,0.00388400,0.01930320,0.00414864,0.15867871
-5.58579290,0.38783308,0.00085038,0.00000000,0.14171852,0.03932848,0.00429923,0.02138561,0.00442631,0.17448004
-5.57978989,0.42587895,0.00086495,0.00000000,0.15776012,0.04316741,0.00475691,0.02364971,0.00475894,0.19193823
-5.57378689,0.46715355,0.00089423,0.00000000,0.17474156,0.04733045,0.00525293,0.02606803,0.00513886,0.21082379
-5.56778389,0.51106856,0.00093615,0.00000000,0.19247225,0.05175635,0.00578271,0.02860878,0.00555799,0.23087904
