energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,S_s_up,S_p_up
-6.00000000,1.59848800,0.45754600,0.70570231,0.00776953,0.09534332,0.01167834,0.55752018
-5.99399700,1.60768509,0.45510203,0.71101981,0.00802069,0.08996059,0.01196682,0.56347241
-5.98799400,1.61905368,0.45286477,0.71797629,0.00825120,0.08531978,0.01226640,0.56983880
-5.98199100,1.63253533,0.45079428,0.72656837,0.00845924,0.08138841,0.01257346,0.57659034
-5.97598799,1.64805262,0.44885734,0.73677336,0.00864338,0.07812993,0.01288462,0.58369218
-5.96998499,1.66551542,0.44702967,0.74855145,0.00880258,0.07550575,0.01319694,0.59110609
-5.96398199,1.68482679,0.44529772,0.76184796,0.00893623,0.07347706,0.01350810,0.59879287
-5.95797899,1.70588850,0.44365986,0.77659559,0.00904412,0.07200632,0.01381654,0.60671477
-5.95197599,1.72860562,0.44212713,0.79271652,0.00912646,0.07105845,0.01412163,0.61483770
-5.94597299,1.75289034,0.44072346,0.81012432,0.00918381,0.07060169,0.01442374,0.62313314
-5.93996998,1.77866467,0.43948536,0.82872571,0.00921710,0.07060813,0.01472429,0.63157971
-5.93396698,1.80586183,0.43846115,0.84842191,0.00922752,0.07105392,0.01502573,0.64016415
-5.92796398,1.83442649,0.43770955,0.86910978,0.00921652,0.07191923,0.01533147,0.64888182
-5.92196098,1.86431350,0.43729792,0.89068262,0.00918572,0.07318794,0.01564578,0.65773648
-5.91595798,1.89548530,0.43729991,0.91303055,0.00913685,0.07484718,0.01597360,0.66673940
-5.90995498,1.92790801,0.43779263,0.93604070,0.00907168,0.07688669,0.01632027,0.67590773
-5.90395198,1.96154621,0.43885343,0.95959691,0.00899198,0.07929806,0.01669135,0.68526229
-5.89794897,1.99635679,0.44055637,0.98357935,0.00889942,0.08207398,0.01709220,0.69482461
-5.89194597,2.03228194,0.44296826,1.00786375,0.00879553,0.08520741,0.01752774,0.70461361
-5.88594297,2.06924169,0.44614478,1.03232059,0.00868171,0.08869077,0.01800207,0.71464188
-5.87993997,2.10712644,0.45012643,1.05681420,0.00855911,0.09251524,0.01851815,0.72491184
-5.87393697,2.14578986,0.45493472,1.08120186,0.00842868,0.09667003,0.01907748,0.73541195
-5.86793397,2.18504272,0.46056886,1.10533315,0.00829115,0.10114177,0.01967985,0.74611333
-5.86193097,2.22464808,0.46700282,1.12904953,0.00814705,0.10591405,0.02032312,0.75696689
-5.85592796,2.26431846,0.47418344,1.15218438,0.00799673,0.11096697,0.02100307,0.76790135
-5.84992496,2.30371530,0.48202933,1.17456354,0.00784041,0.11627684,0.02171338,0.77882232
-5.84392196,2.34245115,0.49043102,1.19600653,0.00767824,0.12181601,0.02244562,0.78961261
-5.83791896,2.38009480,0.49925238,1.21632853,0.00751036,0.12755276,0.02318939,0.80013391
-5.83191596,2.41617955,0.50833329,1.23534305,0.00733699,0.13345134,0.02393255,0.81022993
-5.82591296,2.45021439,0.51749369,1.25286550,0.00715845,0.13947209,0.02466155,0.81973091
-5.81990995,2.48169804,0.52653885,1.26871739,0.00697529,0.14557168,0.02536181,0.82845950
-5.81390695,2.51013524,0.53526567,1.28273123,0.00678832,0.15170346,0.02601818,0.83623766
-5.80790395,2.53505487,0.54346988,1.29475587,0.00659867,0.15781787,0.02661549,0.84289447
-5.80190095,2.55602897,0.55095375,1.30466219,0.00640783,0.16386301,0.02713905,0.84827435
-5.79589795,2.57269199,0.55753412,1.31234865,0.00621766,0.16978520,0.02757525,0.85224546
-5.78989495,2.58475904,0.56305015,1.31774678,0.00603044,0.17552970,0.02791207,0.85470771
-5.78389195,2.59204252,0.56737066,1.32082598,0.00584879,0.18104144,0.02813957,0.85559998
-5.77788894,2.59446589,0.57040057,1.32159750,0.00567569,0.18626581,0.02825031,0.85490619
-5.77188594,2.59207393,0.57208610,1.32011729,0.00551440,0.19114945,0.02823968,0.85265980
-5.76588294,2.58503875,0.57241856,1.31648752,0.00536841,0.19564110,0.02810616,0.84894645
-5.75987994,2.57366106,0.57143638,1.31085653,0.00524135,0.19969244,0.02785139,0.84390455
-5.75387694,2.55836653,0.56922548,1.30341716,0.00513690,0.20325884,0.02748020,0.83772365
-5.74787394,2.53969714,0.56591774,1.29440341,0.00505870,0.20630018,0.02700047,0.83064079
-5.74187094,2.51829797,0.56168778,1.28408556,0.00501023,0.20878156,0.02642290,0.82293467
-5.73586793,2.49489979,0.55674821,1.27276382,0.00499471,0.21067392,0.02576065,0.81491818
-5.72986493,2.47029836,0.55134351,1.26076081,0.00501502,0.21195471,0.02502895,0.80692944
-5.72386193,2.44533123,0.54574285,1.24841316,0.00507362,0.21260832,0.02424454,0.79932179
-5.71785893,2.42085324,0.54023231,1.23606258,0.00517241,0.21262658,0.02342523,0.79245325
-5.71185593,2.39771159,0.53510662,1.22404671,0.00531275,0.21200907,0.02258927,0.78667582
-5.70585293,2.37672178,0.53066091,1.21269019,0.00549535,0.21076337,0.02175484,0.78232522
-5.69984992,2.35864517,0.52718280,1.20229627,0.00572030,0.20890516,0.02093951,0.77971131
-5.69384692,2.34416917,0.52494494,1.19313927,0.00598700,0.20645827,0.02015982,0.77910970
-5.68784392,2.33389056,0.52419835,1.18545805,0.00629421,0.20345457,0.01943084,0.78075478
-5.68184092,2.32830248,0.52516664,1.17945086,0.00664007,0.19993365,0.01876585,0.78483426
-5.67583792,2.32778512,0.52804118,1.17527135,0.00702210,0.19594252,0.01817616,0.79148546
-5.66983492,2.33260029,0.53297719,1.17302614,0.00743733,0.19153499,0.01767090,0.80079314
-5.66383192,2.34288949,0.54009087,1.17277350,0.00788228,0.18677096,0.01725702,0.81278894
-5.65782891,2.35867508,0.54945725,1.17452341,0.00835309,0.18171560,0.01693932,0.82745218
-5.65182591,2.37986427,0.56110891,1.17823859,0.00884555,0.17643832,0.01672055,0.84471173
-5.64582291,2.40625509,0.57503524,1.18383644,0.00935516,0.17101159,0.01660160,0.86444891
-5.63981991,2.43754407,0.59118238,1.19119180,0.00987723,0.16550973,0.01658172,0.88650096
-5.63381691,2.47333496,0.60945356,1.20014020,0.01040692,0.16000752,0.01665881,0.91066501
-5.62781391,2.51314814,0.62970996,1.21048167,0.01093928,0.15457883,0.01682969,0.93670232
-5.62181091,2.55643047,0.65177205,1.22198486,0.01146930,0.14929518,0.01709040,0.96434266
-5.61580790,2.60256531,0.67542143,1.23439153,0.01199192,0.14422438,0.01743650,0.99328876
-5.60980490,2.65088276,0.70040325,1.24742133,0.01250212,0.13942922,0.01786333,1.02322081
-5.60380190,2.70067011,0.72642933,1.26077683,0.01299486,0.13496630,0.01836629,1.05380104
-5.59779890,2.75118262,0.75318209,1.27414891,0.01346517,0.13088498,0.01894099,1.08467840
-5.59179590,2.80165484,0.78031924,1.28722244,0.01390814,0.12722660,0.01958347,1.11549347
-5.58579290,2.85131250,0.80747947,1.29968228,0.01431897,0.12402388,0.02029028,1.14588356
-5.57978989,2.89938516,0.83428899,1.31121951,0.01469299,0.12130056,0.02105859,1.17548816
-5.57378689,2.94511953,0.86036894,1.32153791,0.01502573,0.11907133,0.02188614,1.20395467
-5.56778389,2.98779335,0.88534348,1.33036052,0.01531294,0.11734200,0.02277126,1.23094432
-5.56178089,3.02672966,0.90884847,1.33743601,0.01555071,0.11610984,0.02371277,1.25613833
-5.55577789,3.06131093,0.93054040,1.34254484,0.01573551,0.11536429,0.02470986,1.27924395
-5.54977489,3.09099263,0.95010532,1.34550483,0.01586431,0.11508763,0.02576188,1.30000036
-5.54377189,3.11531572,0.96726732,1.34617595,0.01593461,0.11525598,0.02686818,1.31818406
-5.53776888,3.13391736,0.98179646,1.34446398,0.01594461,0.11584028,0.02802785,1.33361356
-5.53176588,3.14653926,0.99351542,1.34032297,0.01589319,0.11680735,0.02923947,1.34615315
-5.52576288,3.15303323,1.00230497,1.33375613,0.01578006,0.11812097,0.03050085,1.35571546
-5.51975988,3.15336337,1.00810768,1.32481522,0.01560578,0.11974286,0.03180872,1.36226264
-5.51375688,3.14760480,1.01092981,1.31359820,0.01537177,0.12163371,0.03315854,1.36580621
-5.50775388,3.13593879,1.01084135,1.30024535,0.01508034,0.12375397,0.03454419,1.36640529
-5.50175088,3.11864441,1.00797401,1.28493390,0.01473465,0.12606465,0.03595785,1.36416354
