energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,5.43586130,2.45036220,1.79956327,0.00248445,2.36643325,0.00702407,1.10297781
-5.99399700,5.35919757,2.39901945,1.78349528,0.00235353,2.34849529,0.00669180,1.07619887
-5.98799400,5.28371501,2.35366510,1.76627106,0.00223651,2.32921916,0.00637787,1.05166403
-5.98199100,5.21050731,2.31501705,1.74818871,0.00213382,2.30908019,0.00608538,1.02955192
-5.97598799,5.14053613,2.28362700,1.72953613,0.00204562,2.28853876,0.00581692,1.00996996
-5.96998499,5.07462468,2.25988812,1.71058570,0.00197177,2.26803129,0.00557460,0.99295997
-5.96398199,5.01345437,2.24404688,1.69158927,0.00191191,2.24796201,0.00536006,0.97850489
-5.95797899,4.95756462,2.23621806,1.67277370,0.00186553,2.22869599,0.00517452,0.96653621
-5.95197599,4.90735575,2.23640206,1.65433726,0.00183197,2.21055366,0.00501878,0.95694175
-5.94597299,4.86309481,2.24450339,1.63644717,0.00181052,2.19380719,0.00489324,0.94957343
-5.93996998,4.82492438,2.26034939,1.61923819,0.00180042,2.17867875,0.00479795,0.94425489
-5.93396698,4.79287385,2.28370844,1.60281265,0.00180091,2.16534087,0.00473255,0.94078883
-5.92796398,4.76687316,2.31430685,1.58724177,0.00181125,2.15391860,0.00469637,0.93896383
-5.92196098,4.74676835,2.35184382,1.57256816,0.00183076,2.14449340,0.00468837,0.93856087
-5.91595798,4.73233850,2.39600397,1.55880954,0.00185877,2.13710843,0.00470716,0.93935934
-5.90995498,4.72331332,2.44646723,1.54596322,0.00189472,2.13177463,0.00475103,0.94114267
-5.90395198,4.71939081,2.50291567,1.53401126,0.00193806,2.12847744,0.00481795,0.94370369
-5.89794897,4.72025409,2.56503735,1.52292592,0.00198833,2.12718333,0.00490557,0.94684949
-5.89194597,4.72558670,2.63252722,1.51267494,0.00204510,2.12784584,0.00501133,0.95040604
-5.88594297,4.73508561,2.70508509,1.50322656,0.00210798,2.13041061,0.00513239,0.95422228
-5.87993997,4.74847127,2.78241111,1.49455371,0.00217662,2.13481910,0.00526577,0.95817377
-5.87393697,4.76549430,2.86419907,1.48663724,0.00225069,2.14101057,0.00540839,0.96216564
-5.86793397,4.78593837,2.95012791,1.47946801,0.00232985,2.14892244,0.00555712,0.96613474
-5.86193097,4.80961926,3.03985222,1.47304758,0.00241379,2.15848884,0.00570890,0.97005092
-5.85592796,4.83638029,3.13299218,1.46738766,0.00250218,2.16963764,0.00586079,0.97391721
-5.84992496,4.86608447,3.22912381,1.46250818,0.00259470,2.18228614,0.00601011,0.97776892
-5.84392196,4.89860405,3.32777021,1.45843432,0.00269100,2.19633599,0.00615447,0.98167149
-5.83791896,4.93380840,3.42839462,1.45519264,0.00279073,2.21166775,0.00629191,0.98571726
-5.83191596,4.97155111,3.53039600,1.45280665,0.00289352,2.22813559,0.00642094,0.99002118
-5.82591296,5.01165760,3.63310782,1.45129210,0.00299898,2.24556290,0.00654062,0.99471562
-5.81990995,5.05391423,3.73580062,1.45065256,0.00310674,2.26373921,0.00665063,0.99994451
-5.81390695,5.09806007,3.83768868,1.45087538,0.00321639,2.28241889,0.00675125,1.00585719
-5.80790395,5.14378208,3.93794103,1.45192863,0.00332754,2.30132211,0.00684342,1.01260202
-5.80190095,5.19071457,4.03569665,1.45375915,0.00343980,2.32013818,0.00692871,1.02032032
-5.79589795,5.23844302,4.13008350,1.45629192,0.00355278,2.33853137,0.00700924,1.02914077
-5.78989495,5.28651247,4.22024084,1.45943090,0.00366611,2.35614912,0.00708770,1.03917446
-5.78389195,5.33443996,4.30534384,1.46306128,0.00377947,2.37263220,0.00716721,1.05051095
-5.77788894,5.38173031,4.38462934,1.46705302,0.00389252,2.38762655,0.00725121,1.06321519
-5.77188594,5.42789423,4.45742151,1.47126552,0.00400499,2.40079601,0.00734337,1.07732548
-5.76588294,5.47246742,4.52315590,1.47555300,0.00411662,2.41183532,0.00744743,1.09285243
-5.75987994,5.51502921,4.58140053,1.47977027,0.00422717,2.42048257,0.00756706,1.10977860
-5.75387694,5.55521923,4.63187255,1.48377851,0.00433643,2.42653028,0.00770571,1.12805889
-5.74787394,5.59275087,4.67444935,1.48745054,0.00444419,2.42983458,0.00786644,1.14762127
-5.74187094,5.62742015,4.70917326,1.49067531,0.00455025,2.43032154,0.00805179,1.16836793
-5.73586793,5.65910936,4.73624919,1.49336116,0.00465436,2.42799051,0.00826366,1.19017633
-5.72986493,5.68778487,4.75603517,1.49543774,0.00475624,2.42291395,0.00850315,1.21290042
-5.72386193,5.71348933,4.76902618,1.49685638,0.00485554,2.41523388,0.00877051,1.23637175
-5.71785893,5.73632866,4.77583192,1.49758902,0.00495181,2.40515501,0.00906506,1.26040063
-5.71185593,5.75645484,4.77714983,1.49762563,0.00504450,2.39293500,0.00938516,1.28477736
