energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,1.71674160,0.54351352,0.00000000,0.27343905,1.10547519,0.00285386,0.26706833
-5.99399700,1.61248787,0.51593432,0.00000000,0.26309544,1.05189543,0.00269952,0.24539895
-5.98799400,1.50867483,0.48758115,0.00000000,0.25268356,0.99672263,0.00262240,0.22449935
-5.98199100,1.40706997,0.45899849,0.00000000,0.24250871,0.94106572,0.00262572,0.20466378
-5.97598799,1.30942131,0.43074281,0.00000000,0.23290201,0.88607852,0.00271441,0.18615860
-5.96998499,1.21742806,0.40337062,0.00000000,0.22421327,0.83293498,0.00289509,0.16922011
-5.96398199,1.13271585,0.37742749,0.00000000,0.21680381,0.78280579,0.00317608,0.15405375
-5.95797899,1.05681658,0.35343810,0.00000000,0.21103924,0.73683701,0.00356739,0.14083444
-5.95197599,0.99115281,0.33189773,0.00000000,0.20728229,0.69613090,0.00408067,0.12970790
-5.94597299,0.93702617,0.31326510,0.00000000,0.20588600,0.66172935,0.00472916,0.12079252
-5.93996998,0.89560921,0.29795653,0.00000000,0.20718701,0.63459959,0.00552758,0.11418181
-5.93396698,0.86793971,0.28634146,0.00000000,0.21149935,0.61562218,0.00649199,0.10994683
-5.92796398,0.85491678,0.27873896,0.00000000,0.21910831,0.60558087,0.00763968,0.10813859
-5.92196098,0.85729771,0.27541531,0.00000000,0.23026480,0.60515394,0.00898889,0.10879011
-5.91595798,0.87569474,0.27658219,0.00000000,0.24517991,0.61490657,0.01055864,0.11191794
-5.90995498,0.91057131,0.28239548,0.00000000,0.26401979,0.63528387,0.01236842,0.11752316
-5.90395198,0.96223709,0.29295445,0.00000000,0.28690097,0.66660434,0.01443786,0.12559164
-5.89794897,1.03084177,0.30830115,0.00000000,0.31388601,0.70905342,0.01678642,0.13609374
-5.89194597,1.11636765,0.32842010,0.00000000,0.34497978,0.76267715,0.01943299,0.14898332
-5.88594297,1.21862126,0.35323807,0.00000000,0.38012635,0.82737616,0.02239552,0.16419638
-5.87993997,1.33722474,0.38262420,0.00000000,0.41920679,0.90290010,0.02569059,0.18164930
-5.87393697,1.47160768,0.41639040,0.00000000,0.46203796,0.98884313,0.02933302,0.20123704
-5.86793397,1.62100038,0.45429232,0.00000000,0.50837247,1.08464088,0.03333544,0.22283131
-5.86193097,1.78442957,0.49603090,0.00000000,0.55790009,1.18956966,0.03770794,0.24627913
-5.85592796,1.96071768,0.54125484,0.00000000,0.61025064,1.30274852,0.04245768,0.27140182
-5.84992496,2.14848659,0.58956405,0.00000000,0.66499853,1.42314488,0.04758854,0.29799466
-5.84392196,2.34616669,0.64051421,0.00000000,0.72166893,1.54958423,0.05310086,0.32582750
-5.83791896,2.55201196,0.69362260,0.00000000,0.77974560,1.68076439,0.05899114,0.35464610
-5.83191596,2.76412127,0.74837518,0.00000000,0.83868033,1.81527449,0.06525185,0.38417472
-5.82591296,2.98046602,0.80423484,0.00000000,0.89790357,1.95161877,0.07187126,0.41411950
-5.81990995,3.19892366,0.86065077,0.00000000,0.95683630,2.08824478,0.07883332,0.44417298
-5.81390695,3.41731651,0.91706867,0.00000000,1.01490258,2.22357548,0.08611760,0.47401931
-5.80790395,3.63345464,0.97294160,0.00000000,1.07154239,2.35604439,0.09369926,0.50334025
-5.80190095,3.84518158,1.02774104,0.00000000,1.12622448,2.48413270,0.10154912,0.53182164
-5.79589795,4.05042122,1.08096792,0.00000000,1.17845854,2.60640706,0.10963368,0.55916002
-5.78989495,4.24722406,1.13216309,0.00000000,1.22780642,2.72155651,0.11791534,0.58506931
-5.78389195,4.43381103,1.18091695,0.00000000,1.27389183,2.82842720,0.12635251,0.60928713
-5.77788894,4.60861309,1.22687775,0.00000000,1.31640818,2.92605324,0.13489988,0.63158055
-5.77188594,4.77030484,1.26975832,0.00000000,1.35512427,3.01368251,0.14350873,0.65175099
-5.76588294,4.91783086,1.30934097,0.00000000,1.38988758,3.09079592,0.15212720,0.66963811
-5.75987994,5.05042350,1.34548032,0.00000000,1.42062506,3.15711948,0.16070078,0.68512250
-5.75387694,5.16761156,1.37810404,0.00000000,1.44734146,3.21262845,0.16917264,0.69812697
