energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,2.12942442,-2.55279458,0.76343415,-0.75458177,0.61779533,-0.64271676,0.02412897,-0.02799564,0.42221053,-0.31314962,0.01978052,-0.02566683,0.84062331,-1.24929851,0.35580644,-0.54677859,0.08282477,-0.11584744
-5.99399700,2.06596103,-2.48871010,0.74716165,-0.71878402,0.61108441,-0.63431665,0.02338429,-0.02797859,0.42863192,-0.31231013,0.01875504,-0.02534883,0.79283094,-1.20915753,0.33194492,-0.52678763,0.07822549,-0.11209047
-5.98799400,2.00227302,-2.42463004,0.73127453,-0.68751104,0.60375449,-0.62595583,0.02259507,-0.02784526,0.43387255,-0.31309973,0.01768635,-0.02490057,0.74616948,-1.16727455,0.30870012,-0.50598099,0.07367555,-0.10814243
-5.98199100,1.93816015,-2.36092820,0.71537096,-0.66074801,0.59557042,-0.61778375,0.02177488,-0.02759789,0.43760337,-0.31556685,0.01659032,-0.02432629,0.70091434,-1.12381919,0.28623921,-0.48442631,0.06921372,-0.10401904
-5.97598799,1.87348890,-2.29796183,0.69910431,-0.63839710,0.58632782,-0.60993292,0.02093667,-0.02724096,0.43953617,-0.31971541,0.01548275,-0.02363293,0.65733763,-1.07900118,0.26472639,-0.46221284,0.06487946,-0.09974102
-5.96998499,1.80820221,-2.23606927,0.68219347,-0.62028589,0.57586216,-0.60251457,0.02009229,-0.02678101,0.43943314,-0.32550238,0.01437892,-0.02282992,0.61570242,-1.03307223,0.24431902,-0.43945319,0.06071198,-0.09533435
-5.96398199,1.74232555,-2.17556463,0.66442994,-0.60617569,0.56405608,-0.59561452,0.01925223,-0.02622634,0.43711441,-0.33283631,0.01329324,-0.02192892,0.57625683,-0.98632475,0.22516382,-0.41628351,0.05674914,-0.09083003
-5.95797899,1.67596887,-2.11673018,0.64568139,-0.59576974,0.55084446,-0.58928944,0.01842526,-0.02558666,0.43246334,-0.34157700,0.01223887,-0.02094347,0.53922830,-0.93908763,0.20739327,-0.39286206,0.05302652,-0.08626364
-5.95197599,1.60932477,-2.05980736,0.62589196,-0.58872123,0.53621719,-0.58356392,0.01761839,-0.02487268,0.42542935,-0.35153668,0.01122749,-0.01988856,0.50481836,-0.89171953,0.19112232,-0.36936644,0.04957648,-0.08167453
-5.94597299,1.54266297,-2.00498745,0.60507941,-0.58464136,0.52021948,-0.57842855,0.01683672,-0.02409571,0.41602822,-0.36248260,0.01026911,-0.01878021,0.47319812,-0.84460004,0.17644565,-0.34598945,0.04642737,-0.07710489
