energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.15194495,0.00426074,0.08417118,0.48609120,0.08818470,0.74956647,0.00000000,0.41841849,0.12296286
-5.99399700,1.16436725,0.00432535,0.08735259,0.50065778,0.08916876,0.75437904,0.00000000,0.41940514,0.12484029
-5.98799400,1.17649341,0.00439821,0.09048197,0.51506697,0.09010785,0.75892206,0.00000000,0.42021398,0.12683046
-5.98199100,1.18858898,0.00447995,0.09356819,0.52939362,0.09102984,0.76336772,0.00000000,0.42097929,0.12898649
-5.97598799,1.20099713,0.00457072,0.09663237,0.54377410,0.09197040,0.76793060,0.00000000,0.42185562,0.13136829
-5.96998499,1.21414731,0.00467019,0.09970903,0.55841204,0.09297355,0.77287298,0.00000000,0.42301969,0.13404282
-5.96398199,1.22856015,0.00477758,0.10284670,0.57358111,0.09409196,0.77850809,0.00000000,0.42467145,0.13708383
-5.95797899,1.24484756,0.00489174,0.10610779,0.58962431,0.09538678,0.78520069,0.00000000,0.42703403,0.14057120
-5.95197599,1.26370701,0.00501118,0.10956783,0.60694934,0.09692694,0.79336431,0.00000000,0.43035208,0.14458966
-5.94597299,1.28590959,0.00513419,0.11331376,0.62601973,0.09878793,0.80345487,0.00000000,0.43488847,0.14922696
-5.93996998,1.31228137,0.00525895,0.11744155,0.64734184,0.10105008,0.81596038,0.00000000,0.44091907,0.15457134
-5.93396698,1.34367817,0.00538362,0.12205297,0.67144771,0.10379611,0.83138677,0.00000000,0.44872561,0.16070839
-5.92796398,1.38095424,0.00550644,0.12725171,0.69887429,0.10710839,0.85023999,0.00000000,0.45858668,0.16771736
-5.92196098,1.42492566,0.00562585,0.13313885,0.73013961,0.11106552,0.87300499,0.00000000,0.47076704,0.17566697
-5.91595798,1.47632974,0.00574055,0.13980799,0.76571677,0.11573882,0.90012215,0.00000000,0.48550564,0.18461093
-5.90995498,1.53578213,0.00584953,0.14734008,0.80600670,0.12118843,0.93196221,0.00000000,0.50300273,0.19458337
-5.90395198,1.60373342,0.00595216,0.15579829,0.85131094,0.12745956,0.96880090,0.00000000,0.52340658,0.20559432
-5.89794897,1.68042761,0.00604812,0.16522311,0.90180572,0.13457878,1.01079422,0.00000000,0.54680064,0.21762554
-5.89194597,1.76586443,0.00613744,0.17562791,0.95751861,0.14255076,1.05795616,0.00000000,0.57319155,0.23062707
-5.88594297,1.85976801,0.00622043,0.18699527,1.01830912,0.15135552,1.11013975,0.00000000,0.60249893,0.24451449
-5.87993997,1.96156391,0.00629758,0.19927423,1.08385435,0.16094649,1.16702308,0.00000000,0.63454759,0.25916742
-5.87393697,2.07036634,0.00636951,0.21237879,1.15364094,0.17124941,1.22810113,0.00000000,0.66906267,0.27442923
-5.86793397,2.18497721,0.00643684,0.22618763,1.22696395,0.18216235,1.29268449,0.00000000,0.70566838,0.29010826
