energy_ev,total_up,Ga_p_up,Ga_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,5.15068804,0.03875788,0.00000000,4.27234115,1.46895598,0.00888691,2.76467521
-5.99399700,5.18921336,0.03803219,0.00000000,4.33524453,1.45451691,0.00895198,2.74804056
-5.98799400,5.22273901,0.03738842,0.00000000,4.39020139,1.44119557,0.00899435,2.73262778
-5.98199100,5.24829992,0.03680047,0.00000000,4.43477348,1.42817216,0.00901096,2.71691348
-5.97598799,5.26301971,0.03624216,0.00000000,4.46663569,1.41462582,0.00899904,2.69937077
-5.96998499,5.26420872,0.03568806,0.00000000,4.48365650,1.39976344,0.00895622,2.67852335
-5.96398199,5.24945733,0.03511427,0.00000000,4.48397383,1.38284730,0.00888062,2.65299760
-5.95797899,5.21672085,0.03449919,0.00000000,4.46606324,1.36322027,0.00877091,2.62157083
-5.95197599,5.16439264,0.03382408,0.00000000,4.42879564,1.34032789,0.00862634,2.58321378
-5.94597299,5.09136246,0.03307362,0.00000000,4.37148199,1.31373634,0.00844682,2.53712593
-5.93996998,4.99705751,0.03223622,0.00000000,4.29390297,1.28314590,0.00823293,2.48276215
-5.93396698,4.88146461,0.03130429,0.00000000,4.19632234,1.24839914,0.00798593,2.41984974
-5.92796398,4.74513244,0.03027429,0.00000000,4.07948337,1.20948387,0.00770772,2.34839533
-5.92196098,4.58915393,0.02914668,0.00000000,3.94458852,1.16653073,0.00740083,2.26868143
-5.91595798,4.41512962,0.02792564,0.00000000,3.79326326,1.11980556,0.00706837,2.18125308
-5.90995498,4.22511365,0.02661884,0.00000000,3.62750564,1.06969713,0.00671393,2.08689504
-5.90395198,4.02154492,0.02523688,0.00000000,3.44962396,1.01670080,0.00634149,1.98660111
-5.89794897,3.80716644,0.02379286,0.00000000,3.26216525,0.96139880,0.00595533,1.88153659
-5.89194597,3.58493650,0.02230174,0.00000000,3.06783761,0.90443831,0.00555991,1.77299594
-5.88594297,3.35793532,0.02077972,0.00000000,2.86942980,0.84650795,0.00515974,1.66235736
-5.87993997,3.12927115,0.01924366,0.00000000,2.66973120,0.78831405,0.00475926,1.55103629
-5.87393697,2.90198945,0.01771044,0.00000000,2.47145536,0.73055738,0.00436277,1.44043969
-5.86793397,2.67898856,0.01619642,0.00000000,2.27716975,0.67391145,0.00397426,1.33192289
-5.86193097,2.46294473,0.01471697,0.00000000,2.08923416,0.61900292,0.00359738,1.22675061
-5.85592796,2.25624878,0.01328601,0.00000000,1.90974938,0.56639501,0.00323534,1.12606326
