energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,4.34381863,0.00630620,0.68143780,0.85780621,0.79307457,1.22516954,1.99910607,0.00332695,0.93640623
-5.99399700,4.34394207,0.00599992,0.69055482,0.85232401,0.77669817,1.21797925,2.02261019,0.00331197,0.91800994
-5.98799400,4.33501543,0.00570305,0.69682843,0.84535486,0.76020406,1.20746703,2.04083972,0.00329852,0.89917122
-5.98199100,4.31624349,0.00541752,0.70009801,0.83674597,0.74352734,1.19340633,2.05331987,0.00328638,0.87979627
-5.97598799,4.28704081,0.00514466,0.70026376,0.82638459,0.72660469,1.17565897,2.05969436,0.00327602,0.85980336
-5.96998499,4.24704852,0.00488528,0.69728904,0.81420255,0.70937656,1.15417976,2.05973453,0.00326856,0.83912649
-5.96398199,4.19614410,0.00463968,0.69120073,0.80017936,0.69178956,1.12901768,2.05334466,0.00326577,0.81771847
-5.95797899,4.13444399,0.00440774,0.68208732,0.78434363,0.67379872,1.10031389,2.04056325,0.00327004,0.79555356
-5.95197599,4.06229893,0.00418900,0.67009513,0.76677297,0.65536978,1.06829660,2.02156022,0.00328429,0.77262946
-5.94597299,3.98028221,0.00398276,0.65542270,0.74759220,0.63648120,1.03327306,1.99663003,0.00331194,0.74896861
-5.93996998,3.88917146,0.00378813,0.63831367,0.72696999,0.61712590,0.99561926,1.96618123,0.00335676,0.72461875
-5.93396698,3.78992441,0.00360416,0.61904854,0.70511407,0.59731263,0.95576758,1.93072245,0.00342280,0.69965265
-5.92796398,3.68364990,0.00342985,0.59793561,0.68226515,0.57706689,0.91419312,1.89084578,0.00351422,0.67416706
-5.92196098,3.57157491,0.00326428,0.57530153,0.65868984,0.55643128,0.87139924,1.84720776,0.00363519,0.64828086
-5.91595798,3.45500892,0.00310661,0.55148198,0.63467273,0.53546526,0.82790285,1.80050909,0.00378967,0.62213244
-5.90995498,3.33530704,0.00295613,0.52681251,0.61050799,0.51424432,0.78422003,1.75147342,0.00398128,0.59587639
-5.90395198,3.21383290,0.00281226,0.50162032,0.58649076,0.49285849,0.74085254,1.70082644,0.00421311,0.56967962
-5.89794897,3.09192289,0.00267460,0.47621682,0.56290878,0.47141033,0.69827557,1.64927560,0.00448754,0.54371698
-5.89194597,2.97085273,0.00254288,0.45089150,0.54003430,0.45001235,0.65692716,1.59749151,0.00480610,0.51816661
-5.88594297,2.85180754,0.00241696,0.42590702,0.51811682,0.42878402,0.61719949,1.54609158,0.00516926,0.49320502
-5.87993997,2.73585630,0.00229679,0.40149567,0.49737682,0.40784849,0.57943225,1.49562625,0.00557637,0.46900235
-5.87393697,2.62393133,0.00218243,0.37785722,0.47800064,0.38732911,0.54390813,1.44656856,0.00602549,0.44571768
-5.86793397,2.51681347,0.00207398,0.35515798,0.46013669,0.36734594,0.51085035,1.39930702,0.00651334,0.42349476
-5.86193097,2.41512294,0.00197156,0.33353104,0.44389320,0.34801235,0.48042220,1.35414201,0.00703529,0.40245829
-5.85592796,2.31931610,0.00187529,0.31307746,0.42933733,0.32943198,0.45272826,1.31128572,0.00758536,0.38271087
-5.84992496,2.22968774,0.00178526,0.29386820,0.41649580,0.31169598,0.42781725,1.27086528,0.00815628,0.36433072
-5.84392196,2.14637855,0.00170154,0.27594675,0.40535678,0.29488085,0.40568602,1.23292887,0.00873963,0.34737023
-5.83791896,2.06938699,0.00162415,0.25933196,0.39587298,0.27904688,0.38628456,1.19745419,0.00932598,0.33185554
-5.83191596,1.99858482,0.00155303,0.24402124,0.38796571,0.26423719,0.36952158,1.16435889,0.00990514,0.31778687
-5.82591296,1.93373533,0.00148810,0.22999360,0.38152954,0.25047744,0.35527048,1.13351220,0.01046639,0.30513981
-5.81990995,1.87451329,0.00142919,0.21721274,0.37643757,0.23777625,0.34337539,1.10474705,0.01099881,0.29386732
-5.81390695,1.82052552,0.00137612,0.20562980,0.37254667,0.22612609,0.33365708,1.07787226,0.01149153,0.28390246
-5.80790395,1.77133116,0.00132864,0.19518585,0.36970274,0.21550481,0.32591850,1.05268388,0.01193414,0.27516152
