energy_ev,total_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,1.56756528,0.93663235,0.26411072,0.25358662,0.40426884,0.00360970,0.11595608,0.00546938,0.63234750
-5.99399700,1.64932219,0.99730827,0.28129012,0.26545900,0.41876561,0.00387788,0.12135002,0.00578601,0.67199880
-5.98799400,1.73315456,1.05836598,0.29848230,0.27792437,0.43438039,0.00414290,0.12697825,0.00611648,0.71190923
-5.98199100,1.81738801,1.11877460,0.31541637,0.29070193,0.45069835,0.00440149,0.13271294,0.00645488,0.75138601
-5.97598799,1.90032510,1.17748755,0.33182609,0.30350054,0.46729415,0.00465063,0.13842221,0.00679533,0.78973047
-5.96998499,1.98030180,1.23347653,0.34745910,0.31602783,0.48374652,0.00488762,0.14397426,0.00713212,0.82626101
-5.96398199,2.05574337,1.28576585,0.36208610,0.32799921,0.49965242,0.00511027,0.14924143,0.00745995,0.86033604
-5.95797899,2.12521757,1.33346559,0.37550964,0.33914651,0.51464024,0.00531700,0.15410412,0.00777400,0.89137626
-5.95197599,2.18748278,1.37580226,0.38757206,0.34922594,0.52838151,0.00550691,0.15845425,0.00807020,0.91888508
-5.94597299,2.24152913,1.41214549,0.39816218,0.35802491,0.54060058,0.00567989,0.16219837,0.00834527,0.94246637
-5.93996998,2.28661073,1.44202955,0.40722059,0.36536768,0.55108212,0.00583664,0.16526006,0.00859682,0.96183867
-5.93396698,2.32226783,1.46516867,0.41474301,0.37111942,0.55967590,0.00597868,0.16758167,0.00882347,0.97684537
-5.92796398,2.34833787,1.48146544,0.42078188,0.37518871,0.56629893,0.00610835,0.16912540,0.00902477,0.98746014
-5.92196098,2.36495515,1.49101196,0.42544576,0.37752838,0.57093489,0.00622865,0.16987346,0.00920126,0.99378756
-5.91595798,2.37253917,1.49408357,0.42889685,0.37813460,0.57363090,0.00634322,0.16982770,0.00935433,0.99605892
-5.90995498,2.37177254,1.49112557,0.43134645,0.37704461,0.57449193,0.00645613,0.16900837,0.00948614,0.99462325
-5.90395198,2.36356948,1.48273363,0.43304887,0.37433289,0.57367325,0.00657171,0.16745238,0.00959944,0.98993421
-5.89794897,2.34903664,1.46962878,0.43429371,0.37010637,0.57137122,0.00669438,0.16521107,0.00969746,0.98253333
-5.89194597,2.32942811,1.45262821,0.43539709,0.36449872,0.56781304,0.00682838,0.16234759,0.00978362,0.97303049
-5.88594297,2.30609677,1.43261328,0.43669205,0.35766412,0.56324587,0.00697758,0.15893407,0.00986140,0.96208238
-5.87993997,2.28044421,1.41049638,0.43851856,0.34977083,0.55792592,0.00714526,0.15504876,0.00993414,0.95037014
-5.87393697,2.25387134,1.38718779,0.44121340,0.34099488,0.55210799,0.00733391,0.15077312,0.01000479,0.93857675
-5.86793397,2.22773173,1.36356433,0.44510038,0.33151408,0.54603586,0.00754509,0.14618921,0.01007582,0.92736547
-5.86193097,2.20328933,1.34044089,0.45048105,0.32150266,0.53993394,0.00777927,0.14137730,0.01014905,0.91735982
-5.85592796,2.18168201,1.31854591,0.45762631,0.31112678,0.53400040,0.00803575,0.13641383,0.01022558,0.90912586
-5.84992496,2.16389195,1.29850164,0.46676890,0.30054080,0.52840198,0.00831269,0.13136979,0.01030573,0.90315737
-5.84392196,2.15072334,1.28080983,0.47809713,0.28988469,0.52327060,0.00860709,0.12630952,0.01038905,0.89986406
-5.83791896,2.14278769,1.26584284,0.49174967,0.27928227,0.51870165,0.00891492,0.12128993,0.01047438,0.89956314
-5.83191596,2.14049645,1.25384039,0.50781168,0.26884045,0.51475393,0.00923127,0.11636007,0.01055994,0.90247421
-5.82591296,2.14406060,1.24491148,0.52631202,0.25864924,0.51145104,0.00955057,0.11156115,0.01064344,0.90871721
-5.81990995,2.15349622,1.23904111,0.54722166,0.24878244,0.50878399,0.00986684,0.10692670,0.01072229,0.91831339
-5.81390695,2.16863538,1.23610095,0.57045321,0.23929885,0.50671481,0.01017396,0.10248304,0.01079375,0.93118868
-5.80790395,2.18914125,1.23586333,0.59586144,0.23024386,0.50518083,0.01046607,0.09824991,0.01085517,0.94717941
-5.80190095,2.21452632,1.23801759,0.62324487,0.22165115,0.50409948,0.01073780,0.09424110,0.01090413,0.96603961
-5.79589795,2.24417297,1.24218796,0.65234824,0.21354456,0.50337317,0.01098471,0.09046518,0.01093872,0.98744982
-5.78989495,2.27735539,1.24795213,0.68286599,0.20593979,0.50289431,0.01120350,0.08692618,0.01095763,1.01102682
-5.78389195,2.31326219,1.25485966,0.71444670,0.19884601,0.50255004,0.01139237,0.08362427,0.01096035,1.03633409
-5.77788894,2.35101910,1.26244975,0.74669841,0.19226716,0.50222668,0.01155121,0.08055626,0.01094726,1.06289272
-5.77188594,2.38971128,1.27026754,0.77919501,0.18620309,0.50181377,0.01168179,0.07771615,0.01091971,1.09019250
-5.76588294,2.42840507,1.27787880,0.81148345,0.18065032,0.50120754,0.01178786,0.07509550,0.01088002,1.11770316
-5.75987994,2.46616876,1.28488243,0.84309202,0.17560269,0.50031402,0.01187514,0.07268378,0.01083147,1.14488554
-5.75387694,2.50209246,1.29092080,0.87353935,0.17105165,0.49905139,0.01195133,0.07046871,0.01077822,1.17120266
-5.74787394,2.53530682,1.29568767,0.90234429,0.16698649,0.49735198,0.01202587,0.06843645,0.01072521,1.19613058
-5.74187094,2.56500051,1.29893386,0.92903625,0.16339445,0.49516365,0.01210978,0.06657193,0.01067798,1.21916897
-5.73586793,2.59043648,1.30047058,0.95316598,0.16026073,0.49245063,0.01221529,0.06485910,0.01064252,1.23985136
-5.72986493,2.61096652,1.30017070,0.97431646,0.15756858,0.48919394,0.01235544,0.06328122,0.01062500,1.25775473
-5.72386193,2.62604427,1.29796801,0.99211346,0.15529932,0.48539124,0.01254367,0.06182119,0.01063158,1.27250855
-5.71785893,2.63523606,1.29385482,1.00623563,0.15343253,0.48105626,0.01279324,0.06046193,0.01066813,1.28380280
-5.71185593,2.63822953,1.28787789,1.01642356,0.15194630,0.47621777,0.01311673,0.05918679,0.01074003,1.29139496
-5.70585293,2.63483954,1.28013324,1.02248750,0.15081755,0.47091815,0.01352544,0.05797996,0.01085188,1.29511557
-5.69984992,2.62501119,1.27075978,1.02431339,0.15002243,0.46521154,0.01402887,0.05682691,0.01100731,1.29487225
-5.69384692,2.60881960,1.25993221,1.02186692,0.14953686,0.45916167,0.01463414,0.05571484,0.01120877,1.29065186
-5.68784392,2.58646641,1.24785331,1.01519523,0.14933705,0.45283943,0.01534557,0.05463308,0.01145736,1.28252068
-5.68184092,2.55827289,1.23474602,1.00442632,0.14940008,0.44632028,0.01616421,0.05357344,0.01175272,1.27062258
-5.67583792,2.52466982,1.22084545,0.98976589,0.14970447,0.43968153,0.01708756,0.05253050,0.01209293,1.25517497
-5.66983492,2.48618442,1.20639118,0.97149179,0.15023070,0.43299970,0.01810938,0.05150181,0.01247448,1.23646279
-5.66383192,2.44342469,1.19162008,0.94994624,0.15096175,0.42634796,0.01921960,0.05048805,0.01289230,1.21483057
-5.65782891,2.39706189,1.17675990,0.92552598,0.15188348,0.41979394,0.02040437,0.04949298,0.01333982,1.19067288
-5.65182591,2.34781164,1.16202388,0.89867092,0.15298499,0.41339787,0.02164633,0.04852338,0.01380915,1.16442349
-5.64582291,2.29641469,1.14760663,0.86985160,0.15425884,0.40721123,0.02292493,0.04758881,0.01429120,1.13654367
-5.63981991,2.24361791,1.13368134,0.83955594,0.15570125,0.40127597,0.02421695,0.04670134,0.01477597,1.10751006
-5.63381691,2.19015645,1.12039846,0.80827598,0.15731209,0.39562435,0.02549714,0.04587517,0.01525280,1.07780265
-5.62781391,2.13673776,1.10788587,0.77649502,0.15909483,0.39027943,0.02673895,0.04512610,0.01571074,1.04789327
-5.62181091,2.08402798,1.09625043,0.74467572,0.16105641,0.38525609,0.02791534,0.04447107,0.01613881,1.01823510
-5.61580790,2.03264122,1.08558080,0.71324952,0.16320692,0.38056261,0.02899970,0.04392760,0.01652642,0.98925351
-5.60980490,1.98313191,1.07595127,0.68260784,0.16555923,0.37620256,0.02996669,0.04351317,0.01686372,0.96133853
-5.60380190,1.93599021,1.06742622,0.65309533,0.16812847,0.37217706,0.03079315,0.04324470,0.01714187,0.93483911
-5.59779890,1.89164031,1.06006493,0.62500509,0.17093143,0.36848692,0.03145890,0.04313796,0.01735343,0.91005927
-5.59179590,1.85044127,1.05392625,0.59857615,0.17398579,0.36513477,0.03194747,0.04320708,0.01749257,0.88725598
