energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,Ti_p_up,Ti_d_up
-6.00000000,5.87177056,0.00085734,4.33101251,0.17520490,0.00040729,5.13490974,2.04563657
-5.99399700,5.99893987,0.00086590,4.41945659,0.18259680,0.00043064,5.24306174,2.06815633
-5.98799400,6.10374916,0.00086987,4.49093394,0.18954737,0.00045328,5.33229867,2.08181124
-5.98199100,6.18464571,0.00086909,4.54440326,0.19592982,0.00047491,5.40138957,2.08639319
-5.97598799,6.24042903,0.00086355,4.57908169,0.20162886,0.00049524,5.44934330,2.08182158
-5.96998499,6.27027868,0.00085339,4.59446306,0.20654329,0.00051400,5.47543133,2.06814478
-5.96398199,6.27377556,0.00083887,4.59033142,0.21058807,0.00053093,5.47920746,2.04553960
-5.95797899,6.25091547,0.00082040,4.56676920,0.21369606,0.00054582,5.46052369,2.01430866
-5.95197599,6.20211401,0.00079849,4.52415929,0.21581916,0.00055848,5.41954104,1.97487545
-5.94597299,6.12820195,0.00077374,4.46318047,0.21692897,0.00056879,5.35673446,1.92777713
-5.93996998,6.03041052,0.00074684,4.38479588,0.21701682,0.00057664,5.27289089,1.87365489
-5.93396698,5.91034658,0.00071849,4.29023438,0.21609337,0.00058200,5.16909988,1.81324205
-5.92796398,5.76995774,0.00068945,4.18096503,0.21418759,0.00058486,5.04673645,1.74734994
-5.92196098,5.61148813,0.00066043,4.05866505,0.21134532,0.00058529,4.90743610,1.67685190
-5.91595798,5.43742609,0.00063216,3.92518218,0.20762737,0.00058338,4.75306242,1.60266562
-5.90995498,5.25044502,0.00060527,3.78249242,0.20310736,0.00057928,4.58566810,1.52573443
-5.90395198,5.05333960,0.00058035,3.63265447,0.19786928,0.00057317,4.40745039,1.44700791
-5.89794897,4.84895934,0.00055788,3.47776253,0.19200483,0.00056527,4.22070259,1.36742250
-5.89194597,4.64014197,0.00053826,3.31989894,0.18561088,0.00055582,4.02776327,1.28788275
-5.88594297,4.42964915,0.00052174,3.16108857,0.17878681,0.00054507,3.83096508,1.20924376
-5.87993997,4.22010679,0.00050850,3.00325647,0.17163206,0.00053330,3.63258519,1.13229549
-5.87393697,4.01395238,0.00049857,2.84819051,0.16424393,0.00052077,3.43479910,1.05774944
-5.86793397,3.81339112,0.00049186,2.69751008,0.15671560,0.00050775,3.23963987,0.98622817
-5.86193097,3.62036241,0.00048819,2.55264229,0.14913455,0.00049450,3.04896384,0.91825792
-5.85592796,3.43651785,0.00048728,2.41480595,0.14158133,0.00048125,2.86442440,0.85426461
-5.84992496,3.26321107,0.00048877,2.28500404,0.13412871,0.00046820,2.68745425,0.79457317
-5.84392196,3.10149941,0.00049221,2.16402430,0.12684126,0.00045556,2.51925651,0.73941020
-5.83791896,2.95215676,0.00049715,2.05244774,0.11977525,0.00044347,2.36080474,0.68890952
-5.83191596,2.81569645,0.00050306,1.95066401,0.11297894,0.00043206,2.21285093,0.64312047
-5.82591296,2.69240249,0.00050943,1.85889272,0.10649311,0.00042145,2.07594086,0.60201829
-5.81990995,2.58236711,0.00051577,1.77720912,0.10035180,0.00041170,1.95043537,0.56551604
-5.81390695,2.48553256,0.00052160,1.70557279,0.09458329,0.00040287,1.83653601,0.53347759
-5.80790395,2.40173447,0.00052649,1.64385749,0.08921104,0.00039500,1.73431359,0.50573087
-5.80190095,2.33074466,0.00053008,1.59188074,0.08425477,0.00038811,1.64373768,0.48208086
-5.79589795,2.27231093,0.00053207,1.54943140,0.07973133,0.00038219,1.56470571,0.46232177
-5.78989495,2.22619187,0.00053225,1.51629398,0.07565563,0.00037727,1.49706981,0.44624784
-5.78389195,2.19218493,0.00053048,1.49226849,0.07204122,0.00037333,1.44066032,0.43366248
-5.77788894,2.17014648,0.00052671,1.47718492,0.06890082,0.00037038,1.39530477,0.42438528
-5.77188594,2.16000291,0.00052098,1.47091183,0.06624649,0.00036841,1.36084163,0.41825682
-5.76588294,2.16175257,0.00051340,1.47335881,0.06408963,0.00036744,1.33712828,0.41514122
-5.75987994,2.17545849,0.00050413,1.48447292,0.06244068,0.00036746,1.32404321,0.41492634
-5.75387694,2.20123254,0.00049341,1.50422947,0.06130865,0.00036849,1.32148252,0.41752192
-5.74787394,2.23921213,0.00048151,1.53261796,0.06070044,0.00037056,1.32935129,0.42285583
-5.74187094,2.28953063,0.00046874,1.56962390,0.06061993,0.00037368,1.34755047,0.43086866
-5.73586793,2.35228335,0.00045539,1.61520786,0.06106709,0.00037786,1.37596024,0.44150716
-5.72986493,2.42749081,0.00044180,1.66928273,0.06203692,0.00038312,1.41442092,0.45471685
-5.72386193,2.51506130,0.00042826,1.73169071,0.06351853,0.00038947,1.46271250,0.47043421
-5.71785893,2.61475472,0.00041505,1.80218108,0.06549414,0.00039690,1.52053414,0.48857890
-5.71185593,2.72614962,0.00040242,1.88039009,0.06793839,0.00040540,1.58748464,0.50904644
-5.70585293,2.84861510,0.00039056,1.96582411,0.07081768,0.00041492,1.66304518,0.53170167
-5.69984992,2.98128926,0.00037963,2.05784687,0.07408985,0.00042540,1.74656511,0.55637338
