energy_ev,total_up,Ir_p_up,Ir_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,3.19922525,0.76654719,1.12646886,0.39854340,0.45150687,0.00799862,0.60165154,0.02110981,1.04729967
-5.99399700,3.20336581,0.74853453,1.13833362,0.39482403,0.44893217,0.00776306,0.61282059,0.02153937,1.03416174
-5.98799400,3.20822163,0.73290797,1.14970762,0.39253227,0.44593278,0.00751583,0.62349288,0.02185601,1.02234627
-5.98199100,3.21438048,0.71994696,1.16071974,0.39180638,0.44261562,0.00726023,0.63373830,0.02205466,1.01215141
-5.97598799,3.22242453,0.70987640,1.17151581,0.39275474,0.43909729,0.00699973,0.64364572,0.02213282,1.00384523
-5.96998499,3.23291160,0.70286410,1.18225066,0.39545414,0.43550194,0.00673795,0.65331607,0.02209055,0.99766266
-5.96398199,3.24635380,0.69901892,1.19307882,0.39994855,0.43195842,0.00647863,0.66285407,0.02193039,0.99380256
-5.95797899,3.26319466,0.69838965,1.20414436,0.40624869,0.42859698,0.00622566,0.67235916,0.02165718,0.99242500
-5.95197599,3.28378586,0.70096457,1.21557036,0.41433231,0.42554557,0.00598303,0.68191615,0.02127788,0.99364875
-5.94597299,3.30836530,0.70667198,1.22744883,0.42414518,0.42292605,0.00575477,0.69158625,0.02080121,0.99754914
-5.93996998,3.33703788,0.71538164,1.23983171,0.43560291,0.42085028,0.00554496,0.70139899,0.02023737,1.00415656
-5.93396698,3.36976067,0.72690751,1.25272348,0.44859350,0.41941661,0.00535759,0.71134571,0.01959765,1.01345560
-5.92796398,3.40633390,0.74101173,1.26607620,0.46298071,0.41870668,0.00519655,0.72137515,0.01889407,1.02538517
-5.92196098,3.44639870,0.75741008,1.27978721,0.47860809,0.41878299,0.00506550,0.73139139,0.01813901,1.03983968
-5.91595798,3.48944242,0.77577894,1.29369979,0.49530364,0.41968714,0.00496780,0.74125464,0.01734491,1.05667139
-5.90995498,3.53481176,0.79576362,1.30760703,0.51288497,0.42143906,0.00490638,0.75078466,0.01652393,1.07569392
-5.90395198,3.58173335,0.81698791,1.32125863,0.53116474,0.42403713,0.00488370,0.75976705,0.01568770,1.09668695
-5.89794897,3.62934106,0.83906475,1.33437038,0.54995624,0.42745920,0.00490158,0.76796181,0.01484717,1.11940195
-5.89194597,3.67670875,0.86160732,1.34663590,0.56907884,0.43166458,0.00496119,0.77511399,0.01401243,1.14356874
-5.88594297,3.72288691,0.88424052,1.35773996,0.58836303,0.43659666,0.00506290,0.78096569,0.01319260,1.16890265
-5.87993997,3.76694126,0.90661197,1.36737270,0.60765498,0.44218621,0.00520623,0.78526884,0.01239584,1.19511197
-5.87393697,3.80799120,0.92840222,1.37524398,0.62682017,0.44835506,0.00538984,0.78779788,0.01162932,1.22190541
-5.86793397,3.84524620,0.94933365,1.38109707,0.64574611,0.45502000,0.00561146,0.78836179,0.01089928,1.24899926
-5.86193097,3.87803810,0.96917750,1.38472096,0.66434389,0.46209671,0.00586789,0.78681460,0.01021108,1.27612394
-5.85592796,3.90584768,0.98775873,1.38596077,0.68254853,0.46950341,0.00615501,0.78306386,0.00956928,1.30302970
-5.84992496,3.92832410,1.00495843,1.38472547,0.70031812,0.47716424,0.00646788,0.77707652,0.00897774,1.32949128
-5.84392196,3.94529646,1.02071368,1.38099294,0.71763181,0.48501206,0.00680073,0.76888196,0.00843967,1.35531147
-5.83791896,3.95677679,1.03501476,1.37481179,0.73448669,0.49299058,0.00714712,0.75857191,0.00795777,1.38032327
-5.83191596,3.96295465,1.04790006,1.36630024,0.75089390,0.50105579,0.00750005,0.74629735,0.00753421,1.40439095
-5.82591296,3.96418380,1.05944876,1.35564194,0.76687403,0.50917656,0.00785212,0.73226264,0.00717072,1.42740970
-5.81990995,3.96096157,1.06977184,1.34307915,0.78245208,0.51733446,0.00819570,0.71671707,0.00686859,1.44930432
-5.81390695,3.95390249,1.07900193,1.32890358,0.79765243,0.52552279,0.00852310,0.69994455,0.00662864,1.47002665
-5.80790395,3.94370713,1.08728242,1.31344544,0.81249386,0.53374493,0.00882679,0.68225182,0.00645127,1.48955231
-5.80190095,3.93112818,1.09475654,1.29706112,0.82698500,0.54201192,0.00909960,0.66395600,0.00633632,1.50787651
-5.79589795,3.91693501,1.10155692,1.28012013,0.84112046,0.55033971,0.00933492,0.64537199,0.00628311,1.52500946
-5.78989495,3.90187856,1.10779622,1.26299186,0.85487777,0.55874586,0.00952686,0.62680054,0.00629032,1.54097123
-5.78389195,3.88665802,1.11355919,1.24603261,0.86821527,0.56724607,0.00967045,0.60851737,0.00635595,1.55578655
-5.77788894,3.87189056,1.11889658,1.22957339,0.88107108,0.57585066,0.00976175,0.59076397,0.00647728,1.56947952
-5.77188594,3.85808531,1.12382118,1.21390904,0.89336315,0.58456113,0.00979800,0.57374046,0.00665080,1.58206849
-5.76588294,3.84562262,1.12830602,1.19928877,0.90499041,0.59336703,0.00977761,0.55760061,0.00687220,1.59356142
-5.75987994,3.83473900,1.13228487,1.18590865,0.91583480,0.60224328,0.00970029,0.54244929,0.00713640,1.60395173
-5.75387694,3.82551843,1.13565485,1.17390608,0.92576434,0.61114815,0.00956694,0.52834225,0.00743749,1.61321499
-5.74787394,3.81789001,1.13828094,1.16335648,0.93463679,0.62002195,0.00937967,0.51528808,0.00776887,1.62130649
-5.74187094,3.81163191,1.14000220,1.15427215,0.94230400,0.62878662,0.00914167,0.50325214,0.00812327,1.62816000
-5.73586793,3.80638132,1.14063926,1.14660334,0.94861655,0.63734633,0.00885711,0.49216211,0.00849289,1.63368772
-5.72986493,3.80164989,1.14000272,1.14024146,0.95342869,0.64558891,0.00853095,0.48191480,0.00886951,1.63778149
-5.72386193,3.79684390,1.13790207,1.13502422,0.95660322,0.65338837,0.00816879,0.47238374,0.00924467,1.64031537
-5.71785893,3.79128840,1.13415465,1.13074251,0.95801626,0.66060821,0.00777672,0.46342729,0.00960984,1.64114945
-5.71185593,3.78425423,1.12859434,1.12714875,0.95756174,0.66710548,0.00736105,0.45489657,0.00995662,1.64013477
-5.70585293,3.77498686,1.12107954,1.12396642,0.95515543,0.67273547,0.00692820,0.44664322,0.01027691,1.63711930
-5.69984992,3.76273602,1.11150016,1.12090037,0.95073833,0.67735665,0.00648448,0.43852635,0.01056316,1.63195447
-5.69384692,3.74678483,1.09978339,1.11764759,0.94427951,0.68083582,0.00603594,0.43041859,0.01080848,1.62450220
-5.68784392,3.72647740,1.08589796,1.11390798,0.93577812,0.68305311,0.00558824,0.42221097,0.01100690,1.61464193
-5.68184092,3.70124373,1.06985679,1.10939477,0.92526462,0.68390652,0.00514655,0.41381660,0.01115345,1.60227735
-5.67583792,3.67062117,1.05171811,1.10384426,0.91280119,0.68331591,0.00471542,0.40517301,0.01124429,1.58734246
-5.66983492,3.63427144,1.03158476,1.09702444,0.89848125,0.68122616,0.00429879,0.39624318,0.01127684,1.56980659
-5.66383192,3.59199277,1.00960203,1.08874224,0.88242815,0.67760930,0.00389990,0.38701535,0.01124978,1.54967824
-5.65782891,3.54372671,0.98595395,1.07884929,0.86479303,0.67246558,0.00352134,0.37750176,0.01116305,1.52700730
-5.65182591,3.48955961,0.96085832,1.06724579,0.84575194,0.66582345,0.00316501,0.36773636,0.01101788,1.50188580
-5.64582291,3.42971866,0.93456066,1.05388274,0.82550219,0.65773841,0.00283223,0.35777177,0.01081664,1.47444689
-5.63981991,3.36456309,0.90732728,1.03876217,0.80425822,0.64829089,0.00252372,0.34767571,0.01056280,1.44486235
-5.63381691,3.29457097,0.87943785,1.02193577,0.78224681,0.63758328,0.00223972,0.33752695,0.01026077,1.41333858
-5.62781391,3.22032235,0.85117766,1.00350191,0.75970210,0.62573623,0.00198003,0.32741117,0.00991574,1.38011142
-5.62181091,3.14247964,0.82282988,0.98360123,0.73686033,0.61288456,0.00174408,0.31741680,0.00953353,1.34544004
-5.61580790,3.06176622,0.79466813,0.96241121,0.71395446,0.59917291,0.00153101,0.30763109,0.00912039,1.30960021
