energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.67906427,0.76996375,0.51353560,0.00377961,0.54244766,0.98015840,1.50812105,0.00242711,1.27753271
-5.99399700,3.75975448,0.80144008,0.51709008,0.00373563,0.55207605,1.02310105,1.53335710,0.00234290,1.31345102
-5.98799400,3.83931415,0.83533845,0.52080965,0.00372527,0.56036124,1.06914471,1.55548183,0.00227340,1.35147567
-5.98199100,3.91678505,0.87126086,0.52461592,0.00374741,0.56720720,1.11780629,1.57423061,0.00221802,1.39115632
-5.97598799,3.99108579,0.90873172,0.52841254,0.00380032,0.57252108,1.16850292,1.58933603,0.00217598,1.43195252
-5.96998499,4.06102724,0.94720429,0.53208648,0.00388162,0.57621493,1.22055945,1.60053234,0.00214640,1.47324059
-5.96398199,4.12533623,0.98607024,0.53551036,0.00398835,0.57820802,1.27322026,1.60756210,0.00212831,1.51432457
-5.95797899,4.18268762,1.02467206,0.53854594,0.00411700,0.57842991,1.32566538,1.61018489,0.00212067,1.55445133
-5.95197599,4.23174378,1.06231840,0.54104861,0.00426362,0.57682396,1.37703065,1.60818789,0.00212245,1.59282964
-5.94597299,4.27120059,1.09830171,0.54287286,0.00442385,0.57335129,1.42643154,1.60139771,0.00213265,1.62865264
-5.93996998,4.29983791,1.13191793,0.54387850,0.00459304,0.56799481,1.47298987,1.58969314,0.00215037,1.66112307
-5.93396698,4.31657255,1.16248747,0.54393739,0.00476633,0.56076323,1.51586267,1.57301774,0.00217484,1.68948041
-5.92796398,4.32051122,1.18937671,0.54294028,0.00493882,0.55169469,1.55427193,1.55139184,0.00220547,1.71302871
-5.92196098,4.31100078,1.21201915,0.54080363,0.00510562,0.54085976,1.58753431,1.52492288,0.00224190,1.73116399
-5.91595798,4.28767317,1.22993542,0.53747574,0.00526202,0.52836366,1.61508926,1.49381353,0.00228401,1.74339989
-5.90995498,4.25048249,1.24275106,0.53294211,0.00540364,0.51434746,1.63652453,1.45836689,0.00233201,1.74939030
-5.90395198,4.19973185,1.25021139,0.52722950,0.00552651,0.49898801,1.65159766,1.41898813,0.00238635,1.74894788
-5.89794897,4.13608832,1.25219263,0.52040852,0.00562717,0.48249673,1.66025244,1.37618241,0.00244785,1.74205725
-5.89194597,4.06058455,1.24870857,0.51259444,0.00570284,0.46511703,1.66262929,1.33054882,0.00251759,1.72888217
-5.88594297,3.97460637,1.23991257,0.50394619,0.00575142,0.44712047,1.65906891,1.28277029,0.00259693,1.70976609
-5.87993997,3.87986620,1.22609438,0.49466333,0.00577161,0.42880176,1.65010866,1.23359994,0.00268748,1.68522576
-5.87393697,3.77836295,1.20767201,0.48498118,0.00576288,0.41047275,1.63647151,1.18384407,0.00279103,1.65593795
-5.86793397,3.67232962,1.18517867,0.47516418,0.00572550,0.39245551,1.61904763,1.13434246,0.00290950,1.62271971
-5.86193097,3.56417018,1.15924541,0.46549767,0.00566052,0.37507487,1.59886915,1.08594671,0.00304485,1.58650268
-5.85592796,3.45638823,1.13057989,0.45627844,0.00556968,0.35865050,1.57707869,1.03949734,0.00319900,1.54830259
-5.84992496,3.35150991,1.09994237,0.44780443,0.00545537,0.34348888,1.55489282,0.99580055,0.00337376,1.50918495
-5.84392196,3.25200413,1.06811963,0.44036392,0.00532048,0.32987541,1.53356153,0.95560550,0.00357070,1.47022841
-5.83791896,3.16020308,1.03589804,0.43422477,0.00516832,0.31806690,1.51432538,0.91958288,0.00379108,1.43248726
-5.83191596,3.07822628,1.00403687,0.42962408,0.00500244,0.30828461,1.49837174,0.88830572,0.00403577,1.39695462
-5.82591296,3.00791096,0.97324291,0.42675880,0.00482652,0.30070821,1.48679197,0.86223288,0.00430518,1.36452783
-5.81990995,2.95075187,0.94414743,0.42577774,0.00464426,0.29547072,1.48054116,0.84169609,0.00459917,1.33597750
-5.81390695,2.90785263,0.91728645,0.42677519,0.00445917,0.29265469,1.48040210,0.82689089,0.00491706,1.31192157
-5.80790395,2.87989088,0.89308519,0.42978678,0.00427453,0.29228971,1.48695514,0.81787175,0.00525757,1.29280541
-5.80190095,2.86709875,0.87184714,0.43478750,0.00409323,0.29435142,1.50055511,0.81455179,0.00561883,1.27888883
-5.79589795,2.86925935,0.85374827,0.44169221,0.00391774,0.29876208,1.52131664,0.81670682,0.00599844,1.27024059
-5.78989495,2.88571986,0.83883658,0.45035866,0.00375003,0.30539265,1.54910851,0.82398402,0.00639349,1.26674061
-5.78389195,2.91542071,0.82703688,0.46059286,0.00359153,0.31406650,1.58355761,0.83591456,0.00680065,1.26808972
-5.77788894,2.95693999,0.81816042,0.47215668,0.00344315,0.32456469,1.62406264,0.85193017,0.00721629,1.27382665
-5.77188594,3.00855127,0.81191914,0.48477744,0.00330530,0.33663251,1.66981706,0.87138279,0.00763653,1.28335143
-5.76588294,3.06829296,0.80794355,0.49815895,0.00317792,0.34998740,1.71984090,0.89356690,0.00805746,1.29595419
-5.75987994,3.13404623,0.80580360,0.51199374,0.00306055,0.36432787,1.77302004,0.91774363,0.00847516,1.31084815
-5.75387694,3.20361861,0.80503148,0.52597578,0.00295240,0.37934309,1.82815176,0.94316581,0.00888593,1.32720533
-5.74787394,3.27482983,0.80514540,0.53981315,0.00285244,0.39472309,1.88399469,0.96910316,0.00928635,1.34419332
-5.74187094,3.34559640,0.80567312,0.55324020,0.00275948,0.41016891,1.93932126,0.99486655,0.00967339,1.36101169
-5.73586793,3.41401154,0.80617446,0.56602842,0.00267227,0.42540263,1.99297050,1.01983061,0.01004452,1.37692629
-5.72986493,3.47841695,0.80626152,0.57799576,0.00258957,0.44017669,2.04389900,1.04345367,0.01039775,1.39129993
-5.72386193,3.53746361,0.80561597,0.58901362,0.00251023,0.45428221,2.09122781,1.06529436,0.01073166,1.40361823
-5.71785893,3.59015890,0.80400260,0.59901145,0.00243325,0.46755606,2.13428327,1.08502422,0.01104542,1.41350938
-5.71185593,3.63589817,0.80127864,0.60797854,0.00235781,0.47988616,2.17262991,1.10243584,0.01133874,1.42075701
-5.70585293,3.67447941,0.79739841,0.61596289,0.00228332,0.49121501,2.20609380,1.11744622,0.01161180,1.42530573
-5.69984992,3.70610044,0.79241343,0.62306724,0.00220943,0.50154114,2.23477530,1.13009528,0.01186519,1.42725906
-5.69384692,3.73133896,0.78646772,0.62944243,0.00213602,0.51091844,2.25905033,1.14053957,0.01209980,1.42686994
-5.68784392,3.75111632,0.77978893,0.63527827,0.00206317,0.51945333,2.27955995,1.14904157,0.01231666,1.42452435
-5.68184092,3.76664682,0.77267558,0.64079248,0.00199117,0.52729991,2.29718846,1.15595505,0.01251688,1.42071890
-5.67583792,3.77937480,0.76548118,0.64621818,0.00192046,0.53465326,2.31303065,1.16170708,0.01270149,1.41603338
-5.66983492,3.79090257,0.75859586,0.65179044,0.00185159,0.54174109,2.32834946,1.16677764,0.01287130,1.41109972
-5.66383192,3.80291220,0.75242660,0.65773267,0.00178516,0.54881411,2.34452549,1.17167754,0.01302690,1.40656876
-5.65782891,3.81708489,0.74737678,0.66424343,0.00172182,0.55613552,2.36300040,1.17692573,0.01316847,1.40307644
-5.65182591,3.83502129,0.74382610,0.67148435,0.00166216,0.56396991,2.38521637,1.18302690,0.01329587,1.40121091
-5.64582291,3.85816643,0.74211174,0.67956972,0.00160674,0.57257215,2.41255397,1.19045023,0.01340854,1.40148220
-5.63981991,3.88774224,0.74251160,0.68855826,0.00155600,0.58217661,2.44627104,1.19961026,0.01350560,1.40429571
-5.63381691,3.92469069,0.74523032,0.69844760,0.00151030,0.59298709,2.48744496,1.21085036,0.01358586,1.40993079
-5.62781391,3.96962962,0.75038868,0.70917159,0.00146984,0.60516797,2.53692078,1.22442974,0.01364798,1.41852531
-5.62181091,4.02282327,0.75801681,0.72060067,0.00143471,0.61883675,2.59526747,1.24051405,0.01369055,1.43006694
-5.61580790,4.08416823,0.76805153,0.73254538,0.00140487,0.63405840,2.66274403,1.25917009,0.01371225,1.44439139
-5.60980490,4.15319551,0.78033776,0.74476274,0.00138019,0.65084167,2.73927721,1.28036468,0.01371200,1.46118779
-5.60380190,4.22908808,0.79463402,0.75696530,0.00136042,0.66913746,2.82445186,1.30396749,0.01368912,1.48001072
-5.59779890,4.31071333,0.81062173,0.76883240,0.00134527,0.68883938,2.91751460,1.32975779,0.01364346,1.50029851
-5.59179590,4.39666848,0.82791781,0.78002325,0.00133442,0.70978645,3.01739093,1.35743452,0.01357556,1.52139685
-5.58579290,4.48533718,0.84609005,0.79019104,0.00132752,0.73176787,3.12271534,1.38662948,0.01348672,1.54258656
-5.57978989,4.57495464,0.86467462,0.79899770,0.00132429,0.75452961,3.23187355,1.41692273,0.01337912,1.56311442
-5.57378689,4.66367856,0.88319487,0.80612833,0.00132447,0.77778272,3.34305534,1.44785981,0.01325581,1.58222555
-5.56778389,4.74966282,0.90118060,0.81130502,0.00132792,0.80121292,3.45431608,1.47896991,0.01312074,1.59919592
-5.56178089,4.83113073,0.91818703,0.81429905,0.00133456,0.82449112,3.56364463,1.50978425,0.01297873,1.61336366
-5.55577789,4.90644507,0.93381268,0.81494126,0.00134447,0.84728462,3.66903497,1.53985401,0.01283533,1.62415767
-5.54977489,4.97417165,0.94771523,0.81312993,0.00135783,0.86926835,3.76855864,1.56876708,0.01269678,1.63112235
-5.54377189,5.03313423,0.95962494,0.80883594,0.00137492,0.89013578,3.86043507,1.59616288,0.01256977,1.63393754
-5.53776888,5.08245814,0.96935486,0.80210496,0.00139616,0.90960921,3.94309691,1.62174478,0.01246132,1.63243260
-5.53176588,5.12160128,0.97680756,0.79305657,0.00142204,0.92744869,4.01524751,1.64528952,0.01237851,1.62659433
-5.52576288,5.15037096,0.98197803,0.78188045,0.00145313,0.94345958,4.07590806,1.66665342,0.01232830,1.61656824
-5.51975988,5.16892628,0.98495277,0.76882982,0.00149001,0.95749811,4.12445249,1.68577489,0.01231723,1.60265338
-5.51375688,5.17776592,0.98590497,0.75421242,0.00153327,0.96947489,4.16062837,1.70267347,0.01235124,1.58529094
-5.50775388,5.17770201,0.98508631,0.73837944,0.00158346,0.97935619,4.18456300,1.71744516,0.01243539,1.56504711
-5.50175088,5.16982147,0.98281545,0.72171304,0.00164101,0.98716290,4.19675430,1.73025449,0.01257364,1.54259125
-5.49574787,5.15543645,0.97946407,0.70461285,0.00170626,0.99296726,4.19804699,1.74132365,0.01276868,1.51867008
-5.48974487,5.13602632,0.97544081,0.68748215,0.00177932,0.99688755,4.18959490,1.75091909,0.01302173,1.49407926
-5.48374187,5.11317360,0.97117403,0.67071425,0.00186014,0.99908100,4.17281121,1.75933637,0.01333244,1.46963350
-5.47773887,5.08849690,0.96709403,0.65467975,0.00194840,0.99973520,4.14930877,1.76688390,0.01369880,1.44613639
-5.47173587,5.06358356,0.96361550,0.63971494,0.00204351,0.99905859,4.12083292,1.77386635,0.01411707,1.42435129
-5.46573287,5.03992514,0.96112099,0.62611204,0.00214462,0.99727030,4.08919000,1.78056855,0.01458187,1.40497438
-5.45972986,5.01885819,0.95994584,0.61411138,0.00225057,0.99459000,4.05617432,1.78724052,0.01508620,1.38861083
-5.45372686,5.00151286,0.96036547,0.60389582,0.00235994,0.99122815,4.02349686,1.79408453,0.01562160,1.37575488
-5.44772386,4.98877122,0.96258508,0.59558754,0.00247106,0.98737711,3.99271852,1.80124453,0.01617834,1.36677462
-5.44172086,4.98123678,0.96673237,0.58924716,0.00258204,0.98320353,3.96519068,1.80879864,0.01674563,1.36190161
-5.43571786,4.97921607,0.97285327,0.58487501,0.00269079,0.97884231,3.94200520,1.81675477,0.01731194,1.36122575
