energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.72824890,0.00485125,1.58067139,0.08959055,1.97531333,3.24391047,1.37896780
-5.99399700,5.74754124,0.00490460,1.58032782,0.09120075,1.98776843,3.25436250,1.38385680
-5.98799400,5.76708293,0.00495023,1.57934134,0.09283964,2.00080328,3.26333339,1.38839693
-5.98199100,5.78673170,0.00498865,1.57768886,0.09447887,2.01439404,3.27075336,1.39261222
-5.97598799,5.80647620,0.00502056,1.57539647,0.09609115,2.02854698,3.27663518,1.39655957
-5.96998499,5.82641153,0.00504683,1.57253202,0.09765066,2.04328982,3.28105969,1.40031780
-5.96398199,5.84671104,0.00506849,1.56919688,0.09913359,2.05866135,3.28415964,1.40397619
-5.95797899,5.86759608,0.00508661,1.56551740,0.10051854,2.07470015,3.28610292,1.40762338
-5.95197599,5.88930508,0.00510231,1.56163646,0.10178685,2.09143301,3.28707610,1.41133701
-5.94597299,5.91206387,0.00511669,1.55770555,0.10292290,2.10886372,3.28726919,1.41517468
-5.93996998,5.93605830,0.00513077,1.55387742,0.10391434,2.12696290,3.28686233,1.41916657
-5.93396698,5.96141051,0.00514548,1.55029973,0.10475216,2.14565951,3.28601479,1.42331001
-5.92796398,5.98815988,0.00516159,1.54710962,0.10543080,2.16483460,3.28485693,1.42756623
-5.92196098,6.01624916,0.00517970,1.54442932,0.10594807,2.18431757,3.28348490,1.43185935
-5.91595798,6.04551649,0.00520025,1.54236287,0.10630504,2.20388547,3.28195839,1.43607751
-5.90995498,6.07569324,0.00522345,1.54099373,0.10650589,2.22326523,3.28030099,1.44007619
-5.90395198,6.10640787,0.00524933,1.54038336,0.10655758,2.24213907,3.27850298,1.44368336
-5.89794897,6.13719520,0.00527773,1.54057056,0.10646963,2.26015264,3.27652613,1.44670632
-5.89194597,6.16751085,0.00530830,1.54157158,0.10625368,2.27692593,3.27430981,1.44893975
-5.88594297,6.19674991,0.00534054,1.54338080,0.10592323,2.29206617,3.27177821,1.45017480
-5.87993997,6.22426911,0.00537382,1.54597197,0.10549313,2.30518243,3.26884783,1.45020858
-5.87393697,6.24941137,0.00540740,1.54929983,0.10497929,2.31590112,3.26543488,1.44885386
-5.86793397,6.27153177,0.00544049,1.55330220,0.10439824,2.32388173,3.26146222,1.44594835
-5.86193097,6.29002370,0.00547225,1.55790233,0.10376679,2.32883211,3.25686534,1.44136332
-5.85592796,6.30434417,0.00550184,1.56301160,0.10310172,2.33052248,3.25159718,1.43501107
-5.84992496,6.31403719,0.00552846,1.56853237,0.10241941,2.32879756,3.24563171,1.42685109
-5.84392196,6.31875421,0.00555135,1.57436122,0.10173562,2.32358620,3.23896605,1.41689438
-5.83791896,6.31827087,0.00556987,1.58039217,0.10106520,2.31490795,3.23162136,1.40520608
-5.83191596,6.31249933,0.00558346,1.58652025,0.10042193,2.30287629,3.22364247,1.39190599
-5.82591296,6.30149566,0.00559171,1.59264495,0.09981824,2.28769831,3.21509647,1.37716714
-5.81990995,6.28546209,0.00559435,1.59867377,0.09926512,2.26967064,3.20607059,1.36121239
-5.81390695,6.26474394,0.00559122,1.60452568,0.09877193,2.24917202,3.19666940,1.34430916
