energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,3.09175718,0.02055323,0.00000000,0.05336952,0.57895175,0.95938514,0.68651301,0.01515991,1.60127588
-5.99399700,3.12816796,0.02066219,0.00000000,0.05177942,0.58279416,0.96179781,0.71040853,0.01500656,1.61684706
-5.98799400,3.15875008,0.02072474,0.00000000,0.05011029,0.58414259,0.96139078,0.73398653,0.01485953,1.63018069
-5.98199100,3.18404894,0.02074465,0.00000000,0.04838621,0.58306755,0.95844791,0.75728912,0.01472210,1.64164524
-5.97598799,3.20469794,0.02072656,0.00000000,0.04663009,0.57968084,0.95330645,0.78036703,0.01459726,1.65164102
-5.96998499,3.22138449,0.02067580,0.00000000,0.04486320,0.57413021,0.94634129,0.80327198,0.01448764,1.66058019
-5.96398199,3.23481398,0.02059808,0.00000000,0.04310488,0.56659321,0.93794808,0.82604865,0.01439550,1.66886605
-5.95797899,3.24567338,0.02049919,0.00000000,0.04137217,0.55727025,0.92852592,0.84872668,0.01432263,1.67687257
-5.95197599,3.25459602,0.02038479,0.00000000,0.03967973,0.54637747,0.91846043,0.87131294,0.01427029,1.68492493
-5.94597299,3.26212931,0.02026007,0.00000000,0.03803971,0.53413958,0.90810805,0.89378473,0.01423918,1.69328210
-5.93996998,3.26870709,0.02012955,0.00000000,0.03646177,0.52078296,0.89778216,0.91608428,0.01422935,1.70212235
-5.93396698,3.27462791,0.01999685,0.00000000,0.03495316,0.50652943,0.88774183,0.93811490,0.01424016,1.71153237
-5.92796398,3.28004061,0.01986457,0.00000000,0.03351886,0.49159089,0.87818360,0.95973919,0.01427030,1.72150073
-5.92196098,3.28493815,0.01973419,0.00000000,0.03216176,0.47616496,0.86923676,0.98077964,0.01431777,1.73191617
-5.91595798,3.28916005,0.01960599,0.00000000,0.03088291,0.46043191,0.86096231,1.00102166,0.01437991,1.74257088
-5.90995498,3.29240382,0.01947918,0.00000000,0.02968171,0.44455271,0.85335555,1.02021926,0.01445349,1.75316892
-5.90395198,3.29424497,0.01935192,0.00000000,0.02855622,0.42866852,0.84635242,1.03810314,0.01453480,1.76333957
-5.89794897,3.29416496,0.01922153,0.00000000,0.02750332,0.41290126,0.83983896,1.05439115,0.01461982,1.77265510
-5.89194597,3.29158592,0.01908468,0.00000000,0.02651900,0.39735531,0.83366364,1.06880069,0.01470432,1.78065237
-5.88594297,3.28591072,0.01893768,0.00000000,0.02559854,0.38212010,0.82765189,1.08106254,0.01478413,1.78685744
-5.87993997,3.27656647,0.01877674,0.00000000,0.02473671,0.36727336,0.82162214,1.09093566,0.01485530,1.79081194
-5.87393697,3.26304961,0.01859830,0.00000000,0.02392792,0.35288481,0.81540248,1.09822220,0.01491432,1.79210031
-5.86793397,3.24497008,0.01839930,0.00000000,0.02316642,0.33902002,0.80884730,1.10278208,0.01495831,1.79037636
-5.86193097,3.22209266,0.01817751,0.00000000,0.02244638,0.32574413,0.80185285,1.10454629,0.01498524,1.78538820
-5.85592796,3.19437306,0.01793173,0.00000000,0.02176208,0.31312518,0.79437120,1.10352823,0.01499405,1.77699990
-5.84992496,3.16198674,0.01766205,0.00000000,0.02110801,0.30123693,0.78642156,1.09983246,0.01498475,1.76520907
-5.84392196,3.12534887,0.01736994,0.00000000,0.02047898,0.29016074,0.77809866,1.09366013,0.01495853,1.75015923
-5.83791896,3.08512379,0.01705838,0.00000000,0.01987022,0.27998662,0.76957740,1.08531070,0.01491769,1.73214608
-5.83191596,3.04222314,0.01673185,0.00000000,0.01927753,0.27081315,0.76111369,1.07517956,0.01486564,1.71161730
-5.82591296,2.99779210,0.01639624,0.00000000,0.01869732,0.26274632,0.75304113,1.06375148,0.01480674,1.68916551
-5.81990995,2.95318382,0.01605875,0.00000000,0.01812672,0.25589732,0.74576361,1.05158972,0.01474614,1.66551445
-5.81390695,2.90992256,0.01572764,0.00000000,0.01756359,0.25037931,0.73974402,1.03932126,0.01468951,1.64149868
-5.80790395,2.86965674,0.01541199,0.00000000,0.01700663,0.24630327,0.73548931,1.02761830,0.01464278,1.61803756
-5.80190095,2.83410339,0.01512136,0.00000000,0.01645528,0.24377323,0.73353260,1.01717686,0.01461185,1.59610420
-5.79589795,2.80498609,0.01486544,0.00000000,0.01590977,0.24288098,0.73441269,1.00869293,0.01460223,1.57669085
-5.78989495,2.78396872,0.01465368,0.00000000,0.01537102,0.24370050,0.73865205,1.00283736,0.01461873,1.56077168
-5.78389195,2.77258771,0.01449491,0.00000000,0.01484054,0.24628253,0.74673383,1.00023010,0.01466517,1.54926473
-5.77788894,2.77218548,0.01439696,0.00000000,0.01432031,0.25064935,0.75907900,1.00141511,0.01474409,1.54299447
-5.77188594,2.78384791,0.01436632,0.00000000,0.01381266,0.25679019,0.77602440,1.00683680,0.01485655,1.54265635
-5.76588294,2.80834845,0.01440785,0.00000000,0.01332004,0.26465747,0.79780267,1.01681896,0.01500198,1.54878516
-5.75987994,2.84610149,0.01452448,0.00000000,0.01284492,0.27416414,0.82452492,1.03154730,0.01517806,1.56172814
-5.75387694,2.89712706,0.01471708,0.00000000,0.01238954,0.28518216,0.85616692,1.05105622,0.01538078,1.58162439
-5.74787394,2.96102858,0.01498430,0.00000000,0.01195582,0.29754256,0.89255951,1.07522052,0.01560445,1.60839124
-5.74187094,3.03698515,0.01532255,0.00000000,0.01154518,0.31103681,0.93338372,1.10375271,0.01584191,1.64171837
-5.73586793,3.12375879,0.01572602,0.00000000,0.01115845,0.32541983,0.97817109,1.13620589,0.01608474,1.68107004
-5.72986493,3.21971707,0.01618677,0.00000000,0.01079574,0.34041446,1.02630935,1.17198257,0.01632357,1.72569544
-5.72386193,3.32287054,0.01669497,0.00000000,0.01045650,0.35571732,1.07705341,1.21034909,0.01654839,1.77464693
-5.71785893,3.43092386,0.01723909,0.00000000,0.01013943,0.37100590,1.12954160,1.25045533,0.01674897,1.82680559
-5.71185593,3.54133920,0.01780626,0.00000000,0.00984257,0.38594671,1.18281665,1.29135904,0.01691520,1.88091317
-5.70585293,3.65140970,0.01838258,0.00000000,0.00956339,0.40020421,1.23585090,1.33205411,0.01703757,1.93560945
-5.69984992,3.75834050,0.01895359,0.00000000,0.00929889,0.41345019,1.28757482,1.37150171,0.01710744,1.98947356
-5.69384692,3.85933452,0.01950463,0.00000000,0.00904576,0.42537336,1.33690814,1.40866323,0.01711748,2.04106793
-5.68784392,3.95167995,0.02002131,0.00000000,0.00880053,0.43568863,1.38279220,1.44253396,0.01706189,2.08898321
-5.68184092,4.03283635,0.02048994,0.00000000,0.00855975,0.44414600,1.42422265,1.47217610,0.01693665,2.13188263
-5.67583792,4.10051614,0.02089794,0.00000000,0.00832016,0.45053847,1.46028115,1.49675005,0.01673970,2.16854417
-5.66983492,4.15275870,0.02123423,0.00000000,0.00807887,0.45470883,1.49016484,1.51554284,0.01647099,2.19789921
