energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.61527141,0.63939493,0.00000000,0.01375207,0.49768085,0.04310883,1.19025082,0.75986043,0.54380803
-5.99399700,2.52077466,0.60275818,0.00000000,0.01279681,0.49877290,0.04004311,1.12461061,0.73122837,0.53775003
-5.98799400,2.42003320,0.56618247,0.00000000,0.01182422,0.49694108,0.03693663,1.05829739,0.70216743,0.52904908
-5.98199100,2.31449494,0.53024606,0.00000000,0.01084882,0.49217420,0.03383504,0.99231980,0.67308658,0.51780831
-5.97598799,2.20560401,0.49547127,0.00000000,0.00988409,0.48452363,0.03078042,0.92760618,0.64436662,0.50417639
-5.96998499,2.09477356,0.46231349,0.00000000,0.00894215,0.47410272,0.02781042,0.86498657,0.61635351,0.48834475
-5.96398199,1.98336202,0.43115315,0.00000000,0.00803357,0.46108430,0.02495775,0.80517935,0.58935319,0.47054359
-5.95797899,1.87265311,0.40229086,0.00000000,0.00716728,0.44569626,0.02224981,0.74878296,0.56362798,0.45103691
-5.95197599,1.76384004,0.37594581,0.00000000,0.00635045,0.42821550,0.01970858,0.69627244,0.53939469,0.43011659
-5.94597299,1.65801405,0.35225711,0.00000000,0.00558853,0.40896047,0.01735073,0.64800071,0.51682455,0.40809592
-5.93996998,1.55615718,0.33128810,0.00000000,0.00488533,0.38828269,0.01518784,0.60420419,0.49604470,0.38530268
-5.93396698,1.45913935,0.31303307,0.00000000,0.00424309,0.36655760,0.01322685,0.56501208,0.47714150,0.36207202
-5.92796398,1.36771927,0.29742607,0.00000000,0.00366266,0.34417518,0.01147054,0.53045877,0.46016520,0.33873959
-5.92196098,1.28254892,0.28435139,0.00000000,0.00314369,0.32153064,0.00991813,0.50049851,0.44513597,0.31563494
-5.91595798,1.20418103,0.27365501,0.00000000,0.00268479,0.29901569,0.00856593,0.47502158,0.43205089,0.29307562
-5.90995498,1.13307896,0.26515664,0.00000000,0.00228377,0.27701056,0.00740795,0.45387115,0.42089178,0.27136195
-5.90395198,1.06962816,0.25866177,0.00000000,0.00193782,0.25587712,0.00643653,0.43685998,0.41163325,0.25077285
