energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.54298911,0.01043175,0.01178687,0.00636491,0.00000000,0.13859229,0.07024145,0.37125625,0.00000000
-5.99399700,0.58541850,0.01186104,0.01280630,0.00683126,0.00000000,0.14533987,0.07650699,0.40043339,0.00000000
-5.98799400,0.63302482,0.01342063,0.01404509,0.00735403,0.00000000,0.15359665,0.08343327,0.43303467,0.00000000
-5.98199100,0.68582812,0.01510858,0.01551362,0.00793270,0.00000000,0.16338466,0.09102592,0.46906103,0.00000000
-5.97598799,0.74375060,0.01692012,0.01721895,0.00856541,0.00000000,0.17469508,0.09927860,0.50844724,0.00000000
-5.96998499,0.80660345,0.01884736,0.01916412,0.00924888,0.00000000,0.18748520,0.10817115,0.55105341,0.00000000
-5.96398199,0.87407627,0.02087905,0.02134750,0.00997834,0.00000000,0.20167604,0.11766787,0.59665818,0.00000000
-5.95797899,0.94572959,0.02300046,0.02376228,0.01074751,0.00000000,0.21715108,0.12771622,0.64495407,0.00000000
-5.95197599,1.02099148,0.02519337,0.02639608,0.01154866,0.00000000,0.23375615,0.13824598,0.69554563,0.00000000
-5.94597299,1.09915891,0.02743623,0.02923069,0.01237266,0.00000000,0.25130053,0.14916901,0.74795069,0.00000000
-5.93996998,1.17940446,0.02970443,0.03224209,0.01320921,0.00000000,0.26955960,0.16037969,0.80160527,0.00000000
-5.93396698,1.26078883,0.03197077,0.03540058,0.01404702,0.00000000,0.28827875,0.17175614,0.85587231,0.00000000
-5.92796398,1.34227923,0.03420601,0.03867131,0.01487413,0.00000000,0.30717890,0.18316226,0.91005437,0.00000000
-5.92196098,1.42277363,0.03637966,0.04201490,0.01567820,0.00000000,0.32596323,0.19445061,0.96341005,0.00000000
-5.91595798,1.50113034,0.03846082,0.04538845,0.01644695,0.00000000,0.34432514,0.20546604,1.01517408,0.00000000
-5.90995498,1.57620210,0.04041916,0.04874672,0.01716852,0.00000000,0.36195721,0.21605005,1.06458015,0.00000000
-5.90395198,1.64687365,0.04222591,0.05204350,0.01783193,0.00000000,0.37856076,0.22604570,1.11088611,0.00000000
-5.89794897,1.71210121,0.04385491,0.05523317,0.01842747,0.00000000,0.39385571,0.23530292,1.15340023,0.00000000
-5.89194597,1.77095229,0.04528362,0.05827233,0.01894714,0.00000000,0.40759038,0.24368394,1.19150758,0.00000000
-5.88594297,1.82264392,0.04649408,0.06112150,0.01938498,0.00000000,0.41955070,0.25106868,1.22469529,0.00000000
-5.87993997,1.86657731,0.04747363,0.06374668,0.01973737,0.00000000,0.42956845,0.25735978,1.25257524,0.00000000
-5.87393697,1.90236720,0.04821565,0.06612088,0.02000325,0.00000000,0.43752810,0.26248695,1.27490314,0.00000000
-5.86793397,1.92986384,0.04871989,0.06822532,0.02018426,0.00000000,0.44337184,0.26641047,1.29159267,0.00000000
-5.86193097,1.94916639,0.04899268,0.07005046,0.02028473,0.00000000,0.44710255,0.26912365,1.30272380,0.00000000
-5.85592796,1.96062631,0.04904686,0.07159655,0.02031162,0.00000000,0.44878437,0.27065389,1.30854445,0.00000000
-5.84992496,1.96484022,0.04890141,0.07287382,0.02027432,0.00000000,0.44854088,0.27106242,1.30946514,0.00000000
-5.84392196,1.96263181,0.04858083,0.07390227,0.02018431,0.00000000,0.44655076,0.27044255,1.30604646,0.00000000
-5.83791896,1.95502334,0.04811424,0.07471091,0.02005477,0.00000000,0.44304111,0.26891647,1.29897964,0.00000000
-5.83191596,1.94319742,0.04753435,0.07533665,0.01990009,0.00000000,0.43827866,0.26663071,1.28906079,0.00000000
-5.82591296,1.92845066,0.04687616,0.07582271,0.01973528,0.00000000,0.43255918,0.26375048,1.27715987,0.00000000
-5.81990995,1.91214090,0.04617559,0.07621674,0.01957541,0.00000000,0.42619553,0.26045298,1.26418557,0.00000000
-5.81390695,1.89563038,0.04546804,0.07656863,0.01943491,0.00000000,0.41950493,0.25692015,1.25104761,0.00000000
-5.80790395,1.88022738,0.04478695,0.07692820,0.01932705,0.00000000,0.41279589,0.25333111,1.23861822,0.00000000
-5.80190095,1.86712895,0.04416243,0.07734277,0.01926326,0.00000000,0.40635557,0.24985453,1.22769448,0.00000000
-5.79589795,1.85736755,0.04362003,0.07785482,0.01925269,0.00000000,0.40043796,0.24664158,1.21896336,0.00000000
-5.78989495,1.85176394,0.04317971,0.07849981,0.01930173,0.00000000,0.39525352,0.24381947,1.21297105,0.00000000
-5.78389195,1.85088882,0.04285499,0.07930428,0.01941373,0.00000000,0.39096077,0.24148609,1.21009813,0.00000000
-5.77788894,1.85503500,0.04265246,0.08028429,0.01958875,0.00000000,0.38766018,0.23970604,1.21054177,0.00000000
-5.77188594,1.86420150,0.04257153,0.08144436,0.01982355,0.00000000,0.38539060,0.23850798,1.21430581,0.00000000
-5.76588294,1.87809047,0.04260452,0.08277687,0.02011162,0.00000000,0.38412848,0.23788379,1.22119926,0.00000000
-5.75987994,1.89611702,0.04273704,0.08426206,0.02044342,0.00000000,0.38378974,0.23778925,1.23084339,0.00000000
-5.75387694,1.91743173,0.04294870,0.08586850,0.02080670,0.00000000,0.38423439,0.23814636,1.24268689,0.00000000
-5.74787394,1.94095463,0.04321398,0.08755416,0.02118699,0.00000000,0.38527344,0.23884718,1.25602867,0.00000000
-5.74187094,1.96541920,0.04350343,0.08926794,0.02156809,0.00000000,0.38667787,0.23975893,1.27004698,0.00000000
-5.73586793,1.98942431,0.04378494,0.09095161,0.02193276,0.00000000,0.38818922,0.24073007,1.28383369,0.00000000
-5.72986493,2.01149168,0.04402514,0.09254205,0.02226334,0.00000000,0.38953122,0.24159721,1.29643197,0.00000000
-5.72386193,2.03012615,0.04419083,0.09397377,0.02254242,0.00000000,0.39042200,0.24219234,1.30687574,0.00000000
-5.71785893,2.04387623,0.04425035,0.09518150,0.02275355,0.00000000,0.39058624,0.24235015,1.31422902,0.00000000
-5.71185593,2.05139191,0.04417490,0.09610274,0.02288182,0.00000000,0.38976669,0.24191504,1.31762349,0.00000000
-5.70585293,2.05147752,0.04393964,0.09668028,0.02291441,0.00000000,0.38773469,0.24074761,1.31629250,0.00000000
-5.69984992,2.04313718,0.04352468,0.09686440,0.02284110,0.00000000,0.38429909,0.23873019,1.30960030,0.00000000
-5.69384692,2.02561118,0.04291574,0.09661479,0.02265455,0.00000000,0.37931338,0.23577137,1.29706512,0.00000000
-5.68784392,1.99840195,0.04210463,0.09590207,0.02235058,0.00000000,0.37268064,0.23180924,1.27837545,0.00000000
