energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,1.19878703,0.21886775,0.78741791,0.02581296,0.00733330,0.23924546,0.30796528,0.00000000
-5.99399700,1.19780366,0.22481954,0.76294017,0.02761724,0.00731249,0.26031484,0.32268998,0.00000000
-5.98799400,1.20278749,0.23155293,0.74338607,0.02937560,0.00738529,0.28236236,0.33820246,0.00000000
-5.98199100,1.21334333,0.23897536,0.72867071,0.03106172,0.00754370,0.30512614,0.35429752,0.00000000
-5.97598799,1.22901183,0.24698434,0.71865470,0.03264875,0.00778028,0.32832319,0.37076282,0.00000000
-5.96998499,1.24929105,0.25547214,0.71315528,0.03411001,0.00808808,0.35165731,0.38738649,0.00000000
-5.96398199,1.27365983,0.26433083,0.71195870,0.03541970,0.00846063,0.37482795,0.40396502,0.00000000
-5.95797899,1.30160131,0.27345730,0.71483263,0.03655371,0.00889190,0.39753976,0.42031113,0.00000000
-5.95197599,1.33262524,0.28275814,0.72153796,0.03749027,0.00937634,0.41951241,0.43626114,0.00000000
-5.94597299,1.36628774,0.29215385,0.73183910,0.03821076,0.00990880,0.44049022,0.45168137,0.00000000
-5.93996998,1.40220709,0.30158234,0.74551210,0.03870025,0.01048457,0.46025120,0.46647319,0.00000000
-5.93396698,1.44007483,0.31100136,0.76235012,0.03894809,0.01109935,0.47861497,0.48057641,0.00000000
-5.92796398,1.47966106,0.32038969,0.78216598,0.03894825,0.01174919,0.49544918,0.49397076,0.00000000
-5.92196098,1.52081402,0.32974702,0.80479153,0.03869960,0.01243042,0.51067389,0.50667520,0.00000000
-5.91595798,1.56345355,0.33909255,0.83007426,0.03820599,0.01313960,0.52426389,0.51874516,0.00000000
-5.90995498,1.60755909,0.34846219,0.85787115,0.03747612,0.01387339,0.53624840,0.53026772,0.00000000
-5.90395198,1.65315285,0.35790469,0.88804060,0.03652335,0.01462847,0.54670841,0.54135488,0.00000000
-5.89794897,1.70027922,0.36747676,0.92043299,0.03536523,0.01540138,0.55577138,0.55213530,0.00000000
-5.89194597,1.74898186,0.37723757,0.95488067,0.03402300,0.01618843,0.56360383,0.56274500,0.00000000
-5.88594297,1.79927986,0.38724282,0.99118833,0.03252089,0.01698557,0.57040188,0.57331726,0.00000000
-5.87993997,1.85114465,0.39753892,1.02912467,0.03088541,0.01778833,0.57638025,0.58397254,0.00000000
-5.87393697,1.90447938,0.40815743,1.06841598,0.02914454,0.01859176,0.58176038,0.59480878,0.00000000
-5.86793397,1.95910207,0.41911025,1.10874270,0.02732694,0.01939039,0.58675806,0.60589278,0.00000000
-5.86193097,2.01473399,0.43038595,1.14973918,0.02546112,0.02017832,0.59157143,0.61725298,0.00000000
-5.85592796,2.07099428,0.44194726,1.19099721,0.02357479,0.02094924,0.59636977,0.62887427,0.00000000
-5.84992496,2.12740136,0.45373016,1.23207329,0.02169410,0.02169664,0.60128387,0.64069500,0.00000000
