energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up
-6.00000000,2.46191409,0.55284451,1.03477319,0.02334931,0.06129025,0.14613620,0.56245526,0.89561190,0.00000000
-5.99399700,2.43621356,0.55883660,1.01172587,0.02232918,0.06057522,0.14165910,0.56427292,0.89091321,0.00000000
-5.98799400,2.41353322,0.56546070,0.99200806,0.02124006,0.05977409,0.13676360,0.56615038,0.88605981,0.00000000
-5.98199100,2.39387124,0.57269260,0.97532680,0.02009887,0.05891130,0.13155132,0.56816697,0.88123734,0.00000000
-5.97598799,2.37714270,0.58046813,0.96138200,0.01892298,0.05800887,0.12612262,0.57036716,0.87658929,0.00000000
-5.96998499,2.36314755,0.58867733,0.94985598,0.01772958,0.05708534,0.12057304,0.57275284,0.87220316,0.00000000
-5.96398199,2.35154707,0.59716134,0.94040514,0.01653509,0.05615492,0.11499026,0.57527825,0.86810031,0.00000000
-5.95797899,2.34185079,0.60571227,0.93265487,0.01535476,0.05522696,0.10945156,0.57784787,0.86423019,0.00000000
-5.95197599,2.33341508,0.61407635,0.92619840,0.01420224,0.05430568,0.10402207,0.58031743,0.86046934,0.00000000
-5.94597299,2.32545397,0.62196021,0.92059991,0.01308928,0.05339025,0.09875362,0.58249816,0.85662515,0.00000000
-5.93996998,2.31706153,0.62904006,0.91540203,0.01202563,0.05247515,0.09368436,0.58416386,0.85244415,0.00000000
-5.93396698,2.30724482,0.63497331,0.91013731,0.01101892,0.05155085,0.08883912,0.58506058,0.84762444,0.00000000
-5.92796398,2.29496542,0.63941211,0.90434315,0.01007470,0.05060460,0.08423025,0.58491827,0.84183131,0.00000000
-5.92196098,2.27918720,0.64201797,0.89757935,0.00919661,0.04962155,0.07985906,0.58346378,0.83471515,0.00000000
-5.91595798,2.25892739,0.64247680,0.88944717,0.00838650,0.04858578,0.07571766,0.58043440,0.82593074,0.00000000
-5.90995498,2.23330809,0.64051337,0.87960883,0.00764476,0.04748155,0.07179103,0.57559124,0.81515652,0.00000000
-5.90395198,2.20160524,0.63590461,0.86780644,0.00697053,0.04629433,0.06805920,0.56873167,0.80211294,0.00000000
-5.89794897,2.16329233,0.62849092,0.85387901,0.00636207,0.04501188,0.06449948,0.55970016,0.78657884,0.00000000
-5.89194597,2.11807635,0.61818483,0.83777680,0.00581705,0.04362507,0.06108855,0.54839688,0.76840480,0.00000000
-5.88594297,2.06592433,0.60497674,0.81957221,0.00533286,0.04212855,0.05780430,0.53478371,0.74752312,0.00000000
-5.87993997,2.00707899,0.58893734,0.79946640,0.00490684,0.04052122,0.05462746,0.51888737,0.72395368,0.00000000
-5.87393697,1.94206294,0.57021670,0.77779162,0.00453660,0.03880636,0.05154277,0.50079954,0.69780563,0.00000000
-5.86793397,1.87167148,0.54904007,0.75500882,0.00422013,0.03699166,0.04853992,0.48067409,0.66927495,0.00000000
-5.86193097,1.79695442,0.52570080,0.73170082,0.00395602,0.03508892,0.04561393,0.45872164,0.63863813,0.00000000
-5.85592796,1.71918823,0.50055064,0.70856114,0.00374353,0.03311362,0.04276539,0.43520179,0.60624244,0.00000000
-5.84992496,1.63983978,0.47398802,0.68637913,0.00358264,0.03108431,0.04000014,0.41041355,0.57249346,0.00000000
-5.84392196,1.56052362,0.44644503,0.66602163,0.00347405,0.02902185,0.03732888,0.38468455,0.53784054,0.00000000
-5.83791896,1.48295463,0.41837346,0.64841199,0.00341915,0.02694865,0.03476641,0.35835944,0.50276108,0.00000000
-5.83191596,1.40889804,0.39023090,0.63450694,0.00341992,0.02488786,0.03233078,0.33178831,0.46774430,0.00000000
-5.82591296,1.34011861,0.36246713,0.62527190,0.00347883,0.02286249,0.03004234,0.30531550,0.43327536,0.00000000
-5.81990995,1.27833072,0.33551156,0.62165534,0.00359868,0.02089477,0.02792269,0.27926929,0.39982047,0.00000000
-5.81390695,1.22515080,0.30976210,0.62456273,0.00378239,0.01900536,0.02599371,0.25395294,0.36781353,0.00000000
-5.80790395,1.18205319,0.28557562,0.63483049,0.00403285,0.01721288,0.02427659,0.22963732,0.33764466,0.00000000
-5.80190095,1.15033046,0.26326045,0.65320048,0.00435268,0.01553345,0.02279089,0.20655531,0.30965108,0.00000000
-5.79589795,1.13105871,0.24307078,0.68029538,0.00474401,0.01398033,0.02155381,0.18489802,0.28411031,0.00000000
-5.78989495,1.12506832,0.22520310,0.71659543,0.00520827,0.01256380,0.02057948,0.16481282,0.26123577,0.00000000
-5.78389195,1.13292032,0.20979449,0.76241705,0.00574596,0.01129103,0.01987839,0.14640316,0.24117465,0.00000000
-5.77788894,1.15488868,0.19692267,0.81789372,0.00635646,0.01016615,0.01945694,0.12972975,0.22400798,0.00000000
-5.77188594,1.19094832,0.18660757,0.88295971,0.00703782,0.00919038,0.01931713,0.11481317,0.20975247,0.00000000
-5.76588294,1.24076919,0.17881417,0.95733736,0.00778666,0.00836218,0.01945627,0.10163741,0.19836395,0.00000000
-5.75987994,1.30371630,0.17345644,1.04052837,0.00859800,0.00767756,0.01986691,0.09015421,0.18974216,0.00000000
-5.75387694,1.37885587,0.17040204,1.13180989,0.00946519,0.00713031,0.02053677,0.08028778,0.18373641,0.00000000
-5.74787394,1.46496781,0.16947777,1.23023607,0.01037992,0.00671235,0.02144885,0.07193992,0.18015204,0.00000000
-5.74187094,1.56056448,0.17047534,1.33464553,0.01133222,0.00641401,0.02258152,0.06499496,0.17875733,0.00000000
-5.73586793,1.66391611,0.17315757,1.44367528,0.01231055,0.00622436,0.02390887,0.05932466,0.17929068,0.00000000
-5.72986493,1.77308260,0.17726470,1.55578144,0.01330198,0.00613153,0.02540100,0.05479280,0.18146793,0.00000000
-5.72386193,1.88595177,0.18252083,1.66926674,0.01429236,0.00612299,0.02702449,0.05125927,0.18498962,0.00000000
-5.71785893,2.00028360,0.18864046,1.78231464,0.01526662,0.00618583,0.02874302,0.04858380,0.18954813,0.00000000
-5.71185593,2.11376000,0.19533488,1.89302961,0.01620908,0.00630704,0.03051798,0.04662911,0.19483470,0.00000000
-5.70585293,2.22403908,0.20231856,1.99948277,0.01710381,0.00647375,0.03230926,0.04526364,0.20054611,0.00000000
-5.69984992,2.32881295,0.20931534,2.09976162,0.01793507,0.00667350,0.03407612,0.04436371,0.20639103,0.00000000
-5.69384692,2.42586744,0.21606442,2.19202269,0.01868763,0.00689447,0.03577810,0.04381531,0.21209599,0.00000000
-5.68784392,2.51314223,0.22232603,2.27454524,0.01934732,0.00712569,0.03737600,0.04351540,0.21741092,0.00000000
-5.68184092,2.58878939,0.22788662,2.34578424,0.01990131,0.00735727,0.03883288,0.04337291,0.22211409,0.00000000
-5.67583792,2.65122836,0.23256359,2.40442074,0.02033857,0.00758060,0.04011506,0.04330936,0.22601643,0.00000000
-5.66983492,2.69919548,0.23620936,2.44940751,0.02065020,0.00778855,0.04119306,0.04325920,0.22896511,0.00000000
-5.66383192,2.73178598,0.23871464,2.48000827,0.02082966,0.00797561,0.04204246,0.04316991,0.23084637,0.00000000
-5.65782891,2.74848677,0.24001084,2.49582869,0.02087301,0.00813806,0.04264466,0.04300183,0.23158739,0.00000000
-5.65182591,2.74919857,0.24007154,2.49683769,0.02077902,0.00827408,0.04298747,0.04272783,0.23115725,0.00000000
-5.64582291,2.73424618,0.23891284,2.48337815,0.02054922,0.00838382,0.04306553,0.04233270,0.22956680,0.00000000
-5.63981991,2.70437636,0.23659267,2.45616620,0.02018782,0.00846939,0.04288052,0.04181249,0.22686763,0.00000000
-5.63381691,2.66074294,0.23320900,2.41627890,0.01970161,0.00853494,0.04244121,0.04117358,0.22314988,0.00000000
-5.62781391,2.60487951,0.22889691,2.36513054,0.01909969,0.00858650,0.04176317,0.04043165,0.21853916,0.00000000
-5.62181091,2.53866042,0.22382466,2.30443833,0.01839324,0.00863190,0.04086839,0.03961053,0.21319251,0.00000000
