energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,0.46726889,-0.46859441,0.00109557,-0.00109981,0.06632978,-0.06655474,0.19322219,-0.19355418,0.09888087,-0.09939862,0.00265630,-0.00266223,0.12725875,-0.12756784,0.09986179,-0.10015165,0.04373199,-0.04383301
-5.99399700,0.51696437,-0.51841897,0.00125969,-0.00126442,0.07367494,-0.07392671,0.20812280,-0.20846513,0.11322101,-0.11381282,0.00290548,-0.00291267,0.14019490,-0.14052651,0.11196428,-0.11228168,0.04802995,-0.04813816
-5.98799400,0.57022642,-0.57181258,0.00144375,-0.00144897,0.08164876,-0.08192901,0.22305145,-0.22340264,0.12935714,-0.13002791,0.00319434,-0.00320289,0.15387669,-0.15422955,0.12510526,-0.12545056,0.05255611,-0.05267121
-5.98199100,0.62698935,-0.62870865,0.00164778,-0.00165347,0.09026920,-0.09057951,0.23789302,-0.23825165,0.14737444,-0.14812863,0.00352455,-0.00353456,0.16824383,-0.16861636,0.13929514,-0.13966837,0.05729078,-0.05741241
-5.97598799,0.68716141,-0.68901422,0.00187153,-0.00187768,0.09955267,-0.09989446,0.25253902,-0.25290379,0.16734630,-0.16818770,0.00389835,-0.00390994,0.18322626,-0.18361652,0.15453270,-0.15493352,0.06221190,-0.06233959
-5.96998499,0.75061889,-0.75260408,0.00211442,-0.00212098,0.10951266,-0.10988711,0.26689036,-0.26726006,0.18932927,-0.19026078,0.00431847,-0.00433178,0.19874354,-0.19914920,0.17080268,-0.17123028,0.06729487,-0.06742809
-5.96398199,0.81719958,-0.81931421,0.00237548,-0.00238241,0.12015811,-0.12056607,0.28085953,-0.28123306,0.21335775,-0.21438114,0.00478803,-0.00480321,0.21470424,-0.21512260,0.18807309,-0.18852618,0.07251240,-0.07265052
-5.95797899,0.88669590,-0.88893492,0.00265334,-0.00266059,0.13149155,-0.13193344,0.29437217,-0.29474859,0.23943871,-0.24055432,0.00531041,-0.00532762,0.23100558,-0.23143352,0.20629278,-0.20676946,0.07783438,-0.07797665
-5.95197599,0.95884798,-0.96120395,0.00294617,-0.00295366,0.14350716,-0.14398289,0.30736797,-0.30774642,0.26754645,-0.26875306,0.00588906,-0.00590844,0.24753314,-0.24796715,0.22538891,-0.22588670,0.08322768,-0.08337326
-5.94597299,1.03333705,-1.03579992,0.00325167,-0.00325932,0.15618873,-0.15669760,0.31980072,-0.32018042,0.29761797,-0.29891251,0.00652732,-0.00654901,0.26416084,-0.26459702,0.24526495,-0.24578069,0.08865605,-0.08880398
-5.93996998,1.10977978,-1.11233669,0.00356708,-0.00357481,0.16950768,-0.17004834,0.33163766,-0.33201785,0.32954890,-0.33092636,0.00722824,-0.00725238,0.28075124,-0.28118536,0.26579889,-0.26632877,0.09408003,-0.09422924
-5.93396698,1.18772395,-1.19035916,0.00388920,-0.00389690,0.18342139,-0.18399172,0.34285811,-0.34323803,0.36319058,-0.36464387,0.00799436,-0.00802106,0.29715621,-0.29758372,0.28684222,-0.28738176,0.09945692,-0.09960625
-5.92796398,1.26664622,-1.26934108,0.00421438,-0.00422195,0.19787173,-0.19846886,0.35345152,-0.35383036,0.39834835,-0.39986830,0.00882754,-0.00885687,0.31321802,-0.31363412,0.30821961,-0.30876367,0.10474090,-0.10488908
-5.92196098,1.34595243,-1.34868552,0.00453863,-0.00454595,0.21278419,-0.21340447,0.36341522,-0.36379204,0.43478156,-0.43635697,0.00972871,-0.00976071,0.32877098,-0.32917070,0.32972948,-0.33027232,0.10988324,-0.11002890
-5.91595798,1.42498109,-1.42772846,0.00485762,-0.00486458,0.22806764,-0.22870669,0.37275181,-0.37312555,0.47220531,-0.47382306,0.01069776,-0.01073244,0.34364358,-0.34402189,0.35114563,-0.35168095,0.11483268,-0.11497440
-5.90995498,1.50301051,-1.50574603,0.00516683,-0.00517330,0.24361486,-0.24426759,0.38146675,-0.38183616,0.51029425,-0.51193956,0.01173342,-0.01177072,0.35766131,-0.35801317,0.37221998,-0.37274105,0.11953601,-0.11967230
-5.90395198,1.57926971,-1.58196564,0.00546158,-0.00546746,0.25930388,-0.25996464,0.38956611,-0.38992976,0.54868848,-0.55034526,0.01283311,-0.01287294,0.37064989,-0.37097044,0.39268639,-0.39318614,0.12393881,-0.12406816
-5.89794897,1.65295343,-1.65558108,0.00573721,-0.00574238,0.27500038,-0.27566307,0.39705485,-0.39741115,0.58700166,-0.58865290,0.01399300,-0.01403521,0.38243920,-0.38272384,0.41226570,-0.41273690,0.12798646,-0.12810736
-5.89194597,1.72324102,-1.72577151,0.00598912,-0.00599348,0.29056093,-0.29121918,0.40393574,-0.40428299,0.62483104,-0.62645934,0.01520799,-0.01525240,0.39286753,-0.39311206,0.43067175,-0.43110714,0.13162525,-0.13173623
