energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.63407966,0.45319103,0.30131876,0.00163792,0.16731212,0.86230553,0.00000000,0.45454290,0.23237510
-5.99399700,1.58640833,0.43212458,0.29618015,0.00154310,0.16977968,0.82700653,0.00000000,0.43564894,0.23012616
-5.98799400,1.53920563,0.41167463,0.29112558,0.00145230,0.17243027,0.79207450,0.00000000,0.41733447,0.22817488
-5.98199100,1.49395172,0.39238899,0.28650321,0.00136783,0.17526675,0.75848378,0.00000000,0.40010229,0.22663351
-5.97598799,1.45205559,0.37478451,0.28266802,0.00129191,0.17827487,0.72717403,0.00000000,0.38442433,0.22559235
-5.96998499,1.41482292,0.35933547,0.27997244,0.00122668,0.18142381,0.69902878,0.00000000,0.37073226,0.22511773
-5.96398199,1.38342794,0.34646331,0.27875684,0.00117415,0.18466760,0.67485587,0.00000000,0.35940987,0.22525104
-5.95797899,1.35888992,0.33652790,0.27933990,0.00113617,0.18794741,0.65537009,0.00000000,0.35078704,0.22600887
-5.95197599,1.34205457,0.32982043,0.28200921,0.00111440,0.19119464,0.64117832,0.00000000,0.34513550,0.22738406
-5.94597299,1.33358045,0.32655796,0.28701236,0.00111029,0.19433455,0.63276739,0.00000000,0.34266621,0.22934771
-5.93996998,1.33393039,0.32687970,0.29454875,0.00112507,0.19729043,0.63049478,0.00000000,0.34352821,0.23185196
-5.93396698,1.34336774,0.33084499,0.30476238,0.00115973,0.19998793,0.63458228,0.00000000,0.34780891,0.23483333
-5.92796398,1.36195730,0.33843302,0.31773583,0.00121499,0.20235953,0.64511259,0.00000000,0.35553543,0.23821661
-5.92196098,1.38957050,0.34954418,0.33348567,0.00129129,0.20434873,0.66202905,0.00000000,0.36667697,0.24191890
-5.91595798,1.42589451,0.36400310,0.35195951,0.00138880,0.20591400,0.68513815,0.00000000,0.38114801,0.24585390
-5.90995498,1.47044508,0.38156322,0.37303477,0.00150737,0.20703212,0.71411513,0.00000000,0.39881208,0.24993608
-5.90395198,1.52258244,0.40191292,0.39651935,0.00164651,0.20770090,0.74851229,0.00000000,0.41948602,0.25408468
-5.89794897,1.58153019,0.42468305,0.42215426,0.00180544,0.20794111,0.78776996,0.00000000,0.44294467,0.25822746
-5.89194597,1.64639649,0.44945569,0.44961810,0.00198300,0.20779754,0.83122998,0.00000000,0.46892572,0.26230406
-5.88594297,1.71619733,0.47577409,0.47853347,0.00217770,0.20733925,0.87815127,0.00000000,0.49713482,0.26626885
-5.87993997,1.78988124,0.50315344,0.50847512,0.00238769,0.20665890,0.92772729,0.00000000,0.52725081,0.27009327
-5.87393697,1.86635500,0.53109234,0.53897962,0.00261080,0.20587130,0.97910491,0.00000000,0.55893097,0.27376762
-5.86793397,1.94450974,0.55908452,0.56955625,0.00284453,0.20511117,1.03140420,0.00000000,0.59181638,0.27730219
-5.86193097,2.02324671,0.58663067,0.59969895,0.00308609,0.20453026,1.08373863,0.00000000,0.62553716,0.28072774
-5.85592796,2.10150214,0.61324987,0.62889873,0.00333245,0.20429391,1.13523507,0.00000000,0.65971779,0.28409534
-5.84992496,2.17827031,0.63849033,0.65665636,0.00358034,0.20457705,1.18505304,0.00000000,0.69398216,0.28747535
-5.84392196,2.25262423,0.66193905,0.68249470,0.00382638,0.20555991,1.23240251,0.00000000,0.72795857,0.29095589
-5.83791896,2.32373306,0.68323016,0.70597046,0.00406707,0.20742340,1.27655985,0.00000000,0.76128450,0.29464031
-5.83191596,2.39087579,0.70205162,0.72668485,0.00429891,0.21034427,1.31688124,0.00000000,0.79361100,0.29864412
-5.82591296,2.45345048,0.71814994,0.74429275,0.00451846,0.21449014,1.35281332,0.00000000,0.82460682,0.30309107
-5.81990995,2.51097878,0.73133308,0.75851021,0.00472240,0.22001448,1.38390065,0.00000000,0.85396208,0.30810854
