energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,3.05829230,2.39460091,0.52420983,0.00274382,0.05089188,0.03095770,2.01799041,0.82039455,0.22594954
-5.99399700,3.07728807,2.42098138,0.52582423,0.00283164,0.04937583,0.03169356,2.03546077,0.81658306,0.22888195
-5.98799400,3.09174622,2.44237104,0.52692626,0.00291119,0.04793823,0.03234326,2.04952270,0.81227363,0.23133327
-5.98199100,3.10035074,2.45764795,0.52728902,0.00298056,0.04656058,0.03289582,2.05928805,0.80712233,0.23320188
-5.97598799,3.10191521,2.46580941,0.52670052,0.00303805,0.04522487,0.03334248,2.06396014,0.80080326,0.23439866
-5.96998499,3.09543540,2.46601399,0.52497327,0.00308220,0.04391453,0.03367706,2.06286878,0.79302387,0.23485086
-5.96398199,3.08013445,2.45761758,0.52195282,0.00311180,0.04261520,0.03389629,2.05550011,0.78353846,0.23450533
-5.95797899,3.05549814,2.44020173,0.51752486,0.00312595,0.04131528,0.03399994,2.04152001,0.77215941,0.23333097
-5.95197599,3.02129879,2.41359300,0.51162046,0.00312412,0.04000634,0.03399096,2.02078982,0.75876561,0.23132015
-5.94597299,2.97760649,2.37787227,0.50421924,0.00310611,0.03868337,0.03387534,1.99337355,0.74330770,0.22848923
-5.93996998,2.92478724,2.33337363,0.49535035,0.00307211,0.03734473,0.03366197,1.95953636,0.72581006,0.22487802
-5.93396698,2.86348807,2.28067292,0.48509117,0.00302266,0.03599204,0.03336231,1.91973427,0.70636940,0.22054821
-5.92796398,2.79460996,2.22056638,0.47356388,0.00295870,0.03462980,0.03298993,1.87459565,0.68515025,0.21558087
-5.92196098,2.71926997,2.15404054,0.46093006,0.00288146,0.03326498,0.03255997,1.82489542,0.66237748,0.21007313
-5.91595798,2.63875451,2.08223479,0.44738365,0.00279249,0.03190646,0.03208858,1.77152334,0.63832648,0.20413426
-5.90995498,2.55446617,2.00639837,0.43314268,0.00269361,0.03056441,0.03159219,1.71544780,0.61331133,0.19788120
-5.90395198,2.46786673,1.92784392,0.41844011,0.00258680,0.02924964,0.03108689,1.65767714,0.58767181,0.19143395
-5.89794897,2.38041933,1.84789974,0.40351451,0.00247421,0.02797301,0.03058773,1.59922024,0.56175967,0.18491083
-5.89194597,2.29353247,1.76786290,0.38860071,0.00235801,0.02674480,0.03010816,1.54104838,0.53592511,0.17842408
-5.88594297,2.20850865,1.68895550,0.37392124,0.00224042,0.02557425,0.02965947,1.48406020,0.51050380,0.17207578
-5.87993997,2.12649998,1.61228572,0.35967880,0.00212356,0.02446913,0.02925040,1.42905125,0.48580534,0.16595438
-5.87393697,2.04847274,1.53881542,0.34605009,0.00200940,0.02343545,0.02888682,1.37668959,0.46210337,0.16013207
-5.86793397,1.97518220,1.46933551,0.33318134,0.00189975,0.02247730,0.02857166,1.32749841,0.43962789,0.15466291
-5.86193097,1.90715868,1.40444971,0.32118565,0.00179615,0.02159680,0.02830485,1.28184610,0.41855997,0.14958191
