energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.47509124,0.04742069,0.00000000,0.00878760,0.10622774,0.09792633,0.07599640
-5.99399700,0.50516207,0.05091134,0.00000000,0.00945406,0.11170862,0.10408391,0.08011542
-5.98799400,0.53457508,0.05449941,0.00000000,0.01012455,0.11680209,0.11006283,0.08400244
-5.98199100,0.56289257,0.05814345,0.00000000,0.01079118,0.12140794,0.11577306,0.08758593
-5.97598799,0.58967662,0.06179793,0.00000000,0.01144562,0.12543230,0.12112554,0.09079772
-5.96998499,0.61449998,0.06541400,0.00000000,0.01207923,0.12879063,0.12603448,0.09357503
-5.96398199,0.63695695,0.06894039,0.00000000,0.01268326,0.13141048,0.13041955,0.09586244
-5.95797899,0.65667358,0.07232442,0.00000000,0.01324900,0.13323385,0.13420797,0.09761358
-5.95197599,0.67331703,0.07551304,0.00000000,0.01376798,0.13421907,0.13733635,0.09879248
-5.94597299,0.68660381,0.07845402,0.00000000,0.01423215,0.13434211,0.13975225,0.09937470
-5.93996998,0.69630647,0.08109711,0.00000000,0.01463405,0.13359724,0.14141547,0.09934789
-5.93396698,0.70225878,0.08339518,0.00000000,0.01496700,0.13199713,0.14229887,0.09871210
-5.92796398,0.70435910,0.08530544,0.00000000,0.01522524,0.12957221,0.14238893,0.09747954
-5.92196098,0.70257203,0.08679052,0.00000000,0.01540411,0.12636949,0.14168586,0.09567405
-5.91595798,0.69692825,0.08781945,0.00000000,0.01550013,0.12245088,0.14020333,0.09333014
-5.90995498,0.68752271,0.08836859,0.00000000,0.01551111,0.11789100,0.13796793,0.09049174
-5.90395198,0.67451125,0.08842233,0.00000000,0.01543625,0.11277469,0.13501823,0.08721075
-5.89794897,0.65810582,0.08797358,0.00000000,0.01527612,0.10719438,0.13140362,0.08354533
-5.89194597,0.63856852,0.08702412,0.00000000,0.01503270,0.10124723,0.12718296,0.07955822
-5.88594297,0.61620474,0.08558466,0.00000000,0.01470934,0.09503246,0.12242301,0.07531485
-5.87993997,0.59135548,0.08367460,0.00000000,0.01431066,0.08864871,0.11719683,0.07088173
-5.87393697,0.56438933,0.08132169,0.00000000,0.01384251,0.08219167,0.11158200,0.06632473
-5.86793397,0.53569414,0.07856124,0.00000000,0.01331177,0.07575209,0.10565904,0.06170769
-5.86193097,0.50566871,0.07543532,0.00000000,0.01272621,0.06941410,0.09950965,0.05709112
-5.85592796,0.47471478,0.07199158,0.00000000,0.01209430,0.06325396,0.09321522,0.05253120
-5.84992496,0.44322941,0.06828208,0.00000000,0.01142503,0.05733926,0.08685537,0.04807901
-5.84392196,0.41159794,0.06436186,0.00000000,0.01072765,0.05172851,0.08050669,0.04377999
-5.83791896,0.38018780,0.06028760,0.00000000,0.01001149,0.04647114,0.07424162,0.03967368
-5.83191596,0.34934313,0.05611613,0.00000000,0.00928572,0.04160782,0.06812754,0.03579362
-5.82591296,0.31938034,0.05190311,0.00000000,0.00855919,0.03717107,0.06222609,0.03216754
-5.81990995,0.29058483,0.04770174,0.00000000,0.00784019,0.03318616,0.05659262,0.02881763
-5.81390695,0.26320852,0.04356162,0.00000000,0.00713633,0.02967204,0.05127596,0.02576098
-5.80790395,0.23746858,0.03952780,0.00000000,0.00645439,0.02664245,0.04631820,0.02301011
-5.80190095,0.21354700,0.03564002,0.00000000,0.00580026,0.02410704,0.04175482,0.02057354
-5.79589795,0.19159104,0.03193214,0.00000000,0.00517882,0.02207237,0.03761480,0.01845644
-5.78989495,0.17171442,0.02843185,0.00000000,0.00459394,0.02054290,0.03392098,0.01666114
-5.78389195,0.15399911,0.02516056,0.00000000,0.00404849,0.01952174,0.03069040,0.01518774
-5.77788894,0.13849759,0.02213345,0.00000000,0.00354434,0.01901127,0.02793475,0.01403460
-5.77188594,0.12523541,0.01935978,0.00000000,0.00308244,0.01901355,0.02566083,0.01319867
-5.76588294,0.11421379,0.01684332,0.00000000,0.00266291,0.01953043,0.02387097,0.01267585
-5.75987994,0.10541234,0.01458282,0.00000000,0.00228509,0.02056352,0.02256347,0.01246117
-5.75387694,0.09879157,0.01257270,0.00000000,0.00194770,0.02211386,0.02173294,0.01254886
-5.74787394,0.09429512,0.01080370,0.00000000,0.00164891,0.02418144,0.02137056,0.01293233
-5.74187094,0.09185172,0.00926353,0.00000000,0.00138649,0.02676449,0.02146430,0.01360410
-5.73586793,0.09137679,0.00793762,0.00000000,0.00115790,0.02985872,0.02199905,0.01455556
-5.72986493,0.09277358,0.00680970,0.00000000,0.00096038,0.03345633,0.02295662,0.01577672
-5.72386193,0.09593405,0.00586244,0.00000000,0.00079109,0.03754515,0.02431576,0.01725594
-5.71785893,0.10073941,0.00507798,0.00000000,0.00064716,0.04210761,0.02605205,0.01897960
-5.71185593,0.10706038,0.00443837,0.00000000,0.00052575,0.04711992,0.02813787,0.02093179
-5.70585293,0.11475744,0.00392596,0.00000000,0.00042417,0.05255130,0.03054225,0.02309404
-5.69984992,0.12368094,0.00352371,0.00000000,0.00033983,0.05836340,0.03323090,0.02544511
-5.69384692,0.13367137,0.00321545,0.00000000,0.00027037,0.06450995,0.03616616,0.02796084
