energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,7.81278083,1.18681767,7.12659817,0.43486640,0.01597760,0.03743217,0.30056120
-5.99399700,7.64950400,1.13185050,6.99776857,0.41842450,0.01558204,0.03518930,0.28572969
-5.98799400,7.47155089,1.07485032,6.85561499,0.40093349,0.01515947,0.03290235,0.27029927
-5.98199100,7.28310577,1.01675545,6.70375218,0.38274906,0.01471985,0.03060760,0.25451070
-5.97598799,7.08857333,0.95850524,6.54601193,0.36423358,0.01427341,0.02833999,0.23860821
-5.96998499,6.89244834,0.90101941,6.38632611,0.34574670,0.01383042,0.02613253,0.22283360
-5.96398199,6.69918409,0.84517884,6.22860775,0.32763634,0.01340084,0.02401572,0.20742068
-5.95797899,6.51306436,0.79180805,6.07663414,0.31023032,0.01299403,0.02201718,0.19259020
-5.95197599,6.33808271,0.74166002,5.93393598,0.29382889,0.01261853,0.02016130,0.17854546
-5.94597299,6.17783301,0.69540335,5.80369578,0.27869836,0.01228173,0.01846904,0.16546866
-5.93996998,6.03541410,0.65361197,5.68865879,0.26506581,0.01198978,0.01695784,0.15351799
-5.93396698,5.91335113,0.61675757,5.59105880,0.25311518,0.01174737,0.01564154,0.14282559
-5.92796398,5.81353549,0.58520440,5.51256068,0.24298456,0.01155762,0.01453045,0.13349614
-5.92196098,5.73718439,0.55920650,5.45422116,0.23476477,0.01142204,0.01363142,0.12560630
-5.91595798,5.68482085,0.53890717,5.41646849,0.22849917,0.01134053,0.01294798,0.11920470
-5.90995498,5.65627407,0.52434032,5.39910123,0.22418450,0.01131135,0.01248045,0.11431252
-5.90395198,5.65069969,0.51543362,5.40130593,0.22177290,0.01133125,0.01222618,0.11092455
-5.89794897,5.66661899,0.51201320,5.42169293,0.22117464,0.01139557,0.01217964,0.10901060
-5.89194597,5.70197566,0.51380972,5.45834888,0.22226180,0.01149837,0.01233271,0.10851727
-5.88594297,5.75420824,0.52046572,5.50890453,0.22487257,0.01163266,0.01267478,0.10936990
-5.87993997,5.82033616,0.53154408,5.57061550,0.22881606,0.01179055,0.01319304,0.11147481
-5.87393697,5.89705677,0.54653762,5.64045370,0.23387765,0.01196355,0.01387264,0.11472158
-5.86793397,5.98085059,0.56487967,5.71520663,0.23982461,0.01214277,0.01469700,0.11898557
-5.86193097,6.06809175,0.58595561,5.79158146,0.24641199,0.01231920,0.01564804,0.12413048
-5.85592796,6.15516040,0.60911540,5.86631082,0.25338862,0.01248396,0.01670656,0.13001108
-5.84992496,6.23855362,0.63368683,5.93625678,0.26050321,0.01262858,0.01785250,0.13647598
-5.84392196,6.31499162,0.65898944,5.99850993,0.26751021,0.01274521,0.01906545,0.14337051
-5.83791896,6.38151581,0.68434889,6.05048008,0.27417567,0.01282686,0.02032499,0.15053964
-5.83191596,6.43557562,0.70911152,6.08997570,0.28028260,0.01286761,0.02161119,0.15783090
