energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-5.80790395,1.16067691,-0.91847754,0.71335958,-0.51395525,0.28626756,-0.22209044,0.02840243,-0.02457220,0.29085187,-0.24142338,0.40757920,-0.31319302,0.00000000,-0.00000000
-5.80190095,1.22945457,-0.98346396,0.75931633,-0.55576379,0.30291343,-0.23696347,0.02984381,-0.02590244,0.30777633,-0.25873906,0.43250955,-0.33586122,0.00000000,-0.00000000
-5.79589795,1.29602114,-1.04960054,0.80399246,-0.59843621,0.31909472,-0.25209486,0.03123426,-0.02723779,0.32402182,-0.27632792,0.45678933,-0.35897249,0.00000000,-0.00000000
-5.78989495,1.35944925,-1.11608941,0.84681091,-0.64150304,0.33458482,-0.26730937,0.03255215,-0.02856189,0.33935576,-0.29396054,0.48009235,-0.38227189,0.00000000,-0.00000000
-5.78389195,1.41883389,-1.18209704,0.88720181,-0.68446766,0.34916120,-0.28242305,0.03377646,-0.02985779,0.35355465,-0.31139968,0.50209602,-0.40548983,0.00000000,-0.00000000
-5.77788894,1.47331136,-1.24676835,0.92461382,-0.72681447,0.36261012,-0.29724612,0.03488734,-0.03110821,0.36640883,-0.32840463,0.52248804,-0.42834620,0.00000000,-0.00000000
-5.77188594,1.52207782,-1.30924148,0.95852544,-0.76801751,0.37473145,-0.31158613,0.03586653,-0.03229590,0.37772698,-0.34473570,0.54097310,-0.45055487,0.00000000,-0.00000000
-5.76588294,1.56440696,-1.36866315,0.98845608,-0.80754962,0.38534319,-0.32525125,0.03669784,-0.03340393,0.38734020,-0.36015872,0.55727936,-0.47182857,0.00000000,-0.00000000
-5.75987994,1.59966617,-1.42420410,1.01397658,-0.84489176,0.39428585,-0.33805364,0.03736757,-0.03441598,0.39510570,-0.37444958,0.57116466,-0.49188378,0.00000000,-0.00000000
-5.75387694,1.62733117,-1.47507437,1.03471893,-0.87954236,0.40142633,-0.34981293,0.03786482,-0.03531670,0.40090987,-0.38739842,0.58242227,-0.51044588,0.00000000,-0.00000000
-5.74787394,1.64699842,-1.52053804,1.05038508,-0.91102654,0.40666141,-0.36035956,0.03818182,-0.03609199,0.40467074,-0.39881362,0.59088603,-0.52725418,0.00000000,-0.00000000
-5.74187094,1.65839526,-1.55992705,1.06075442,-0.93890496,0.40992067,-0.36953808,0.03831413,-0.03672932,0.40633979,-0.40852544,0.59643476,-0.54206685,0.00000000,-0.00000000
-5.73586793,1.66138754,-1.59265402,1.06568995,-0.96278215,0.41116887,-0.37721025,0.03826080,-0.03721797,0.40590301,-0.41638907,0.59899595,-0.55466570,0.00000000,-0.00000000
-5.72986493,1.65598449,-1.61822357,1.06514287,-0.98231428,0.41040757,-0.38325790,0.03802447,-0.03754926,0.40338128,-0.42228728,0.59854842,-0.56486058,0.00000000,-0.00000000
-5.72386193,1.64234082,-1.63624218,1.05915544,-0.99721608,0.40767618,-0.38758557,0.03761138,-0.03771679,0.39883004,-0.42613250,0.59512407,-0.57249350,0.00000000,-0.00000000
-5.71785893,1.62075588,-1.64642634,1.04786196,-1.00726695,0.40305214,-0.39012269,0.03703132,-0.03771655,0.39233828,-0.42786824,0.58880856,-0.57744223,0.00000000,-0.00000000
-5.71185593,1.59166998,-1.64860879,1.03148793,-1.01231595,0.39665045,-0.39082556,0.03629754,-0.03754706,0.38402680,-0.42747001,0.57974086,-0.57962341,0.00000000,-0.00000000
-5.70585293,1.55565765,-1.64274286,1.01034704,-1.01228587,0.38862236,-0.38967875,0.03542652,-0.03720943,0.37404597,-0.42494563,0.56811161,-0.57899503,0.00000000,-0.00000000
-5.69984992,1.51341823,-1.62890481,0.98483625,-1.00717591,0.37915324,-0.38669616,0.03443781,-0.03670741,0.36257276,-0.42033494,0.55416043,-0.57555825,0.00000000,-0.00000000
-5.69384692,1.46576357,-1.60729398,0.95542882,-0.99706317,0.36845978,-0.38192152,0.03335368,-0.03604735,0.34980736,-0.41370900,0.53817192,-0.56935855,0.00000000,-0.00000000
-5.68784392,1.41360323,-1.57823091,0.92266544,-0.98210276,0.35678630,-0.37542849,0.03219881,-0.03523815,0.33596931,-0.40516875,0.52047069,-0.56048597,0.00000000,-0.00000000
-5.68184092,1.35792734,-1.54215321,0.88714354,-0.96252630,0.34440042,-0.36732004,0.03099986,-0.03429115,0.32129319,-0.39484314,0.50141524,-0.54907460,0.00000000,-0.00000000
-5.67583792,1.29978738,-1.49960934,0.84950509,-0.93863910,0.33158809,-0.35772748,0.02978509,-0.03322000,0.30602408,-0.38288683,0.48139095,-0.53530118,0.00000000,-0.00000000
-5.66983492,1.24027529,-1.45125013,0.81042304,-0.91081561,0.31864792,-0.34680875,0.02858383,-0.03204046,0.29041272,-0.36947743,0.46080224,-0.51938273,0.00000000,-0.00000000
-5.66383192,1.18050133,-1.39781839,0.77058681,-0.87949342,0.30588521,-0.33474627,0.02742599,-0.03077019,0.27471057,-0.35481239,0.44006409,-0.50157336,0.00000000,-0.00000000
-5.65782891,1.12157114,-1.34013648,0.73068713,-0.84516578,0.29360545,-0.32174415,0.02634149,-0.02942854,0.25916487,-0.33910544,0.41959318,-0.48216021,0.00000000,-0.00000000
-5.65182591,1.06456260,-1.27909220,0.69140071,-0.80837267,0.28210776,-0.30802501,0.02535975,-0.02803620,0.24401377,-0.32258288,0.39979868,-0.46145850,0.00000000,-0.00000000
-5.64582291,1.01050292,-1.21562314,0.65337512,-0.76969077,0.27167809,-0.29382619,0.02450904,-0.02661501,0.22948160,-0.30547953,0.38107323,-0.43980594,0.00000000,-0.00000000
-5.63981991,0.96034666,-1.15069989,0.61721440,-0.72972231,0.26258273,-0.27939573,0.02381593,-0.02518753,0.21577454,-0.28803460,0.36378401,-0.41755654,0.00000000,-0.00000000
-5.63381691,0.91495521,-1.08530844,0.58346562,-0.68908331,0.25506188,-0.26498791,0.02330470,-0.02377682,0.20307662,-0.27048743,0.34826445,-0.39507390,0.00000000,-0.00000000
-5.62781391,0.87507827,-1.02043217,0.55260714,-0.64839127,0.24932386,-0.25085870,0.02299680,-0.02240608,0.19154626,-0.25307336,0.33480662,-0.37272431,0.00000000,-0.00000000
-5.62181091,0.84133774,-0.95703388,0.52503852,-0.60825292,0.24553976,-0.23726102,0.02291024,-0.02109829,0.18131338,-0.23601955,0.32365458,-0.35086964,0.00000000,-0.00000000
-5.61580790,0.81421471,-0.89603839,0.50107270,-0.56925206,0.24383898,-0.22444008,0.02305918,-0.01987597,0.17247721,-0.21954123,0.31499889,-0.32986044,0.00000000,-0.00000000
-5.60980490,0.79403958,-0.83831597,0.48093048,-0.53193810,0.24430566,-0.21262887,0.02345342,-0.01876083,0.16510479,-0.20383804,0.30897247,-0.31002925,0.00000000,-0.00000000
-5.60380190,0.78098589,-0.78466730,0.46473753,-0.49681553,0.24697606,-0.20204378,0.02409808,-0.01777349,0.15923020,-0.18909094,0.30564781,-0.29168437,0.00000000,-0.00000000
-5.59779890,0.77506782,-0.73581005,0.45252394,-0.46433457,0.25183721,-0.19288079,0.02499326,-0.01693326,0.15485465,-0.17545944,0.30503572,-0.27510432,0.00000000,-0.00000000
-5.59179590,0.77614159,-0.69236758,0.44422630,-0.43488327,0.25882659,-0.18531186,0.02613389,-0.01625786,0.15194722,-0.16307947,0.30708569,-0.26053300,0.00000000,-0.00000000
-5.58579290,0.78391060,-0.65485990,0.43969226,-0.40878133,0.26783318,-0.17948203,0.02750962,-0.01576325,0.15044640,-0.15206176,0.31168763,-0.24817575,0.00000000,-0.00000000
-5.57978989,0.79793420,-0.62369701,0.43868721,-0.38627568,0.27869960,-0.17550700,0.02910484,-0.01546338,0.15026236,-0.14249073,0.31867521,-0.23819634,0.00000000,-0.00000000
-5.57378689,0.81763995,-0.59917477,0.44090309,-0.36753786,0.29122556,-0.17347136,0.03089887,-0.01537012,0.15127974,-0.13442412,0.32783049,-0.23071496,0.00000000,-0.00000000
-5.56778389,0.84233883,-0.58147321,0.44596872,-0.35266335,0.30517226,-0.17342741,0.03286620,-0.01549302,0.15336109,-0.12789300,0.33888976,-0.22580714,0.00000000,-0.00000000
-5.56178089,0.87124315,-0.57065706,0.45346156,-0.34167255,0.32026788,-0.17539469,0.03497694,-0.01583920,0.15635070,-0.12290249,0.35155046,-0.22350368,0.00000000,-0.00000000
-5.55577789,0.90348657,-0.56667861,0.46292031,-0.33451359,0.33621388,-0.17935999,0.03719734,-0.01641326,0.16007881,-0.11943277,0.36547889,-0.22379144,0.00000000,-0.00000000
-5.54977489,0.93814561,-0.56938231,0.47385805,-0.33106644,0.35269191,-0.18527805,0.03949046,-0.01721709,0.16436601,-0.11744064,0.38031855,-0.22661486,0.00000000,-0.00000000
-5.54377189,0.97426221,-0.57851112,0.48577547,-0.33114851,0.36937125,-0.19307272,0.04181688,-0.01824982,0.16902778,-0.11686139,0.39569877,-0.23187834,0.00000000,-0.00000000
-5.53776888,1.01086652,-0.59371423,0.49817385,-0.33452116,0.38591642,-0.20263856,0.04413561,-0.01950767,0.17387903,-0.11761090,0.41124354,-0.23944900,0.00000000,-0.00000000
-5.53176588,1.04699937,-0.61455577,0.51056725,-0.34089714,0.40199484,-0.21384292,0.04640493,-0.02098384,0.17873841,-0.11958800,0.42658008,-0.24916011,0.00000000,-0.00000000
-5.52576288,1.08173387,-0.64052437,0.52249385,-0.34994859,0.41728429,-0.22652822,0.04858338,-0.02266843,0.18343255,-0.12267695,0.44134711,-0.26081466,0.00000000,-0.00000000
-5.51975988,1.11419547,-0.67104322,0.53352589,-0.36131530,0.43147993,-0.24051463,0.05063066,-0.02454834,0.18779974,-0.12674996,0.45520246,-0.27418939,0.00000000,-0.00000000
-5.51375688,1.14357999,-0.70548044,0.54327816,-0.37461316,0.44430068,-0.25560289,0.05250861,-0.02660722,0.19169336,-0.13166980,0.46782988,-0.28903870,0.00000000,-0.00000000
-5.50775388,1.16916930,-0.74315957,0.55141482,-0.38944250,0.45549488,-0.27157722,0.05418205,-0.02882545,0.19498471,-0.13729231,0.47894501,-0.30509887,0.00000000,-0.00000000
-5.50175088,1.19034416,-0.78336999,0.55765447,-0.40539604,0.46484499,-0.28820846,0.05561959,-0.03118013,0.19756527,-0.14346894,0.48830015,-0.32209202,0.00000000,-0.00000000
-5.49574787,1.20659419,-0.82537729,0.56177352,-0.42206653,0.47217125,-0.30525720,0.05679432,-0.03364520,0.19934844,-0.15004914,0.49568800,-0.33973016,0.00000000,-0.00000000
-5.48974487,1.21752472,-0.86843345,0.56360774,-0.43905370,0.47733438,-0.32247693,0.05768442,-0.03619157,0.20027062,-0.15688270,0.50094423,-0.35771910,0.00000000,-0.00000000
-5.48374187,1.22286064,-0.91178678,0.56305237,-0.45597068,0.48023708,-0.33961728,0.05827353,-0.03878739,0.20029176,-0.16382206,0.50394890,-0.37576219,0.00000000,-0.00000000
-5.47773887,1.22244728,-0.95469181,0.56006069,-0.47244963,0.48082460,-0.35642728,0.05855107,-0.04139835,0.19939532,-0.17072439,0.50462678,-0.39356400,0.00000000,-0.00000000
-5.47173587,1.21624857,-0.99641895,0.55464143,-0.48814667,0.47908424,-0.37265858,0.05851235,-0.04398814,0.19758777,-0.17745370,0.50294677,-0.41083391,0.00000000,-0.00000000
-5.46573287,1.20434287,-1.03626414,0.54685520,-0.50274616,0.47504401,-0.38806876,0.05815855,-0.04651895,0.19489768,-0.18388286,0.49892026,-0.42728960,0.00000000,-0.00000000
-5.45972986,1.18691657,-1.07355833,0.53681010,-0.51596425,0.46877048,-0.40242469,0.05749651,-0.04895219,0.19137436,-0.18989550,0.49259891,-0.44266047,0.00000000,-0.00000000
-5.45372686,1.16425612,-1.10767707,0.52465691,-0.52755180,0.46036605,-0.41550583,0.05653844,-0.05124910,0.18708636,-0.19538787,0.48407170,-0.45669105,0.00000000,-0.00000000
-5.44772386,1.13673867,-1.13804984,0.51058393,-0.53729684,0.44996563,-0.42710762,0.05530147,-0.05337167,0.18211968,-0.20027062,0.47346153,-0.46914440,0.00000000,-0.00000000
-5.44172086,1.10482178,-1.16416936,0.49481174,-0.54502639,0.43773299,-0.43704484,0.05380712,-0.05528341,0.17657591,-0.20447046,0.46092142,-0.47980541,0.00000000,-0.00000000
-5.43571786,1.06903256,-1.18560056,0.47758803,-0.55060793,0.42385682,-0.44515490,0.05208069,-0.05695026,0.17057027,-0.20793173,0.44663055,-0.48848409,0.00000000,-0.00000000
-5.42971486,1.02995651,-1.20198906,0.45918260,-0.55395048,0.40854668,-0.45130100,0.05015056,-0.05834150,0.16422974,-0.21061779,0.43079005,-0.49501872,0.00000000,-0.00000000
-5.42371186,0.98822632,-1.21306902,0.43988265,-0.55500522,0.39202888,-0.45537517,0.04804755,-0.05943056,0.15769110,-0.21251220,0.41361886,-0.49927886,0.00000000,-0.00000000
-5.41770885,0.94451080,-1.21867000,0.41998830,-0.55376580,0.37454237,-0.45730089,0.04580413,-0.06019581,0.15109912,-0.21361967,0.39534953,-0.50116799,0.00000000,-0.00000000
-5.41170585,0.89950410,-1.21872247,0.39980847,-0.55026827,0.35633478,-0.45703546,0.04345377,-0.06062122,0.14460477,-0.21396667,0.37622409,-0.50062594,0.00000000,-0.00000000
-5.40570285,0.85391528,-1.21326181,0.37965703,-0.54459053,0.33765844,-0.45457171,0.04103025,-0.06069696,0.13836347,-0.21360168,0.35649006,-0.49763065,0.00000000,-0.00000000
-5.39969985,0.80845823,-1.20243039,0.35984903,-0.53685131,0.31876676,-0.44993923,0.03856698,-0.06041967,0.13253335,-0.21259499,0.33639658,-0.49219946,0.00000000,-0.00000000
-5.39369685,0.76384194,-1.18647736,0.34069723,-0.52720864,0.29991059,-0.44320473,0.03609645,-0.05979278,0.12727353,-0.21103798,0.31619069,-0.48438958,0.00000000,-0.00000000
-5.38769385,0.72076112,-1.16575613,0.32250861,-0.51585764,0.28133492,-0.43447174,0.03364969,-0.05882641,0.12274222,-0.20904196,0.29611384,-0.47429787,0.00000000,-0.00000000
-5.38169085,0.67988713,-1.14071922,0.30558087,-0.50302770,0.26327566,-0.42387930,0.03125576,-0.05753723,0.11909486,-0.20673633,0.27639851,-0.46205961,0.00000000,-0.00000000
-5.37568784,0.64185908,-1.11191044,0.29019892,-0.48897892,0.24595673,-0.41159983,0.02894138,-0.05594805,0.11648196,-0.20426625,0.25726517,-0.44784644,0.00000000,-0.00000000
