energy_ev,total_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up,V_p_up,V_d_up
-6.00000000,3.17587223,0.02908280,1.95877684,0.08465567,0.00010010,2.22459258,0.80904575
-5.99399700,3.00671431,0.02787884,1.85785701,0.07973682,0.00009353,2.12161713,0.76955712
-5.98799400,2.84557766,0.02689682,1.76083791,0.07528779,0.00008757,2.01770857,0.73309426
-5.98199100,2.69415293,0.02615754,1.66874286,0.07135595,0.00008227,1.91387856,0.70016712
-5.97598799,2.55398656,0.02567636,1.58250562,0.06797965,0.00007772,1.81115591,0.67121139
-5.96998499,2.42645598,0.02546285,1.50295614,0.06518764,0.00007397,1.71056816,0.64658256
-5.96398199,2.31275118,0.02552070,1.43081007,0.06299889,0.00007109,1.61312420,0.62655260
-5.95797899,2.21386229,0.02584766,1.36666212,0.06142266,0.00006914,1.51979812,0.61130903
-5.95197599,2.13057249,0.02643582,1.31098266,0.06045885,0.00006817,1.43151429,0.60095624
-5.94597299,2.06345550,0.02727186,1.26411732,0.06009856,0.00006823,1.34913371,0.59551865
-5.93996998,2.01287685,0.02833756,1.22628898,0.06032486,0.00006935,1.27344163,0.59494564
-5.93396698,1.97899809,0.02961037,1.19760184,0.06111367,0.00007156,1.20513630,0.59911769
-5.92796398,1.96178325,0.03106408,1.17804698,0.06243472,0.00007488,1.14481903,0.60785354
-5.92196098,1.96100673,0.03266962,1.16750901,0.06425255,0.00007932,1.09298531,0.62091811
-5.91595798,1.97626222,0.03439582,1.16577350,0.06652753,0.00008485,1.05001710,0.63803077
-5.90995498,2.00697197,0.03621029,1.17253466,0.06921677,0.00009147,1.01617634,0.65887365
-5.90395198,2.05239631,0.03808028,1.18740314,0.07227499,0.00009911,0.99159956,0.68309992
-5.89794897,2.11164299,0.03997348,1.20991363,0.07565531,0.00010772,0.97629379,0.71034149
-5.89194597,2.18367653,0.04185882,1.23953213,0.07930987,0.00011721,0.97013383,0.74021622
-5.88594297,2.26732754,0.04370719,1.27566276,0.08319032,0.00012750,0.97286095,0.77233433
-5.87993997,2.36130233,0.04549203,1.31765423,0.08724820,0.00013846,0.98408327,0.80630394
-5.87393697,2.46419316,0.04718987,1.36480602,0.09143523,0.00014994,1.00327798,0.84173580
-5.86793397,2.57448973,0.04878069,1.41637443,0.09570343,0.00016181,1.02979575,0.87824712
-5.86193097,2.69059237,0.05024819,1.47157891,0.10000530,0.00017390,1.06286737,0.91546476
-5.85592796,2.81082766,0.05157990,1.52960894,0.10429382,0.00018602,1.10161315,0.95302789
-5.84992496,2.93346695,0.05276722,1.58963179,0.10852265,0.00019799,1.14505508,0.99059031
-5.84392196,3.05674836,0.05380528,1.65080166,0.11264624,0.00020963,1.19213197,1.02782278
-5.83791896,3.17890253,0.05469274,1.71227032,0.11662019,0.00022075,1.24171768,1.06441547
-5.83191596,3.29818221,0.05543152,1.77319968,0.12040159,0.00023116,1.29264221,1.10008085
-5.82591296,3.41289541,0.05602648,1.83277611,0.12394969,0.00024071,1.34371553,1.13455720
-5.81990995,3.52144165,0.05648502,1.89022655,0.12722662,0.00024923,1.39375360,1.16761263
-5.81390695,3.62235022,0.05681674,1.94483609,0.13019828,0.00025659,1.44160601,1.19904980
