energy_ev,total_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,3.35666983,0.00931200,0.41947838,1.00592918,0.70535209,0.01089224,1.81636216,0.85187253,0.44935917
-5.99399700,3.48626232,0.00970450,0.43221736,1.05428967,0.72993981,0.01090764,1.89113558,0.90057440,0.46605740
-5.98799400,3.61825186,0.01010316,0.44486330,1.10339658,0.75474080,0.01096363,1.96735089,0.95027356,0.48353970
-5.98199100,3.75139137,0.01050002,0.45723082,1.15281926,0.77955455,0.01105889,2.04435665,1.00046594,0.50161713
-5.97598799,3.88435368,0.01088670,0.46913182,1.20208906,0.80417761,0.01119040,2.12145328,1.05061587,0.52007801
-5.96998499,4.01574268,0.01125458,0.48037644,1.25069879,0.82840559,0.01135345,2.19789939,1.10016159,0.53869111
-5.96398199,4.14410948,0.01159503,0.49077449,1.29810476,0.85203548,0.01154186,2.27292115,1.14852247,0.55720983
-5.95797899,4.26797354,0.01189965,0.50013738,1.34373196,0.87486815,0.01174817,2.34572452,1.19510801,0.57537730
-5.95197599,4.38584830,0.01216048,0.50828073,1.38698230,0.89671116,0.01196388,2.41551000,1.23932840,0.59293223
-5.94597299,4.49627065,0.01237030,0.51502749,1.42724583,0.91738151,0.01217978,2.48148952,1.28060629,0.60961528
-5.93996998,4.59783299,0.01252277,0.52021150,1.46391471,0.93670847,0.01238629,2.54290463,1.31838957,0.62517577
-5.93396698,4.68921678,0.01261270,0.52368148,1.49639926,0.95453619,0.01257377,2.59904537,1.35216445,0.63937841
-5.92796398,4.76922585,0.01263616,0.52530522,1.52414543,0.97072602,0.01273289,2.64926864,1.38146845,0.65200972
-5.92196098,4.83681783,0.01259064,0.52497372,1.54665275,0.98515846,0.01285496,2.69301533,1.40590269,0.66288394
-5.91595798,4.89113227,0.01247510,0.52260526,1.56349200,0.99773448,0.01293223,2.72982511,1.42514285,0.67184800
-5.90995498,4.93151362,0.01228999,0.51814888,1.57432132,1.00837630,0.01295813,2.75934815,1.43894827,0.67878550
-5.90395198,4.95752793,0.01203725,0.51158737,1.57890010,1.01702742,0.01292752,2.78135296,1.44716876,0.68361924
-5.89794897,4.96897234,0.01172022,0.50293934,1.57709968,1.02365205,0.01283679,2.79572994,1.44974860,0.68631245
-5.89194597,4.96587648,0.01134351,0.49226024,1.56891014,1.02823377,0.01268402,2.80249036,1.44672768,0.68686847
-5.88594297,4.94849590,0.01091283,0.47964236,1.55444287,1.03077363,0.01246895,2.80176086,1.43823943,0.68532895
-5.87993997,4.91729763,0.01043487,0.46521353,1.53392855,1.03128784,0.01219301,2.79377360,1.42450583,0.68177073
-5.87393697,4.87293868,0.00991698,0.44913466,1.50771062,1.02980505,0.01185919,2.77885287,1.40582948,0.67630148
-5.86793397,4.81623860,0.00936704,0.43159616,1.47623451,1.02636352,0.01147194,2.75739870,1.38258329,0.66905445
-5.86193097,4.74814756,0.00879316,0.41281332,1.44003317,1.02100833,0.01103697,2.72986854,1.35519807,0.66018249
-5.85592796,4.66971165,0.00820351,0.39302083,1.39970959,1.01378885,0.01056107,2.69675800,1.32414879,0.64985177
-5.84992496,4.58203712,0.00760605,0.37246676,1.35591711,1.00475657,0.01005186,2.65858181,1.28993995,0.63823547
-5.84392196,4.48625557,0.00700841,0.35140605,1.30933862,0.99396350,0.00951758,2.61585581,1.25309089,0.62550768
-5.83791896,4.38349145,0.00641765,0.33009401,1.26066552,0.98146126,0.00896680,2.56908123,1.21412149,0.61183803
-5.83191596,4.27483365,0.00584017,0.30877992,1.21057742,0.96730081,0.00840824,2.51873164,1.17353907,0.59738694
-5.82591296,4.16131204,0.00528160,0.28770109,1.15972352,0.95153296,0.00785052,2.46524336,1.13182679,0.58230195
-5.81990995,4.04387990,0.00474673,0.26707750,1.10870637,0.93420953,0.00730199,2.40900949,1.08943405,0.56671516
-5.81390695,3.92340254,0.00423945,0.24710735,1.05806862,0.91538500,0.00677052,2.35037762,1.04676906,0.55074169
-5.80790395,3.80065198,0.00376279,0.22796352,1.00828311,0.89511864,0.00626341,2.28965103,1.00419386,0.53447935
-5.80190095,3.67630744,0.00331891,0.20979107,0.95974652,0.87347683,0.00578724,2.22709286,0.96202156,0.51800924
-5.79589795,3.55096074,0.00290913,0.19270584,0.91277654,0.85053541,0.00534781,2.16293280,0.92051583,0.50139720
-5.78989495,3.42512570,0.00253403,0.17679407,0.86761246,0.82638184,0.00495008,2.09737546,0.87989235,0.48469602
-5.78389195,3.29925029,0.00219351,0.16211300,0.82441861,0.80111697,0.00459814,2.03060961,0.84032183,0.46794798
-5.77788894,3.17373039,0.00188689,0.14869234,0.78329044,0.77485634,0.00429519,1.96281768,0.80193431,0.45118779
-5.77188594,3.04892397,0.00161299,0.13653640,0.74426244,0.74773068,0.00404355,1.89418453,0.76482431,0.43444545
-5.76588294,2.92516435,0.00137023,0.12562680,0.70731743,0.71988575,0.00384469,1.82490510,0.72905630,0.41774900
-5.75987994,2.80277195,0.00115673,0.11592558,0.67239659,0.69148138,0.00369921,1.75519018,0.69467034,0.40112700
-5.75387694,2.68206342,0.00097039,0.10737843,0.63940961,0.66268961,0.00360691,1.68527028,0.66168732,0.38461051
-5.74787394,2.56335805,0.00080897,0.09991800,0.60824442,0.63369228,0.00356678,1.61539700,0.63011366,0.36823459
-5.74187094,2.44698088,0.00067020,0.09346715,0.57877616,0.60467789,0.00357705,1.54584239,0.59994532,0.35203916
-5.73586793,2.33326287,0.00055177,0.08794188,0.55087494,0.57583803,0.00363522,1.47689603,0.57117085,0.33606942
-5.72986493,2.22253817,0.00045144,0.08325405,0.52441231,0.54736363,0.00373805,1.40886036,0.54377362,0.32037563
-5.72386193,2.11513911,0.00036707,0.07931369,0.49926615,0.51944095,0.00388165,1.34204459,0.51773313,0.30501244
-5.71785893,2.01138933,0.00029663,0.07603098,0.47532415,0.49224778,0.00406148,1.27675766,0.49302559,0.29003784
-5.71185593,1.91159594,0.00023825,0.07331772,0.45248580,0.46594995,0.00427241,1.21330064,0.46962395,0.27551186
-5.70585293,1.81604122,0.00019022,0.07108865,0.43066321,0.44069814,0.00450875,1.15195927,0.44749736,0.26149507
-5.69984992,1.72497468,0.00015099,0.06926223,0.40978085,0.41662545,0.00476438,1.09299684,0.42661057,0.24804691
-5.69384692,1.63860602,0.00011918,0.06776134,0.38977447,0.39384543,0.00503279,1.03664796,0.40692311,0.23522423
-5.68784392,1.55709951,0.00009358,0.06651369,0.37058958,0.37245102,0.00530719,0.98311349,0.38838875,0.22307976
-5.68184092,1.48057016,0.00007313,0.06545207,0.35217952,0.35251412,0.00558066,0.93255674,0.37095510,0.21166079
-5.67583792,1.40908183,0.00005693,0.06451462,0.33450362,0.33408585,0.00584626,0.88510118,0.35456366,0.20100813
-5.66983492,1.34264744,0.00004420,0.06364490,0.31752541,0.31719757,0.00609719,0.84082955,0.33915028,0.19115523
-5.66383192,1.28123108,0.00003429,0.06279212,0.30121115,0.30186235,0.00632694,0.79978435,0.32464605,0.18212754
-5.65782891,1.22475181,0.00002665,0.06191125,0.28552878,0.28807690,0.00652945,0.76196953,0.31097856,0.17394218
-5.65182591,1.17308889,0.00002084,0.06096320,0.27044724,0.27582386,0.00669928,0.72735316,0.29807362,0.16660774
-5.64582291,1.12608798,0.00001649,0.05991498,0.25593630,0.26507423,0.00683172,0.69587078,0.28585706,0.16012433
-5.63981991,1.08356784,0.00001332,0.05873993,0.24196673,0.25578984,0.00692294,0.66742936,0.27425675,0.15448377
-5.63381691,1.04532732,0.00001109,0.05741776,0.22851075,0.24792579,0.00697009,0.64191135,0.26320460,0.14966986
-5.62781391,1.01115188,0.00000962,0.05593472,0.21554280,0.24143265,0.00697138,0.61917884,0.25263835,0.14565885
-5.62181091,0.98081975,0.00000877,0.05428351,0.20304028,0.23625844,0.00692610,0.59907755,0.24250318,0.14241988
-5.61580790,0.95410713,0.00000845,0.05246320,0.19098435,0.23235032,0.00683465,0.58144051,0.23275290,0.13991554
-5.60980490,0.93079250,0.00000858,0.05047896,0.17936063,0.22965582,0.00669849,0.56609140,0.22335079,0.13810252
-5.60380190,0.91065986,0.00000911,0.04834162,0.16815967,0.22812387,0.00652009,0.55284762,0.21426992,0.13693220
-5.59779890,0.89350105,0.00001002,0.04606721,0.15737714,0.22770530,0.00630283,0.54152295,0.20549304,0.13635146
-5.59179590,0.87911710,0.00001128,0.04367620,0.14701385,0.22835314,0.00605087,0.53193001,0.19701206,0.13630344
-5.58579290,0.86731892,0.00001290,0.04119278,0.13707536,0.23002252,0.00576899,0.52388253,0.18882713,0.13672848
-5.57978989,0.85792743,0.00001488,0.03864395,0.12757138,0.23267040,0.00546245,0.51719760,0.18094541,0.13756505
-5.57378689,0.85077322,0.00001722,0.03605861,0.11851493,0.23625497,0.00513680,0.51169786,0.17337969,0.13875082
-5.56778389,0.84569612,0.00001994,0.03346661,0.10992138,0.24073494,0.00479769,0.50721371,0.16614682,0.14022378
-5.56178089,0.84254455,0.00002303,0.03089785,0.10180732,0.24606857,0.00445076,0.50358566,0.15926613,0.14192339
-5.55577789,0.84117487,0.00002652,0.02838138,0.09418948,0.25221266,0.00410140,0.50066659,0.15275798,0.14379172
-5.54977489,0.84145072,0.00003040,0.02594465,0.08708369,0.25912131,0.00375468,0.49832395,0.14664231,0.14577459
-5.54377189,0.84324225,0.00003466,0.02361285,0.08050394,0.26674468,0.00341520,0.49644179,0.14093747,0.14782252
-5.53776888,0.84642531,0.00003930,0.02140838,0.07446160,0.27502754,0.00308701,0.49492240,0.13565922,0.14989161
-5.53176588,0.85088037,0.00004428,0.01935045,0.06896491,0.28390790,0.00277354,0.49368755,0.13081992,0.15194420
-5.52576288,0.85649121,0.00004957,0.01745493,0.06401866,0.29331559,0.00247757,0.49267897,0.12642799,0.15394927
-5.51975988,0.86314325,0.00005514,0.01573419,0.05962412,0.30317085,0.00220120,0.49185817,0.12248755,0.15588252
-5.51375688,0.87072165,0.00006093,0.01419723,0.05577919,0.31338315,0.00194590,0.49120543,0.11899822,0.15772628
-5.50775388,0.87910898,0.00006686,0.01284982,0.05247880,0.32385021,0.00171251,0.49071793,0.11595516,0.15946900
-5.50175088,0.88818287,0.00007287,0.01169485,0.04971545,0.33445730,0.00150129,0.49040703,0.11334908,0.16110454
-5.49574787,0.89781359,0.00007887,0.01073265,0.04747991,0.34507707,0.00131201,0.49029503,0.11116655,0.16263127
-5.48974487,0.90786186,0.00008476,0.00996146,0.04576197,0.35556988,0.00114400,0.49041122,0.10939026,0.16405093
-5.48374187,0.91817716,0.00009045,0.00937785,0.04455133,0.36578476,0.00099623,0.49078783,0.10799939,0.16536752
-5.47773887,0.92859675,0.00009585,0.00897723,0.04383836,0.37556112,0.00086741,0.49145581,0.10697007,0.16658602
-5.47173587,0.93894569,0.00010084,0.00875429,0.04361493,0.38473111,0.00075601,0.49244093,0.10627591,0.16771136
-5.46573287,0.94903797,0.00010535,0.00870342,0.04387506,0.39312279,0.00066043,0.49376039,0.10588854,0.16874739
-5.45972986,0.95867902,0.00010928,0.00881908,0.04461553,0.40056392,0.00057895,0.49542013,0.10577830,0.16969620
-5.45372686,0.96766945,0.00011255,0.00909612,0.04583629,0.40688632,0.00050989,0.49741315,0.10591491,0.17055753
-5.44772386,0.97581010,0.00011510,0.00953003,0.04754069,0.41193064,0.00045158,0.49971881,0.10626828,0.17132866
-5.44172086,0.98290821,0.00011687,0.01011711,0.04973562,0.41555139,0.00040247,0.50230333,0.10680931,0.17200445
-5.43571786,0.98878439,0.00011784,0.01085456,0.05243136,0.41762195,0.00036110,0.50512134,0.10751068,0.17257777
-5.42971486,0.99328013,0.00011798,0.01174051,0.05564136,0.41803937,0.00032614,0.50811848,0.10834777,0.17304009
-5.42371186,0.99626540,0.00011730,0.01277396,0.05938180,0.41672869,0.00029642,0.51123480,0.10929939,0.17338239
-5.41770885,0.99764600,0.00011584,0.01395467,0.06367108,0.41364665,0.00027094,0.51440883,0.11034856,0.17359614
-5.41170585,0.99737022,0.00011362,0.01528306,0.06852912,0.40878449,0.00024881,0.51758203,0.11148318,0.17367436
-5.40570285,0.99543436,0.00011073,0.01675994,0.07397672,0.40216972,0.00022934,0.52070336,0.11269649,0.17361275
-5.39969985,0.99188694,0.00010724,0.01838633,0.08003480,0.39386682,0.00021196,0.52373367,0.11398752,0.17341073
-5.39369685,0.98683130,0.00010325,0.02016323,0.08672368,0.38397680,0.00019621,0.52664973,0.11536126,0.17307236
-5.38769385,0.98042641,0.00009889,0.02209139,0.09406244,0.37263563,0.00018179,0.52944765,0.11682875,0.17260711
-5.38169085,0.97288590,0.00009428,0.02417111,0.10206829,0.36001164,0.00016846,0.53214543,0.11840690,0.17203042
