energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.42943745,-1.42943846,0.04172441,-0.04172420,0.11679455,-0.11679472,0.30339780,-0.30339788,0.11292071,-0.11292161,0.28959964,-0.28960054,0.27664051,-0.27663959,0.00578794,-0.00578796,0.68516853,-0.68516864
-5.99399700,1.37252989,-1.37253063,0.04012838,-0.04012816,0.11174492,-0.11174508,0.28593142,-0.28593148,0.11099106,-0.11099191,0.27891473,-0.27891566,0.26175314,-0.26175214,0.00547840,-0.00547842,0.65894102,-0.65894101
-5.98799400,1.31668661,-1.31668705,0.03842562,-0.03842538,0.10693679,-0.10693695,0.26911230,-0.26911234,0.10900935,-0.10901015,0.26902902,-0.26902998,0.24682190,-0.24682082,0.00520205,-0.00520207,0.63314889,-0.63314875
-5.98199100,1.26217862,-1.26217875,0.03663521,-0.03663496,0.10238879,-0.10238892,0.25303859,-0.25303860,0.10697804,-0.10697877,0.25991745,-0.25991840,0.23197679,-0.23197566,0.00495762,-0.00495764,0.60790840,-0.60790813
-5.97598799,1.20918367,-1.20918347,0.03477690,-0.03477663,0.09810732,-0.09810743,0.23777788,-0.23777786,0.10489485,-0.10489551,0.25152580,-0.25152673,0.21733476,-0.21733358,0.00474292,-0.00474294,0.58329376,-0.58329336
-5.96998499,1.15779178,-1.15779123,0.03287061,-0.03287033,0.09408752,-0.09408759,0.22336828,-0.22336822,0.10275332,-0.10275392,0.24377500,-0.24377588,0.20299856,-0.20299735,0.00455506,-0.00455508,0.55934018,-0.55933963
-5.96398199,1.10801492,-1.10801402,0.03093597,-0.03093568,0.09031464,-0.09031468,0.20982076,-0.20982067,0.10054370,-0.10054422,0.23656631,-0.23656713,0.18905628,-0.18905506,0.00439059,-0.00439060,0.53604859,-0.53604789
-5.95797899,1.05980011,-1.05979884,0.02899193,-0.02899165,0.08676593,-0.08676592,0.19712258,-0.19712244,0.09825404,-0.09825448,0.22978730,-0.22978803,0.17558139,-0.17558016,0.00424571,-0.00424572,0.51339196,-0.51339111
-5.95197599,1.01304495,-1.01304329,0.02705640,-0.02705611,0.08341277,-0.08341271,0.18524143,-0.18524123,0.09587149,-0.09587185,0.22331811,-0.22331873,0.16263325,-0.16263204,0.00411648,-0.00411649,0.49132259,-0.49132158
-5.94597299,0.96761473,-0.96761268,0.02514593,-0.02514565,0.08022298,-0.08022287,0.17413008,-0.17412983,0.09338375,-0.09338402,0.21703789,-0.21703839,0.15025808,-0.15025689,0.00399900,-0.00399901,0.46978006,-0.46977888
-5.93996998,0.92336013,-0.92335770,0.02327551,-0.02327523,0.07716322,-0.07716305,0.16373132,-0.16373102,0.09078044,-0.09078063,0.21083094,-0.21083129,0.13849013,-0.13848897,0.00388957,-0.00388958,0.44869933,-0.44869800
-5.93396698,0.88013441,-0.88013160,0.02145840,-0.02145813,0.07420120,-0.07420097,0.15398277,-0.15398241,0.08805451,-0.08805462,0.20459237,-0.20459258,0.12735322,-0.12735210,0.00378487,-0.00378487,0.42801865,-0.42801717
-5.92796398,0.83780937,-0.83780620,0.01970606,-0.01970580,0.07130781,-0.07130752,0.14482146,-0.14482105,0.08520347,-0.08520351,0.19823307,-0.19823312,0.11686231,-0.11686123,0.00368205,-0.00368205,0.40768675,-0.40768512
-5.92196098,0.79628924,-0.79628574,0.01802810,-0.01802786,0.06845885,-0.06845851,0.13618790,-0.13618744,0.08223046,-0.08223042,0.19168368,-0.19168357,0.10702516,-0.10702413,0.00357887,-0.00357887,0.38766907,-0.38766730
-5.91595798,0.75552193,-0.75551815,0.01643236,-0.01643214,0.06563650,-0.06563612,0.12802952,-0.12802901,0.07914496,-0.07914485,0.18489754,-0.18489727,0.09784396,-0.09784299,0.00347375,-0.00347374,0.36795277,-0.36795089
-5.90995498,0.71550722,-0.71550318,0.01492494,-0.01492472,0.06283030,-0.06282987,0.12030337,-0.12030282,0.07596334,-0.07596318,0.17785249,-0.17785207,0.08931686,-0.08931597,0.00336577,-0.00336576,0.34855030,-0.34854831
-5.90395198,0.67630158,-0.67629735,0.01351033,-0.01351013,0.06003772,-0.06003726,0.11297800,-0.11297741,0.07270901,-0.07270879,0.17055156,-0.17055101,0.08143937,-0.08143854,0.00325474,-0.00325473,0.32950135,-0.32949930
-5.89794897,0.63801974,-0.63801539,0.01219157,-0.01219139,0.05726435,-0.05726385,0.10603452,-0.10603392,0.06941219,-0.06941193,0.16302253,-0.16302185,0.07420546,-0.07420471,0.00314114,-0.00314113,0.31087342,-0.31087132
-5.89194597,0.60083301,-0.60082859,0.01097042,-0.01097025,0.05452357,-0.05452305,0.09946694,-0.09946632,0.06610950,-0.06610920,0.15531646,-0.15531569,0.06760860,-0.06760793,0.00302607,-0.00302606,0.29276072,-0.29275861
-5.88594297,0.56496458,-0.56496018,0.00984745,-0.00984730,0.05183595,-0.05183543,0.09328165,-0.09328103,0.06284307,-0.06284276,0.14750544,-0.14750458,0.06164242,-0.06164182,0.00291120,-0.00291118,0.27528190,-0.27527981
-5.87993997,0.53068246,-0.53067816,0.00882227,-0.00882214,0.04922827,-0.04922775,0.08749645,-0.08749585,0.05965958,-0.05965926,0.13967955,-0.13967864,0.05630117,-0.05630065,0.00279866,-0.00279865,0.25857649,-0.25857446
-5.87393697,0.49829025,-0.49828613,0.00789365,-0.00789353,0.04673229,-0.04673179,0.08213896,-0.08213838,0.05660894,-0.05660863,0.13194339,-0.13194244,0.05158001,-0.05157957,0.00269097,-0.00269096,0.24280058,-0.24279864
-5.86793397,0.46811658,-0.46811273,0.00705966,-0.00705955,0.04438338,-0.04438289,0.07724465,-0.07724412,0.05374288,-0.05374259,0.12441226,-0.12441130,0.04747498,-0.04747462,0.00259092,-0.00259091,0.22812169,-0.22811989
-5.86193097,0.44050361,-0.44050011,0.00631775,-0.00631765,0.04221891,-0.04221846,0.07285473,-0.07285425,0.05111348,-0.05111322,0.11720828,-0.11720735,0.04398291,-0.04398264,0.00250145,-0.00250144,0.21471346,-0.21471184
-5.85592796,0.41579531,-0.41579222,0.00566490,-0.00566482,0.04027678,-0.04027637,0.06901379,-0.06901339,0.04877158,-0.04877136,0.11045659,-0.11045571,0.04110111,-0.04110093,0.00242557,-0.00242556,0.20275009,-0.20274867
-5.84992496,0.39432593,-0.39432334,0.00509765,-0.00509758,0.03859380,-0.03859344,0.06576756,-0.06576724,0.04676529,-0.04676513,0.10428173,-0.10428092,0.03882695,-0.03882685,0.00236621,-0.00236621,0.19240105,-0.19239987
-5.84392196,0.37640941,-0.37640737,0.00461220,-0.00461214,0.03720428,-0.03720398,0.06316069,-0.06316046,0.04513859,-0.04513850,0.09880451,-0.09880380,0.03715744,-0.03715742,0.00232619,-0.00232619,0.18382613,-0.18382523
-5.83791896,0.36232975,-0.36232832,0.00420440,-0.00420435,0.03613866,-0.03613842,0.06123478,-0.06123466,0.04393000,-0.04392998,0.09413928,-0.09413868,0.03608871,-0.03608877,0.00230808,-0.00230808,0.17717111,-0.17717051
-5.83191596,0.35233312,-0.35233233,0.00386983,-0.00386979,0.03542237,-0.03542220,0.06002672,-0.06002670,0.04317146,-0.04317152,0.09039178,-0.09039133,0.03561559,-0.03561574,0.00231414,-0.00231415,0.17256416,-0.17256387
