energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,2.41279208,0.00262087,0.77032503,0.13952322,0.01236147,0.49655530,0.53730339,1.11988032
-5.99399700,2.39795265,0.00278963,0.76566580,0.13919557,0.01279132,0.49461477,0.54560165,1.11079527
-5.98799400,2.38625218,0.00297031,0.76119169,0.13907688,0.01330671,0.49433280,0.55466242,1.10179306
-5.98199100,2.37900356,0.00316274,0.75730246,0.13923840,0.01391341,0.49601925,0.56469397,1.09350786
-5.97598799,2.37743026,0.00336660,0.75438283,0.13974111,0.01461562,0.49995055,0.57589433,1.08655253
-5.96998499,2.38262370,0.00358142,0.75278978,0.14063331,0.01541569,0.50635950,0.58844378,1.08149821
-5.96398199,2.39550571,0.00380654,0.75284100,0.14194864,0.01631398,0.51542649,0.60249797,1.07885563
-5.95797899,2.41679731,0.00404110,0.75480499,0.14370468,0.01730869,0.52727254,0.61818169,1.07905875
-5.95197599,2.44699492,0.00428404,0.75889293,0.14590214,0.01839589,0.54195435,0.63558380,1.08245130
-5.94597299,2.48635463,0.00453410,0.76525273,0.14852471,0.01956950,0.55946165,0.65475323,1.08927653
-5.93996998,2.53488490,0.00478984,0.77396523,0.15153948,0.02082140,0.57971683,0.67569631,1.09967050
-5.93396698,2.59234771,0.00504963,0.78504258,0.15489797,0.02214164,0.60257693,0.69837541,1.11365892
-5.92796398,2.65826796,0.00531171,0.79842885,0.15853776,0.02351869,0.62783792,0.72270900,1.13115766
-5.92196098,2.73195052,0.00557425,0.81400273,0.16238454,0.02493974,0.65524105,0.74857309,1.15197669
-5.91595798,2.81250427,0.00583534,0.83158206,0.16635463,0.02639111,0.68448116,0.77580391,1.17582735
-5.90995498,2.89887217,0.00609311,0.85093024,0.17035780,0.02785869,0.71521652,0.80420189,1.20233256
-5.90395198,2.98986637,0.00634576,0.87176401,0.17430030,0.02932835,0.74707997,0.83353672,1.23103972
-5.89794897,3.08420704,0.00659162,0.89376261,0.17808810,0.03078648,0.77969088,0.86355338,1.26143572
-5.89194597,3.18056375,0.00682925,0.91657795,0.18163005,0.03222041,0.81266748,0.89397901,1.29296382
-5.88594297,3.27759813,0.00705748,0.93984553,0.18484101,0.03361894,0.84563913,0.92453036,1.32504166
-5.87993997,3.37400627,0.00727547,0.96319586,0.18764478,0.03497271,0.87825812,0.95492169,1.35708006
-5.87393697,3.46855972,0.00748277,0.98626604,0.18997670,0.03627462,0.91021040,0.98487281,1.38850185
-5.86793397,3.56014356,0.00767938,1.00871118,0.19178591,0.03752015,0.94122491,1.01411706,1.41876039
-5.86193097,3.64779043,0.00786576,1.03021544,0.19303708,0.03870757,0.97108118,1.04240894,1.44735686
-5.85592796,3.73070922,0.00804283,1.05050208,0.19371164,0.03983815,0.99961474,1.06953117,1.47385607
