energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,1.13325986,0.00439059,0.26498067,0.37632179,0.36002313,0.02739785,0.11772395,0.04224182,0.25959207
-5.99399700,1.13249322,0.00416720,0.26290152,0.38114406,0.35448755,0.02674328,0.11970091,0.04241409,0.26076379
-5.98799400,1.13239813,0.00398556,0.26059740,0.38474189,0.34900669,0.02660865,0.12159711,0.04277363,0.26309726
-5.98199100,1.13237082,0.00384393,0.25791549,0.38689233,0.34336644,0.02698878,0.12336617,0.04330536,0.26648038
-5.97598799,1.13192023,0.00374053,0.25472438,0.38741856,0.33737781,0.02788121,0.12497563,0.04399877,0.27083229
-5.96998499,1.13068803,0.00367363,0.25092048,0.38619670,0.33088627,0.02928615,0.12640821,0.04484822,0.27610557
-5.96398199,1.12846111,0.00364170,0.24643302,0.38316046,0.32377932,0.03120594,0.12766247,0.04585290,0.28228602
-5.95797899,1.12517619,0.00364338,0.24122757,0.37830357,0.31599194,0.03364426,0.12875241,0.04701645,0.28938997
-5.95197599,1.12091665,0.00367753,0.23530800,0.37167984,0.30750999,0.03660492,0.12970634,0.04834617,0.29745957
-5.94597299,1.11590210,0.00374319,0.22871694,0.36340109,0.29837150,0.04009042,0.13056499,0.04985193,0.30655588
-5.93996998,1.11047158,0.00383955,0.22153474,0.35363298,0.28866603,0.04410034,0.13137885,0.05154483,0.31675064
-5.93396698,1.10506160,0.00396587,0.21387728,0.34258924,0.27853233,0.04862963,0.13220511,0.05343564,0.32811671
-5.92796398,1.10018050,0.00412141,0.20589276,0.33052444,0.26815464,0.05366694,0.13310420,0.05553317,0.34071814
-5.92196098,1.09638083,0.00430532,0.19775764,0.31772600,0.25775780,0.05919302,0.13413624,0.05784264,0.35460012
-5.91595798,1.09423138,0.00451657,0.18967222,0.30450553,0.24760180,0.06517947,0.13535752,0.06036411,0.36977975
-5.90995498,1.09429056,0.00475386,0.18185587,0.29119033,0.23797576,0.07158779,0.13681736,0.06309117,0.38623794
-5.90395198,1.09708278,0.00501560,0.17454234,0.27811504,0.22919196,0.07836889,0.13855538,0.06600984,0.40391321
-5.89794897,1.10307898,0.00529982,0.16797517,0.26561417,0.22157989,0.08546319,0.14059947,0.06909789,0.42269772
-5.89194597,1.11268237,0.00560421,0.16240351,0.25401542,0.21548059,0.09280130,0.14296450,0.07232457,0.44243606
