energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.80450957,0.58976540,0.83472886,0.00145694,0.65554853,1.13978550,1.63052786,0.01770542,0.43031126
-5.99399700,3.75293103,0.58998611,0.82690241,0.00139365,0.64180636,1.11992375,1.60873082,0.01744904,0.42272889
-5.98799400,3.68921763,0.58908101,0.81592875,0.00133408,0.62584700,1.09750318,1.58132711,0.01710194,0.41488250
-5.98199100,3.61483919,0.58718753,0.80207736,0.00127792,0.60803311,1.07304106,1.54893115,0.01666895,0.40692440
-5.97598799,3.53147824,0.58447542,0.78567696,0.00122490,0.58876235,1.04710342,1.51224736,0.01615686,0.39901697
-5.96998499,3.44097359,0.58114019,0.76710518,0.00117483,0.56845400,1.02028528,1.47204689,0.01557414,0.39132690
-5.96398199,3.34525935,0.57739521,0.74677639,0.00112760,0.54753504,0.99318950,1.42914271,0.01493075,0.38401904
-5.95797899,3.24630163,0.57346273,0.72512857,0.00108310,0.52642627,0.96640526,1.38436420,0.01423775,0.37725010
-5.95197599,3.14603555,0.56956433,0.70260939,0.00104129,0.50552908,0.94048708,1.33853212,0.01350705,0.37116239
-5.94597299,3.04630497,0.56591118,0.67966236,0.00100212,0.48521323,0.91593523,1.29243485,0.01275099,0.36587793
-5.93996998,2.94880724,0.56269456,0.65671331,0.00096554,0.46580623,0.89317849,1.24680685,0.01198207,0.36149321
-5.93396698,2.85504510,0.56007724,0.63415792,0.00093147,0.44758474,0.87255981,1.20230985,0.01121256,0.35807475
-5.92796398,2.76628731,0.55818593,0.61235063,0.00089981,0.43076807,0.85432563,1.15951761,0.01045429,0.35565581
-5.92196098,2.68353928,0.55710538,0.59159541,0.00087042,0.41551417,0.83861925,1.11890437,0.00971834,0.35423432
-5.91595798,2.60752456,0.55687432,0.57213850,0.00084312,0.40191801,0.82547837,1.08083741,0.00901485,0.35377220
-5.90995498,2.53867743,0.55748349,0.55416356,0.00081768,0.39001244,0.81483689,1.04557374,0.00835288,0.35419610
-5.90395198,2.47714636,0.55887584,0.53778911,0.00079384,0.37977125,0.80653092,1.01326070,0.00774030,0.35539951
-5.89794897,2.42280779,0.56094883,0.52306833,0.00077132,0.37111424,0.80030837,0.98394036,0.00718372,0.35724626
-5.89194597,2.37528906,0.56355887,0.50999113,0.00074979,0.36391401,0.79584187,0.95755716,0.00668852,0.35957516
-5.88594297,2.33399920,0.56652743,0.49848836,0.00072895,0.35800406,0.79274418,0.93396841,0.00625887,0.36220561
-5.87993997,2.29816590,0.56964876,0.48843773,0.00070846,0.35318782,0.79058544,0.91295699,0.00589780,0.36494397
-5.87393697,2.26687683,0.57269856,0.47967133,0.00068803,0.34924812,0.78891142,0.89424569,0.00560728,0.36759038
-5.86793397,2.23912342,0.57544343,0.47198432,0.00066739,0.34595677,0.78726192,0.87751243,0.00538836,0.36994570
-5.86193097,2.21384527,0.57765047,0.46514439,0.00064629,0.34308386,0.78518857,0.86240583,0.00524128,0.37181831
-5.85592796,2.18997328,0.57909652,0.45890167,0.00062456,0.34040629,0.78227127,0.84856042,0.00516555,0.37303057
-5.84992496,2.16647004,0.57957687,0.45299867,0.00060204,0.33771539,0.77813265,0.83561105,0.00516006,0.37342439
-5.84392196,2.14236584,0.57891273,0.44717995,0.00057868,0.33482335,0.77245007,0.82320592,0.00522319,0.37286614
-5.83791896,2.11678934,0.57695740,0.44120117,0.00055444,0.33156824,0.76496463,0.81101779,0.00535281,0.37125023
-5.83191596,2.08899197,0.57360074,0.43483714,0.00052935,0.32781755,0.75548726,0.79875329,0.00554635,0.36850168
-5.82591296,2.05836556,0.56877193,0.42788887,0.00050352,0.32347030,0.74390151,0.78615983,0.00580078,0.36457734
-5.81990995,2.02445293,0.56244035,0.42018913,0.00047707,0.31845760,0.73016334,0.77303029,0.00611259,0.35946586
-5.81390695,1.98695166,0.55461477,0.41160663,0.00045018,0.31274199,0.71429805,0.75920532,0.00647777,0.35318655
-5.80790395,1.94571132,0.54534080,0.40204871,0.00042304,0.30631547,0.69639467,0.74457346,0.00689170,0.34578705
-5.80190095,1.90072488,0.53469706,0.39146234,0.00039587,0.29919658,0.67659827,0.72906923,0.00734916,0.33734021
-5.79589795,1.85211517,0.52279008,0.37983381,0.00036891,0.29142672,0.65510064,0.71266955,0.00784420,0.32794010
-5.78989495,1.80011741,0.50974848,0.36718693,0.00034239,0.28306589,0.63212997,0.69538864,0.00837017,0.31769766
-5.78389195,1.74505887,0.49571666,0.35357999,0.00031653,0.27418814,0.60793991,0.67727210,0.00891963,0.30673594
-5.77788894,1.68733704,0.48084833,0.33910180,0.00029153,0.26487701,0.58279868,0.65839022,0.00948440,0.29518534
-5.77188594,1.62739728,0.46530029,0.32386683,0.00026760,0.25522103,0.55697869,0.63883120,0.01005561,0.28317899
-5.76588294,1.56571121,0.44922681,0.30800980,0.00024487,0.24530969,0.53074698,0.61869459,0.01062374,0.27084842
-5.75987994,1.50275673,0.43277465,0.29168005,0.00022350,0.23522980,0.50435702,0.59808520,0.01117881,0.25831984
-5.75387694,1.43900070,0.41607928,0.27503581,0.00020358,0.22506259,0.47804187,0.57710800,0.01171054,0.24571093
-5.74787394,1.37488458,0.39926203,0.25823868,0.00018518,0.21488138,0.45200919,0.55586401,0.01220853,0.23312845
-5.74187094,1.31081390,0.38242861,0.24144849,0.00016837,0.20475014,0.42643783,0.53444750,0.01266255,0.22066652
-5.73586793,1.24715133,0.36566875,0.22481886,0.00015317,0.19472265,0.40147620,0.51294447,0.01306281,0.20840576
-5.72986493,1.18421369,0.34905695,0.20849336,0.00013959,0.18484242,0.37724224,0.49143245,0.01340019,0.19641312
-5.72386193,1.12227235,0.33265427,0.19260260,0.00012763,0.17514321,0.35382480,0.46998151,0.01366661,0.18474233
-5.71785893,1.06155693,0.31651094,0.17726211,0.00011730,0.16565000,0.33128625,0.44865627,0.01385520,0.17343504
-5.71185593,1.00226144,0.30066952,0.16257120,0.00010860,0.15638042,0.30966593,0.42751873,0.01396061,0.16252229
-5.70585293,0.94455245,0.28516847,0.14861256,0.00010152,0.14734640,0.28898437,0.40663164,0.01397917,0.15202638
-5.69984992,0.88857838,0.27004584,0.13545268,0.00009610,0.13855594,0.26924773,0.38606220,0.01390904,0.14196294
