energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,4.12787583,0.01030268,0.34860759,0.53788545,2.32042555,0.00000000,0.82976683,0.73948070
-5.99399700,4.17118309,0.01038008,0.34554437,0.54238958,2.35662151,0.00000000,0.84099823,0.73606552
-5.98799400,4.20438463,0.01046228,0.34156220,0.54571070,2.38724361,0.00000000,0.85080947,0.73087877
-5.98199100,4.22770920,0.01055159,0.33674577,0.54792737,2.41231038,0.00000000,0.85927627,0.72408487
-5.97598799,4.24154598,0.01064992,0.33118134,0.54912889,2.43195093,0.00000000,0.86648762,0.71585719
-5.96998499,4.24643064,0.01075871,0.32495478,0.54941295,2.44639823,0.00000000,0.87254106,0.70637438
-5.96398199,4.24302771,0.01087889,0.31815008,0.54888344,2.45597927,0.00000000,0.87753815,0.69581719
-5.95797899,4.23211032,0.01101082,0.31084823,0.54764832,2.46110249,0.00000000,0.88158036,0.68436580
-5.95197599,4.21453778,0.01115432,0.30312649,0.54581787,2.46224323,0.00000000,0.88476560,0.67219777
-5.94597299,4.19123245,0.01130867,0.29505806,0.54350305,2.45992770,0.00000000,0.88718557,0.65948657
-5.93996998,4.16315645,0.01147262,0.28671215,0.54081431,2.45471644,0.00000000,0.88892413,0.64640070
-5.93396698,4.13128958,0.01164446,0.27815432,0.53786068,2.44718797,0.00000000,0.89005676,0.63310330
-5.92796398,4.09660908,0.01182209,0.26944713,0.53474921,2.43792323,0.00000000,0.89065111,0.61975234
-5.92196098,4.06007207,0.01200308,0.26065096,0.53158476,2.42749169,0.00000000,0.89076861,0.60650113
-5.91595798,4.02260116,0.01218480,0.25182500,0.52846997,2.41643933,0.00000000,0.89046707,0.59349922
-5.90995498,3.98507354,0.01236451,0.24302833,0.52550554,2.40527902,0.00000000,0.88980400,0.58089344
-5.90395198,3.94831349,0.01253947,0.23432098,0.52279050,2.39448334,0.00000000,0.88884040,0.56882914
-5.89794897,3.91308813,0.01270711,0.22576495,0.52042257,2.38447974,0.00000000,0.88764480,0.55745127
-5.89194597,3.88010576,0.01286507,0.21742510,0.51849825,2.37564783,0.00000000,0.88629717,0.54690546
-5.88594297,3.85001616,0.01301138,0.20936997,0.51711285,2.36831831,0.00000000,0.88489224,0.53733868
-5.87993997,3.82341193,0.01314452,0.20167219,0.51635991,2.36277319,0.00000000,0.88354211,0.52889955
-5.87393697,3.80082992,0.01326353,0.19440882,0.51633035,2.35924644,0.00000000,0.88237760,0.52173815
-5.86793397,3.78275183,0.01336807,0.18766122,0.51711100,2.35792483,0.00000000,0.88154831,0.51600513
-5.86193097,3.76960330,0.01345841,0.18151463,0.51878249,2.35894819,0.00000000,0.88122100,0.51185024
