energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.77890710,0.71167767,2.16568374,0.00699348,0.49066544,0.03353273,0.48062598,0.91280386,0.44517678
-5.99399700,3.78428727,0.70998258,2.15968967,0.00711445,0.50163674,0.03200621,0.47638956,0.92387266,0.45622974
-5.98799400,3.79519003,0.71019547,2.15668282,0.00721128,0.51385749,0.03054807,0.47195898,0.93775121,0.46788966
-5.98199100,3.81208496,0.71239308,2.15689910,0.00728325,0.52736988,0.02917486,0.46743644,0.95456276,0.48015722
-5.97598799,3.83523693,0.71658774,2.16044780,0.00732984,0.54219137,0.02790061,0.46291192,0.97435258,0.49302466
-5.96998499,3.86470362,0.72272814,2.16731278,0.00735073,0.55831351,0.02673670,0.45846159,0.99708671,0.50647549
-5.96398199,3.90033926,0.73070208,2.17735803,0.00734577,0.57570112,0.02569168,0.45414689,1.02265258,0.52048400
-5.95797899,3.94180419,0.74034137,2.19033718,0.00731502,0.59429165,0.02477130,0.45001419,1.05086137,0.53501454
-5.95197599,3.98857964,0.75142844,2.20590649,0.00725871,0.61399484,0.02397848,0.44609507,1.08145208,0.55002075
-5.94597299,4.03998678,0.76370446,2.22364052,0.00717729,0.63469268,0.02331341,0.44240712,1.11409712,0.56544474
-5.93996998,4.09520938,0.77687864,2.24304969,0.00707143,0.65623982,0.02277371,0.43895511,1.14840930,0.58121626
-5.93396698,4.15331884,0.79063829,2.26359894,0.00694198,0.67846442,0.02235459,0.43573259,1.18395010,0.59725200
-5.92796398,4.21330081,0.80465914,2.28472660,0.00679004,0.70116956,0.02204906,0.43272354,1.22023905,0.61345523
-5.92196098,4.27408234,0.81861567,2.30586251,0.00661692,0.72413538,0.02184821,0.42990420,1.25676407,0.62971567
-5.91595798,4.33455869,0.83219089,2.32644490,0.00642417,0.74712187,0.02174148,0.42724486,1.29299256,0.64590999
-5.90995498,4.39361898,0.84508530,2.34593513,0.00621354,0.76987252,0.02171691,0.42471143,1.32838297,0.66190274
-5.90395198,4.45017010,0.85702453,2.36383005,0.00598699,0.79211858,0.02176147,0.42226695,1.36239669,0.67754793
-5.89794897,4.50315835,0.86776570,2.37967158,0.00574666,0.81358421,0.02186138,0.41987276,1.39450994,0.69269122
-5.89194597,4.55158849,0.87710204,2.39305355,0.00549485,0.83399211,0.02200233,0.41748944,1.42422533,0.70717267
-5.88594297,4.59454003,0.88486584,2.40362572,0.00523398,0.85306972,0.02216986,0.41507750,1.45108282,0.72083006
-5.87993997,4.63118084,0.89092975,2.41109549,0.00496654,0.87055558,0.02234961,0.41259788,1.47466980,0.73350253
-5.87393697,4.66077806,0.89520642,2.41522750,0.00469507,0.88620587,0.02252756,0.41001223,1.49462993,0.74503462
-5.86793397,4.68270670,0.89764684,2.41584177,0.00442209,0.89980073,0.02269035,0.40728314,1.51067052,0.75528024
