energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,10.21074269,0.13355532,0.09513682,1.38406885,0.95472914,0.15094046,2.52617229,1.00115799,4.28820591
-5.99399700,10.23458981,0.13799990,0.09561472,1.36430057,0.96977017,0.15287364,2.53206778,1.00742773,4.28512322
-5.98799400,10.23912389,0.14216037,0.09593873,1.34166989,0.98401731,0.15463251,2.53454939,1.01243565,4.27155959
-5.98199100,10.22473659,0.14601179,0.09611348,1.31660552,0.99750139,0.15622431,2.53387298,1.01624434,4.24747739
-5.97598799,10.19200789,0.14953372,0.09614369,1.28956825,1.01024095,0.15765623,2.53030160,1.01891780,4.21299177
-5.96998499,10.14168550,0.15270930,0.09603387,1.26104182,1.02223811,0.15893476,2.52409718,1.02051655,4.16836899
-5.96398199,10.07465684,0.15552428,0.09578804,1.23152262,1.03347482,0.16006502,2.51551165,1.02109300,4.11401902
-5.95797899,9.99191493,0.15796616,0.09540942,1.20150851,1.04390971,0.16105016,2.50477780,1.02068727,4.05048279
-5.95197599,9.89452049,0.16002344,0.09490029,1.17148707,1.05347586,0.16189067,2.49210048,1.01932386,3.97841482
-5.94597299,9.78356261,0.16168514,0.09426192,1.14192413,1.06207955,0.16258390,2.47764878,1.01700943,3.89856220
-5.93996998,9.66012090,0.16294062,0.09349450,1.11325287,1.06960034,0.16312360,2.46154987,1.01373201,3.81174133
-5.93396698,9.52523200,0.16377967,0.09259733,1.08586431,1.07589251,0.16349972,2.44388505,1.00946175,3.71881375
-5.92796398,9.37986302,0.16419307,0.09156892,1.06009982,1.08078793,0.16369831,2.42468862,1.00415339,3.62066254
-5.92196098,9.22489402,0.16417333,0.09040736,1.03624591,1.08410050,0.16370168,2.40394990,0.99775038,3.51817064
-5.91595798,9.06111114,0.16371584,0.08911065,1.01453204,1.08563181,0.16348880,2.38161861,0.99019057,3.41220217
-5.90995498,8.88921110,0.16282021,0.08767714,0.99513129,1.08517813,0.16303588,2.35761356,0.98141322,3.30358774
-5.90395198,8.70981683,0.16149170,0.08610601,0.97816421,1.08253824,0.16231725,2.33183441,0.97136690,3.19311419
-5.89794897,8.52350326,0.15974272,0.08439773,0.96370540,1.07752202,0.16130631,2.30417603,0.96001805,3.08151897
-5.89194597,8.33083151,0.15759424,0.08255454,0.95179261,1.06995923,0.15997678,2.27454460,0.94735942,2.96948900
-5.88594297,8.13238870,0.15507701,0.08058088,0.94243762,1.05970829,0.15830391,2.24287472,0.93341810,2.85766343
-5.87993997,7.92883046,0.15223237,0.07848373,0.93563817,1.04666442,0.15626582,2.20914642,0.91826240,2.74663958
-5.87393697,7.72092253,0.14911275,0.07627287,0.93139011,1.03076703,0.15384479,2.17340086,0.90200717,2.63698094
-5.86793397,7.50957796,0.14578159,0.07396102,0.92969876,1.01200569,0.15102850,2.13575384,0.88481711,2.52922617
-5.86193097,7.29588641,0.14231275,0.07156385,0.93058857,0.99042459,0.14781104,2.09640583,0.86690759,2.42389783
-5.85592796,7.08113261,0.13878936,0.06909986,0.93411026,0.96612512,0.14419379,2.05564779,0.84854289,2.32150969
-5.84992496,6.86680143,0.13530198,0.06659010,0.94034463,0.93926641,0.14018602,2.01386198,0.83003159,2.22257174
-5.84392196,6.65456790,0.13194644,0.06405780,0.94940258,0.91006372,0.13580515,1.97151739,0.81171927,2.12759188
-5.83791896,6.44627158,0.12882101,0.06152780,0.96142106,0.87878480,0.13107675,1.92915958,0.79397864,2.03707391
-5.83191596,6.24387532,0.12602336,0.05902595,0.97655484,0.84574413,0.12603417,1.88739524,0.77719738,1.95151158
-5.82591296,6.04940984,0.12364724,0.05657839,0.99496445,0.81129540,0.12071791,1.84687175,0.76176430,1.87137871
-5.81990995,5.86490633,0.12177902,0.05421076,1.01680084,0.77582245,0.11517460,1.80825281,0.74805423,1.79711587
-5.81390695,5.69232017,0.12049436,0.05194743,1.04218752,0.73972900,0.10945584,1.77219109,0.73641240,1.72911432
-5.80790395,5.53344950,0.11985500,0.04981072,1.07120127,0.70342762,0.10361676,1.73929921,0.72713895,1.66769815
-5.80190095,5.38985312,0.11990593,0.04782012,1.10385251,0.66732833,0.09771453,1.71012057,0.72047444,1.61310577
-5.79589795,5.26277196,0.12067305,0.04599167,1.14006674,0.63182740,0.09180674,1.68510152,0.71658689,1.56547202
-5.78989495,5.15305886,0.12216142,0.04433736,1.17966821,0.59729660,0.08594983,1.66456642,0.71556115,1.52481226
-5.78389195,5.06112086,0.12435412,0.04286474,1.22236704,0.56407354,0.08019761,1.64869692,0.71739121,1.49100945
-5.77788894,4.98687746,0.12721200,0.04157667,1.26775096,0.53245337,0.07459990,1.63751685,0.72197574,1.46380570
-5.77188594,4.92973801,0.13067407,0.04047118,1.31528231,0.50268213,0.06920140,1.63088344,0.72911737,1.44279876
-5.76588294,4.88860013,0.13465878,0.03954165,1.36430101,0.47495202,0.06404080,1.62848579,0.73852576,1.42744437
-5.75987994,4.86186991,0.13906600,0.03877704,1.41403359,0.44939876,0.05915021,1.62985064,0.74982448,1.41706472
-5.75387694,4.84750390,0.14377970,0.03816243,1.46360832,0.42610107,0.05455478,1.63435548,0.76256147,1.41086283
