energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
1.61180590,2.35444987,-3.03066879,0.24946373,-0.41952113,1.00845292,-2.24687291,0.45307683,-0.25560048,0.44557110,-0.25469225,0.03454919,-0.04878886,0.28752111,-0.10292960,0.05645969,-0.09764780,0.45299895,-0.26584563
1.61780890,2.40576825,-3.17156965,0.26157945,-0.43908581,1.02783542,-2.34150402,0.47719138,-0.26753237,0.44828994,-0.26963133,0.03586375,-0.05045293,0.29388250,-0.11148273,0.06006654,-0.10335574,0.46694602,-0.27997034
1.62381191,2.46414379,-3.31643184,0.27473013,-0.45824285,1.05109516,-2.43823355,0.50224621,-0.27960245,0.45151773,-0.28517669,0.03739454,-0.05219043,0.30131204,-0.12042107,0.06384518,-0.10921633,0.48188745,-0.29509287
1.62981491,2.52821885,-3.46354888,0.28877502,-0.47673362,1.07745506,-2.53578963,0.52793128,-0.29167404,0.45519566,-0.30115481,0.03912195,-0.05398280,0.30954970,-0.12969025,0.06775684,-0.11517410,0.49766925,-0.31110032
1.63581791,2.59659763,-3.61111996,0.30356832,-0.49430787,1.10611454,-2.63284363,0.55391232,-0.30361081,0.45926477,-0.31737976,0.04102219,-0.05580754,0.31833936,-0.13922951,0.07176072,-0.12117030,0.51413093,-0.32786009
1.64182091,2.66789147,-3.75728158,0.31896376,-0.51072890,1.13627100,-2.72803325,0.57984145,-0.31527942,0.46367215,-0.33365698,0.04306763,-0.05763844,0.32743483,-0.14897283,0.07581515,-0.12714405,0.53111519,-0.34522155
1.64782391,2.74076372,-3.90014323,0.33481910,-0.52577846,1.16714096,-2.81998844,0.60536860,-0.32655229,0.46837711,-0.34978739,0.04522728,-0.05944605,0.33660519,-0.15885026,0.07987861,-0.13303367,0.54847778,-0.36301810
1.65382691,2.81397285,-4.03782639,0.35100052,-0.53926121,1.19798047,-2.90735966,0.63015316,-0.33731048,0.47335691,-0.36557172,0.04746741,-0.06119833,0.34563952,-0.16878935,0.08391094,-0.13877813,0.56609718,-0.38107001
1.65982991,2.88641221,-4.16850569,0.36738662,-0.55100877,1.22810403,-2.98884755,0.65387539,-0.34744642,0.47861176,-0.38081517,0.04975233,-0.06286153,0.35435087,-0.17871659,0.08787435,-0.14431846,0.58388353,-0.39918780
1.66583292,2.95714485,-4.29045099,0.38387186,-0.56088309,1.25690185,-3.06323328,0.67624716,-0.35686660,0.48416879,-0.39533181,0.05204515,-0.06440114,0.36257948,-0.18855889,0.09173448,-0.14959917,0.60178620,-0.41717608
1.67183592,3.02543219,-4.40206874,0.40036937,-0.56877919,1.28385449,-3.12940841,0.69702141,-0.36549393,0.49008468,-0.40894910,0.05430878,-0.06578306,0.37019500,-0.19824491,0.09546116,-0.15456958,0.61979979,-0.43483786
1.67783892,3.09075507,-4.50194106,0.41681281,-0.57462699,1.30854477,-3.18640306,0.71599997,-0.37326973,0.49644674,-0.42151179,0.05650683,-0.06697470,0.37709801,-0.20770623,0.09902919,-0.15918498,0.63796794,-0.45197900
