energy_ev,total_up,Cr_p_up,Cr_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,6.76372362,3.28144831,0.72905262,2.34531356,1.63841775,0.02569816,0.96905257,0.12037707,3.16285743
-5.99399700,6.72676412,3.33278813,0.73040987,2.21022620,1.57235934,0.02573910,0.92429710,0.12619826,3.18878402
-5.98799400,6.68499855,3.38153277,0.73109548,2.08249760,1.50703088,0.02575215,0.88023942,0.13176144,3.21171604
-5.98199100,6.63593183,3.42558599,0.73074370,1.96207792,1.44249370,0.02572081,0.83701158,0.13697128,3.22988720
-5.97598799,6.57719385,3.46287781,0.72900383,1.84882786,1.37879636,0.02563031,0.79473431,0.14173400,3.24160388
-5.96998499,6.50662376,3.49143181,0.72555274,1.74254243,1.31598178,0.02546809,0.75351909,0.14595981,3.24529905
-5.96398199,6.42234962,3.50942968,0.72010634,1.64297716,1.25409510,0.02522414,0.71347127,0.14956540,3.23958255
-5.95797899,6.32286079,3.51527065,0.71242966,1.54987604,1.19319182,0.02489125,0.67469421,0.15247645,3.22328604
-5.95197599,6.20707048,3.50762360,0.70234505,1.46300012,1.13334591,0.02446522,0.63729409,0.15462995,3.19550091
-5.94597299,6.07436629,3.48547013,0.68973833,1.38215596,1.07465763,0.02394494,0.60138541,0.15597637,3.15560816
-5.93996998,5.92464712,3.44813693,0.67456256,1.30722281,1.01726059,0.02333245,0.56709666,0.15648150,3.10329898
-5.93396698,5.75834498,3.39531657,0.65683946,1.23817764,0.96132782,0.02263279,0.53457609,0.15612791,3.03858563
-5.92796398,5.57643123,3.32707619,0.63665846,1.17511711,0.90707658,0.02185391,0.50399721,0.15491596,2.96180239
-5.92196098,5.38040695,3.24385386,0.61417340,1.11827564,0.85477166,0.02100643,0.47556360,0.15286430,2.87359664
-5.91595798,5.17227781,3.14644317,0.58959733,1.06803872,0.80472702,0.02010329,0.44951287,0.15000980,2.77491060
-5.90995498,4.95451439,3.03596691,0.56319541,1.02495094,0.75730563,0.01915948,0.42611947,0.14640698,2.66695469
-5.90395198,4.72999918,2.91384093,0.53527642,0.98971793,0.71291741,0.01819159,0.40569593,0.14212681,2.55117333
-5.89794897,4.50196196,2.78173005,0.50618333,0.96320201,0.67201519,0.01721742,0.38859252,0.13725508,2.42920480
-5.89194597,4.27390546,2.64149757,0.47628308,0.94641084,0.63508884,0.01625555,0.37519488,0.13189021,2.30283644
-5.88594297,4.04952346,2.49515063,0.44595622,0.94047910,0.60265733,0.01532489,0.36591970,0.12614073,2.17395682
-5.87993997,3.83261341,2.34478337,0.41558667,0.94664291,0.57525898,0.01444423,0.36120805,0.12012244,2.04450648
-5.87393697,3.62698585,2.19251997,0.38555199,0.96620715,0.55343986,0.01363188,0.36151655,0.11395536,1.91642866
-5.86793397,3.43637272,2.04045959,0.35621438,1.00050581,0.53774049,0.01290518,0.36730624,0.10776054,1.79162165
-5.86193097,3.26433660,1.89062489,0.32791279,1.05085602,0.52868104,0.01228021,0.37902920,0.10165691,1.67189384
