energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,3.74637222,0.04269802,0.00554616,1.24990956,0.04971077,0.95669591,1.92447186,1.20367311
-5.99399700,3.84519097,0.04427389,0.00563973,1.28941636,0.04970333,0.97553248,1.95306860,1.25895612
-5.98799400,3.94079791,0.04605768,0.00573867,1.32784967,0.04966052,0.99356259,1.97716096,1.31379705
-5.98199100,4.03210006,0.04804333,0.00584014,1.36472371,0.04958365,1.01064427,1.99646822,1.36749829
-5.97598799,4.11793325,0.05021886,0.00594108,1.39951650,0.04947189,1.02663086,2.01075243,1.41931942
-5.96998499,4.19709492,0.05256650,0.00603830,1.43168543,0.04932244,1.04137442,2.01982859,1.46849612
-5.96398199,4.26838470,0.05506313,0.00612851,1.46068556,0.04913082,1.05473071,2.02357519,1.51426214
-5.95797899,4.33065097,0.05768100,0.00620842,1.48598991,0.04889136,1.06656578,2.02194458,1.55587335
-5.95197599,4.38284181,0.06038874,0.00627486,1.50711090,0.04859778,1.07676399,2.01497270,1.59263318
-5.94597299,4.42405801,0.06315268,0.00632485,1.52362178,0.04824392,1.08523717,2.00278783,1.62391805
-5.93996998,4.45360582,0.06593833,0.00635577,1.53517716,0.04782450,1.09193473,1.98561774,1.64920190
-5.93396698,4.47104694,0.06871207,0.00636543,1.54153156,0.04733592,1.09685412,1.96379494,1.66807864
-5.92796398,4.47624326,0.07144293,0.00635226,1.54255509,0.04677696,1.10005132,1.93775976,1.68028147
-5.92196098,4.46939418,0.07410438,0.00631534,1.53824534,0.04614954,1.10165079,1.90806085,1.68569818
-5.91595798,4.45106420,0.07667612,0.00625451,1.52873508,0.04545917,1.10185423,1.87535305,1.68438168
-5.90995498,4.42219932,0.07914563,0.00617044,1.51429505,0.04471547,1.10094769,1.84039242,1.67655525
-5.90395198,4.38413076,0.08150959,0.00606463,1.49533182,0.04393227,1.09930639,1.80402837,1.66261213
-5.89794897,4.33856518,0.08377495,0.00593944,1.47238070,0.04312770,1.09739670,1.76719299,1.64310954
-5.89194597,4.28756120,0.08595954,0.00579802,1.44609386,0.04232393,1.09577484,1.73088756,1.61875706
-5.88594297,4.23349215,0.08809239,0.00564427,1.41722411,0.04154677,1.09508199,1.69616637,1.59040003
-5.87993997,4.17899602,0.09021338,0.00548276,1.38660502,0.04082503,1.09603535,1.66411813,1.55899828
-5.87393697,4.12691344,0.09237249,0.00531858,1.35512796,0.04018970,1.09941530,1.63584510,1.52560112
-5.86793397,4.08021567,0.09462847,0.00515723,1.32371706,0.03967301,1.10604850,1.61244031,1.49131932
-5.86193097,4.04192430,0.09704700,0.00500446,1.29330279,0.03930735,1.11678729,1.59496326,1.45729513
-5.85592796,4.01502514,0.09969841,0.00486613,1.26479535,0.03912406,1.13248571,1.58441452,1.42467118
-5.84992496,4.00237893,0.10265499,0.00474803,1.23905843,0.03915237,1.15397288,1.58170987,1.39455934
-5.84392196,4.00663156,0.10598800,0.00465572,1.21688451,0.03941814,1.18202435,1.58765442,1.36801047
-5.83791896,4.03012681,0.10976449,0.00459443,1.19897226,0.03994286,1.21733254,1.60291765,1.34598590
-5.83191596,4.07482446,0.11404408,0.00456886,1.18590684,0.04074266,1.26047713,1.62800995,1.32933150
-5.82591296,4.14222654,0.11887577,0.00458309,1.17814359,0.04182751,1.31189682,1.66326153,1.31875499
-5.81990995,4.23331462,0.12429500,0.00464049,1.17599563,0.04320062,1.37186337,1.70880461,1.31480710
