energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,4.10298308,0.07747244,0.03076423,0.03962598,2.58569479,1.26759036,0.51738950,0.84729546,0.13240536
-5.99399700,4.04532622,0.07604632,0.02982129,0.03819817,2.54834900,1.25912401,0.51866523,0.83357127,0.12888000
-5.98799400,3.97169558,0.07446190,0.02882260,0.03681270,2.50099233,1.24648946,0.51703530,0.81669999,0.12506751
-5.98199100,3.88245180,0.07275241,0.02776788,0.03547238,2.44386385,1.22945578,0.51246800,0.79690571,0.12097012
-5.97598799,3.77834710,0.07095611,0.02665848,0.03418266,2.37744842,1.20793903,0.50499737,0.77448939,0.11659950
-5.96998499,3.66050976,0.06911569,0.02549755,0.03295144,2.30246632,1.18200794,0.49472291,0.74982147,0.11197661
-5.96398199,3.53041468,0.06727747,0.02428997,0.03178898,2.21985429,1.15188283,0.48180706,0.72333196,0.10713126
-5.95797899,3.38984081,0.06549036,0.02304234,0.03070746,2.13073839,1.11792777,0.46647012,0.69549831,0.10210126
-5.95197599,3.24081714,0.06380470,0.02176278,0.02972061,2.03639974,1.08063636,0.44898323,0.66683153,0.09693126
-5.94597299,3.08555939,0.06227077,0.02046068,0.02884308,1.93823457,1.04061193,0.42965938,0.63786084,0.09167130
-5.93996998,2.92639994,0.06093728,0.01914644,0.02808976,1.83771017,0.99854309,0.40884319,0.60911756,0.08637513
-5.93396698,2.76571400,0.05984973,0.01783113,0.02747504,1.73631849,0.95517595,0.38689970,0.58111871,0.08109846
-5.92796398,2.60584507,0.05904872,0.01652609,0.02701203,1.63552948,0.91128432,0.36420275,0.55435091,0.07589704
-5.92196098,2.44903268,0.05856834,0.01524260,0.02671171,1.53674592,0.86763926,0.34112346,0.52925524,0.07082484
-5.91595798,2.29734539,0.05843460,0.01399148,0.02658224,1.44126158,0.82497959,0.31801934,0.50621359,0.06593227
-5.90995498,2.15262153,0.05866408,0.01278282,0.02662816,1.35022432,0.78398438,0.29522432,0.48553692,0.06126463
-5.90395198,2.01642000,0.05926282,0.01162564,0.02684989,1.26460550,0.74524893,0.27304023,0.46745602,0.05686077
-5.89794897,1.88998263,0.06022553,0.01052769,0.02724321,1.18517673,0.70926495,0.25172990,0.45211499,0.05275200
-5.89194597,1.77420936,0.06153507,0.00949528,0.02779898,1.11249455,0.67640573,0.23151212,0.43956772,0.04896138
-5.88594297,1.66964665,0.06316248,0.00853314,0.02850306,1.04689348,0.64691683,0.21255848,0.42977757,0.04550329
-5.87993997,1.57648917,0.06506730,0.00764444,0.02933638,0.98848733,0.62091243,0.19499220,0.42262008,0.04238339
-5.87393697,1.49459396,0.06719841,0.00683074,0.03027528,0.93717836,0.59837712,0.17888872,0.41788875,0.03959890
-5.86793397,1.42350621,0.06949527,0.00609211,0.03129198,0.89267357,0.57917309,0.16427803,0.41530371,0.03713913
-5.86193097,1.36249488,0.07188952,0.00542727,0.03235531,0.85450726,0.56305186,0.15114836,0.41452266,0.03498632
