energy_ev,total_up,P_s_up,P_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,3.18806444,0.01405118,0.98050652,1.09405641,0.00000000,0.77537555,0.63911726
-5.99399700,3.16796526,0.01379986,0.97693865,1.08526699,0.00000000,0.77725962,0.63431494
-5.98799400,3.13914171,0.01356314,0.97029522,1.07397524,0.00000000,0.77709684,0.62779517
-5.98199100,3.10208040,0.01333946,0.96067926,1.06037737,0.00000000,0.77492148,0.61962496
-5.97598799,3.05730294,0.01312705,0.94822437,1.04465775,0.00000000,0.77077657,0.60988806
-5.96998499,3.00535281,0.01292404,0.93309211,1.02698319,0.00000000,0.76471333,0.59868414
-5.96398199,2.94678492,0.01272867,0.91546916,1.00749959,0.00000000,0.75679125,0.58612780
-5.95797899,2.88215839,0.01253936,0.89556431,0.98633093,0.00000000,0.74707873,0.57234731
-5.95197599,2.81203237,0.01235488,0.87360536,0.96358062,0.00000000,0.73565417,0.55748311
-5.94597299,2.73696471,0.01217442,0.84983587,0.93933490,0.00000000,0.72260729,0.54168615
-5.93996998,2.65751288,0.01199764,0.82451187,0.91366789,0.00000000,0.70804056,0.52511590
-5.93396698,2.57423637,0.01182469,0.79789846,0.88664769,0.00000000,0.69207038,0.50793818
-5.92796398,2.48769981,0.01165622,0.77026624,0.85834317,0.00000000,0.67482779,0.49032265
-5.92196098,2.39847582,0.01149331,0.74188768,0.82883058,0.00000000,0.65645861,0.47244010
-5.91595798,2.30714674,0.01133737,0.71303314,0.79819957,0.00000000,0.63712265,0.45445949
-5.90995498,2.21430469,0.01119006,0.68396688,0.76655808,0.00000000,0.61699206,0.43654477
-5.90395198,2.12054927,0.01105310,0.65494277,0.73403571,0.00000000,0.59624872,0.41885158
-5.89794897,2.02648286,0.01092813,0.62620002,0.70078534,0.00000000,0.57508068,0.40152391
-5.89194597,1.93270335,0.01081655,0.59795889,0.66698281,0.00000000,0.55367797,0.38469086
-5.88594297,1.83979479,0.01071933,0.57041663,0.63282479,0.00000000,0.53222770,0.36846363
-5.87993997,1.74831631,0.01063689,0.54374370,0.59852499,0.00000000,0.51090908,0.35293282
-5.87393697,1.65879024,0.01056897,0.51808065,0.56430899,0.00000000,0.48988832,0.33816634
-5.86793397,1.57169008,0.01051453,0.49353564,0.53040813,0.00000000,0.46931403,0.32420792
-5.86193097,1.48742936,0.01047171,0.47018291,0.49705277,0.00000000,0.44931318,0.31107644
-5.85592796,1.40635219,0.01043782,0.44806241,0.46446555,0.00000000,0.42998809,0.29876610
-5.84992496,1.32872627,0.01040940,0.42718043,0.43285497,0.00000000,0.41141449,0.28724755
-5.84392196,1.25473890,0.01038232,0.40751155,0.40240970,0.00000000,0.39364089,0.27646988
-5.83791896,1.18449645,0.01035190,0.38900169,0.37329395,0.00000000,0.37668932,0.26636349
-5.83191596,1.11802724,0.01031309,0.37157223,0.34564410,0.00000000,0.36055727,0.25684373
-5.82591296,1.05528782,0.01026070,0.35512505,0.31956669,0.00000000,0.34522080,0.24781507
-5.81990995,0.99617219,0.01018957,0.33954815,0.29513782,0.00000000,0.33063862,0.23917569
-5.81390695,0.94052339,0.01009484,0.32472171,0.27240387,0.00000000,0.31675681,0.23082232
-5.80790395,0.88814670,0.00997218,0.31052427,0.25138323,0.00000000,0.30351386,0.22265494
-5.80190095,0.83882362,0.00981792,0.29683857,0.23206912,0.00000000,0.29084576,0.21458120
-5.79589795,0.79232575,0.00962930,0.28355704,0.21443289,0.00000000,0.27869085,0.20652044
-5.78989495,0.74842779,0.00940455,0.27058641,0.19842772,0.00000000,0.26699402,0.19840693
-5.78389195,0.70691885,0.00914299,0.25785141,0.18399246,0.00000000,0.25571013,0.19019240
-5.77788894,0.66761163,0.00884507,0.24529738,0.17105521,0.00000000,0.24480643,0.18184756
-5.77188594,0.63034891,0.00851238,0.23289165,0.15953662,0.00000000,0.23426400,0.17336281
-5.76588294,0.59500739,0.00814755,0.22062378,0.14935263,0.00000000,0.22407792,0.16474796
-5.75987994,0.56149866,0.00775418,0.20850474,0.14041662,0.00000000,0.21425661,0.15603110
-5.75387694,0.52976768,0.00733667,0.19656507,0.13264102,0.00000000,0.20482016,0.14725688
-5.74787394,0.49978914,0.00690010,0.18485228,0.12593821,0.00000000,0.19579798,0.13848405
-5.74187094,0.47156210,0.00645002,0.17342772,0.12022104,0.00000000,0.18722602,0.12978273
-5.73586793,0.44510361,0.00599226,0.16236312,0.11540286,0.00000000,0.17914368,0.12123147
-5.72986493,0.42044185,0.00553274,0.15173702,0.11139740,0.00000000,0.17159086,0.11291425
-5.72386193,0.39760939,0.00507731,0.14163145,0.10811847,0.00000000,0.16460515,0.10491765
-5.71785893,0.37663715,0.00463154,0.13212878,0.10547967,0.00000000,0.15821957,0.09732834
-5.71185593,0.35754946,0.00420064,0.12330923,0.10339436,0.00000000,0.15246088,0.09023090
-5.70585293,0.34036048,0.00378933,0.11524888,0.10177578,0.00000000,0.14734859,0.08370619
-5.69984992,0.32507225,0.00340173,0.10801826,0.10053745,0.00000000,0.14289474,0.07783016
-5.69384692,0.31167430,0.00304135,0.10168167,0.09959402,0.00000000,0.13910437,0.07267317
-5.68784392,0.30014478,0.00271105,0.09629698,0.09886230,0.00000000,0.13597662,0.06829971
-5.68184092,0.29045277,0.00241303,0.09191591,0.09826263,0.00000000,0.13350633,0.06476853
-5.67583792,0.28256160,0.00214889,0.08858462,0.09772040,0.00000000,0.13168598,0.06213290
-5.66983492,0.27643259,0.00191964,0.08634450,0.09716765,0.00000000,0.13050769,0.06044111
-5.66383192,0.27202899,0.00172577,0.08523289,0.09654472,0.00000000,0.12996523,0.05973692
-5.65782891,0.26931951,0.00156730,0.08528375,0.09580168,0.00000000,0.13005570,0.06005986
-5.65182591,0.26828122,0.00144384,0.08652794,0.09489962,0.00000000,0.13078075,0.06144536
-5.64582291,0.26890147,0.00135466,0.08899321,0.09381154,0.00000000,0.13214733,0.06392459
-5.63981991,0.27117855,0.00129873,0.09270365,0.09252298,0.00000000,0.13416764,0.06752390
-5.63381691,0.27512111,0.00127476,0.09767872,0.09103214,0.00000000,0.13685843,0.07226398
-5.62781391,0.28074629,0.00128125,0.10393182,0.08934968,0.00000000,0.14023970,0.07815871
-5.62181091,0.28807672,0.00131652,0.11146843,0.08749816,0.00000000,0.14433266,0.08521364
-5.61580790,0.29713668,0.00137870,0.12028412,0.08551111,0.00000000,0.14915739,0.09342449
-5.60980490,0.30794774,0.00146576,0.13036232,0.08343196,0.00000000,0.15473008,0.10277544
-5.60380190,0.32052427,0.00157554,0.14167225,0.08131286,0.00000000,0.16106028,0.11323766
-5.59779890,0.33486942,0.00170573,0.15416711,0.07921357,0.00000000,0.16814831,0.12476801
-5.59179590,0.35097182,0.00185390,0.16778266,0.07720041,0.00000000,0.17598305,0.13730824
-5.58579290,0.36880364,0.00201750,0.18243652,0.07534560,0.00000000,0.18454033,0.15078462
-5.57978989,0.38832031,0.00219393,0.19802821,0.07372693,0.00000000,0.19378215,0.16510834
-5.57378689,0.40946208,0.00238054,0.21444000,0.07242796,0.00000000,0.20365684,0.18017653
-5.56778389,0.43215781,0.00257470,0.23153882,0.07153866,0.00000000,0.21410026,0.19587414
-5.56178089,0.45633074,0.00277388,0.24917896,0.07115666,0.00000000,0.22503806,0.21207649
-5.55577789,0.48190628,0.00297572,0.26720571,0.07138900,0.00000000,0.23638896,0.22865251
-5.54977489,0.50882145,0.00317810,0.28545965,0.07235424,0.00000000,0.24806893,0.24546857
-5.54377189,0.53703554,0.00337926,0.30378152,0.07418494,0.00000000,0.25999604,0.26239267
-5.53776888,0.56654133,0.00357789,0.32201740,0.07703020,0.00000000,0.27209589,0.27929880
-5.53176588,0.59737634,0.00377323,0.34002386,0.08105814,0.00000000,0.28430704,0.29607138
-5.52576288,0.62963311,0.00396515,0.35767295,0.08645796,0.00000000,0.29658651,0.31260926
-5.51975988,0.66346786,0.00415422,0.37485667,0.09344145,0.00000000,0.30891460,0.32882940
-5.51375688,0.69910670,0.00434176,0.39149059,0.10224349,0.00000000,0.32129908,0.34466965
-5.50775388,0.73684857,0.00452985,0.40751656,0.11312140,0.00000000,0.33377812,0.36009079
-5.50175088,0.77706425,0.00472135,0.42290421,0.12635273,0.00000000,0.34642192,0.37507736
-5.49574787,0.82019104,0.00491981,0.43765118,0.14223139,0.00000000,0.35933275,0.38963743
