energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.45899592,0.00275053,0.17316762,0.77849154,0.19046023,0.83003954,0.35495360,0.00188607,0.66629808
-5.99399700,1.53684964,0.00294636,0.18379838,0.82216121,0.20111306,0.86311606,0.37622574,0.00209382,0.70038502
-5.98799400,1.61966002,0.00316442,0.19521985,0.86769681,0.21304946,0.89699457,0.39913496,0.00234647,0.73599265
-5.98199100,1.70716434,0.00340313,0.20742035,0.91499010,0.22624459,0.93145184,0.42361838,0.00264634,0.77298817
-5.97598799,1.79911564,0.00366065,0.22038965,0.96395376,0.24066587,0.96631113,0.44960776,0.00299576,0.81125713
-5.96998499,1.89527691,0.00393496,0.23411767,1.01451712,0.25627234,1.00144335,0.47702735,0.00339700,0.85070142
-5.96398199,1.99541153,0.00422377,0.24859263,1.06661930,0.27301366,1.03676504,0.50579121,0.00385218,0.89123536
-5.95797899,2.09927023,0.00452463,0.26379887,1.12020033,0.29082897,1.07223306,0.53580001,0.00436319,0.93277992
-5.95197599,2.20657562,0.00483488,0.27971436,1.17519061,0.30964557,1.10783655,0.56693757,0.00493160,0.97525550
-5.94597299,2.31700519,0.00515171,0.29630797,1.23149929,0.32937757,1.14358651,0.59906743,0.00555849,1.01857362
-5.93996998,2.43017375,0.00547221,0.31353679,1.28900227,0.34992462,1.17950371,0.63202968,0.00624439,1.06262818
-5.93396698,2.54561675,0.00579336,0.33134348,1.34753061,0.37117084,1.21560557,0.66563829,0.00698911,1.10728663
-5.92796398,2.66277543,0.00611211,0.34965396,1.40686000,0.39298396,1.25189279,0.69967921,0.00779161,1.15238180
-5.92196098,2.78098486,0.00642537,0.36837546,1.46670209,0.41521490,1.28833650,0.73390944,0.00864990,1.19770485
-5.91595798,2.89946601,0.00673012,0.38739515,1.52669817,0.43769772,1.32486663,0.76805720,0.00956087,1.24299978
-5.90995498,3.01732223,0.00702336,0.40657936,1.58641585,0.46025001,1.36136213,0.80182327,0.01052024,1.28795993
-5.90395198,3.13354095,0.00730223,0.42577363,1.64534902,0.48267388,1.39764355,0.83488360,0.01152241,1.33222683
-5.89794897,3.24700060,0.00756398,0.44480348,1.70292124,0.50475740,1.43346849,0.86689309,0.01256043,1.37539144
-5.89194597,3.35648295,0.00780601,0.46347597,1.75849271,0.52627653,1.46853000,0.89749049,0.01362594,1.41699795
