energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,0.82930852,0.08343259,0.77170672,0.00000805,0.02673771,0.06474867,0.00000000,0.01472018,0.01109050
-5.99399700,0.77494998,0.07806831,0.71966898,0.00000867,0.02567876,0.06050837,0.00000000,0.01411828,0.01067418
-5.98799400,0.72376346,0.07346320,0.67005080,0.00001018,0.02466218,0.05693687,0.00000000,0.01375692,0.01043222
-5.98199100,0.67674764,0.06972695,0.62374945,0.00001275,0.02372866,0.05411903,0.00000000,0.01365927,0.01038363
-5.97598799,0.63484581,0.06696541,0.58160295,0.00001660,0.02291928,0.05213700,0.00000000,0.01385229,0.01054849
-5.96998499,0.59893414,0.06527949,0.54437972,0.00002207,0.02227466,0.05106942,0.00000000,0.01436611,0.01094758
-5.96398199,0.56981201,0.06476421,0.51277048,0.00002958,0.02183419,0.05099072,0.00000000,0.01523358,0.01160203
-5.95797899,0.54819410,0.06550774,0.48738205,0.00003970,0.02163524,0.05197031,0.00000000,0.01648968,0.01253298
-5.95197599,0.53470403,0.06759036,0.46873290,0.00005313,0.02171240,0.05407176,0.00000000,0.01817103,0.01376110
-5.94597299,0.52986907,0.07108335,0.45725009,0.00007078,0.02209682,0.05735187,0.00000000,0.02031520,0.01530612
-5.93996998,0.53411574,0.07604773,0.45326735,0.00009373,0.02281552,0.06185951,0.00000000,0.02296005,0.01718627
-5.93396698,0.54776599,0.08253287,0.45702401,0.00012334,0.02389080,0.06763440,0.00000000,0.02614293,0.01941765
-5.92796398,0.57103382,0.09057485,0.46866461,0.00016120,0.02533961,0.07470564,0.00000000,0.02989974,0.02201367
-5.92196098,0.60402234,0.10019490,0.48823913,0.00020924,0.02717307,0.08309019,0.00000000,0.03426403,0.02498429
-5.91595798,0.64672123,0.11139761,0.51570364,0.00026972,0.02939603,0.09279128,0.00000000,0.03926580,0.02833547
-5.90995498,0.69900498,0.12416936,0.55092170,0.00034524,0.03200663,0.10379688,0.00000000,0.04493044,0.03206849
-5.90395198,0.76063186,0.13847681,0.59366626,0.00043881,0.03499606,0.11607828,0.00000000,0.05127754,0.03617942
-5.89794897,0.83124430,0.15426567,0.64362262,0.00055383,0.03834838,0.12958891,0.00000000,0.05831964,0.04065869
-5.89194597,0.91037064,0.17145987,0.70039225,0.00069408,0.04204047,0.14426349,0.00000000,0.06606114,0.04549077
-5.88594297,0.99742892,0.18996118,0.76349789,0.00086374,0.04604212,0.16001759,0.00000000,0.07449721,0.05065400
-5.87993997,1.09173263,0.20964939,0.83238996,0.00106732,0.05031635,0.17674777,0.00000000,0.08361283,0.05612060
