energy_ev,total_up,In_p_up,In_d_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,2.96632458,0.06687450,0.00202905,2.20005886,1.05331657,0.01775136,1.94610073
-5.99399700,2.94242490,0.06799320,0.00201019,2.17697268,1.04179554,0.01760798,1.92553357
-5.98799400,2.91019970,0.06917042,0.00199207,2.14704454,1.02635976,0.01740181,1.89811946
-5.98199100,2.86993169,0.07037926,0.00197466,2.11047227,1.00725898,0.01713376,1.86414136
-5.97598799,2.82199700,0.07158892,0.00195783,2.06753398,0.98479842,0.01680537,1.82398247
-5.96998499,2.76685847,0.07276567,0.00194136,2.01858646,0.95932974,0.01641880,1.77811775
-5.96398199,2.70505660,0.07387393,0.00192494,1.96406164,0.93124060,0.01597683,1.72710282
-5.95797899,2.63719861,0.07487743,0.00190822,1.90446081,0.90094341,0.01548294,1.67156039
-5.95197599,2.56394568,0.07574034,0.00189081,1.84034680,0.86886360,0.01494125,1.61216479
-5.94597299,2.48599897,0.07642846,0.00187229,1.77233408,0.83542808,0.01435651,1.54962510
-5.93996998,2.40408489,0.07691030,0.00185221,1.70107730,0.80105425,0.01373405,1.48466769
-5.93396698,2.31894013,0.07715805,0.00183017,1.62725836,0.76613999,0.01307974,1.41801866
-5.92796398,2.23129718,0.07714845,0.00180578,1.55157277,0.73105512,0.01239986,1.35038703
-5.92196098,2.14187071,0.07686342,0.00177869,1.47471573,0.69613456,0.01170099,1.28244937
-5.91595798,2.05134573,0.07629061,0.00174861,1.39736848,0.66167334,0.01098992,1.21483637
-5.90995498,1.96036759,0.07542362,0.00171532,1.32018572,0.62792376,0.01027349,1.14812194
-5.90395198,1.86953464,0.07426215,0.00167867,1.24378446,0.59509452,0.00955843,1.08281525
-5.89794897,1.77939349,0.07281189,0.00163858,1.16873486,0.56335181,0.00885128,1.01935594
-5.89194597,1.69043724,0.07108424,0.00159508,1.09555345,0.53282231,0.00815823,0.95811247
-5.88594297,1.60310651,0.06909587,0.00154826,1.02469903,0.50359762,0.00748500,0.89938379
-5.87993997,1.51779323,0.06686824,0.00149831,0.95657111,0.47574006,0.00683677,0.84340380
-5.87393697,1.43484676,0.06442684,0.00144550,0.89151112,0.44928931,0.00621812,0.79034844
-5.86793397,1.35458199,0.06180062,0.00139016,0.82980598,0.42426965,0.00563297,0.74034486
-5.86193097,1.27728883,0.05902112,0.00133273,0.77169377,0.40069734,0.00508459,0.69348202
-5.85592796,1.20324256,0.05612179,0.00127369,0.71737095,0.37858785,0.00457558,0.64982221
-5.84992496,1.13271420,0.05313727,0.00121358,0.66700077,0.35796252,0.00410793,0.60941270
-5.84392196,1.06598048,0.05010266,0.00115302,0.62072208,0.33885441,0.00368307,0.57229701
-5.83791896,1.00333257,0.04705291,0.00109265,0.57865812,0.32131305,0.00330193,0.53852506
-5.83191596,0.94508313,0.04402224,0.00103317,0.54092464,0.30540795,0.00296503,0.50816180
-5.82591296,0.89157109,0.04104369,0.00097529,0.50763686,0.29123064,0.00267256,0.48129384
-5.81990995,0.84316393,0.03814866,0.00091978,0.47891484,0.27889521,0.00242446,0.45803370
-5.81390695,0.80025708,0.03536660,0.00086737,0.45488707,0.26853743,0.00222053,0.43852163
-5.80790395,0.76327036,0.03272473,0.00081885,0.43569183,0.26031228,0.00206045,0.42292485
-5.80190095,0.73264160,0.03024786,0.00077497,0.42147656,0.25439020,0.00194389,0.41143423
-5.79589795,0.70881751,0.02795818,0.00073647,0.41239509,0.25095213,0.00187052,0.40425872
-5.78989495,0.69224208,0.02587522,0.00070405,0.40860300,0.25018347,0.00184005,0.40161772
-5.78389195,0.68334307,0.02401576,0.00067838,0.41025141,0.25226729,0.00185223,0.40373179
-5.77788894,0.68251700,0.02239382,0.00066007,0.41747961,0.25737703,0.00190685,0.41081220
-5.77188594,0.69011329,0.02102062,0.00064966,0.43040692,0.26566889,0.00200369,0.42304974
-5.76588294,0.70641822,0.01990466,0.00064759,0.44912437,0.27727431,0.00214248,0.44060341
-5.75987994,0.73163940,0.01905175,0.00065421,0.47368671,0.29229280,0.00232288,0.46358951
-5.75387694,0.76589153,0.01846507,0.00066974,0.50410520,0.31078531,0.00254435,0.49207161
-5.74787394,0.80918406,0.01814533,0.00069430,0.54034187,0.33276865,0.00280613,0.52605198
-5.74187094,0.86141144,0.01809085,0.00072784,0.58230538,0.35821095,0.00310714,0.56546492
-5.73586793,0.92234661,0.01829773,0.00077018,0.62984917,0.38702856,0.00344592,0.61017222
-5.72986493,0.99163800,0.01876012,0.00082097,0.68277180,0.41908445,0.00382059,0.65996128
-5.72386193,1.06881066,0.01947035,0.00087973,0.74081983,0.45418833,0.00422876,0.71454578
-5.71785893,1.15327135,0.02041929,0.00094579,0.80369310,0.49209839,0.00466759,0.77356912
-5.71185593,1.24431792,0.02159658,0.00101837,0.87105221,0.53252479,0.00513369,0.83661055
-5.70585293,1.34115242,0.02299097,0.00109653,0.94252789,0.57513466,0.00562322,0.90319355
-5.69984992,1.44289788,0.02459067,0.00117923,1.01773186,0.61955859,0.00613191,0.97279649
-5.69384692,1.54861781,0.02638360,0.00126530,1.09626845,0.66539819,0.00665515,1.04486470
-5.68784392,1.65733795,0.02835779,0.00135354,1.17774640,0.71223455,0.00718810,1.11882371
-5.68184092,1.76806910,0.03050155,0.00144269,1.26179013,0.75963721,0.00772579,1.19409286
-5.67583792,1.87983021,0.03280376,0.00153146,1.34804969,0.80717320,0.00826330,1.27009869
-5.66983492,1.99167048,0.03525392,0.00161860,1.43620866,0.85441593,0.00879593,1.34628738
-5.66383192,2.10268962,0.03784229,0.00170291,1.52598950,0.90095325,0.00931930,1.42213575
-5.65782891,2.21205513,0.04055973,0.00178327,1.61715578,0.94639475,0.00982960,1.49716016
-5.65182591,2.31901595,0.04339760,0.00185867,1.70951094,0.99037762,0.01032367,1.57092294
-5.64582291,2.42291169,0.04634745,0.00192823,1.80289366,1.03257122,0.01079915,1.64303612
-5.63981991,2.52317728,0.04940066,0.00199122,1.89716977,1.07267999,0.01125461,1.71316228
-5.63381691,2.61934281,0.05254794,0.00204707,1.99222112,1.11044488,0.01168954,1.78101272
-5.62781391,2.71102881,0.05577881,0.00209539,2.08793210,1.14564327,0.01210445,1.84634310
-5.62181091,2.79793750,0.05908106,0.00213592,2.18417436,1.17808768,0.01250078,1.90894707
-5.61580790,2.87984076,0.06244019,0.00216860,2.28079083,1.20762343,0.01288088,1.96864829
-5.60980490,2.95656563,0.06583890,0.00219348,2.37757996,1.23412564,0.01324782,2.02529174
-5.60380190,3.02797866,0.06925669,0.00221074,2.47428122,1.25749583,0.01360530,2.07873470
-5.59779890,3.09397002,0.07266960,0.00222066,2.57056287,1.27765856,0.01395738,2.12883838
-5.59179590,3.15443855,0.07605011,0.00222360,2.66601291,1.29455833,0.01430830,2.17546053
-5.58579290,3.20927889,0.07936721,0.00221995,2.76013380,1.30815709,0.01466221,2.21844989
-5.57978989,3.25837125,0.08258675,0.00221015,2.85234164,1.31843239,0.01502291,2.25764250
-5.57378689,3.30157468,0.08567195,0.00219464,2.94196991,1.32537644,0.01539362,2.29286042
-5.56778389,3.33872404,0.08858418,0.00217382,3.02827774,1.32899598,0.01577671,2.32391262
