energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.95885386,0.17470968,0.00000000,0.00140571,0.21887172,0.01748420,0.44770263,0.45258103,0.19875274
-5.99399700,0.94605090,0.17194055,0.00000000,0.00136053,0.21696156,0.01703199,0.44048105,0.45091337,0.19645524
-5.98799400,0.92893161,0.16854030,0.00000000,0.00130994,0.21414613,0.01649382,0.43110504,0.44692423,0.19326535
-5.98199100,0.90760218,0.16454834,0.00000000,0.00125476,0.21042371,0.01587760,0.41964516,0.44062562,0.18918454
-5.97598799,0.88230209,0.16003193,0.00000000,0.00119603,0.20582287,0.01519299,0.40623465,0.43209556,0.18424162
-5.96998499,0.85339271,0.15508265,0.00000000,0.00113504,0.20040118,0.01445107,0.39106264,0.42147466,0.17849110
-5.96398199,0.82134213,0.14981221,0.00000000,0.00107325,0.19424283,0.01366397,0.37436608,0.40896055,0.17201073
-5.95797899,0.78670707,0.14434790,0.00000000,0.00101234,0.18745523,0.01284447,0.35642071,0.39480045,0.16489823
-5.95197599,0.75011254,0.13882773,0.00000000,0.00095409,0.18016472,0.01200559,0.33753133,0.37928220,0.15726750
-5.94597299,0.71223025,0.13339549,0.00000000,0.00090046,0.17251181,0.01116020,0.31802191,0.36272420,0.14924437
-5.93996998,0.67375656,0.12819582,0.00000000,0.00085352,0.16464583,0.01032071,0.29822593,0.34546457,0.14096219
-5.93396698,0.63539089,0.12336959,0.00000000,0.00081549,0.15671958,0.00949867,0.27847720,0.32785011,0.13255730
-5.92796398,0.59781525,0.11904953,0.00000000,0.00078869,0.14888387,0.00870459,0.25910149,0.31022541,0.12416480
-5.92196098,0.56167570,0.11535633,0.00000000,0.00077560,0.14128243,0.00794765,0.24040931,0.29292253,0.11591442
-5.91595798,0.52756627,0.11239536,0.00000000,0.00077882,0.13404721,0.00723562,0.22268985,0.27625163,0.10792707
-5.90995498,0.49601567,0.11025399,0.00000000,0.00080109,0.12729432,0.00657472,0.20620625,0.26049291,0.10031175
-5.90395198,0.46747707,0.10899958,0.00000000,0.00084533,0.12112074,0.00596961,0.19119222,0.24588990,0.09316319
