energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.16920687,0.04893369,0.03886669,0.55327156,0.69292968,0.01056341,1.23930510,0.52079447,0.11771372
-5.99399700,2.13767494,0.04694882,0.03957367,0.54111917,0.68109814,0.01035842,1.22187313,0.51509485,0.11758483
-5.98799400,2.10902264,0.04481289,0.04039893,0.53040007,0.66936577,0.01017413,1.20623386,0.51025707,0.11770775
-5.98199100,2.08402610,0.04256179,0.04132781,0.52134471,0.65805421,0.01001709,1.19285226,0.50642911,0.11810379
-5.97598799,2.06334141,0.04023120,0.04234342,0.51414233,0.64745000,0.00989340,1.18212330,0.50372707,0.11878781
-5.96998499,2.04748906,0.03785572,0.04342692,0.50893601,0.63779769,0.00980854,1.17436301,0.50223260,0.11976795
-5.96398199,2.03684577,0.03546817,0.04455779,0.50581997,0.62929544,0.00976736,1.16980391,0.50199233,0.12104561
-5.95797899,2.03164380,0.03309898,0.04571421,0.50483917,0.62209320,0.00977393,1.16859469,0.50301902,0.12261585
-5.95197599,2.03197735,0.03077573,0.04687351,0.50599120,0.61629333,0.00983163,1.17080404,0.50529454,0.12446797
-5.94597299,2.03781520,0.02852287,0.04801268,0.50923026,0.61195361,0.00994305,1.17642806,0.50877433,0.12658646
-5.93996998,2.04901853,0.02636150,0.04910886,0.51447284,0.60909199,0.01011008,1.18540056,0.51339294,0.12895203
-5.93396698,2.06536225,0.02430936,0.05013993,0.52160483,0.60769295,0.01033393,1.19760538,0.51907042,0.13154285
-5.92796398,2.08655830,0.02238086,0.05108503,0.53048940,0.60771466,0.01061512,1.21288973,0.52571886,0.13433565
-5.92196098,2.11227918,0.02058722,0.05192504,0.54097527,0.60909659,0.01095360,1.23107751,0.53324893,0.13730692
-5.91595798,2.14217990,0.01893664,0.05264303,0.55290473,0.61176681,0.01134871,1.25198172,0.54157563,0.14043380
-5.90995498,2.17591686,0.01743455,0.05322464,0.56612095,0.61564858,0.01179923,1.27541484,0.55062310,0.14369486
-5.90395198,2.21316224,0.01608384,0.05365834,0.58047409,0.62066577,0.01230336,1.30119661,0.56032800,0.14707052
-5.89794897,2.25361306,0.01488511,0.05393560,0.59582582,0.62674664,0.01285872,1.32915849,0.57064122,0.15054316
-5.89194597,2.29699406,0.01383693,0.05405096,0.61205197,0.63382586,0.01346232,1.35914462,0.58152786,0.15409699
-5.88594297,2.34305446,0.01293603,0.05400198,0.62904318,0.64184450,0.01411049,1.39100896,0.59296532,0.15771745
-5.87993997,2.39155875,0.01217751,0.05378912,0.64670347,0.65074826,0.01479883,1.42460912,0.60493967,0.16139044
-5.87393697,2.44227226,0.01155505,0.05341551,0.66494696,0.66048391,0.01552214,1.45979708,0.61744056,0.16510126
-5.86793397,2.49494269,0.01106102,0.05288660,0.68369284,0.67099430,0.01627440,1.49640761,0.63045489,0.16883343
-5.86193097,2.54927908,0.01068664,0.05220988,0.70285919,0.68221246,0.01704865,1.53424535,0.64395975,0.17256744
-5.85592796,2.60492986,0.01042214,0.05139444,0.72235595,0.69405518,0.01783703,1.57307152,0.65791516,0.17627948
-5.84992496,2.66146202,0.01025684,0.05045059,0.74207766,0.70641671,0.01863077,1.61259149,0.67225698,0.17994045
