energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.36169040,0.03292695,0.00000000,2.08435756,0.65318487,0.01591376,0.33225681
-5.99399700,1.29758648,0.03430405,0.00000000,1.98864557,0.62289211,0.01528882,0.31272486
-5.98799400,1.23767305,0.03593889,0.00000000,1.89321777,0.59531252,0.01464654,0.29476605
-5.98199100,1.18234198,0.03785219,0.00000000,1.79894133,0.57060255,0.01399148,0.27845350
-5.97598799,1.13202530,0.04006469,0.00000000,1.70677964,0.54893398,0.01332901,0.26386760
-5.96998499,1.08717852,0.04259659,0.00000000,1.61775620,0.53048726,0.01266506,0.25109236
-5.96398199,1.04826113,0.04546695,0.00000000,1.53291487,0.51544349,0.01200603,0.24021094
-5.95797899,1.01571540,0.04869310,0.00000000,1.45327856,0.50397552,0.01135856,0.23130058
-5.95197599,0.98994458,0.05228998,0.00000000,1.37980824,0.49623869,0.01072933,0.22442734
-5.94597299,0.97129156,0.05626951,0.00000000,1.31336416,0.49236167,0.01012488,0.21964085
-5.93996998,0.96001919,0.06063998,0.00000000,1.25467111,0.49243787,0.00955142,0.21696932
-5.93396698,0.95629307,0.06540549,0.00000000,1.20428908,0.49651797,0.00901468,0.21641526
-5.92796398,0.96016804,0.07056541,0.00000000,1.16259063,0.50460393,0.00851975,0.21795195
-5.92196098,0.97157871,0.07611400,0.00000000,1.12974588,0.51664488,0.00807102,0.22152107
-5.91595798,0.99033495,0.08204011,0.00000000,1.10571571,0.53253519,0.00767205,0.22703159
-5.90995498,1.01612256,0.08832695,0.00000000,1.09025337,0.55211481,0.00732555,0.23436006
-5.90395198,1.04850921,0.09495213,0.00000000,1.08291445,0.57517218,0.00703334,0.24335232
-5.89794897,1.08695569,0.10188775,0.00000000,1.08307476,0.60144942,0.00679639,0.25382682
-5.89194597,1.13083207,0.10910073,0.00000000,1.08995547,0.63064995,0.00661479,0.26557920
-5.88594297,1.17943828,0.11655326,0.00000000,1.10265440,0.66244800,0.00648782,0.27838824
-5.87993997,1.23202818,0.12420340,0.00000000,1.12018236,0.69649990,0.00641398,0.29202288
-5.87393697,1.28783641,0.13200587,0.00000000,1.14150295,0.73245650,0.00639108,0.30625001
-5.86793397,1.34610667,0.13991287,0.00000000,1.16557447,0.76997628,0.00641625,0.32084275
-5.86193097,1.40612026,0.14787501,0.00000000,1.19139206,0.80873845,0.00648605,0.33558892
-5.85592796,1.46722374,0.15584235,0.00000000,1.21802859,0.84845557,0.00659650,0.35029921
-5.84992496,1.52885425,0.16376533,0.00000000,1.24467253,0.88888484,0.00674317,0.36481478
