energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.19186254,1.13914639,2.61245969,0.00484698,0.35425888,1.04010454,0.57127762,0.02448956,0.47081138
-5.99399700,4.18533676,1.13184174,2.61983495,0.00461881,0.34989910,1.03221609,0.56716930,0.02428939,0.46852925
-5.98799400,4.18165419,1.12493825,2.62779030,0.00439507,0.34587483,1.02413535,0.56420564,0.02422683,0.46668590
-5.98199100,4.18024505,1.11827370,2.63593954,0.00417922,0.34215070,1.01585922,0.56229006,0.02429458,0.46524309
-5.97598799,4.18028902,1.11163248,2.64374840,0.00397413,0.33867623,1.00735154,0.56128493,0.02448122,0.46412802
-5.96998499,4.18074830,1.10475751,2.65055311,0.00378201,0.33538880,0.99854829,0.56101755,0.02477179,0.46323683
-5.96398199,4.18041183,1.09736426,2.65558612,0.00360439,0.33221717,0.98936473,0.56128761,0.02514828,0.46243952
-5.95797899,4.17794881,1.08915595,2.65800828,0.00344216,0.32908539,0.97970375,0.56187581,0.02559038,0.46158610
-5.95197599,4.17196911,1.07983946,2.65694580,0.00329556,0.32591694,0.96946521,0.56255327,0.02607623,0.46051364
-5.94597299,4.16108778,1.06914087,2.65153041,0.00316427,0.32263890,0.95855550,0.56309128,0.02658318,0.45905399
-5.93996998,4.14399040,1.05682019,2.64094074,0.00304749,0.31918587,0.94689691,0.56327092,0.02708863,0.45704169
-5.93396698,4.11949602,1.04268425,2.62444273,0.00294398,0.31550355,0.93443618,0.56289212,0.02757073,0.45432174
-5.92796398,4.08661459,1.02659730,2.60142717,0.00285223,0.31155164,0.92115166,0.56178164,0.02800917,0.45075684
-5.92196098,4.04459585,1.00848878,2.57144225,0.00277051,0.30730609,0.90705875,0.55979969,0.02838572,0.44623375
-5.91595798,3.99296734,0.98835789,2.53421953,0.00269699,0.30276038,0.89221331,0.55684478,0.02868479,0.44066848
-5.90995498,3.93155957,0.96627485,2.48969195,0.00262982,0.29792604,0.87671273,0.55285666,0.02889378,0.43401006
-5.90395198,3.86051727,0.94237885,2.43800305,0.00256720,0.29283210,0.86069481,0.54781717,0.02900333,0.42624271
-5.89794897,3.78029644,0.91687292,2.37950684,0.00250749,0.28752379,0.84433446,0.54174913,0.02900743,0.41738647
