energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,5.95727460,-5.95727455,0.78833530,-0.78833522,1.27448330,-1.27448341,1.50247784,-1.50247790,0.78793600,-0.78793584,0.07082987,-0.07082985,0.45953977,-0.45953967,0.10665237,-0.10665240,2.43310146,-2.43310155
-5.99399700,5.87022638,-5.87022630,0.78864018,-0.78864009,1.24767914,-1.24767924,1.47230641,-1.47230646,0.78367369,-0.78367353,0.07258790,-0.07258788,0.46472709,-0.46472699,0.10162185,-0.10162189,2.38459967,-2.38459975
-5.98799400,5.78876508,-5.78876496,0.78962459,-0.78962449,1.22331509,-1.22331518,1.44230577,-1.44230580,0.78035426,-0.78035410,0.07417833,-0.07417831,0.46966223,-0.46966213,0.09683925,-0.09683928,2.33833393,-2.33833399
-5.98199100,5.71589068,-5.71589052,0.79160160,-0.79160151,1.20227952,-1.20227959,1.41349602,-1.41349604,0.77818125,-0.77818109,0.07558297,-0.07558296,0.47442708,-0.47442699,0.09238113,-0.09238115,2.29562901,-2.29562906
-5.97598799,5.65420550,-5.65420530,0.79484646,-0.79484636,1.18532903,-1.18532909,1.38683481,-1.38683481,0.77730568,-0.77730552,0.07678463,-0.07678461,0.47909787,-0.47909778,0.08831378,-0.08831380,2.25764515,-2.25764517
-5.96998499,5.60584715,-5.60584692,0.79958846,-0.79958835,1.17306442,-1.17306446,1.36318986,-1.36318983,0.77782476,-0.77782460,0.07776769,-0.07776768,0.48374232,-0.48374223,0.08469250,-0.08469252,2.22535127,-2.22535127
-5.96398199,5.57243566,-5.57243538,0.80600391,-0.80600381,1.16591186,-1.16591188,1.34331375,-1.34331369,0.77978200,-0.77978184,0.07851872,-0.07851871,0.48841693,-0.48841684,0.08156120,-0.08156121,2.19950415,-2.19950413
-5.95797899,5.55503561,-5.55503528,0.81421023,-0.81421012,1.16411017,-1.16411018,1.32782190,-1.32782182,0.78316873,-0.78316858,0.07902693,-0.07902692,0.49316428,-0.49316420,0.07895213,-0.07895215,2.18063362,-2.18063358
-5.95197599,5.55413404,-5.55413369,0.82426121,-0.82426110,1.16770428,-1.16770427,1.31717431,-1.31717420,0.78792671,-0.78792656,0.07928469,-0.07928469,0.49801057,-0.49801049,0.07688599,-0.07688599,2.16903388,-2.16903382
-5.94597299,5.56963420,-5.56963380,0.83614380,-0.83614369,1.17654533,-1.17654530,1.31166170,-1.31166156,0.79395149,-0.79395134,0.07928790,-0.07928791,0.50296342,-0.50296335,0.07537197,-0.07537198,2.16476111,-2.16476103
-5.93996998,5.60086507,-5.60086465,0.84977638,-0.84977628,1.19029714,-1.19029711,1.31139665,-1.31139649,0.80109663,-0.80109648,0.07903620,-0.07903621,0.50801009,-0.50801002,0.07440817,-0.07440817,2.16763698,-2.16763689
