energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,5.56148785,1.04287300,3.11089181,0.01234970,0.12497106,0.69556141,0.41935256,0.04366363,1.37785465
-5.99399700,5.57582392,1.01631354,3.14671531,0.01247601,0.12610640,0.69109287,0.42630938,0.04355629,1.35586448
-5.98799400,5.58217677,0.98792158,3.17674541,0.01256538,0.12734241,0.68491211,0.43333138,0.04339440,1.33187504
-5.98199100,5.57916405,0.95795219,3.19974422,0.01261601,0.12867253,0.67698220,0.44025678,0.04316905,1.30591058
-5.97598799,5.56572353,0.92668490,3.21471652,0.01262744,0.13008285,0.66730989,0.44692798,0.04287542,1.27806706
-5.96998499,5.54110658,0.89441360,3.22091425,0.01260043,0.13155211,0.65594297,0.45319328,0.04251252,1.24850180
-5.96398199,5.50486555,0.86143715,3.21783494,0.01253688,0.13305216,0.64296724,0.45890870,0.04208282,1.21742207
-5.95797899,5.45683696,0.82805102,3.20521499,0.01243962,0.13454885,0.62850310,0.46394024,0.04159172,1.18507337
-5.95197599,5.39712246,0.79454042,3.18301912,0.01231223,0.13600319,0.61270210,0.46816626,0.04104709,1.15172808
-5.94597299,5.32606908,0.76117495,3.15142688,0.01215886,0.13737297,0.59574362,0.47148025,0.04045866,1.11767502
-5.93996998,5.24425002,0.72820498,3.11081735,0.01198397,0.13861459,0.57783179,0.47379369,0.03983754,1.08321032
-5.93396698,5.15244694,0.69585975,3.06175277,0.01179216,0.13968500,0.55919265,0.47503908,0.03919570,1.04863006
-5.92796398,5.05163425,0.66434702,3.00496190,0.01158798,0.14054387,0.54007174,0.47517285,0.03854562,1.01422463
-5.92196098,4.94296535,0.63385405,2.94132329,0.01137581,0.14115557,0.52073189,0.47417817,0.03789988,0.98027514
-5.91595798,4.82776079,0.60454982,2.87184903,0.01115969,0.14149115,0.50145129,0.47206734,0.03727102,0.94705158
-5.90995498,4.70749746,0.57658806,2.79766867,0.01094327,0.14153003,0.48252160,0.46888375,0.03667131,0.91481274
-5.90395198,4.58379817,0.55011083,2.72001335,0.01072978,0.14126144,0.46424608,0.46470307,0.03611278,0.88380747
-5.89794897,4.45842045,0.52525241,2.64019967,0.01052202,0.14068541,0.44693743,0.45963375,0.03560717,0.85427702
-5.89194597,4.33324343,0.50214306,2.55961308,0.01032239,0.13981339,0.43091541,0.45381647,0.03516604,0.82645809
-5.88594297,4.21025164,0.48091262,2.47968998,0.01013297,0.13866837,0.41650377,0.44742268,0.03480086,0.80058607
-5.87993997,4.09151489,0.46169348,2.40189845,0.00995562,0.13728450,0.40402670,0.44065196,0.03452307,0.77689817
-5.87393697,3.97916301,0.44462292,2.32771685,0.00979204,0.13570626,0.39380450,0.43372845,0.03434423,0.75563597
-5.86793397,3.87535531,0.42984462,2.25861017,0.00964391,0.13398716,0.38614842,0.42689611,0.03427596,0.73704704
-5.86193097,3.78224419,0.41750929,2.19600402,0.00951294,0.13218804,0.38135488,0.42041313,0.03432994,0.72138547
-5.85592796,3.70193335,0.40777440,2.14125620,0.00940101,0.13037505,0.37969889,0.41454548,0.03451779,0.70891097
-5.84992496,3.63643109,0.40080313,2.09562635,0.00931015,0.12861739,0.38142696,0.40955986,0.03485080,0.69988657
