energy_ev,total_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.46148881,2.50444133,0.90134758,0.24575061,0.00000000,0.01535413,0.71187126,0.04389625,1.61617359
-5.99399700,3.35598511,2.45725288,0.86804471,0.24086080,0.00000000,0.01495967,0.69417494,0.04175232,1.56449696
-5.98799400,3.25903216,2.41094518,0.83813197,0.23574663,0.00000000,0.01467165,0.67772771,0.03994279,1.51671648
-5.98199100,3.17041048,2.36553717,0.81141304,0.23041306,0.00000000,0.01449121,0.66236909,0.03846385,1.47285631
-5.97598799,3.08987188,2.32109139,0.78766800,0.22487851,0.00000000,0.01441876,0.64793304,0.03730795,1.43293165
-5.96998499,3.01715241,2.27770994,0.76666289,0.21917384,0.00000000,0.01445411,0.63425471,0.03646442,1.39695032
-5.96398199,2.95197982,2.23552680,0.74815792,0.21334073,0.00000000,0.01459641,0.62117635,0.03592006,1.36491152
-5.95797899,2.89407545,2.19469693,0.73191408,0.20742949,0.00000000,0.01484412,0.60855215,0.03565956,1.33680199
-5.95197599,2.84315121,2.15538300,0.71769807,0.20149652,0.00000000,0.01519501,0.59625190,0.03566594,1.31259014
-5.94597299,2.79890230,2.11774054,0.70528557,0.19560140,0.00000000,0.01564599,0.58416352,0.03592071,1.29221858
-5.93996998,2.76099699,2.08190250,0.69446293,0.18980398,0.00000000,0.01619308,0.57219435,0.03640413,1.27559585
-5.93396698,2.72906460,2.04796429,0.68502746,0.18416143,0.00000000,0.01683122,0.56027137,0.03709524,1.26258820
-5.92796398,2.70268339,2.01597024,0.67678665,0.17872556,0.00000000,0.01755423,0.54834038,0.03797189,1.25301217
-5.92196098,2.68136966,1.98590260,0.66955674,0.17354047,0.00000000,0.01835469,0.53636448,0.03901077,1.24662887
-5.91595798,2.66456986,1.95767370,0.66316082,0.16864073,0.00000000,0.01922386,0.52432190,0.04018742,1.24314061
-5.90995498,2.65165670,1.93112224,0.65742710,0.16405007,0.00000000,0.02015172,0.51220349,0.04147625,1.24219069
-5.90395198,2.64193066,1.90601394,0.65218743,0.15978080,0.00000000,0.02112700,0.50001013,0.04285066,1.24336665
-5.89794897,2.63462746,1.88204702,0.64727674,0.15583393,0.00000000,0.02213728,0.48775026,0.04428325,1.24620732
-5.89194597,2.62893194,1.85886228,0.64253327,0.15219988,0.00000000,0.02316920,0.47543769,0.04574608,1.25021374
-5.88594297,2.62399838,1.83605777,0.63780007,0.14885998,0.00000000,0.02420866,0.46308995,0.04721110,1.25486374
-5.87993997,2.61897668,1.81320721,0.63292766,0.14578845,0.00000000,0.02524124,0.45072725,0.04865067,1.25962972
-5.87393697,2.61304355,1.78988164,0.62777783,0.14295484,0.00000000,0.02625245,0.43837204,0.05003815,1.26399909
-5.86793397,2.60543747,1.76567312,0.62222856,0.14032689,0.00000000,0.02722825,0.42604940,0.05134863,1.26749638
-5.86193097,2.59549568,1.74021946,0.61617957,0.13787352,0.00000000,0.02815543,0.41378789,0.05255965,1.26970625
-5.85592796,2.58269156,1.71322872,0.60955855,0.13556784,0.00000000,0.02902212,0.40162102,0.05365197,1.27029607
-5.84992496,2.56667021,1.68450205,0.60232729,0.13339010,0.00000000,0.02981814,0.38958905,0.05461035,1.26903712
-5.84392196,2.54728024,1.65395386,0.59448760,0.13133030,0.00000000,0.03053547,0.37774099,0.05542415,1.26582316
-5.83791896,2.52459999,1.62162794,0.58608648,0.12939037,0.00000000,0.03116853,0.36613654,0.05608800,1.26068548
-5.83191596,2.49895616,1.58770863,0.57722007,0.12758586,0.00000000,0.03171444,0.35484777,0.05660213,1.25380318
-5.82591296,2.47093355,1.55252630,0.56803615,0.12594693,0.00000000,0.03217318,0.34396034,0.05697265,1.24550832
-5.81990995,2.44137466,1.51655636,0.55873472,0.12451866,0.00000000,0.03254759,0.33357408,0.05721162,1.23628498
-5.81390695,2.41136862,1.48041189,0.54956656,0.12336057,0.00000000,0.03284330,0.32380272,0.05733678,1.22676223
-5.80790395,2.38222899,1.44482959,0.54082958,0.12254536,0.00000000,0.03306852,0.31477275,0.05737118,1.21770075
-5.80190095,2.35546092,1.41064959,0.53286293,0.12215699,0.00000000,0.03323372,0.30662120,0.05734250,1.20997331
-5.79589795,2.33271831,1.37878961,0.52603891,0.12228794,0.00000000,0.03335118,0.29949261,0.05728223,1.20453970
-5.78989495,2.31575214,1.35021439,0.52075297,0.12303596,0.00000000,0.03343450,0.29353494,0.05722460,1.20241663
-5.78389195,2.30635167,1.32590144,0.51741195,0.12450024,0.00000000,0.03349801,0.28889477,0.05720541,1.20464358
-5.77788894,2.30628041,1.30680440,0.51642097,0.12677726,0.00000000,0.03355614,0.28571190,0.05726077,1.21224573
-5.77188594,2.31720914,1.29381521,0.51816944,0.12995633,0.00000000,0.03362283,0.28411343,0.05742577,1.22619519
-5.76588294,2.34064838,1.28772683,0.52301663,0.13411512,0.00000000,0.03371089,0.28420787,0.05773318,1.24737177
-5.75987994,2.37788286,1.28919765,0.53127730,0.13931526,0.00000000,0.03383146,0.28607919,0.05821223,1.27652489
-5.75387694,2.42991051,1.29871912,0.54320800,0.14559819,0.00000000,0.03399353,0.28978135,0.05888748,1.31423795
-5.74787394,2.49738841,1.31658795,0.55899450,0.15298150,0.00000000,0.03420354,0.29533347,0.05977784,1.36089649
-5.74187094,2.58058801,1.34288401,0.57874092,0.16145584,0.00000000,0.03446512,0.30271587,0.06089587,1.41666160
-5.73586793,2.67936163,1.37745485,0.60246097,0.17098258,0.00000000,0.03477895,0.31186727,0.06224722,1.48144967
-5.72986493,2.79312183,1.41990775,0.63007170,0.18149245,0.00000000,0.03514270,0.32268330,0.06383039,1.55491945
