energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.40242620,0.00641696,0.19214311,0.91305707,1.08213682,0.00753844,0.85844824,0.55482511,0.26030536
-5.99399700,2.46326738,0.00647495,0.20060429,0.95597993,1.09469562,0.00776660,0.88193347,0.57894705,0.26980173
-5.98799400,2.52224298,0.00654838,0.20856116,0.99640412,1.10802179,0.00798077,0.90423134,0.60176067,0.27877110
-5.98199100,2.57842628,0.00663963,0.21587474,1.03366967,1.12190650,0.00817850,0.92490137,0.62292119,0.28709952
-5.97598799,2.63093000,0.00675077,0.22241747,1.06716770,1.13612432,0.00835753,0.94353094,0.64211190,0.29468450
-5.96998499,2.67893241,0.00688351,0.22807735,1.09636093,1.15043767,0.00851582,0.95974863,0.65905460,0.30143820
-5.96398199,2.72170191,0.00703920,0.23276184,1.12080262,1.16460147,0.00865164,0.97323664,0.67351888,0.30729029
-5.95797899,2.75861865,0.00721878,0.23640117,1.14015292,1.17836766,0.00876363,0.98374175,0.68533013,0.31219025
-5.95197599,2.78919245,0.00742284,0.23895093,1.15419178,1.19148951,0.00885081,0.99108419,0.69437555,0.31610912
-5.94597299,2.81307595,0.00765158,0.24039382,1.16282773,1.20372557,0.00891266,0.99516415,0.70060807,0.31904045
-5.93996998,2.83007254,0.00790485,0.24074042,1.16610201,1.21484333,0.00894914,0.99596544,0.70404788,0.32100060
-5.93396698,2.84013876,0.00818223,0.24002885,1.16418768,1.22462242,0.00896068,0.99355629,0.70478146,0.32202812
-5.92796398,2.84338116,0.00848298,0.23832346,1.15738382,1.23285747,0.00894820,0.98808697,0.70295822,0.32218242
-5.92196098,2.84004785,0.00880616,0.23571245,1.14610507,1.23936071,0.00891307,0.97978465,0.69878486,0.32154170
-5.91595798,2.83051528,0.00915061,0.23230464,1.13086675,1.24396426,0.00885710,0.96894538,0.69251774,0.32020017
-5.90995498,2.81527114,0.00951498,0.22822551,1.11226662,1.24652230,0.00878251,0.95592378,0.68445374,0.31826474
-5.90395198,2.79489398,0.00989778,0.22361266,1.09096377,1.24691305,0.00869184,0.94112078,0.67491982,0.31585129
-5.89794897,2.77003085,0.01029732,0.21861093,1.06765595,1.24504066,0.00858792,0.92496995,0.66426203,0.31308061
-5.89194597,2.74137381,0.01071177,0.21336748,1.04305609,1.24083696,0.00847384,0.90792300,0.65283434,0.31007430
-5.88594297,2.70963645,0.01113911,0.20802689,1.01786932,1.23426303,0.00835282,0.89043511,0.64098779,0.30695056
-5.87993997,2.67553130,0.01157706,0.20272669,0.99277129,1.22531052,0.00822821,0.87295052,0.62906048,0.30382029
-5.87393697,2.63974904,0.01202311,0.19759332,0.96838872,1.21400268,0.00810338,0.85588919,0.61736868,0.30078351
-5.86793397,2.60294019,0.01247444,0.19273885,0.94528303,1.20039487,0.00798171,0.83963483,0.60619955,0.29792616
-5.86193097,2.56569988,0.01292784,0.18825837,0.92393733,1.18457462,0.00786650,0.82452474,0.59580546,0.29531755
-5.85592796,2.52855601,0.01337975,0.18422834,0.90474744,1.16666096,0.00776094,0.81084196,0.58640019,0.29300847
-5.84992496,2.49196101,0.01382614,0.18070573,0.88801674,1.14680313,0.00766805,0.79880967,0.57815698,0.29103000
-5.84392196,2.45628728,0.01426258,0.17772799,0.87395504,1.12517852,0.00759067,0.78858822,0.57120830,0.28939310
-5.83791896,2.42182609,0.01468416,0.17531387,0.86268096,1.10198989,0.00753142,0.78027449,0.56564722,0.28808898
-5.83191596,2.38878976,0.01508560,0.17346479,0.85422758,1.07746188,0.00749263,0.77390377,0.56153012,0.28709014
-5.82591296,2.35731664,0.01546127,0.17216683,0.84855067,1.05183701,0.00747640,0.76945362,0.55888040,0.28635221
-5.81990995,2.32747842,0.01580531,0.17139305,0.84553882,1.02537109,0.00748449,0.76684963,0.55769302,0.28581631
-5.81390695,2.29928926,0.01611171,0.17110612,0.84502485,0.99832842,0.00751837,0.76597262,0.55793927,0.28541195
-5.80790395,2.27271608,0.01637451,0.17126092,0.84679773,0.97097673,0.00757918,0.76666675,0.55957170,0.28506031
-5.80190095,2.24768937,0.01658796,0.17180711,0.85061436,0.94358219,0.00766771,0.76874834,0.56252869,0.28467777
-5.79589795,2.22411393,0.01674669,0.17269157,0.85621049,0.91640451,0.00778438,0.77201465,0.56673858,0.28417947
-5.78989495,2.20187899,0.01684595,0.17386041,0.86331050,0.88969235,0.00792927,0.77625240,0.57212298,0.28348292
-5.78389195,2.18086709,0.01688175,0.17526063,0.87163543,0.86367915,0.00810203,0.78124557,0.57859920,0.28251130
-5.77788894,2.16096143,0.01685111,0.17684146,0.88090925,0.83857940,0.00830194,0.78678214,0.58608179,0.28119641
-5.77188594,2.14205125,0.01675219,0.17855504,0.89086303,0.81458546,0.00852784,0.79265957,0.59448303,0.27948125
-5.76588294,2.12403518,0.01658441,0.18035686,0.90123742,0.79186494,0.00877817,0.79868882,0.60371257,0.27732185
-5.75987994,2.10682239,0.01634857,0.18220571,0.91178328,0.77055867,0.00905090,0.80469692,0.61367637,0.27468864
-5.75387694,2.09033172,0.01604685,0.18406331,0.92226107,0.75077914,0.00934356,0.81052811,0.62427499,0.27156700
-5.74787394,2.07448897,0.01568285,0.18589374,0.93243915,0.73260954,0.00965324,0.81604362,0.63540162,0.26795719
-5.74187094,2.05922282,0.01526147,0.18766266,0.94209169,0.71610328,0.00997660,0.82112038,0.64694000,0.26387360
-5.73586793,2.04445961,0.01478885,0.18933657,0.95099642,0.70128391,0.01030987,0.82564892,0.65876250,0.25934344
-5.72986493,2.03011772,0.01427215,0.19088204,0.95893278,0.68814559,0.01064889,0.82953071,0.67072864,0.25440489
-5.72386193,2.01610199,0.01371937,0.19226511,0.96568091,0.67665395,0.01098918,0.83267531,0.68268420,0.24910492
-5.71785893,2.00229871,0.01313910,0.19345092,0.97102162,0.66674732,0.01132594,0.83499760,0.69446110,0.24349680
-5.71185593,1.98857176,0.01254028,0.19440354,0.97473770,0.65833851,0.01165418,0.83641539,0.70587821,0.23763750
-5.70585293,1.97476018,0.01193187,0.19508615,0.97661655,0.65131696,0.01196877,0.83684770,0.71674304,0.23158518
-5.69984992,1.96067771,0.01132266,0.19546144,0.97645417,0.64555137,0.01226454,0.83621371,0.72685434,0.22539674
-5.69384692,1.94611421,0.01072094,0.19549236,0.97406017,0.64089283,0.01253637,0.83443265,0.73600554,0.21912565
-5.68784392,1.93083932,0.01013428,0.19514303,0.96926378,0.63717833,0.01277932,0.83142459,0.74398885,0.21282018
-5.68184092,1.91460805,0.00956938,0.19437986,0.96192030,0.63423487,0.01298872,0.82711202,0.75059983,0.20652198
-5.67583792,1.89716828,0.00903185,0.19317277,0.95191761,0.63188388,0.01316028,0.82142219,0.75564237,0.20026515
-5.66983492,1.87826978,0.00852610,0.19149642,0.93918248,0.62994612,0.01329018,0.81429005,0.75893359,0.19407580
-5.66383192,1.85767447,0.00805532,0.18933141,0.92368599,0.62824689,0.01337516,0.80566155,0.76030875,0.18797206
-5.65782891,1.83516736,0.00762143,0.18666537,0.90544792,0.62662151,0.01341259,0.79549713,0.75962573,0.18196446
-5.65182591,1.81056786,0.00722510,0.18349381,0.88453971,0.62492098,0.01340054,0.78377514,0.75676908,0.17605679
-5.64582291,1.78374087,0.00686587,0.17982082,0.86108577,0.62301760,0.01333780,0.77049513,0.75165339,0.17024720
-5.63981991,1.75460735,0.00654220,0.17565945,0.83526301,0.62081056,0.01322391,0.75568068,0.74422604,0.16452952
-5.63381691,1.72315367,0.00625168,0.17103181,0.80729868,0.61823119,0.01305918,0.73938167,0.73446910,0.15889478
-5.62781391,1.68943971,0.00599116,0.16596894,0.77746647,0.61524770,0.01284463,0.72167595,0.72240053,0.15333278
-5.62181091,1.65360503,0.00575694,0.16051037,0.74608127,0.61186927,0.01258202,0.70267027,0.70807468,0.14783359
-5.61580790,1.61587309,0.00554496,0.15470346,0.71349256,0.60814919,0.01227374,0.68250049,0.69158202,0.14238910
-5.60980490,1.57655303,0.00535102,0.14860254,0.68007703,0.60418683,0.01192281,0.66133089,0.67304834,0.13699425
-5.60380190,1.53603908,0.00517092,0.14226792,0.64623055,0.60012834,0.01153279,0.63935287,0.65263342,0.13164824
-5.59779890,1.49480724,0.00500067,0.13576476,0.61235995,0.59616568,0.01110771,0.61678281,0.63052912,0.12635531
-5.59179590,1.45340935,0.00483661,0.12916190,0.57887486,0.59253407,0.01065197,0.59385926,0.60695722,0.12112543
-5.58579290,1.41246439,0.00467555,0.12253066,0.54617995,0.58950752,0.01017034,0.57083954,0.58216681,0.11597454
-5.57978989,1.37264729,0.00451488,0.11594368,0.51466774,0.58739262,0.00966778,0.54799567,0.55643147,0.11092464
-5.57378689,1.33467527,0.00435263,0.10947377,0.48471220,0.58652047,0.00914943,0.52560997,0.53004611,0.10600350
-5.56778389,1.29929203,0.00418749,0.10319286,0.45666328,0.58723693,0.00862051,0.50397011,0.50332363,0.10124411
-5.56178089,1.26725022,0.00401885,0.09717104,0.43084231,0.58989147,0.00808626,0.48336400,0.47659142,0.09668400
-5.55577789,1.23929255,0.00384679,0.09147564,0.40753843,0.59482488,0.00755185,0.46407447,0.45018759,0.09236418
-5.54977489,1.21613217,0.00367200,0.08617050,0.38700593,0.60235625,0.00702234,0.44637385,0.42445707,0.08832815
-5.54377189,1.19843290,0.00349574,0.08131525,0.36946245,0.61276968,0.00650258,0.43051879,0.39974762,0.08462057
-5.53776888,1.18678996,0.00331979,0.07696473,0.35508786,0.62630135,0.00599720,0.41674518,0.37640566,0.08128607
-5.53176588,1.18171194,0.00314628,0.07316844,0.34402391,0.64312736,0.00551054,0.40526352,0.35477197,0.07836795
-5.52576288,1.18360463,0.00297767,0.06997016,0.33637425,0.66335298,0.00504658,0.39625482,0.33517735,0.07590689
-5.51975988,1.19275722,0.00281658,0.06740745,0.33220495,0.68700388,0.00460896,0.38986702,0.31793823,0.07393985
-5.51375688,1.20933158,0.00266571,0.06551139,0.33154526,0.71401970,0.00420089,0.38621220,0.30335212,0.07249896
-5.50775388,1.23335486,0.00252771,0.06430619,0.33438845,0.74425035,0.00382515,0.38536449,0.29169305,0.07161060
-5.50175088,1.26471562,0.00240511,0.06380889,0.34069284,0.77745538,0.00348408,0.38735874,0.28320701,0.07129463
-5.49574787,1.30316377,0.00230019,0.06402905,0.35038266,0.81330642,0.00317956,0.39218998,0.27810726,0.07156375
-5.48974487,1.34831398,0.00221492,0.06496842,0.36334887,0.85139275,0.00291301,0.39981347,0.27656968,0.07242302
-5.48374187,1.39965251,0.00215088,0.06662063,0.37944985,0.89122978,0.00268536,0.41014549,0.27872809,0.07386956
-5.47773887,1.45654703,0.00210918,0.06897086,0.39851184,0.93227017,0.00249710,0.42306449,0.28466968,0.07589229
-5.47173587,1.51825900,0.00209048,0.07199555,0.42032934,0.97391715,0.00234827,0.43841274,0.29443055,0.07847191
-5.46573287,1.58395792,0.00209488,0.07566205,0.44466525,1.01553951,0.00223844,0.45599819,0.30799153,0.08158088
-5.45972986,1.65273713,0.00212198,0.07992845,0.47125108,1.05648775,0.00216679,0.47559656,0.32527446,0.08518357
-5.45372686,1.72363050,0.00217082,0.08474340,0.49978721,1.09611068,0.00213205,0.49695353,0.34613903,0.08923644
-5.44772386,1.79562945,0.00223996,0.09004606,0.52994338,1.13377198,0.00213262,0.51978709,0.37038047,0.09368831
-5.44172086,1.86770007,0.00232746,0.09576628,0.56135948,1.16886609,0.00216648,0.54378989,0.39772835,0.09848081
-5.43571786,1.93879998,0.00243099,0.10182490,0.59364709,1.20083296,0.00223131,0.56863188,0.42784664,0.10354883
-5.42971486,2.00789465,0.00254782,0.10813435,0.62639159,1.22917121,0.00232448,0.59396309,0.46033541,0.10882112
-5.42371186,2.07397329,0.00267494,0.11459952,0.65915538,1.25344946,0.00244311,0.61941686,0.49473422,0.11422108
-5.41770885,2.13606416,0.00280917,0.12111895,0.69148204,1.27331556,0.00258407,0.64461350,0.53052751,0.11966767
