energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,4.26685902,1.23515071,1.45360360,0.00685875,0.66942383,1.68370174,0.86631257,0.02531547,1.23699712
-5.99399700,4.25738759,1.23655296,1.45002377,0.00674884,0.67208131,1.68823870,0.86318348,0.02575377,1.23118116
-5.98799400,4.23579473,1.23455949,1.44193603,0.00662945,0.67255017,1.68823175,0.85743157,0.02615413,1.22253465
-5.98199100,4.20272695,1.22918945,1.42966213,0.00650258,0.67090264,1.68369206,0.84922382,0.02651615,1.21117438
-5.97598799,4.15897882,1.22050935,1.41356611,0.00637010,0.66724921,1.67468304,0.83876780,0.02683877,1.19723910
-5.96998499,4.10547000,1.20863329,1.39404173,0.00623367,0.66173647,1.66131991,0.82630626,0.02712020,1.18088573
-5.96398199,4.04322236,1.19372270,1.37150033,0.00609467,0.65454434,1.64376938,0.81211134,0.02735787,1.16228617
-5.95797899,3.97333753,1.17598545,1.34635954,0.00595415,0.64588275,1.62224912,0.79647857,0.02754842,1.14162486
-5.95197599,3.89697525,1.15567409,1.31903326,0.00581282,0.63598771,1.59702679,0.77972072,0.02768787,1.11909691
-5.94597299,3.81533251,1.13308291,1.28992300,0.00567104,0.62511678,1.56841826,0.76216155,0.02777173,1.09490662
-5.93996998,3.72962339,1.10854383,1.25941080,0.00552886,0.61354399,1.53678467,0.74412951,0.02779529,1.06926625
-5.93396698,3.64105944,1.08242078,1.22785368,0.00538603,0.60155409,1.50252807,0.72595137,0.02775384,1.04239483
-5.92796398,3.55083049,1.05510271,1.19557953,0.00524206,0.58943634,1.46608546,0.70794587,0.02764304,1.01451674
-5.92196098,3.46008558,1.02699515,1.16288438,0.00509630,0.57747777,1.42792111,0.69041735,0.02745920,0.98585994
-5.91595798,3.36991414,0.99851057,1.13003084,0.00494801,0.56595613,1.38851718,0.67364952,0.02719959,0.95665381
-5.90995498,3.28132739,0.97005781,1.09724742,0.00479643,0.55513259,1.34836298,0.65789929,0.02686274,0.92712644
-5.90395198,3.19524025,0.94203080,1.06472873,0.00464084,0.54524452,1.30794294,0.64339107,0.02644864,0.89750146
-5.89794897,3.11245418,0.91479727,1.03263616,0.00448064,0.53649848,1.26772402,0.63031138,0.02595895,0.86799452
-5.89194597,3.03364159,0.88868764,1.00109911,0.00431539,0.52906374,1.22814290,0.61880422,0.02539709,0.83880952
-5.88594297,2.95933236,0.86398482,0.97021650,0.00414487,0.52306659,1.18959361,0.60896722,0.02476824,0.81013490
-5.87993997,2.88990340,0.84091540,0.94005863,0.00396911,0.51858577,1.15241628,0.60084895,0.02407934,0.78214006
-5.87393697,2.82557188,0.81964257,0.91066928,0.00378837,0.51564923,1.11688760,0.59444740,0.02333893,0.75497232
-5.86793397,2.76639296,0.80026138,0.88206818,0.00360321,0.51423247,1.08321339,0.58971000,0.02255698,0.72875459
-5.86193097,2.71226255,0.78279648,0.85425370,0.00341439,0.51425867,1.05152400,0.58653519,0.02174461,0.70358393
-5.85592796,2.66292546,0.76720260,0.82720603,0.00322290,0.51560065,1.02187261,0.58477562,0.02091386,0.67953114
-5.84992496,2.61798913,0.75336786,0.80089065,0.00302991,0.51808477,0.99423669,0.58424308,0.02007734,0.65664161
-5.84392196,2.57694284,0.74111979,0.77526232,0.00283673,0.52149667,0.96852266,0.58471493,0.01924792,0.63493726
-5.83791896,2.53918194,0.73023383,0.75026939,0.00264476,0.52558869,0.94457355,0.58594204,0.01843839,0.61441966
-5.83191596,2.50403631,0.72044404,0.72585845,0.00245545,0.53008878,0.92217927,0.58765789,0.01766118,0.59507410
-5.82591296,2.47080227,0.71145544,0.70197928,0.00227023,0.53471057,0.90108924,0.58958855,0.01692807,0.57687457
-5.81990995,2.43877645,0.70295766,0.67858986,0.00209050,0.53916418,0.88102650,0.59146325,0.01624993,0.55978917
-5.81390695,2.40729054,0.69463894,0.65566133,0.00191756,0.54316743,0.86170304,0.59302498,0.01563653,0.54378591
-5.80790395,2.37574516,0.68620028,0.63318276,0.00175263,0.54645689,0.84283532,0.59404083,0.01509634,0.52883846
-5.80190095,2.34364164,0.67736873,0.61116547,0.00159676,0.54879844,0.82415951,0.59431163,0.01463643,0.51493158
-5.79589795,2.31061021,0.66790952,0.58964680,0.00145087,0.54999670,0.80544571,0.59368032,0.01426234,0.50206596
-5.78989495,2.27643333,0.65763631,0.56869305,0.00131574,0.54990314,0.78651057,0.59203896,0.01397802,0.49026226
-5.78389195,2.24106317,0.64641932,0.54840162,0.00119197,0.54842240,0.76722780,0.58933387,0.01378580,0.47956410
