energy_ev,total_up,Cr_p_up,Cr_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.78802356,0.78863043,0.16080153,1.59462777,1.24598513,0.00738294,0.52460063,0.76813563,0.00000000
-5.99399700,2.83125131,0.79279750,0.16470136,1.66136632,1.25550468,0.00749321,0.53980314,0.77321675,0.00000000
-5.98799400,2.86957689,0.79543366,0.16833472,1.72859084,1.26188929,0.00755200,0.55430956,0.77694724,0.00000000
-5.98199100,2.90326787,0.79670725,0.17169822,1.79615332,1.26534267,0.00755801,0.56813927,0.77943398,0.00000000
-5.97598799,2.93272225,0.79681664,0.17479312,1.86387954,1.26616128,0.00751109,0.58133543,0.78081089,0.00000000
-5.96998499,2.95844949,0.79598242,0.17762480,1.93156077,1.26472470,0.00741221,0.59396154,0.78123316,0.00000000
-5.96398199,2.98104783,0.79443930,0.18020242,1.99894731,1.26148278,0.00726346,0.60609709,0.78087122,0.00000000
-5.95797899,3.00117932,0.79242816,0.18253850,2.06574422,1.25694017,0.00706797,0.61783270,0.77990479,0.00000000
-5.95197599,3.01954377,0.79018864,0.18464879,2.13160974,1.25163916,0.00682978,0.62926470,0.77851730,0.00000000
-5.94597299,3.03685305,0.78795247,0.18655216,2.19615663,1.24614161,0.00655372,0.64048980,0.77689091,0.00000000
-5.93996998,3.05380679,0.78593799,0.18827059,2.25895638,1.24101080,0.00624527,0.65159986,0.77520241,0.00000000
-5.93396698,3.07107036,0.78434569,0.18982933,2.31954616,1.23679410,0.00591033,0.66267708,0.77361984,0.00000000
-5.92796398,3.08925593,0.78335499,0.19125691,2.37743811,1.23400692,0.00555510,0.67378984,0.77230004,0.00000000
-5.92196098,3.10890679,0.78312199,0.19258533,2.43213035,1.23311878,0.00518586,0.68498943,0.77138686,0.00000000
-5.91595798,3.13048532,0.78377807,0.19384988,2.48311927,1.23454158,0.00480878,0.69630756,0.77100991,0.00000000
-5.90995498,3.15436431,0.78542914,0.19508899,2.52991224,1.23862062,0.00442978,0.70775499,0.77128364,0.00000000
-5.90395198,3.18082145,0.78815515,0.19634367,2.57204018,1.24562816,0.00405440,0.71932103,0.77230656,0.00000000
-5.89794897,3.21003660,0.79200975,0.19765678,2.60906932,1.25575972,0.00368765,0.73097411,0.77416032,0.00000000
-5.89194597,3.24209135,0.79701984,0.19907186,2.64061162,1.26913270,0.00333392,0.74266311,0.77690853,0.00000000
-5.88594297,3.27697032,0.80318478,0.20063174,2.66633359,1.28578721,0.00299696,0.75431953,0.78059527,0.00000000
-5.87993997,3.31456383,0.81047537,0.20237687,2.68596303,1.30568866,0.00267978,0.76586018,0.78524317,0.00000000
-5.87393697,3.35467156,0.81883253,0.20434334,2.69929389,1.32873173,0.00238472,0.77719034,0.79085120,0.00000000
-5.86793397,3.39700682,0.82816582,0.20656090,2.70618900,1.35474533,0.00211340,0.78820716,0.79739231,0.00000000
-5.86193097,3.44120143,0.83835206,0.20905092,2.70658102,1.38349822,0.00186681,0.79880305,0.80481115,0.00000000
-5.85592796,3.48681092,0.84923434,0.21182445,2.70047174,1.41470489,0.00164535,0.80886904,0.81302201,0.00000000
-5.84992496,3.53332037,0.86062161,0.21488061,2.68793005,1.44803145,0.00144890,0.81829779,0.82190754,0.00000000
-5.84392196,3.58015078,0.87228937,0.21820530,2.66908879,1.48310134,0.00127694,0.82698610,0.83131831,0.00000000
-5.83791896,3.62666627,0.88398161,0.22177051,2.64414085,1.51950084,0.00112860,0.83483704,0.84107355,0.00000000
-5.83191596,3.67218226,0.89541421,0.22553413,2.61333465,1.55678423,0.00100280,0.84176124,0.85096342,0.00000000
-5.82591296,3.71597488,0.90628004,0.22944059,2.57696920,1.59447869,0.00089829,0.84767773,0.86075274,0.00000000
-5.81990995,3.75729173,0.91625583,0.23342209,2.53538897,1.63208920,0.00081381,0.85251402,0.87018641,0.00000000
-5.81390695,3.79536415,0.92501046,0.23740055,2.48897847,1.66910347,0.00074812,0.85620567,0.87899634,0.00000000
-5.80790395,3.82942099,0.93221486,0.24129029,2.43815672,1.70499716,0.00070010,0.85869539,0.88690979,0.00000000
-5.80190095,3.85870393,0.93755280,0.24500118,2.38337159,1.73923968,0.00066882,0.85993186,0.89365875,0.00000000
-5.79589795,3.88248407,0.94073239,0.24844218,2.32509407,1.77130068,0.00065360,0.85986842,0.89899015,0.00000000
-5.78989495,3.90007965,0.94149769,0.25152527,2.26381243,1.80065749,0.00065405,0.85846185,0.90267623,0.00000000
-5.78389195,3.91087448,0.93963990,0.25416927,2.20002642,1.82680352,0.00067012,0.85567140,0.90452475,0.00000000
-5.77788894,3.91433654,0.93500741,0.25630368,2.13424161,1.84925763,0.00070209,0.85145838,0.90438840,0.00000000
-5.77188594,3.91003632,0.92751438,0.25787208,2.06696382,1.86757445,0.00075064,0.84578626,0.90217296,0.00000000
-5.76588294,3.89766399,0.91714717,0.25883506,1.99869404,1.88135529,0.00081677,0.83862154,0.89784366,0.00000000
-5.75987994,3.87704489,0.90396827,0.25917246,1.92992370,1.89025949,0.00090187,0.82993546,0.89142938,0.00000000
-5.75387694,3.84815240,0.88811734,0.25888471,1.86113056,1.89401550,0.00100760,0.81970637,0.88302428,0.00000000
-5.74787394,3.81111745,0.86980934,0.25799336,1.79277524,1.89243154,0.00113592,0.80792279,0.87278683,0.00000000
-5.74187094,3.76623395,0.84932958,0.25654056,1.72529834,1.88540481,0.00128901,0.79458695,0.86093592,0.00000000
-5.73586793,3.71395947,0.82702587,0.25458756,1.65911829,1.87292909,0.00146916,0.77971861,0.84774428,0.00000000
-5.72986493,3.65491060,0.80329803,0.25221233,1.59462957,1.85509978,0.00167876,0.76335879,0.83352938,0.00000000
-5.72386193,3.58985273,0.77858523,0.24950636,1.53220138,1.83211609,0.00192016,0.74557321,0.81864215,0.00000000
-5.71785893,3.51968413,0.75335150,0.24657079,1.47217633,1.80427982,0.00219555,0.72645503,0.80345390,0.00000000
-5.71185593,3.44541453,0.72807022,0.24351205,1.41486916,1.77199057,0.00250692,0.70612660,0.78834216,0.00000000
-5.70585293,3.36813851,0.70320814,0.24043728,1.36056502,1.73573716,0.00285588,0.68474005,0.77367594,0.00000000
-5.69984992,3.28900467,0.67920958,0.23744970,1.30951733,1.69608547,0.00324356,0.66247633,0.75980112,0.00000000
-5.69384692,3.20918142,0.65648156,0.23464419,1.26194491,1.65366289,0.00367055,0.63954278,0.74702671,0.00000000
-5.68784392,3.12982070,0.63538046,0.23210331,1.21802848,1.60913996,0.00413673,0.61616907,0.73561261,0.00000000
-5.68184092,3.05202109,0.61620071,0.22989400,1.17790645,1.56320985,0.00464121,0.59260166,0.72575938,0.00000000
-5.67583792,2.97679187,0.59916606,0.22806503,1.14167022,1.51656651,0.00518228,0.56909695,0.71760065,0.00000000
-5.66983492,2.90501962,0.58442365,0.22664545,1.10935929,1.46988242,0.00575729,0.54591333,0.71119844,0.00000000
-5.66383192,2.83743885,0.57204116,0.22564398,1.08095637,1.42378692,0.00636272,0.52330271,0.70654166,0.00000000
-5.65782891,2.77460818,0.56200703,0.22504943,1.05638305,1.37884618,0.00699409,0.50150155,0.70354777,0.00000000
-5.65182591,2.71689308,0.55423375,0.22483217,1.03549649,1.33554559,0.00764605,0.48072237,0.70206761,0.00000000
-5.64582291,2.66445614,0.54856388,0.22494635,1.01808738,1.29427557,0.00831239,0.46114564,0.70189301,0.00000000
-5.63981991,2.61725535,0.54477857,0.22533287,1.00387989,1.25532132,0.00898622,0.44291299,0.70276680,0.00000000
-5.63381691,2.57505046,0.54260808,0.22592297,0.99253366,1.21885702,0.00965998,0.42612178,0.70439477,0.00000000
-5.62781391,2.53741716,0.54174387,0.22664200,0.98364830,1.18494471,0.01032572,0.41082150,0.70645884,0.00000000
-5.62181091,2.50376844,0.54185154,0.22741338,0.97677032,1.15353787,0.01097516,0.39701219,0.70863075,0.00000000
-5.61580790,2.47338204,0.54258429,0.22816234,0.97140262,1.12448942,0.01159996,0.38464500,0.71058576,0.00000000
