energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.51420725,-0.87989802,0.72711386,-0.24517177,0.23913696,-0.07853747,0.00018927,-0.00094236,0.09638164,-0.02823456,0.40010930,-0.25621301,0.29809548,-0.16785253,0.00295103,-0.01294299,0.79588871,-0.53396694
-5.99399700,1.49013260,-0.86304652,0.72318679,-0.24127984,0.23581976,-0.07758520,0.00017099,-0.00081911,0.09874370,-0.02637036,0.39168158,-0.25601369,0.29244450,-0.16478816,0.00265513,-0.01207446,0.77889588,-0.52644272
-5.98799400,1.46127318,-0.85496672,0.71562134,-0.23989245,0.23232842,-0.07739485,0.00015477,-0.00071332,0.10084413,-0.02487180,0.38185165,-0.25792061,0.28547797,-0.16365809,0.00239963,-0.01137005,0.75921891,-0.52404398
-5.98199100,1.42806734,-0.85571084,0.70449616,-0.24106720,0.22877361,-0.07797839,0.00014034,-0.00062355,0.10270979,-0.02374757,0.37071352,-0.26188603,0.27732425,-0.16448925,0.00218195,-0.01082722,0.73707508,-0.52680133
-5.97598799,1.39109242,-0.86521172,0.68996037,-0.24483134,0.22528818,-0.07933569,0.00012749,-0.00054829,0.10438032,-0.02300302,0.35839331,-0.26783882,0.26813981,-0.16728194,0.00199991,-0.01044121,0.71275025,-0.53467260
-5.96998499,1.35105243,-0.88328098,0.67223010,-0.25118018,0.22202477,-0.08145406,0.00011601,-0.00048604,0.10590761,-0.02264002,0.34504660,-0.27568503,0.25810499,-0.17200902,0.00185174,-0.01020510,0.68659237,-0.54754174
-5.96398199,1.30876143,-0.90960801,0.65158309,-0.26007559,0.21915254,-0.08430797,0.00010574,-0.00043532,0.10735498,-0.02265677,0.33085489,-0.28530854,0.24741916,-0.17861510,0.00173609,-0.01011005,0.65900288,-0.56521824
-5.95797899,1.26512329,-0.94376002,0.62835158,-0.27144496,0.21685319,-0.08785894,0.00009651,-0.00039472,0.10879584,-0.02304768,0.31602113,-0.29657163,0.23629553,-0.18701609,0.00165205,-0.01014540,0.63042652,-0.58743734
-5.95197599,1.22110847,-0.98518340,0.60291369,-0.28518040,0.21531623,-0.09205559,0.00008819,-0.00036287,0.11031194,-0.02380330,0.30076468,-0.30931562,0.22495560,-0.19709897,0.00159909,-0.01029889,0.60133986,-0.61386090
-5.94597299,1.17772864,-1.03320663,0.57568362,-0.30113840,0.21473389,-0.09683396,0.00008068,-0.00033853,0.11199127,-0.02491021,0.28531567,-0.32336163,0.21362361,-0.20872197,0.00157709,-0.01055680,0.57223880,-0.64407933
