energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.89682956,0.02534369,0.54795699,2.08638690,1.24753297,1.74166558,0.00000000,0.81614483,0.31818381
-5.99399700,3.86819459,0.02473485,0.53026395,2.06884864,1.23198585,1.74579480,0.00000000,0.81586938,0.31301815
-5.98799400,3.84799977,0.02434517,0.51394650,2.05735426,1.21945037,1.75307870,0.00000000,0.81631549,0.30897838
-5.98199100,3.83615832,0.02417319,0.49902537,2.05173066,1.20987803,1.76346566,0.00000000,0.81754889,0.30607306
-5.97598799,3.83243768,0.02421411,0.48549687,2.05170267,1.20316047,1.77685166,0.00000000,0.81963269,0.30429013
-5.96998499,3.83647274,0.02446003,0.47333597,2.05690503,1.19913613,1.79308306,0.00000000,0.82262564,0.30359879
-5.96398199,3.84777918,0.02490019,0.46249933,2.06689470,1.19759758,1.81195943,0.00000000,0.82657967,0.30395151
-5.95797899,3.86576694,0.02552132,0.45292833,2.08116320,1.19829913,1.83323636,0.00000000,0.83153685,0.30528613
-5.95197599,3.88975389,0.02630798,0.44455210,2.09914891,1.20096476,1.85662858,0.00000000,0.83752597,0.30752784
-5.94597299,3.91897961,0.02724294,0.43729038,2.12024929,1.20529625,1.88181335,0.00000000,0.84455901,0.31059131
-5.93996998,3.95261977,0.02830753,0.43105643,2.14383310,1.21098135,1.90843445,0.00000000,0.85262770,0.31438254
-5.93396698,3.98980103,0.02948209,0.42575980,2.16925247,1.21770198,1.93610682,0.00000000,0.86170048,0.31880082
-5.92796398,4.02961670,0.03074628,0.42130905,2.19585507,1.22514226,1.96442200,0.00000000,0.87172010,0.32374052
-5.92196098,4.07114323,0.03207953,0.41761445,2.22299607,1.23299637,1.99295444,0.00000000,0.88260197,0.32909289
-5.91595798,4.11345735,0.03346140,0.41459048,2.25005013,1.24097601,2.02126856,0.00000000,0.89423354,0.33474776
-5.90995498,4.15565385,0.03487192,0.41215828,2.27642295,1.24881729,2.04892667,0.00000000,0.90647478,0.34059530
-5.90395198,4.19686346,0.03629194,0.41024784,2.30156248,1.25628701,2.07549737,0.00000000,0.91915971,0.34652767
-5.89794897,4.23627048,0.03770344,0.40879992,2.32496937,1.26318796,2.10056431,0.00000000,0.93209909,0.35244069
-5.89194597,4.27312959,0.03908981,0.40776761,2.34620637,1.26936320,2.12373499,0.00000000,0.94508413,0.35823549
-5.88594297,4.30678112,0.04043610,0.40711749,2.36490643,1.27469900,2.14464929,0.00000000,0.95789110,0.36382003
-5.87993997,4.33666421,0.04172920,0.40683019,2.38077913,1.27912646,2.16298728,0.00000000,0.97028669,0.36911052
-5.87393697,4.36232706,0.04295798,0.40690045,2.39361508,1.28262146,2.17847608,0.00000000,0.98203384,0.37403270
-5.86793397,4.38343390,0.04411342,0.40733644,2.40328809,1.28520307,2.19089540,0.00000000,0.99289790,0.37852287
-5.86193097,4.39976790,0.04518861,0.40815846,2.40975494,1.28693029,2.20008138,0.00000000,1.00265285,0.38252862
-5.85592796,4.41122996,0.04617876,0.40939691,2.41305250,1.28789713,2.20592871,0.00000000,1.01108727,0.38600931
-5.84992496,4.41783313,0.04708109,0.41108968,2.41329229,1.28822631,2.20839066,0.00000000,1.01800987,0.38893610
-5.84392196,4.41969268,0.04789474,0.41327888,2.41065263,1.28806156,2.20747724,0.00000000,1.02325443,0.39129164
-5.83791896,4.41701224,0.04862048,0.41600716,2.40536845,1.28755897,2.20325129,0.00000000,1.02668383,0.39306932
-5.83191596,4.41006640,0.04926059,0.41931363,2.39771921,1.28687755,2.19582287,0.00000000,1.02819312,0.39427217
-5.82591296,4.39918056,0.04981847,0.42322970,2.38801528,1.28616955,2.18534202,0.00000000,1.02771154,0.39491143
-5.81990995,4.38470890,0.05029836,0.42777480,2.37658340,1.28557071,2.17199040,0.00000000,1.02520334,0.39500478
-5.81390695,4.36701143,0.05070500,0.43295251,2.36375170,1.28519116,2.15597196,0.00000000,1.02066752,0.39457444
-5.80790395,4.34643127,0.05104332,0.43874693,2.34983489,1.28510713,2.13750337,0.00000000,1.01413640,0.39364510
-5.80190095,4.32327330,0.05131805,0.44511982,2.33512034,1.28535402,2.11680439,0.00000000,1.00567320,0.39224194
-5.79589795,4.29778519,0.05153350,0.45200851,2.31985556,1.28592116,2.09408882,0.00000000,0.99536880,0.39038864
-5.78989495,4.27014188,0.05169322,0.45932481,2.30423770,1.28674853,2.06955637,0.00000000,0.98333764,0.38810580
-5.78389195,4.24043430,0.05179990,0.46695492,2.28840546,1.28772576,2.04338590,0.00000000,0.96971325,0.38540950
-5.77788894,4.20866308,0.05185517,0.47476066,2.27243390,1.28869333,2.01573029,0.00000000,0.95464337,0.38231044
-5.77188594,4.17473755,0.05185958,0.48258171,2.25633231,1.28944628,1.98671323,0.00000000,0.93828503,0.37881342
-5.76588294,4.13848031,0.05181267,0.49023916,2.24004529,1.28974012,1.95642803,0.00000000,0.92079972,0.37491743
-5.75987994,4.09963719,0.05171298,0.49753993,2.22345713,1.28929892,1.92493855,0.00000000,0.90234892,0.37061621
-5.75387694,4.05789237,0.05155837,0.50428228,2.20639914,1.28782517,1.89228217,0.00000000,0.88309019,0.36589930
-5.74787394,4.01288785,0.05134614,0.51026195,2.18865988,1.28501117,1.85847456,0.00000000,0.86317389,0.36075357
-5.74187094,3.96424661,0.05107343,0.51527875,2.16999774,1.28055153,1.82351616,0.00000000,0.84274071,0.35516499
-5.73586793,3.91159841,0.05073748,0.51914352,2.15015543,1.27415612,1.78739993,0.00000000,0.82192015,0.34912080
-5.72986493,3.85460700,0.05033602,0.52168502,2.12887580,1.26556326,1.75011998,0.00000000,0.80082977,0.34261170
-5.72386193,3.79299775,0.04986758,0.52275648,2.10591836,1.25455236,1.71168072,0.00000000,0.77957546,0.33563407
-5.71785893,3.72658421,0.04933180,0.52224176,2.08107575,1.24095574,1.67210603,0.00000000,0.75825243,0.32819210
-5.71185593,3.65529268,0.04872972,0.52006064,2.05418969,1.22466910,1.63144793,0.00000000,0.73694699,0.32029962
-5.70585293,3.57918358,0.04806393,0.51617329,2.02516552,1.20566028,1.58979446,0.00000000,0.71573882,0.31198163
-5.69984992,3.49846875,0.04733877,0.51058354,1.99398491,1.18397599,1.54727627,0.00000000,0.69470363,0.30327536
-5.69384692,3.41352396,0.04656031,0.50334114,1.96071617,1.15974640,1.50407165,0.00000000,0.67391611,0.29423083
-5.68784392,3.32489616,0.04573635,0.49454267,1.92552169,1.13318741,1.46040962,0.00000000,0.65345271,0.28491092
-5.68184092,3.23330512,0.04487627,0.48433139,1.88866239,1.10460061,1.41657113,0.00000000,0.63339437,0.27539079
-5.67583792,3.13963962,0.04399089,0.47289589,1.85049872,1.07437106,1.37288807,0.00000000,0.61382879,0.26575693
-5.66983492,3.04494821,0.04309214,0.46046776,1.81148851,1.04296303,1.32974027,0.00000000,0.59485216,0.25610561
-5.66383192,2.95042520,0.04219279,0.44731840,1.77218155,1.01091398,1.28755048,0.00000000,0.57657030,0.24654098
-5.65782891,2.85739242,0.04130608,0.43375507,1.73321128,0.97882708,1.24677768,0.00000000,0.55909905,0.23717289
-5.65182591,2.76727751,0.04044533,0.42011649,1.69528394,0.94736256,1.20790885,0.00000000,0.54256395,0.22811442
-5.64582291,2.68158988,0.03962360,0.40676809,1.65916572,0.91722830,1.17144976,0.00000000,0.52709915,0.21947938
-5.63981991,2.60189499,0.03885331,0.39409698,1.62566840,0.88916997,1.13791492,0.00000000,0.51284579,0.21137978
-5.63381691,2.52978825,0.03814589,0.38250703,1.59563423,0.86396100,1.10781737,0.00000000,0.49994980,0.20392343
-5.62781391,2.46686924,0.03751154,0.37241394,1.56992058,0.84239259,1.08165860,0.00000000,0.48855931,0.19721175
-5.62181091,2.41471710,0.03695896,0.36424050,1.54938498,0.82526408,1.05991903,0.00000000,0.47882189,0.19133781
-5.61580790,2.37486782,0.03649522,0.35841196,1.53487121,0.81337356,1.04304946,0.00000000,0.47088176,0.18638487
-5.60980490,2.34879379,0.03612566,0.35535165,1.52719662,0.80750889,1.03146376,0.00000000,0.46487709,0.18242511
-5.60380190,2.33788579,0.03585384,0.35547653,1.52714111,0.80843896,1.02553298,0.00000000,0.46093757,0.17951893
-5.59779890,2.34343746,0.03568165,0.35919281,1.53543787,0.81690503,1.02558103,0.00000000,0.45918240,0.17771457
-5.59179590,2.36663183,0.03560935,0.36689130,1.55276560,0.83361192,1.03188193,0.00000000,0.45971860,0.17704817
-5.58579290,2.40852956,0.03563580,0.37894237,1.57974210,0.85921880,1.04465842,0.00000000,0.46263986,0.17754402
-5.57978989,2.47005794,0.03575867,0.39569037,1.61691869,0.89432914,1.06408180,0.00000000,0.46802575,0.17921526
-5.57378689,2.55200007,0.03597464,0.41744732,1.66477485,0.93947973,1.09027258,0.00000000,0.47594119,0.18206455
-5.56778389,2.65498309,0.03627971,0.44448577,1.72371248,0.99512837,1.12330166,0.00000000,0.48643615,0.18608495
-5.56178089,2.77946481,0.03666946,0.47703066,1.79404898,1.06164015,1.16319140,0.00000000,0.49954532,0.19126078
-5.55577789,2.92571795,0.03713927,0.51525037,1.87600863,1.13927226,1.20991635,0.00000000,0.51528762,0.19756827
-5.54977489,3.09381153,0.03768458,0.55924692,1.96971179,1.22815757,1.26340307,0.00000000,0.53366539,0.20497616
-5.54377189,3.28358928,0.03830101,0.60904557,2.07516149,1.32828721,1.32352879,0.00000000,0.55466311,0.21344598
-5.53776888,3.49464536,0.03898454,0.66458422,2.19222762,1.43949271,1.39011859,0.00000000,0.57824558,0.22293201
-5.53176588,3.72629816,0.03973150,0.72570302,2.32062899,1.56142852,1.46294113,0.00000000,0.60435543,0.23338105
-5.52576288,3.97756325,0.04053857,0.79213468,2.45991390,1.69355577,1.54170296,0.00000000,0.63291018,0.24473177
-5.51975988,4.24712724,0.04140273,0.86349628,2.60944032,1.83512837,1.62604161,0.00000000,0.66379879,0.25691394
-5.51375688,4.53332464,0.04232104,0.93928311,2.76835710,1.98518269,1.71551812,0.00000000,0.69687800,0.26984739
-5.50775388,4.83411983,0.04329046,1.01886535,2.93558773,2.14253202,1.80960935,0.00000000,0.73196872,0.28344101
-5.50175088,5.14709681,0.04430759,1.10148818,3.10981857,2.30576700,1.90770104,0.00000000,0.76885268,0.29759171
