energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,13.73518338,0.87063875,6.67359075,1.41266710,5.62421759,0.01943415,0.22159280,0.02246315,0.82590047
-5.99399700,13.46909661,0.85784378,6.54973958,1.38031811,5.50934258,0.01896407,0.21589112,0.02173313,0.81998302
-5.98799400,13.18007959,0.84203072,6.41691851,1.34352901,5.38461760,0.01844965,0.20952098,0.02095991,0.81141102
-5.98199100,12.86991813,0.82335576,6.27593980,1.30277298,5.25071507,0.01789531,0.20257443,0.02015069,0.80018324
-5.97598799,12.54064769,0.80202080,6.12768818,1.25857892,5.10842925,0.01730573,0.19514980,0.01931300,0.78634521
-5.96998499,12.19458913,0.77827191,5.97314187,1.21152178,4.95869413,0.01668577,0.18735016,0.01845449,0.76999153
-5.96398199,11.83437945,0.75239692,5.81339276,1.16221232,4.80259805,0.01604035,0.17928169,0.01758289,0.75126699
-5.95797899,11.46299295,0.72472186,5.64966343,1.11128633,4.64139299,0.01537444,0.17105207,0.01670588,0.73036617
-5.95197599,11.08374856,0.69560643,5.48331881,1.05939360,4.47649665,0.01469294,0.16276891,0.01583099,0.70753159
-5.94597299,10.70029997,0.66543815,5.31587039,1.00718661,4.30948610,0.01400069,0.15453804,0.01496559,0.68305011
-5.93996998,10.31660613,0.63462553,5.14897165,0.95530906,4.14208188,0.01330242,0.14646195,0.01411676,0.65724772
-5.93396698,9.93688096,0.60359013,4.98440358,0.90438455,3.97612244,0.01260274,0.13863815,0.01329130,0.63048270
-5.92796398,9.56552242,0.57275783,4.82405002,0.85500533,3.81352923,0.01190615,0.13115758,0.01249568,0.60313743
-5.92196098,9.20702261,0.54254953,4.66986328,0.80772149,3.65626335,0.01121697,0.12410303,0.01173600,0.57560904
-5.91595798,8.86586176,0.51337155,4.52382081,0.76303074,3.50627542,0.01053943,0.11754767,0.01101795,0.54829914
-5.90995498,8.54639023,0.48560598,4.38787477,0.72136901,3.36545067,0.00987759,0.11155367,0.01034680,0.52160321
-5.90395198,8.25270340,0.45960152,4.26389637,0.68310214,3.23555174,0.00923538,0.10617097,0.00972737,0.49589986
-5.89794897,7.98851518,0.43566491,4.15361769,0.64851889,3.11816177,0.00861660,0.10143620,0.00916399,0.47154046
-5.89194597,7.75703600,0.41405351,4.05857358,0.61782557,3.01463055,0.00802488,0.09737193,0.00866047,0.44883958
-5.88594297,7.56086111,0.39496905,3.98004646,0.59114247,2.92602633,0.00746370,0.09398610,0.00822002,0.42806647
-5.87993997,7.40187481,0.37855307,3.91901688,0.56850230,2.85309566,0.00693637,0.09127182,0.00784527,0.40943808
-5.87393697,7.28117530,0.36488398,3.87612228,0.54985075,2.79623331,0.00644600,0.08920759,0.00753819,0.39311381
-5.86793397,7.19902422,0.35397598,3.85162613,0.53504926,2.75546375,0.00599543,0.08775773,0.00730003,0.37919206
-5.86193097,7.15482357,0.34577983,3.84539927,0.52388002,2.73043522,0.00558729,0.08687339,0.00713131,0.36770889
-5.85592796,7.14712166,0.34018547,3.85691448,0.51605305,2.72042679,0.00522384,0.08649382,0.00703175,0.35863859
-5.84992496,7.17364820,0.33702630,3.88525491,0.51121520,2.72436826,0.00490703,0.08654802,0.00700026,0.35189629
-5.84392196,7.23137760,0.33608508,3.92913625,0.50896094,2.74087203,0.00463837,0.08695671,0.00703492,0.34734230
-5.83791896,7.31661811,0.33710113,3.98694193,0.50884445,2.76827583,0.00441892,0.08763461,0.00713296,0.34478811
-5.83191596,7.42512332,0.33977866,4.05677002,0.51039271,2.80469447,0.00424925,0.08849281,0.00729081,0.34400368
-5.82591296,7.55222169,0.34379584,4.13649002,0.51311925,2.84807855,0.00412935,0.08944138,0.00750413,0.34472583
-5.81990995,7.69295911,0.34881444,4.22380717,0.51653791,2.89627791,0.00405865,0.09039190,0.00776787,0.34666731
-5.81390695,7.84224867,0.35448963,4.31633182,0.52017634,2.94710725,0.00403593,0.09126000,0.00807634,0.34952624
-5.80790395,7.99502213,0.36047965,4.41165096,0.52358869,2.99841147,0.00405936,0.09196769,0.00842339,0.35299570
-5.80190095,8.14637711,0.36645511,4.50739903,0.52636706,3.04812831,0.00412647,0.09244552,0.00880247,0.35677290
-5.79589795,8.29171463,0.37210753,4.60132536,0.52815143,3.09434604,0.00423415,0.09263434,0.00920686,0.36056788
-5.78989495,8.42686199,0.37715701,4.69135544,0.52863769,3.13535429,0.00437874,0.09248675,0.00962978,0.36411140
-5.78389195,8.54817681,0.38135869,4.77564394,0.52758353,3.16968626,0.00455599,0.09196813,0.01006462,0.36716168
-5.77788894,8.65262886,0.38450799,4.85261746,0.52481224,3.19615109,0.00476124,0.09105716,0.01050509,0.36950999
-5.77188594,8.73785737,0.38644430,4.92100582,0.52021410,3.21385564,0.00498940,0.08974597,0.01094542,0.37098490
