energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.71011983,0.02544440,0.12185987,0.60361774,0.00000000,0.02405509,0.63464282,0.75689753,0.31141423
-5.99399700,1.73153712,0.02763269,0.12680964,0.61148241,0.00000000,0.02233151,0.63571810,0.78266806,0.31711015
-5.98799400,1.75189328,0.02991553,0.13149521,0.61804751,0.00000000,0.02071404,0.63622099,0.80684294,0.32297334
-5.98199100,1.77088011,0.03227070,0.13587193,0.62319085,0.00000000,0.01922035,0.63611062,0.82917469,0.32890593
-5.97598799,1.78821704,0.03467273,0.13989946,0.62681430,0.00000000,0.01786636,0.63536188,0.84944604,0.33480862
-5.96998499,1.80365590,0.03709304,0.14354237,0.62884564,0.00000000,0.01666626,0.63396603,0.86747293,0.34058226
-5.96398199,1.81698500,0.03950026,0.14677048,0.62923969,0.00000000,0.01563264,0.63193112,0.88310647,0.34612956
-5.95797899,1.82803237,0.04186063,0.14955909,0.62797863,0.00000000,0.01477656,0.62928183,0.89623383,0.35135674
-5.95197599,1.83666817,0.04413864,0.15188903,0.62507149,0.00000000,0.01410774,0.62605903,0.90677828,0.35617526
-5.94597299,1.84280617,0.04629772,0.15374661,0.62055294,0.00000000,0.01363466,0.62231891,0.91469829,0.36050338
-5.93996998,1.84640451,0.04830112,0.15512341,0.61448145,0.00000000,0.01336471,0.61813163,0.91998595,0.36426784
-5.93396698,1.84746551,0.05011279,0.15601605,0.60693686,0.00000000,0.01330429,0.61357971,0.92266474,0.36740523
-5.92796398,1.84603462,0.05169846,0.15642586,0.59801763,0.00000000,0.01345883,0.60875603,0.92278690,0.36986341
-5.92196098,1.84219863,0.05302661,0.15635847,0.58783771,0.00000000,0.01383284,0.60376147,0.92043052,0.37160260
-5.91595798,1.83608286,0.05406947,0.15582351,0.57652342,0.00000000,0.01442976,0.59870234,0.91569638,0.37259632
-5.90995498,1.82784747,0.05480401,0.15483421,0.56421015,0.00000000,0.01525185,0.59368744,0.90870483,0.37283189
-5.90395198,1.81768290,0.05521273,0.15340701,0.55103926,0.00000000,0.01629995,0.58882505,0.89959256,0.37231071
-5.89794897,1.80580418,0.05528438,0.15156127,0.53715506,0.00000000,0.01757323,0.58421959,0.88850953,0.37104806
-5.89194597,1.79244445,0.05501442,0.14931891,0.52270208,0.00000000,0.01906879,0.57996828,0.87561589,0.36907242
-5.88594297,1.77784751,0.05440533,0.14670413,0.50782251,0.00000000,0.02078134,0.57615769,0.86107905,0.36642439
-5.87993997,1.76225965,0.05346664,0.14374305,0.49265404,0.00000000,0.02270283,0.57286033,0.84507082,0.36315512
-5.87393697,1.74592100,0.05221479,0.14046347,0.47732787,0.00000000,0.02482209,0.57013141,0.82776463,0.35932438
-5.86793397,1.72905655,0.05067267,0.13689453,0.46196710,0.00000000,0.02712453,0.56800581,0.80933287,0.35499823
-5.86193097,1.71186747,0.04886902,0.13306639,0.44668540,0.00000000,0.02959196,0.56649547,0.78994429,0.35024648
-5.85592796,1.69452281,0.04683762,0.12900995,0.43158600,0.00000000,0.03220253,0.56558730,0.76976162,0.34514002
-5.84992496,1.67715236,0.04461634,0.12475647,0.41676094,0.00000000,0.03493074,0.56524181,0.74893933,0.33974815
-5.84392196,1.65984096,0.04224607,0.12033726,0.40229070,0.00000000,0.03774775,0.56539245,0.72762166,0.33413609
-5.83791896,1.64262473,0.03976962,0.11578338,0.38824415,0.00000000,0.04062174,0.56594601,0.70594097,0.32836273
-5.83191596,1.62548966,0.03723063,0.11112531,0.37467880,0.00000000,0.04351856,0.56678395,0.68401655,0.32247889
-5.82591296,1.60837272,0.03467248,0.10639265,0.36164144,0.00000000,0.04640248,0.56776484,0.66195384,0.31652603
-5.81990995,1.59116578,0.03213731,0.10161390,0.34916912,0.00000000,0.04923716,0.56872787,0.63984420,0.31053565
-5.81390695,1.57372215,0.02966519,0.09681624,0.33729040,0.00000000,0.05198668,0.56949736,0.61776524,0.30452930
-5.80790395,1.55586574,0.02729339,0.09202539,0.32602698,0.00000000,0.05461671,0.56988823,0.59578170,0.29851925
-5.80190095,1.53740237,0.02505583,0.08726545,0.31539547,0.00000000,0.05709566,0.56971221,0.57394692,0.29250979
-5.79589795,1.51813279,0.02298272,0.08255888,0.30540939,0.00000000,0.05939585,0.56878453,0.55230470,0.28649908
-5.78989495,1.49786669,0.02110032,0.07792649,0.29608121,0.00000000,0.06149454,0.56693095,0.53089163,0.28048134
-5.78389195,1.47643715,0.01943090,0.07338745,0.28742435,0.00000000,0.06337485,0.56399477,0.50973968,0.27444938
-5.77788894,1.45371444,0.01799282,0.06895937,0.27945511,0.00000000,0.06502645,0.55984347,0.48887887,0.26839719
-5.77188594,1.42961876,0.01680065,0.06465838,0.27219421,0.00000000,0.06644601,0.55437480,0.46834003,0.26232243
-5.76588294,1.40413074,0.01586542,0.06049923,0.26566809,0.00000000,0.06763729,0.54752187,0.44815733,0.25622874
-5.75987994,1.37729937,0.01519494,0.05649544,0.25990964,0.00000000,0.06861101,0.53925712,0.42837054,0.25012758
-5.75387694,1.34924661,0.01479402,0.05265935,0.25495843,0.00000000,0.06938431,0.52959488,0.40902679,0.24403956
-5.74787394,1.32016847,0.01466480,0.04900226,0.25086030,0.00000000,0.06997994,0.51859241,0.39018188,0.23799515
-5.74187094,1.29033218,0.01480690,0.04553449,0.24766635,0.00000000,0.07042512,0.50634934,0.37190086,0.23203466
-5.73586793,1.26006966,0.01521767,0.04226544,0.24543125,0.00000000,0.07075015,0.49300540,0.35425795,0.22620760
-5.72986493,1.22976744,0.01589222,0.03920359,0.24421107,0.00000000,0.07098692,0.47873671,0.33733578,0.22057123
-5.72386193,1.19985340,0.01682348,0.03635650,0.24406048,0.00000000,0.07116723,0.46375058,0.32122387,0.21518864
-5.71785893,1.17078105,0.01800220,0.03373080,0.24502972,0.00000000,0.07132107,0.44827909,0.30601654,0.21012618
-5.71185593,1.14301197,0.01941680,0.03133209,0.24716120,0.00000000,0.07147503,0.43257173,0.29181022,0.20545066
-5.70585293,1.11699727,0.02105331,0.02916484,0.25048613,0.00000000,0.07165084,0.41688740,0.27870037,0.20122621
-5.69984992,1.09315898,0.02289519,0.02723231,0.25502112,0.00000000,0.07186409,0.40148603,0.26677805,0.19751111
-5.69384692,1.07187219,0.02492325,0.02553639,0.26076516,0.00000000,0.07212326,0.38662018,0.25612638,0.19435482
-5.68784392,1.05344887,0.02711551,0.02407750,0.26769694,0.00000000,0.07242919,0.37252703,0.24681699,0.19179514
-5.68184092,1.03812399,0.02944718,0.02285442,0.27577283,0.00000000,0.07277479,0.35942093,0.23890670,0.18985584
-5.67583792,1.02604469,0.03189071,0.02186422,0.28492548,0.00000000,0.07314529,0.34748692,0.23243454,0.18854492
-5.66983492,1.01726293,0.03441587,0.02110211,0.29506327,0.00000000,0.07351880,0.33687529,0.22741923,0.18785328
-5.66383192,1.01173191,0.03699001,0.02056144,0.30607065,0.00000000,0.07386728,0.32769758,0.22385741,0.18775427
-5.65782891,1.00930635,0.03957839,0.02023364,0.31780927,0.00000000,0.07415784,0.32002387,0.22172245,0.18820384
-5.65182591,1.00974670,0.04214461,0.02010826,0.33012004,0.00000000,0.07435428,0.31388172,0.22096430,0.18914140
-5.64582291,1.01272690,0.04465117,0.02017306,0.34282597,0.00000000,0.07441880,0.30925646,0.22150997,0.19049130
-5.63981991,1.01784533,0.04706010,0.02041419,0.35573576,0.00000000,0.07431381,0.30609297,0.22326508,0.19216495
-5.63381691,1.02463852,0.04933369,0.02081632,0.36864787,0.00000000,0.07400378,0.30429885,0.22611611,0.19406339
-5.62781391,1.03259695,0.05143520,0.02136299,0.38135518,0.00000000,0.07345687,0.30374861,0.22993347,0.19608019
-5.62181091,1.04118216,0.05332975,0.02203687,0.39364985,0.00000000,0.07264655,0.30428893,0.23457514,0.19810466
-5.61580790,1.04984461,0.05498500,0.02282013,0.40532827,0.00000000,0.07155283,0.30574466,0.23989085,0.20002515
-5.60980490,1.05804144,0.05637201,0.02369484,0.41619597,0.00000000,0.07016320,0.30792519,0.24572653,0.20173234
-5.60380190,1.06525351,0.05746589,0.02464334,0.42607233,0.00000000,0.06847331,0.31063120,0.25192883,0.20312240
-5.59779890,1.07100102,0.05824646,0.02564859,0.43479481,0.00000000,0.06648717,0.31366129,0.25834954,0.20409991
-5.59179590,1.07485720,0.05869874,0.02669459,0.44222269,0.00000000,0.06421705,0.31681830,0.26484968,0.20458046
-5.58579290,1.07645956,0.05881339,0.02776662,0.44824006,0.00000000,0.06168298,0.31991522,0.27130303,0.20449275
-5.57978989,1.07551846,0.05858691,0.02885147,0.45275812,0.00000000,0.05891197,0.32278026,0.27759892,0.20378035
-5.57378689,1.07182258,0.05802176,0.02993760,0.45571661,0.00000000,0.05593700,0.32526113,0.28364420,0.20240279
-5.56778389,1.06524152,0.05712629,0.03101518,0.45708425,0.00000000,0.05279576,0.32722826,0.28936419,0.20033623
-5.56178089,1.05572518,0.05591452,0.03207603,0.45685845,0.00000000,0.04952929,0.32857695,0.29470262,0.19757351
-5.55577789,1.04330044,0.05440575,0.03311347,0.45506402,0.00000000,0.04618061,0.32922837,0.29962063,0.19412371
-5.54977489,1.02806522,0.05262407,0.03412207,0.45175112,0.00000000,0.04279326,0.32912958,0.30409477,0.19001124
-5.54377189,1.01018032,0.05059768,0.03509735,0.44699254,0.00000000,0.03941009,0.32825241,0.30811422,0.18527448
-5.53776888,0.98985961,0.04835819,0.03603539,0.44088030,0.00000000,0.03607200,0.32659156,0.31167745,0.17996408
-5.53176588,0.96735900,0.04593977,0.03693242,0.43352190,0.00000000,0.03281705,0.32416196,0.31478851,0.17414097
-5.52576288,0.94296481,0.04337830,0.03778445,0.42503627,0.00000000,0.02967960,0.32099564,0.31745309,0.16787415
-5.51975988,0.91698205,0.04071050,0.03858690,0.41554965,0.00000000,0.02668987,0.31713825,0.31967493,0.16123844
-5.51375688,0.88972329,0.03797304,0.03933431,0.40519149,0.00000000,0.02387355,0.31264557,0.32145248,0.15431215
-5.50775388,0.86149850,0.03520170,0.04002009,0.39409075,0.00000000,0.02125179,0.30758018,0.32277632,0.14717488
-5.50175088,0.83260639,0.03243065,0.04063651,0.38237254,0.00000000,0.01884130,0.30200837,0.32362741,0.13990541
-5.49574787,0.80332757,0.02969172,0.04117468,0.37015534,0.00000000,0.01665467,0.29599774,0.32397637,0.13257989
-5.48974487,0.77391968,0.02701388,0.04162475,0.35754890,0.00000000,0.01470085,0.28961523,0.32378382,0.12527023
-5.48374187,0.74461470,0.02442273,0.04197621,0.34465291,0.00000000,0.01298570,0.28292603,0.32300178,0.11804290
-5.47773887,0.71561832,0.02194024,0.04221833,0.33155632,0.00000000,0.01151262,0.27599306,0.32157615,0.11095799
-5.47173587,0.68711126,0.01958450,0.04234066,0.31833745,0.00000000,0.01028320,0.26887724,0.31944993,0.10406865
-5.46573287,0.65925218,0.01736971,0.04233361,0.30506474,0.00000000,0.00929791,0.26163822,0.31656721,0.09742085
-5.45972986,0.63218188,0.01530616,0.04218911,0.29179802,0.00000000,0.00855662,0.25433562,0.31287742,0.09105349
-5.45372686,0.60602826,0.01340045,0.04190117,0.27859015,0.00000000,0.00805915,0.24703052,0.30833973,0.08499864
-5.44772386,0.58091157,0.01165571,0.04146643,0.26548898,0.00000000,0.00780566,0.23978691,0.30292728,0.07928216
-5.44172086,0.55694948,0.01007194,0.04088465,0.25253928,0.00000000,0.00779689,0.23267315,0.29663081,0.07392429
-5.43571786,0.53426135,0.00864635,0.04015904,0.23978464,0.00000000,0.00803429,0.22576293,0.28946159,0.06894041
-5.42971486,0.51297151,0.00737383,0.03929643,0.22726910,0.00000000,0.00851995,0.21913580,0.28145342,0.06434180
-5.42371186,0.49321093,0.00624735,0.03830730,0.21503838,0.00000000,0.00925643,0.21287706,0.27266340,0.06013633
-5.41770885,0.47511729,0.00525841,0.03720564,0.20314067,0.00000000,0.01024638,0.20707681,0.26317163,0.05632909
-5.41170585,0.45883329,0.00439745,0.03600859,0.19162691,0.00000000,0.01149205,0.20182839,0.25307963,0.05292288
-5.40570285,0.44450317,0.00365426,0.03473601,0.18055043,0.00000000,0.01299469,0.19722597,0.24250774,0.04991855
-5.39969985,0.43226771,0.00301837,0.03340981,0.16996625,0.00000000,0.01475388,0.19336151,0.23159143,0.04731518
-5.39369685,0.42225799,0.00247933,0.03205326,0.15992976,0.00000000,0.01676671,0.19032132,0.22047699,0.04511017
-5.38769385,0.41458833,0.00202703,0.03069024,0.15049520,0.00000000,0.01902711,0.18818218,0.20931664,0.04329914
-5.38169085,0.40934881,0.00165194,0.02934440,0.14171385,0.00000000,0.02152502,0.18700748,0.19826343,0.04187577
-5.37568784,0.40659814,0.00134528,0.02803842,0.13363218,0.00000000,0.02424581,0.18684352,0.18746619,0.04083157
-5.36968484,0.40635709,0.00109923,0.02679330,0.12629004,0.00000000,0.02716970,0.18771616,0.17706483,0.04015571
-5.36368184,0.40860337,0.00090704,0.02562777,0.11971911,0.00000000,0.03027141,0.18962823,0.16718623,0.03983481
-5.35767884,0.41326818,0.00076311,0.02455780,0.11394159,0.00000000,0.03351998,0.19255773,0.15794094,0.03985285
-5.35167584,0.42023488,0.00066310,0.02359630,0.10896946,0.00000000,0.03687886,0.19645715,0.14942086,0.04019121
-5.34567284,0.42934010,0.00060399,0.02275301,0.10480408,0.00000000,0.04030625,0.20125387,0.14169788,0.04082882
-5.33966983,0.44037736,0.00058408,0.02203451,0.10143643,0.00000000,0.04375568,0.20685186,0.13482379,0.04174257
-5.33366683,0.45310319,0.00060312,0.02144447,0.09884789,0.00000000,0.04717694,0.21313448,0.12883116,0.04290776
-5.32766383,0.46724550,0.00066225,0.02098398,0.09701138,0.00000000,0.05051716,0.21996849,0.12373517,0.04429878
-5.32166083,0.48251398,0.00076408,0.02065210,0.09589309,0.00000000,0.05372224,0.22720889,0.11953644,0.04588995
-5.31565783,0.49861201,0.00091266,0.02044640,0.09545444,0.00000000,0.05673828,0.23470461,0.11622433,0.04765636
-5.30965483,0.51524941,0.00111353,0.02036371,0.09565425,0.00000000,0.05951331,0.24230460,0.11378087,0.04957487
-5.30365183,0.53215547,0.00137365,0.02040074,0.09645097,0.00000000,0.06199892,0.24986406,0.11218470,0.05162502
-5.29764882,0.54909153,0.00170137,0.02055478,0.09780488,0.00000000,0.06415195,0.25725055,0.11141510,0.05378986
-5.29164582,0.56586229,0.00210636,0.02082431,0.09968007,0.00000000,0.06593603,0.26434958,0.11145561,0.05605677
-5.28564282,0.58232526,0.00259946,0.02120949,0.10204602,0.00000000,0.06732287,0.27106941,0.11229716,0.05841792
-5.27963982,0.59839769,0.00319252,0.02171253,0.10487881,0.00000000,0.06829346,0.27734475,0.11394042,0.06087062
-5.27363682,0.61406043,0.00389815,0.02233788,0.10816175,0.00000000,0.06883875,0.28313917,0.11639723,0.06341732
-5.26763382,0.62935847,0.00472944,0.02309225,0.11188540,0.00000000,0.06896007,0.28844605,0.11969097,0.06606536
-5.26163082,0.64439782,0.00569955,0.02398437,0.11604705,0.00000000,0.06866918,0.29328798,0.12385584,0.06882628
-5.25562781,0.65933888,0.00682127,0.02502463,0.12064952,0.00000000,0.06798781,0.29771462,0.12893499,0.07171498
-5.24962481,0.67438636,0.00810656,0.02622448,0.12569938,0.00000000,0.06694689,0.30179908,0.13497754,0.07474844
-5.24362181,0.68977627,0.00956590,0.02759562,0.13120482,0.00000000,0.06558542,0.30563305,0.14203470,0.07794426
-5.23761881,0.70576040,0.01120773,0.02914912,0.13717299,0.00000000,0.06394897,0.30932081,0.15015505,0.08131903
-5.23161581,0.72258913,0.01303780,0.03089438,0.14360724,0.00000000,0.06208797,0.31297257,0.15937922,0.08488648
-5.22561281,0.74049340,0.01505853,0.03283808,0.15050420,0.00000000,0.06005586,0.31669732,0.16973431,0.08865574
