energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,9.32052156,0.01452663,1.11585222,0.20307596,4.18655095,5.26718948,0.09017361,1.86159321
-5.99399700,9.38444075,0.01518436,1.10262543,0.21281457,4.13180603,5.30327138,0.09325193,1.90443734
-5.98799400,9.43234066,0.01583946,1.08714094,0.22204624,4.06614564,5.33118942,0.09620998,1.94496625
-5.98199100,9.46391509,0.01648920,1.06940189,0.23062745,3.99028747,5.35077430,0.09900949,1.98291624
-5.97598799,9.47899736,0.01713104,1.04943209,0.23842338,3.90508453,5.36189650,0.10161296,2.01805423
-5.96998499,9.47755483,0.01776258,1.02727854,0.24531073,3.81150939,5.36446449,0.10398454,2.05017647
-5.96398199,9.45968098,0.01838151,1.00301332,0.25118038,3.71063573,5.35842299,0.10609078,2.07910656
-5.95797899,9.42558495,0.01898555,0.97673488,0.25593969,3.60361724,5.34375091,0.10790138,2.10469261
-5.95197599,9.37557819,0.01957237,0.94856824,0.25951439,3.49166414,5.32045871,0.10938984,2.12680380
-5.94597299,9.31005860,0.02013949,0.91866442,0.26185000,3.37601774,5.28858530,0.11053397,2.14532630
-5.93996998,9.22949251,0.02068419,0.88719880,0.26291275,3.25792356,5.24819442,0.11131637,2.16015897
-5.93396698,9.13439523,0.02120344,0.85436854,0.26268998,3.13860385,5.19937071,0.11172465,2.17120889
-5.92796398,9.02531137,0.02169382,0.82038929,0.26118999,3.01923022,5.14221593,0.11175159,2.17838716
-5.92196098,8.90279579,0.02215144,0.78549111,0.25844133,2.90089747,5.07684555,0.11139519,2.18160529
-5.91595798,8.76739673,0.02257197,0.74991407,0.25449175,2.78459948,5.00338626,0.11065856,2.18077252
-5.90995498,8.61964222,0.02295065,0.71390347,0.24940658,2.67120835,4.92197486,0.10954965,2.17579432
-5.90395198,8.46003086,0.02328227,0.67770508,0.24326686,2.56145746,4.83275879,0.10808098,2.16657247
-5.89794897,8.28902803,0.02356135,0.64156059,0.23616712,2.45592951,4.73589874,0.10626923,2.15300681
-5.89194597,8.10706806,0.02378221,0.60570338,0.22821307,2.35505002,4.63157340,0.10413478,2.13499882
-5.88594297,7.91456268,0.02393914,0.57035491,0.21951914,2.25908677,4.51998643,0.10170120,2.11245691
-5.87993997,7.71191560,0.02402658,0.53572177,0.21020595,2.16815544,4.40137539,0.09899475,2.08530352
-5.87393697,7.49954289,0.02403937,0.50199358,0.20039801,2.08223118,4.27602240,0.09604388,2.05348355
-5.86793397,7.27789808,0.02397291,0.46934178,0.19022139,2.00116603,4.14426603,0.09287876,2.01697392
-5.86193097,7.04750097,0.02382342,0.43791929,0.17980180,1.92471142,4.00651383,0.08953080,1.97579376
-5.85592796,6.80896877,0.02358816,0.40786117,0.16926277,1.85254503,3.86325476,0.08603228,1.93001481
-5.84992496,6.56304776,0.02326560,0.37928606,0.15872424,1.78430089,3.71507091,0.08241605,1.87977144
-5.84392196,6.31064409,0.02285557,0.35229845,0.14830150,1.71960183,3.56264782,0.07871525,1.82526975
-5.83791896,6.05285189,0.02235943,0.32699167,0.13810443,1.65809263,3.40678254,0.07496311,1.76679528
-5.83191596,5.79097719,0.02178009,0.30345137,0.12823709,1.59947302,3.24838922,0.07119285,1.70471885
-5.82591296,5.52655643,0.02112211,0.28175944,0.11879769,1.54352883,3.08850137,0.06743765,1.63950018
-5.81990995,5.26136816,0.02039159,0.26199810,0.10987878,1.49016029,2.92827086,0.06373055,1.57168896
-5.81390695,4.99743735,0.01959618,0.24425408,0.10156772,1.43940635,2.76896321,0.06010457,1.50192325
-5.80790395,4.73703152,0.01874490,0.22862254,0.09394727,1.39146372,2.61194929,0.05659268,1.43092508
-5.80190095,4.48264854,0.01784801,0.21521071,0.08709638,1.34670019,2.45869345,0.05322784,1.35949344
-5.79589795,4.23699595,0.01691680,0.20414084,0.08109088,1.30566118,2.31073829,0.05004306,1.28849458
-5.78989495,4.00296204,0.01596335,0.19555238,0.07600424,1.26906927,2.16968637,0.04707133,1.21885010
-5.78389195,3.78357916,0.01500034,0.18960320,0.07190809,1.23781644,2.03717923,0.04434555,1.15152291
-5.77788894,3.58197964,0.01404075,0.18646956,0.06887256,1.21294877,1.91487389,0.04189839,1.08750156
-5.77188594,3.40134517,0.01309764,0.18634488,0.06696633,1.19564410,1.80441747,0.03976204,1.02778324
-5.76588294,3.24485044,0.01218393,0.18943690,0.06625630,1.18718266,1.70742008,0.03796789,0.97335583
-5.75987994,3.11560180,0.01131214,0.19596355,0.06680690,1.18891160,1.62542655,0.03654612,0.92517944
-5.75387694,3.01657216,0.01049426,0.20614712,0.06867889,1.20220390,1.55988715,0.03552516,0.88416780
-5.74787394,2.95053311,0.00974157,0.22020705,0.07192780,1.22841296,1.51212795,0.03493113,0.85116985
-5.74187094,2.91998565,0.00906447,0.23835141,0.07660192,1.26882381,1.48332107,0.03478716,0.82695194
-5.73586793,2.92709098,0.00847244,0.26076712,0.08273987,1.32460250,1.47445546,0.03511271,0.81218099
-5.72986493,2.97360292,0.00797394,0.28760943,0.09036796,1.39674510,1.48630863,0.03592280,0.80740898
-5.72386193,3.06080394,0.00757635,0.31899075,0.09949729,1.48602807,1.51942026,0.03722732,0.81305911
-5.71785893,3.18944667,0.00728596,0.35496947,0.11012074,1.59296177,1.57406814,0.03903038,0.82941402
-5.71185593,3.35970316,0.00710797,0.39553905,0.12221018,1.71774895,1.65024760,0.04132969,0.85660647
-5.70585293,3.57112415,0.00704648,0.44061810,0.13571373,1.86025014,1.74765515,0.04411608,0.89461280
-5.69984992,3.82261040,0.00710449,0.49004177,0.15055355,2.01995752,1.86567735,0.04737322,0.94324948
-5.69384692,4.11239843,0.00728390,0.54355513,0.16662420,2.19597911,2.00338586,0.05107747,1.00217318
-5.68784392,4.43806219,0.00758552,0.60080903,0.18379162,2.38703439,2.15953933,0.05519797,1.07088436
-5.68184092,4.79653219,0.00800908,0.66135867,0.20189311,2.59146241,2.33259302,0.05969691,1.14873475
-5.67583792,5.18413284,0.00855318,0.72466558,0.22073818,2.80724293,2.52071623,0.06453011,1.23493847
-5.66983492,5.59663795,0.00921525,0.79010277,0.24011046,3.03203048,2.72181796,0.06964777,1.32858680
-5.66383192,6.02934386,0.00999157,0.85696349,0.25977067,3.26320079,2.93358032,0.07499545,1.42866620
-5.65782891,6.47715827,0.01087718,0.92447330,0.27946060,3.49790850,3.15349910,0.08051519,1.53407914
-5.65182591,6.93470260,0.01186585,0.99180523,0.29890802,3.73315406,3.37893053,0.08614685,1.64366689
-5.64582291,7.39642433,0.01295003,1.05809756,0.31783237,3.96585779,3.60714270,0.09182944,1.75623376
-5.63981991,7.85671556,0.01412081,1.12247374,0.33595108,4.19293806,3.83537007,0.09750252,1.87057158
-5.63381691,8.31003318,0.01536795,1.18406365,0.35298627,4.41139060,4.06086902,0.10310756,1.98548352
-5.62781391,8.75101607,0.01667978,1.24202536,0.36867163,4.61836553,4.28097242,0.10858917,2.09980635
-5.62181091,9.17459462,0.01804336,1.29556666,0.38275912,4.81123884,4.49314116,0.11389623,2.21243009
-5.61580790,9.57608824,0.01944442,1.34396543,0.39502531,4.98767529,4.69501067,0.11898270,2.32231424
-5.60980490,9.95128705,0.02086756,1.38658793,0.40527710,5.14567993,4.88443074,0.12380825,2.42850001
-5.60380190,10.29651493,0.02229634,1.42290451,0.41335653,5.28363629,5.05949731,0.12833865,2.53011814
-5.59779890,10.60867188,0.02371349,1.45250189,0.41914462,5.40032953,5.21857533,0.13254574,2.62639227
-5.59179590,10.88525521,0.02510115,1.47509168,0.42256391,5.49495428,5.36031227,0.13640726,2.71663780
-5.58579290,11.12435970,0.02644113,1.49051493,0.42357982,5.56710711,5.48364243,0.13990636,2.80025706
-5.57978989,11.32465871,0.02771523,1.49874251,0.42220065,5.61676490,5.58778266,0.14303092,2.87673118
-5.57378689,11.48536857,0.02890556,1.49987151,0.41847638,5.64425080,5.67222044,0.14577272,2.94560975
-5.56778389,11.60619995,0.02999494,1.49411804,0.41249622,5.65019028,5.73669592,0.14812654,3.00649942
-5.56178089,11.68730009,0.03096720,1.48180675,0.40438517,5.63546018,5.78117934,0.15008924,3.05905237
-5.55577789,11.72919023,0.03180761,1.46335770,0.39429969,5.60113398,5.80584573,0.15165887,3.10295594
-5.54977489,11.73270244,0.03250316,1.43927125,0.38242268,5.54842643,5.81104852,0.15283395,3.13792440
-5.54377189,11.69891969,0.03304291,1.41011169,0.36895802,5.47864060,5.79729370,0.15361288,3.16369368
-5.53776888,11.62912247,0.03341825,1.37649020,0.35412492,5.39312015,5.76521581,0.15399356,3.18001960
-5.53176588,11.52474424,0.03362309,1.33904782,0.33815214,5.29320872,5.71555680,0.15397327,3.18667999
-5.52576288,11.38733745,0.03365406,1.29843910,0.32127246,5.18021825,5.64914836,0.15354882,3.18348062
-5.51975988,11.21855033,0.03351055,1.25531677,0.30371747,5.05540673,5.56689793,0.15271680,3.17026459
-5.51375688,11.02011435,0.03319474,1.21031790,0.28571284,4.91996561,5.46977839,0.15147421,3.14692460
-5.50775388,10.79384072,0.03271151,1.16405174,0.26747420,4.77501622,5.35882086,0.14981916,3.11341720
-5.50175088,10.54162432,0.03206833,1.11708952,0.24920362,4.62161393,5.23510999,0.14775162,3.06977805
-5.49574787,10.26545253,0.03127507,1.06995612,0.23108688,4.46075860,5.09978105,0.14527439,3.01613703
