energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.26986214,0.01064003,0.23435720,0.28981827,1.10356499,1.35564363,0.60963941,0.00000000
-5.99399700,2.21395050,0.01011808,0.23013743,0.28214056,1.09349378,1.32035467,0.59284904,0.00000000
-5.98799400,2.15066640,0.00956799,0.22477673,0.27383729,1.08102815,1.28025058,0.57490534,0.00000000
-5.98199100,2.08070346,0.00899735,0.21834971,0.26506512,1.06664240,1.23569825,0.55601151,0.00000000
-5.97598799,2.00492969,0.00841361,0.21095509,0.25599141,1.05088905,1.18717791,0.53640208,0.00000000
-5.96998499,1.92436533,0.00782395,0.20271271,0.24678899,1.03437959,1.13527152,0.51633741,0.00000000
-5.96398199,1.84015482,0.00723513,0.19375976,0.23763064,1.01776274,1.08064738,0.49609688,0.00000000
-5.95797899,1.75353451,0.00665339,0.18424663,0.22868364,1.00170118,1.02404199,0.47597113,0.00000000
-5.95197599,1.66579733,0.00608436,0.17433230,0.22010451,0.98684772,0.96623970,0.45625357,0.00000000
-5.94597299,1.57825633,0.00553303,0.16417969,0.21203438,0.97382189,0.90805144,0.43723180,0.00000000
-5.93996998,1.49220866,0.00500365,0.15395112,0.20459500,0.96318811,0.85029328,0.41917913,0.00000000
-5.93396698,1.40890156,0.00449978,0.14380399,0.19788561,0.95543615,0.79376588,0.40234672,0.00000000
-5.92796398,1.32950180,0.00402424,0.13388696,0.19198094,0.95096502,0.73923569,0.38695679,0.00000000
-5.92196098,1.25506978,0.00357918,0.12433667,0.18693018,0.95007068,0.68741845,0.37319694,0.00000000
-5.91595798,1.18653898,0.00316606,0.11527515,0.18275706,0.95293821,0.63896564,0.36121613,0.00000000
-5.90995498,1.12470142,0.00278578,0.10680793,0.17946109,0.95963858,0.59445411,0.35112222,0.00000000
-5.90395198,1.07019925,0.00243867,0.09902291,0.17701958,0.97013004,0.55437907,0.34298115,0.00000000
-5.89794897,1.02352222,0.00212459,0.09198991,0.17539054,0.98426395,0.51915034,0.33681791,0.00000000
-5.89194597,0.98501068,0.00184305,0.08576089,0.17451628,1.00179460,0.48909153,0.33261890,0.00000000
-5.88594297,0.95486338,0.00159321,0.08037072,0.17432722,1.02239244,0.46444204,0.33033569,0.00000000
-5.87993997,0.93314919,0.00137403,0.07583841,0.17474608,1.04566003,0.44536106,0.32988991,0.00000000
-5.87393697,0.91982179,0.00118432,0.07216874,0.17569193,1.07114988,0.43193346,0.33117891,0.00000000
