energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,2.06675585,0.19126398,0.00000000,0.63206695,0.86649085,0.02803726,1.01735849
-5.99399700,2.08439213,0.19666347,0.00000000,0.64206123,0.87246143,0.02834228,1.02269152
-5.98799400,2.10120929,0.20224662,0.00000000,0.65188776,0.87810859,0.02863451,1.02716888
-5.98199100,2.11699918,0.20795681,0.00000000,0.66143287,0.88342985,0.02890746,1.03070070
-5.97598799,2.13160753,0.21373268,0.00000000,0.67058557,0.88845507,0.02915477,1.03323584
-5.96998499,2.14493751,0.21950987,0.00000000,0.67924139,0.89324537,0.02937029,1.03476351
-5.96398199,2.15695233,0.22522276,0.00000000,0.68730633,0.89789122,0.02954817,1.03531383
-5.95797899,2.16767667,0.23080660,0.00000000,0.69470097,0.90250991,0.02968290,1.03495745
-5.95197599,2.17719702,0.23619960,0.00000000,0.70136439,0.90724234,0.02976949,1.03380398
-5.94597299,2.18566075,0.24134521,0.00000000,0.70725798,0.91224920,0.02980350,1.03199940
-5.93996998,2.19327385,0.24619428,0.00000000,0.71236867,0.91770674,0.02978123,1.02972249
-5.93396698,2.20029753,0.25070729,0.00000000,0.71671171,0.92380207,0.02969981,1.02718021
-5.92796398,2.20704337,0.25485633,0.00000000,0.72033269,0.93072829,0.02955730,1.02460239
-5.92196098,2.21386737,0.25862688,0.00000000,0.72330879,0.93867930,0.02935280,1.02223561
-5.91595798,2.22116278,0.26201930,0.00000000,0.72574904,0.94784470,0.02908653,1.02033662
-5.90995498,2.22935186,0.26504993,0.00000000,0.72779362,0.95840470,0.02875985,1.01916543
-5.90395198,2.23887668,0.26775172,0.00000000,0.72961215,0.97052522,0.02837531,1.01897824
-5.89794897,2.25018918,0.27017432,0.00000000,0.73140087,0.98435329,0.02793660,1.02002041
-5.89194597,2.26374049,0.27238365,0.00000000,0.73337883,1.00001288,0.02744849,1.02251981
-5.88594297,2.27996984,0.27446079,0.00000000,0.73578297,1.01760122,0.02691675,1.02668045
-5.87993997,2.29929309,0.27650021,0.00000000,0.73886233,1.03718560,0.02634802,1.03267691
-5.87393697,2.32209125,0.27860747,0.00000000,0.74287141,1.05880088,0.02574963,1.04064939
-5.86793397,2.34869903,0.28089611,0.00000000,0.74806264,1.08244757,0.02512943,1.05069971
-5.86193097,2.37939364,0.28348417,0.00000000,0.75467847,1.10809054,0.02449557,1.06288827
-5.85592796,2.41438415,0.28649007,0.00000000,0.76294286,1.13565842,0.02385632,1.07723190
-5.84992496,2.45380159,0.29002816,0.00000000,0.77305268,1.16504358,0.02321981,1.09370287
-5.84392196,2.49768993,0.29420404,0.00000000,0.78516913,1.19610270,0.02259388,1.11222874
