energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,8.81445134,0.81693222,7.34838290,1.05858969,0.01680669,0.10349572,0.37562398
-5.99399700,8.81363715,0.80726877,7.36409417,1.05939255,0.01677311,0.10381902,0.37906129
-5.98799400,8.81805919,0.79824771,7.38353587,1.06012962,0.01677280,0.10389339,0.38254162
-5.98199100,8.82812536,0.79007397,7.40694145,1.06069123,0.01681015,0.10370342,0.38609623
-5.97598799,8.84428273,0.78294077,7.43458479,1.06098121,0.01688934,0.10324043,0.38976815
-5.96998499,8.86704146,0.77702987,7.46680283,1.06092293,0.01701428,0.10250323,0.39361169
-5.96398199,8.89699718,0.77251221,7.50401689,1.06046439,0.01718863,0.10149861,0.39769137
-5.95797899,8.93484999,0.76954877,7.54675108,1.05958227,0.01741576,0.10024157,0.40208043
-5.95197599,8.98141833,0.76829131,7.59564633,1.05828460,0.01769874,0.09875529,0.40685876
-5.94597299,9.03764616,0.76888288,7.65146865,1.05661202,0.01804038,0.09707074,0.41211046
-5.93996998,9.10460213,0.77145776,7.71511046,1.05463740,0.01844319,0.09522610,0.41792101
-5.93396698,9.18346962,0.77614077,7.78758410,1.05246399,0.01890941,0.09326588,0.42437423
-5.92796398,9.27552723,0.78304573,7.87000684,1.05022202,0.01944100,0.09123983,0.43154895
-5.92196098,9.38211931,0.79227311,7.96357734,1.04806394,0.02003960,0.08920171,0.43951576
-5.91595798,9.50461710,0.80390686,8.06954357,1.04615850,0.02070650,0.08720789,0.44833376
-5.90995498,9.64437103,0.81801046,8.18916278,1.04468378,0.02144253,0.08531594,0.45804746
-5.90395198,9.80265569,0.83462243,8.32365474,1.04381961,0.02224804,0.08358312,0.46868403
-5.89794897,9.98060919,0.85375144,8.47414932,1.04373949,0.02312271,0.08206502,0.48025098
-5.89194597,10.17916914,0.87537136,8.64163067,1.04460245,0.02406548,0.08081415,0.49273431
-5.88594297,10.39900796,0.89941658,8.82687981,1.04654503,0.02507435,0.07987871,0.50609736
-5.87993997,10.64047038,0.92577785,9.03041826,1.04967382,0.02614625,0.07930155,0.52028038
-5.87393697,10.90351634,0.95429906,9.25245541,1.05405882,0.02727690,0.07911921,0.53520085
-5.86793397,11.18767233,0.98477534,9.49284220,1.05972784,0.02846063,0.07936125,0.55075469
-5.86193097,11.49199433,1.01695269,9.75103384,1.06666233,0.02969030,0.08004971,0.56681831
-5.85592796,11.81504504,1.05052930,10.02606420,1.07479479,0.03095721,0.08119882,0.58325148
-5.84992496,12.15488772,1.08515903,10.31653368,1.08400789,0.03225108,0.08281494,0.59990107
-5.84392196,12.50909836,1.12045665,10.62061252,1.09413562,0.03356007,0.08489660,0.61660536
-5.83791896,12.87479700,1.15600526,10.93606044,1.10496626,0.03487088,0.08743484,0.63319904
-5.83191596,13.24869839,1.19136544,11.26026286,1.11624736,0.03616892,0.09041363,0.64951854
-5.82591296,13.62718095,1.22608595,11.59028335,1.12769255,0.03743854,0.09381050,0.66540761
-5.81990995,14.00637225,1.25971569,11.92293093,1.13898997,0.03866334,0.09759717,0.68072282
-5.81390695,14.38224820,1.29181644,12.25484006,1.14981213,0.03982656,0.10174041,0.69533886
-5.80790395,14.75074229,1.32197588,12.58256060,1.15982671,0.04091146,0.10620287,0.70915327
-5.80190095,15.10786065,1.34982036,12.90265402,1.16870813,0.04190181,0.11094394,0.72209047
-5.79589795,15.44979805,1.37502687,13.21179208,1.17614914,0.04278232,0.11592067,0.73410476
-5.78989495,15.77304981,1.39733370,13.50685362,1.18187220,0.04353917,0.12108860,0.74518227
-5.78389195,16.07451457,1.41654926,13.78501511,1.18564000,0.04416039,0.12640261,0.75534151
-5.77788894,16.35158323,1.43255870,14.04383076,1.18726468,0.04463630,0.13181764,0.76463261
-5.77188594,16.60220960,1.44532796,14.28129852,1.18661529,0.04495986,0.13728940,0.77313520
-5.76588294,16.82495956,1.45490503,14.49590852,1.18362322,0.04512689,0.14277490,0.78095489
-5.75987994,17.01903610,1.46141835,14.68667186,1.17828517,0.04513627,0.14823300,0.78821856
-5.75387694,17.18427890,1.46507232,14.85312803,1.17066354,0.04498998,0.15362475,0.79506868
