energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-6.00000000,8.01089953,2.41837451,0.00000000,0.44012444,0.88881757,3.35079484,3.25911133
-5.99399700,7.66309389,2.31991845,0.00000000,0.42545084,0.84357882,3.18825064,3.14929760
-5.98799400,7.31500153,2.22133041,0.00000000,0.41055685,0.79831359,3.02408682,3.03927377
-5.98199100,6.97196088,2.12422580,0.00000000,0.39569606,0.75363361,2.86060641,2.93107125
-5.97598799,6.63881487,2.03008905,0.00000000,0.38109639,0.71008583,2.69992094,2.82657236
-5.96998499,6.31982447,1.94024761,0.00000000,0.36695474,0.66814336,2.54391478,2.72747359
-5.96398199,6.01860500,1.85585211,0.00000000,0.35343276,0.62819915,2.39421895,2.63525611
-5.95797899,5.73808586,1.77786332,0.00000000,0.34065397,0.59056247,2.25219455,2.55116436
-5.95197599,5.48049359,1.70704562,0.00000000,0.32870231,0.55545821,2.11892578,2.47619288
-5.94597299,5.24735734,1.64396676,0.00000000,0.31762208,0.52302869,1.99522198,2.41108154
-5.93996998,5.03953490,1.58900347,0.00000000,0.30741930,0.49333787,1.88162776,2.35631851
-5.93396698,4.85725671,1.54235205,0.00000000,0.29806427,0.46637752,1.77844015,2.31215052
-5.92796398,4.70018481,1.50404294,0.00000000,0.28949544,0.44207513,1.68573144,2.27859907
-5.92196098,4.56748305,1.47395840,0.00000000,0.28162407,0.42030301,1.60337612,2.25548148
-5.91595798,4.45789488,1.45185181,0.00000000,0.27433979,0.40088827,1.53108045,2.24243528
-5.90995498,4.36982475,1.43736781,0.00000000,0.26751660,0.38362329,1.46841292,2.23894428
-5.90395198,4.30141934,1.43006181,0.00000000,0.26101915,0.36827612,1.41483445,2.24436485
-5.89794897,4.25064512,1.42941814,0.00000000,0.25470903,0.35460063,1.36972657,2.25795104
-5.89194597,4.21535933,1.43486590,0.00000000,0.24845080,0.34234592,1.33241694,2.27887710
-5.88594297,4.19337191,1.44579201,0.00000000,0.24211749,0.33126482,1.30220098,2.30625673
-5.87993997,4.18249670,1.46155117,0.00000000,0.23559554,0.32112120,1.27835946,2.33915825
-5.87393697,4.18059125,1.48147259,0.00000000,0.22878876,0.31169595,1.26017149,2.37661563
-5.86793397,4.18558489,1.50486395,0.00000000,0.22162137,0.30279149,1.24692339,2.41763549
-5.86193097,4.19549604,1.53101290,0.00000000,0.21404010,0.29423502,1.23791355,2.46120074
-5.85592796,4.20844011,1.55918696,0.00000000,0.20601504,0.28588016,1.23245411,2.50627175
