energy_ev,total_up,Al_p_up,Al_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,2.65545319,0.08539893,0.00000000,2.17086349,0.85454857,0.88418225,0.00000000
-5.99399700,2.75243166,0.08651955,0.00000000,2.24010771,0.88523509,0.92532677,0.00000000
-5.98799400,2.83905585,0.08742037,0.00000000,2.30059626,0.91256709,0.96339535,0.00000000
-5.98199100,2.91371499,0.08809644,0.00000000,2.35131321,0.93601805,0.99763816,0.00000000
-5.97598799,2.97501528,0.08855403,0.00000000,2.39138781,0.95514565,1.02736528,0.00000000
-5.96998499,3.02181829,0.08881080,0.00000000,2.42011908,0.96960394,1.05196477,0.00000000
-5.96398199,3.05327364,0.08889554,0.00000000,2.43699709,0.97915298,1.07091944,0.00000000
-5.95797899,3.06884423,0.08884749,0.00000000,2.44171964,0.98366554,1.08382163,0.00000000
-5.95197599,3.06832258,0.08871528,0.00000000,2.43420336,0.98313042,1.09038510,0.00000000
-5.94597299,3.05183709,0.08855549,0.00000000,2.41458850,0.97765198,1.09045354,0.00000000
-5.93996998,3.01984748,0.08843070,0.00000000,2.38323673,0.96744594,1.08400500,0.00000000
-5.93396698,2.97312929,0.08840736,0.00000000,2.34072186,0.95283130,1.07115214,0.00000000
-5.92796398,2.91274762,0.08855325,0.00000000,2.28781343,0.93421871,1.05213797,0.00000000
-5.92196098,2.84002106,0.08893476,0.00000000,2.22545388,0.91209563,1.02732732,0.00000000
-5.91595798,2.75647710,0.08961406,0.00000000,2.15472990,0.88700890,0.99719429,0.00000000
-5.90995498,2.66380081,0.09064623,0.00000000,2.07683932,0.85954538,0.96230626,0.00000000
-5.90395198,2.56377904,0.09207647,0.00000000,1.99305480,0.83031144,0.92330508,0.00000000
-5.89794897,2.45824239,0.09393754,0.00000000,1.90468594,0.79991226,0.88088639,0.00000000
-5.89194597,2.34900770,0.09624748,0.00000000,1.81304151,0.76893167,0.83577785,0.00000000
-5.88594297,2.23782314,0.09900788,0.00000000,1.71939330,0.73791362,0.78871733,0.00000000
-5.87993997,2.12631868,0.10220256,0.00000000,1.62494328,0.70734578,0.74043198,0.00000000
-5.87393697,2.01596355,0.10579699,0.00000000,1.53079524,0.67764620,0.69161889,0.00000000
-5.86793397,1.90803247,0.10973842,0.00000000,1.43793200,0.64915334,0.64292824,0.00000000
-5.86193097,1.80358180,0.11395664,0.00000000,1.34719893,0.62212000,0.59494943,0.00000000
-5.85592796,1.70343617,0.11836564,0.00000000,1.25929407,0.59671111,0.54820052,0.00000000
-5.84992496,1.60818557,0.12286587,0.00000000,1.17476486,0.57300552,0.50312130,0.00000000
-5.84392196,1.51819254,0.12734725,0.00000000,1.09401115,0.55100149,0.46006992,0.00000000
-5.83791896,1.43360851,0.13169266,0.00000000,1.01729377,0.53062540,0.41932291,0.00000000
-5.83191596,1.35439791,0.13578192,0.00000000,0.94474776,0.51174335,0.38107834,0.00000000
